,Concept_ID,se,myv
0,Auge::N,tjelmie,сельме
1,Auge::N,tjalmme,сельме
2,Auge::N,čalbmi,сельме
3,Auge::N,čalme,сельме
4,Auge::N,čâ´lmm,сельме
5,Auge::N,ча̄лльм,сельме
6,Ohr::N,bieljie,пиле
7,Ohr::N,biellje,пиле
8,Ohr::N,beallji,пиле
9,Ohr::N,pelji,пиле
10,Ohr::N,pe´llj,пиле
11,Ohr::N,пе̄лльй,пиле
12,Nase::N,njuenie,судо
13,Nase::N,njunnje,судо
14,Nase::N,njunni,судо
15,Nase::N,njuṇe,судо
16,Nase::N,njuu´nn,судо
17,Nase::N,нюннҍ,судо
18,Mund::N,njaelmie,курго
19,Mund::N,njálmme,курго
20,Mund::N,njálbmi,курго
21,Mund::N,njälmi,курго
22,Mund::N,njä´lmm,курго
23,Mund::N,ня̄лльм,курго
24,Zahn::N,baenie,пей
25,Zahn::N,bádne,пей
26,Zahn::N,bátni,пей
27,Zahn::N,pääṇi,пей
28,Zahn::N,pää´nn,пей
29,Zahn::N,па̄ннҍ,пей
30,Zunge::N,njoektjeme,кель
31,Zunge::N,njuovtjav,кель
32,Zunge::N,njuovčča,кель
33,Zunge::N,njuovčâ,кель
34,Zunge::N,njuhččâm,кель
35,Zunge::N,нюхчем,кель
36,Lippe::N,bangseme,турва
37,Lippe::N,njálmmerabdda,турва
38,Lippe::N,bavssa,турва
39,Lippe::N,poovsâ,турва
40,Lippe::N,põõus,турва
41,Lippe::N,пэ̄кс,турва
42,Wange::N,skiehrie,чамабока
43,Wange::N,skiehrie,чамаумарь
44,Wange::N,nierra,чамабока
45,Wange::N,nierra,чамаумарь
46,Wange::N,muohtu,чамабока
47,Wange::N,muohtu,чамаумарь
48,Wange::N,nieṛâ,чамабока
49,Wange::N,nieṛâ,чамаумарь
50,Wange::N,njiõrr,чамабока
51,Wange::N,njiõrr,чамаумарь
52,Wange::N,нӣрр,чамабока
53,Wange::N,нӣрр,чамаумарь
54,Gesicht::N,ååredæjja,чама
55,Gesicht::N,muohto,чама
56,Gesicht::N,muođut,чама
57,Gesicht::N,ámadadju,чама
58,Gesicht::N,muáđuh,чама
59,Gesicht::N,muâđ,чама
60,Gesicht::N,ка̄ссв,чама
61,Stirn::N,gaalloe,коня
62,Stirn::N,gállo,коня
63,Stirn::N,gállu,коня
64,Stirn::N,kállu,коня
65,Stirn::N,käll,коня
66,Stirn::N,вуэххьц,коня
67,Haar::N,voepte,черь
68,Haar::N,vuoppta,черь
69,Haar::N,vuokta,черь
70,Haar::N,vuop'tâ,черь
71,Haar::N,vuõpt,черь
72,Haar::N,вӯппт,черь
73,Schnurrbart::N,bijjie-skaavtjoe,ус
74,Schnurrbart::N,bijjie-skaavtjoe,муюк
75,Schnurrbart::N,njunjevuolskávttjá,ус
76,Schnurrbart::N,njunjevuolskávttjá,муюк
77,Schnurrbart::N,seamu,ус
78,Schnurrbart::N,seamu,муюк
79,Schnurrbart::N,siämu,ус
80,Schnurrbart::N,siämu,муюк
81,Schnurrbart::N,ää´bben,ус
82,Schnurrbart::N,ää´bben,муюк
83,Schnurrbart::N,о̄а̄бпан,ус
84,Schnurrbart::N,о̄а̄бпан,муюк
85,Bart::N,skaavtja,сакал
86,Bart::N,skaavtjoe,сакал
87,Bart::N,skávttjá,сакал
88,Bart::N,seamu,сакал
89,Bart::N,siämu,сакал
90,Bart::N,seäm,сакал
91,Bart::N,ся̄м,сакал
92,Kinn::N,gaejpie,уло
93,Kinn::N,gájbbe,уло
94,Kinn::N,gáibi,уло
95,Kinn::N,käibi,уло
96,Kinn::N,käi´bb,уло
97,Kinn::N,ка̄ййп,уло
98,Kiefer[Anatomie]::N,gaejpie,пейпакар
99,Kiefer[Anatomie]::N,gaejpie,пейловажа
100,Kiefer[Anatomie]::N,oalol,пейпакар
101,Kiefer[Anatomie]::N,oalol,пейловажа
102,Kiefer[Anatomie]::N,oaloldákte,пейпакар
103,Kiefer[Anatomie]::N,oaloldákte,пейловажа
104,Kiefer[Anatomie]::N,gáibi,пейпакар
105,Kiefer[Anatomie]::N,gáibi,пейловажа
106,Kiefer[Anatomie]::N,uá'lultähti,пейпакар
107,Kiefer[Anatomie]::N,uá'lultähti,пейловажа
108,Kiefer[Anatomie]::N,vuâl'lõš,пейпакар
109,Kiefer[Anatomie]::N,vuâl'lõš,пейловажа
110,Kiefer[Anatomie]::N,вуаллнешш,пейпакар
111,Kiefer[Anatomie]::N,вуаллнешш,пейловажа
112,Kehle::N,gealoe,кирьгапарь
113,Kehle::N,tjåttå,кирьгапарь
114,Kehle::N,njiello,кирьгапарь
115,Kehle::N,čotta,кирьгапарь
116,Kehle::N,čuudâ,кирьгапарь
117,Kehle::N,čoodd,кирьгапарь
118,Kehle::N,чонт,кирьгапарь
119,Kehle::N,кэ̄ҏс,кирьгапарь
120,Hals::N,tjeapohke,кирьга
121,Hals::N,tjiebet,кирьга
122,Hals::N,čeabet,кирьга
123,Hals::N,čiäppát,кирьга
124,Hals::N,čeäppat,кирьга
125,Hals::N,ча̄пэх,кирьга
126,Genick::N,tjovrese,човонь
127,Genick::N,nisske,човонь
128,Genick::N,niehkki,човонь
129,Genick::N,niski,човонь
130,Genick::N,niek'ki,човонь
131,Genick::N,nji´šǩǩmaadd,човонь
132,Genick::N,нышшькмоант,човонь
133,Kopf::N,åejjie,пря
134,Kopf::N,oajvve,пря
135,Kopf::N,oaivi,пря
136,Kopf::N,uái'vi,пря
137,Kopf::N,vuei´vv,пря
138,Kopf::N,вуэййв,пря
139,Rücken::N,rudtje,копорь
140,Rücken::N,hárddo,копорь
141,Rücken::N,tjavelk,копорь
142,Rücken::N,sealgi,копорь
143,Rücken::N,selgi,копорь
144,Rücken::N,čielgi,копорь
145,Rücken::N,seä´lǧǧ,копорь
146,Rücken::N,се̄лльк,копорь
147,Bauch::N,tjåejjie,пеке
148,Bauch::N,tjoajvve,пеке
149,Bauch::N,čoavji,пеке
150,Bauch::N,čuáv'ji,пеке
151,Bauch::N,čåu´jj,пеке
152,Bauch::N,чо̄ввьй,пеке
153,Nabel::N,naepie,почо
154,Nabel::N,náhpe,почо
155,Nabel::N,náhpi,почо
156,Nabel::N,nääpi,почо
157,Nabel::N,nää´pp,почо
158,Nabel::N,на̄бпь,почо
159,Busen::N,boenge,поте
160,Busen::N,bållå,поте
161,Busen::N,čižži,поте
162,Busen::N,njamma,поте
163,Busen::N,njižže,поте
164,Busen::N,nje´ǯǯ,поте
165,Busen::N,раннҍт,поте
166,Brust::N,mïelke,меште
167,Brust::N,radde,меште
168,Brust::N,mielgga,меште
169,Brust::N,raddi,меште
170,Brust::N,radde,меште
171,Brust::N,râ´dd,меште
172,Brust::N,раннҍт,меште
173,Schulter::N,åelkie,лавтов
174,Schulter::N,oalgge,лавтов
175,Schulter::N,hárdu,лавтов
176,Schulter::N,ärdee,лавтов
177,Schulter::N,uál'gi,лавтов
178,Schulter::N,a´rddi,лавтов
179,Schulter::N,vuä´lǧǧ,лавтов
180,Schulter::N,вуэллык,лавтов
181,Arm::N,gïete,кедь
182,Arm::N,giehta,кедь
183,Arm::N,giehta,кедь
184,Arm::N,kietâ,кедь
185,Arm::N,kie'tâkaaṿâ,кедь
186,Arm::N,ǩiõtt,кедь
187,Arm::N,кӣдт,кедь
188,Ellenbogen::N,gernjere,кенерепакарь
189,Ellenbogen::N,garŋŋel,кенерепакарь
190,Ellenbogen::N,gargŋil,кенерепакарь
191,Ellenbogen::N,käŋŋir,кенерепакарь
192,Ellenbogen::N,kõõnjâr,кенерепакарь
193,Ellenbogen::N,карьнэль,кенерепакарь
194,Hand::N,gïete,кедь
195,Hand::N,giehta,кедь
196,Hand::N,giehta,кедь
197,Hand::N,kietâ,кедь
198,Hand::N,ǩiõtt,кедь
199,Hand::N,кӣдт,кедь
