,Concept_ID,tr,el
0,Auge::N,göz,μάτι
1,Auge::N,göz,οφθαλμός
2,Ohr::N,kulak,αυτί
3,Nase::N,burun,μύτη
4,Mund::N,ağız,στόμα
5,Zahn::N,diş,δόντι
6,Zunge::N,dil,γλώσσα
7,Lippe::N,dudak,χείλος
8,Wange::N,yanak,παρειά
9,Wange::N,yanak,μάγουλο
10,Gesicht::N,yüz,πρόσωπο
11,Stirn::N,alın,μέτωπο
12,Haar::N,saç,μαλλιά
13,Schnurrbart::N,bıyık,μουστάκι
14,Bart::N,sakal,γένια
15,Kinn::N,çene,πιγούνι
16,Kiefer[Anatomie]::N,çene,σαγόνι
17,Kehle::N,boğaz,λαρύγγι
18,Hals::N,boyun,λαιμός
19,Hals::N,gerdan,λαιμός
20,Genick::N,ense,σβέρκος
21,Kopf::N,baş,κεφάλι
22,Kopf::N,kafa,κεφάλι
23,Rücken::N,arka,ράχη
24,Bauch::N,karın,κοιλιά
25,Nabel::N,göbek,αφαλός
26,Busen::N,koyun,στήθος
27,Brust::N,göğüs,στήθος
28,Schulter::N,omuz,ώμος
29,Arm::N,kol,χέρι
30,Arm::N,kol,μπράτςο
31,Ellenbogen::N,dirsek,αγκώνας
32,Hand::N,el,χέρι
33,Handfläche::N,avuç,παλάμη
34,Handfläche::N,el ayası,παλάμη
35,Finger::N,parmak,δάχτυλο
36,Fingernagel::N,el tırnağı,νύχι
37,Nagel[Anatomie]::N,tırnak,νύχι
38,Zeh::N,ayak parmağı,δάχτυλο του ποδιού
39,Fuß::N,ayak,πόδι
40,Ferse::N,topuk,φτέρνα
41,Knie::N,diz,γόνατο
42,Oberschenkel::N,uyluk,μηρός
43,Bein::N,bacak,πόδι
44,Körper::N,vücut,σώμα
45,Körper::N,vücut,κορμί
46,Haut::N,cilt,πετσί
47,Blut::N,kan,αίμα
48,Ader::N,damar,φλέβα
49,Sehne::N,kiriş,νεύρο
50,Sehne::N,kiriş,τένοντας
51,Knochen::N,kemik,οστό
52,Knochen::N,kemik,κόκκαλο
53,Gehirn::N,beyin,μυαλό
54,Gehirn::N,beyin,εγκέφαλος
55,Herz::N,kalp,καρδιά
56,Herz::N,yürek,καρδιά
57,Magen::N,mide,στομάχι
58,Leber::N,karaciğer,ήπαρ
59,Leber::N,karaciğer,συκωτί
60,Atem::N,nefes,αναπνοή
61,Hunger::N,açlık,πείνα
62,Träne::N,gözyaşı,δάκρυ
63,Geschmack::N,tat,γεύση
64,Geschmack::N,lezzet,γεύση
65,Geruch::N,koku,οσμή
66,Geruch::N,koku,μυρωδία
67,Schlaf::N,uyku,ύπνος
68,Traum::N,düş,όνειρο
69,Traum::N,rüya,όνειρο
70,Himmel::N,gök,ουρανός
71,Sonne::N,güneş,ήλιος
72,Mond::N,ay,σελήνη
73,Mond::N,ay,φεγγάρι
74,Stern::N,yıldız,άστρο
75,Stern::N,yıldız,αστέρι
76,Luft::N,hava,αέρας
77,Wind::N,yel,αέρας
78,Wind::N,yel,άνεμος
79,Wind::N,rüzgâr,αέρας
80,Wind::N,rüzgâr,άνεμος
81,Welle::N,dalga,κύμα
