,Concept_ID,en,tr
0,Auge::N,eye,göz
1,Ohr::N,ear,kulak
2,Nase::N,nose,burun
3,Mund::N,mouth,ağız
4,Zahn::N,tooth,diş
5,Zunge::N,tongue,dil
6,Lippe::N,lip,dudak
7,Wange::N,cheek,yanak
8,Gesicht::N,face,yüz
9,Stirn::N,forehead,alın
10,Haar::N,hair,saç
11,Schnurrbart::N,moustache,bıyık
12,Bart::N,beard,sakal
13,Kinn::N,chin,çene
14,Kiefer[Anatomie]::N,jaw,çene
15,Kehle::N,throat,boğaz
16,Hals::N,neck,boyun
17,Hals::N,neck,gerdan
18,Genick::N,nape,ense
19,Kopf::N,head,baş
20,Kopf::N,head,kafa
21,Rücken::N,back,arka
22,Rücken::N,spine,arka
23,Bauch::N,belly,karın
24,Nabel::N,navel,göbek
25,Busen::N,bosom,koyun
26,Brust::N,chest,göğüs
27,Brust::N,breast,göğüs
28,Schulter::N,shoulder,omuz
29,Arm::N,arm,kol
30,Ellenbogen::N,elbow,dirsek
31,Hand::N,hand,el
32,Handfläche::N,palm,avuç
33,Handfläche::N,palm,el ayası
34,Finger::N,finger,parmak
35,Fingernagel::N,fingernail,el tırnağı
36,Nagel[Anatomie]::N,nail,tırnak
37,Zeh::N,toe,ayak parmağı
38,Fuß::N,foot,ayak
39,Ferse::N,heel,topuk
40,Knie::N,knee,diz
41,Oberschenkel::N,thigh,uyluk
42,Bein::N,leg,bacak
43,Körper::N,body,vücut
44,Haut::N,skin,cilt
45,Blut::N,blood,kan
46,Ader::N,vein,damar
47,Sehne::N,sinew,kiriş
48,Knochen::N,bone,kemik
49,Gehirn::N,brain,beyin
50,Herz::N,heart,kalp
51,Herz::N,heart,yürek
52,Magen::N,stomach,mide
53,Leber::N,liver,karaciğer
54,Atem::N,breath,nefes
55,Hunger::N,hunger,açlık
56,Träne::N,tear,gözyaşı
57,Geschmack::N,flavour,tat
58,Geschmack::N,flavour,lezzet
59,Geschmack::N,flavor,tat
60,Geschmack::N,flavor,lezzet
61,Geruch::N,odour,koku
62,Geruch::N,odor,koku
63,Schlaf::N,sleep,uyku
64,Traum::N,dream,düş
65,Traum::N,dream,rüya
66,Himmel::N,sky,gök
67,Sonne::N,sun,güneş
68,Mond::N,moon,ay
69,Stern::N,star,yıldız
70,Luft::N,air,hava
71,Wind::N,wind,yel
72,Wind::N,wind,rüzgâr
73,Welle::N,wave,dalga
74,Wasser::N,water,su
75,Stein::N,stone,taş
76,Boden::N,soil,yer
77,Boden::N,soil,zemin
78,Boden::N,ground,yer
79,Boden::N,ground,zemin
80,Erde::N,earth,toprak
81,Staub::N,dust,toz
82,Rauch::N,smoke,duman
83,Funke::N,spark,kıvılcım
84,Feuer::N,fire,ateş
85,Licht::N,light,ışık
86,Schatten::N,shadow,gölge
87,Wetter::N,weather,hava
88,Nebel::N,fog,pus
89,Wolke::N,cloud,bulut
90,Regen::N,rain,yağmur
91,Schnee::N,snow,kar
92,Eis::N,ice,buz
93,Frost::N,frost,don
94,Kälte::N,chill,soğukluk
95,Hitze::N,heat,sıcaklık
96,Raureif::N,hoarfrost,kırç
97,Regenbogen::N,rainbow,gökkuşağı
98,Donner::N,thunder,gök gürlemesi
99,Strömung::N,current,akıntı
100,Strömung::N,current,cereyan
101,Tropfen::N,drop,damla
102,Schaum::N,foam,köpük
103,Schmutz::N,dirt,çamur
104,Schmutz::N,dirt,pislik
105,See::N,lake,göl
106,Sumpf::N,swamp,batak
107,Moor::N,moor,cılgıt
108,Wiese::N,meadow,çimen
109,Wald::N,forest,koru
110,Wald::N,forest,orman
111,Hügel::N,hill,tepe
112,Anhöhe::N,elevation,tümsek
113,Anhöhe::N,elevation,yükseklik
114,Berg::N,mountain,dağ
115,Gipfel::N,summit,zirve
116,Höhle::N,cave,in
117,Höhle::N,cave,mağara
118,Abhang::N,slope,bayır
119,Quelle::N,source,pınar
120,Quelle::N,source,kaynak
121,Bach::N,brook,çay
122,Bach::N,brook,dere
123,Fluss::N,river,nehir
124,Ufer::N,shore,kıyı
125,Ufer::N,shore,sahil
126,Küste::N,coast,kıyı
127,Küste::N,coast,sahil
128,Festland::N,land,kara
129,Meer::N,sea,deniz
130,Bucht::N,cove,koy
131,Bucht::N,cove,körfez
132,Insel::N,island,ada
133,Blume::N,flower,çiçek
134,Gras::N,grass,ot
135,Gras::N,grass,çim
136,Wurzel::N,root,kök
137,Baum::N,tree,ağaç
138,Stamm::N,trunk,gövde
139,Rinde::N,bark,kabuk
140,Ast::N,limb,dal
141,Ast::N,limb,budak
