,Concept_ID,el,ml
0,Auge::N,μάτι,കണ്ണ്
1,Auge::N,οφθαλμός,കണ്ണ്
2,Ohr::N,αυτί,ചെവി
3,Nase::N,μύτη,മൂക്ക്
4,Mund::N,στόμα,വായ
5,Zahn::N,δόντι,പല്ല്
6,Zunge::N,γλώσσα,നാക്ക്
7,Lippe::N,χείλος,ചുണ്ട്
8,Wange::N,παρειά,കവിൾത്തടം
9,Wange::N,μάγουλο,കവിൾത്തടം
10,Gesicht::N,πρόσωπο,മുഖം
11,Stirn::N,μέτωπο,നെറ്റി
12,Haar::N,μαλλιά,തലമുടി
13,Schnurrbart::N,μουστάκι,മീശ
14,Bart::N,γένια,താടിരോമം
15,Kinn::N,πιγούνι,താടി
16,Kiefer[Anatomie]::N,σαγόνι,താടിയെല്ല്
17,Kehle::N,λαρύγγι,കണ്ഠനാളം
18,Hals::N,λαιμός,കഴുത്ത്
19,Genick::N,σβέρκος,പിടലി
20,Kopf::N,κεφάλι,തല
21,Rücken::N,ράχη,മുതുക്
22,Bauch::N,κοιλιά,നയറ്
23,Nabel::N,αφαλός,നാഭി
24,Busen::N,στήθος,സ്തനം
25,Brust::N,στήθος,സ്തനം
26,Schulter::N,ώμος,തോൾ
27,Arm::N,χέρι,കൈ
28,Arm::N,μπράτςο,കൈ
29,Ellenbogen::N,αγκώνας,കൈമുട്ട്
30,Hand::N,χέρι,കൈ
31,Handfläche::N,παλάμη,ഉള്ളം കൈ
32,Finger::N,δάχτυλο,വിരൽ
33,Fingernagel::N,νύχι,നഖം
34,Nagel[Anatomie]::N,νύχι,നഖം
35,Zeh::N,δάχτυλο του ποδιού,കാൽവിരൽ
36,Fuß::N,πόδι,കാൽപ്പാദം
37,Ferse::N,φτέρνα,ഉപ്പൂറ്റി
38,Knie::N,γόνατο,കാൽമുട്ട്
39,Oberschenkel::N,μηρός,തുട
40,Bein::N,πόδι,കാൽ
41,Körper::N,σώμα,ശരീരം
42,Körper::N,κορμί,ശരീരം
43,Haut::N,πετσί,ചർമ്മം
44,Blut::N,αίμα,രക്തം
45,Ader::N,φλέβα,ഞരമ്പ്
46,Sehne::N,νεύρο,സ്നായു
47,Sehne::N,τένοντας,സ്നായു
48,Knochen::N,οστό,അസ്ഥി
49,Knochen::N,κόκκαλο,അസ്ഥി
50,Gehirn::N,μυαλό,തലച്ചോറ്
51,Gehirn::N,εγκέφαλος,തലച്ചോറ്
52,Herz::N,καρδιά,ഹൃദയം
53,Magen::N,στομάχι,വയർ
54,Leber::N,ήπαρ,കരൾ
55,Leber::N,συκωτί,കരൾ
56,Atem::N,αναπνοή,ശ്വാസം
57,Hunger::N,πείνα,വിശപ്പ്
58,Träne::N,δάκρυ,കണ്ണീർ
59,Geschmack::N,γεύση,രുചി
60,Geruch::N,οσμή,ഗന്ധം
61,Geruch::N,μυρωδία,ഗന്ധം
62,Schlaf::N,ύπνος,ഉറകും
63,Traum::N,όνειρο,സ്വപ്നം
64,Himmel::N,ουρανός,ആകാശം
65,Sonne::N,ήλιος,സൂര്യൻ
66,Mond::N,σελήνη,ചന്ദ്രൻ
67,Mond::N,φεγγάρι,ചന്ദ്രൻ
68,Stern::N,άστρο,നക്ഷത്രം
69,Stern::N,αστέρι,നക്ഷത്രം
70,Luft::N,αέρας,കാറ്റ്
71,Wind::N,αέρας,കാറ്റ്
72,Wind::N,άνεμος,കാറ്റ്
73,Welle::N,κύμα,തിരമാല
74,Wasser::N,νερό,വെള്ളം
75,Stein::N,πέτρα,ശില
76,Stein::N,πέτρα,കല്ല്
77,Boden::N,χώμα,തറ
78,Boden::N,χώμα,നിലം
79,Erde::N,γη,മണ്ണ്
80,Staub::N,σκόνη,പൊടി
81,Rauch::N,καπνός,പുക
82,Funke::N,σπίθα,തീപ്പൊരി
83,Funke::N,σπινθήρας,തീപ്പൊരി
84,Feuer::N,φωτιά,തീ
85,Licht::N,φως,വിളക്ക്
86,Licht::N,φως,സൂര്യപ്രകാശം
87,Schatten::N,σκιά,തണൽ
88,Schatten::N,ίσκιος,തണൽ
89,Wetter::N,καιρός,കാലാവസ്ഥ
90,Nebel::N,ομίχλη,മൂടൽമഞ്ഞ്
91,Wolke::N,σύννεφο,മേഘം
92,Regen::N,βροχή,മഴ
93,Schnee::N,χιόνι,മഞ്ഞ്
94,Eis::N,πάγος,ഐസ്
95,Frost::N,παγωνία,മൂടൽമഞ്ഞ്
96,Kälte::N,κρύο,തണുപ്പ്
97,Kälte::N,ψύχος,തണുപ്പ്
98,Hitze::N,ζέστη,ചൂട്
99,Raureif::N,πάχνη,കോടമഞ്ഞ്
100,Regenbogen::N,ουράνιο τόξο,മഴവില്ല്
101,Donner::N,βροντή,ഇടി
102,Strömung::N,ρεύμα,പ്രവാഹം
103,Tropfen::N,στάλα,തുള്ളി
104,Schaum::N,αφρός,നുര
105,Schmutz::N,βρωμιά,അഴുക്ക്
106,See::N,λίμνη,തടാകം
107,Sumpf::N,βάλτος,ചതുപ്പുനിലം
108,Moor::N,έλος,പാഴ്നിലം
109,Wiese::N,λιβάδι,പുൽത്തകിടി
110,Wald::N,δάσος,വനം
111,Wald::N,δάσος,കാട്
112,Hügel::N,λόφος,കുന്ന്
113,Anhöhe::N,ύψωμα,ഉയർന്ന ഭൂമി
114,Berg::N,όρος,പർവ്വതം
115,Berg::N,βουνό,പർവ്വതം
116,Gipfel::N,κορυφή,ഉച്ചകോടി
117,Höhle::N,σπηλιά,ഗുഹ
118,Abhang::N,πλαγιά,ചരിവ്
119,Quelle::N,πηγή,ഉറവിടം
120,Quelle::N,βρύση,ഉറവിടം
121,Bach::N,ρυάκι,അരുവി
122,Fluss::N,ποτάμι,നദി
123,Fluss::N,ποταμός,നദി
124,Ufer::N,όχθη,തീരം
125,Küste::N,ακτή,കടൽത്തീരം
126,Küste::N,ακρογιαλιά,കടൽത്തീരം
127,Festland::N,στεριά,കര
128,Meer::N,θάλασσα,കടൽ
129,Bucht::N,κόλπος,ഉൾക്കടല്
130,Insel::N,νησί,ദ്വീപ്
131,Insel::N,νήσος,ദ്വീപ്
132,Blume::N,άνθος,പൂവ്
133,Blume::N,λουλούδι,പൂവ്
134,Gras::N,χόρτο,പുല്ല്
135,Gras::N,χορτάρι,പുല്ല്
136,Wurzel::N,ρίζα,വേര്
137,Baum::N,δέντρο,മരം
138,Stamm::N,κορμός,തായ്ത്തടി
139,Rinde::N,φλούδα,പട്ട
140,Ast::N,κλαδί,ശാഖ
141,Zweig::N,κλαδί,ശാഖ
142,Zweig::N,κλάδος,ശാഖ
143,Blatt::N,φύλλο,ഇല
144,Birke::N,σημύδα,പൂവരശ്
145,Kiefer[Baum]::N,πεύκο,പൈൻമരം
146,Weide[Baum]::N,ιτιά,വില്ലോ
147,Tanne::N,έλατο,ദേവദാരു
148,Horn::N,κέρας,മൃഗത്തിൻറെ കൊമ്പ്
149,Horn::N,κέρατο,മൃഗത്തിൻറെ കൊമ്പ്
150,Feder::N,φτερό,തൂവൽ
151,Fell::N,δέρμα,മൃദുരോമം
152,Fell::N,τομάρι,മൃദുരോമം
153,Flügel::N,πτερύγιο,ചിറക്
154,Klaue::N,κουλό,നഖം
155,Kralle::N,νύχι,നഖം
156,Schwanz::N,ουρά,വാൽ
157,Ei::N,αβγό,മുട്ട
158,Nest::N,φωλιά,കൂട്
159,Bau::N,φωλιά,മാളം
160,Tier::N,ζώο,മൃഗം
161,Herde::N,κοπάδι,കൂട്ടം
162,Kuh::N,αγελάδα,പശു
163,Bulle::N,ταύρος,കാള
164,Pferd::N,άλογο,കുതിര
165,Schaf::N,πρόβατο,ആട്
166,Schwein::N,γουρούνι,പന്നി
167,Hund::N,σκυλί,നായ്
168,Hund::N,σκύλος,നായ്
169,Katze::N,γάτα,പൂച്ച
170,Bär::N,άρκτος,കരടി
171,Bär::N,αρκούδα,കരടി
172,Eichhörnchen::N,βερβερίτσα,അണ്ണാൻ
173,Elch::N,άλκη,കടമാന്
174,Fuchs::N,αλεπού,കുറുക്കൻ
175,Hase::N,λαγός,മുയൽ
176,Maus::N,ποντικός,ചുണ്ടലി
177,Wolf::N,λύκος,ചെന്നായ
178,Vogel::N,πουλί,പക്ഷി
179,Schwarm::N,σμήνος,കൂട്ടം
180,Huhn::N,κότα,കോഴി
181,Huhn::N,όρνιθα,കോഴി
182,Hahn::N,πετεινός,പൂവൻകോഴി
183,Gans::N,χήνα,അരയന്നം
184,Adler::N,αετός,കഴുകൻ
185,Ente::N,πάπια,താറാവ്
186,Eule::N,κουκουβάγια,മൂങ്ങ
187,Kranich::N,γερανός,കൊക്ക്
188,Krähe::N,καρακάξα,കാക്ക
189,Kuckuck::N,κούκος,കുയിൽ
190,Schwan::N,κύκνος,അരയന്നം
191,Fisch::N,ψάρι,മത്സ്യം
192,Barsch::N,πέρκα,ഒരിനം മത്സ്യം
193,Hecht::N,λούτσος,ഒരു മത്സ്യം
194,Schlange[Tier]::N,φίδι,പാമ്പ്
195,Wurm::N,σκουλήκι,വിര
196,Spinne::N,αράχνη,ചിലന്തി
197,Ameise::N,μυρμήγκι,ഉറുമ്പ്
198,Laus::N,ψείρα,പേന്
199,Mücke::N,κουνούπι,മശകം
200,Fliege::N,μύγα,ഈച്ച
201,Schmetterling::N,πεταλούδα,ചിത്രശലഭം
202,Beere::N,ρόγα,ബെറി
203,Apfel::N,μήλο,ആപ്പിൾ
204,Pilz::N,μανιτάρι,കൂൺ
