,Concept_ID,de,ga
0,Auge::N,Auge,súil
1,Ohr::N,Ohr,cluas
2,Nase::N,Nase,soc
3,Mund::N,Mund,béal
4,Zahn::N,Zahn,fiacail
5,Zunge::N,Zunge,teanga
6,Lippe::N,Lippe,liopa
7,Wange::N,Wange,grua
8,Wange::N,Wange,leiceann
9,Gesicht::N,Gesicht,éadan
10,Gesicht::N,Gesicht,aghaidh
11,Stirn::N,Stirn,baithis
12,Stirn::N,Stirn,clár éadain
13,Haar::N,Haar,gruaig
14,Schnurrbart::N,Schnurrbart,croiméal
15,Bart::N,Bart,féasóg
16,Kinn::N,Kinn,smig
17,Kiefer[Anatomie]::N,Kiefer,giall
18,Kehle::N,Kehle,scornach
19,Hals::N,Hals,muinéal
20,Genick::N,Genick,baic
21,Kopf::N,Kopf,ceann
22,Rücken::N,Rücken,droim
23,Bauch::N,Bauch,bolg
24,Nabel::N,Nabel,imleacán
25,Busen::N,Busen,cíoch
26,Brust::N,Brust,brollach
27,Schulter::N,Schulter,gualainn
28,Arm::N,Arm,lámh
29,Ellenbogen::N,Ellenbogen,uillinn
30,Hand::N,Hand,lámh
31,Handfläche::N,Handfläche,bos
32,Finger::N,Finger,méar
33,Fingernagel::N,Fingernagel,ionga
34,Nagel[Anatomie]::N,Nagel,ionga
35,Zeh::N,Zeh,ladhar
36,Fuß::N,Fuß,cos
37,Fuß::N,Fuß,troigh
38,Ferse::N,Ferse,sáil
39,Knie::N,Knie,glúin
40,Oberschenkel::N,Oberschenkel,ceathrú
41,Bein::N,Bein,cos
42,Körper::N,Körper,corp
43,Körper::N,Körper,colainn
44,Haut::N,Haut,cneas
45,Haut::N,Haut,craiceann
46,Blut::N,Blut,fuil
47,Ader::N,Ader,
48,Sehne::N,Sehne,teannán
49,Sehne::N,Sehne,féitheog
50,Knochen::N,Knochen,cnámh
51,Gehirn::N,Gehirn,inchinn
52,Herz::N,Herz,croí
53,Magen::N,Magen,bolg
54,Magen::N,Magen,goile
55,Leber::N,Leber,ae
56,Atem::N,Atem,anáil
57,Hunger::N,Hunger,ocras
58,Träne::N,Träne,deoir
59,Geschmack::N,Geschmack,blas
60,Geruch::N,Geruch,boladh
61,Schlaf::N,Schlaf,suan
62,Schlaf::N,Schlaf,codladh
63,Traum::N,Traum,taibhreamh
64,Himmel::N,Himmel,spéir
65,Sonne::N,Sonne,grian
66,Mond::N,Mond,ré
67,Mond::N,Mond,gealach
68,Stern::N,Stern,rinn
69,Stern::N,Stern,réalta
70,Luft::N,Luft,aer
71,Wind::N,Wind,gaoth
72,Welle::N,Welle,tonn
73,Wasser::N,Wasser,uisce
74,Stein::N,Stein,cloch
75,Boden::N,Boden,talamh
76,Erde::N,Erde,cré
77,Erde::N,Erde,ithir
78,Staub::N,Staub,dusta
79,Staub::N,Staub,deannach
80,Rauch::N,Rauch,toit
81,Rauch::N,Rauch,deatach
82,Funke::N,Funke,drithle
83,Feuer::N,Feuer,tine
84,Licht::N,Licht,solas
85,Schatten::N,Schatten,scáth
86,Wetter::N,Wetter,aimsir
87,Nebel::N,Nebel,ceo
88,Wolke::N,Wolke,néal
89,Wolke::N,Wolke,scamall
90,Regen::N,Regen,báisteach
91,Regen::N,Regen,fearthainn
92,Schnee::N,Schnee,sneachta
93,Eis::N,Eis,oighear
94,Frost::N,Frost,sioc
95,Kälte::N,Kälte,fuacht
96,Hitze::N,Hitze,teas
97,Hitze::N,Hitze,teocht
98,Raureif::N,Raureif,sioc bán
99,Regenbogen::N,Regenbogen,stua ceatha
100,Regenbogen::N,Regenbogen,bogha báistí
101,Donner::N,Donner,toirneach
102,Strömung::N,Strömung,sruth
103,Tropfen::N,Tropfen,deoir
104,Schaum::N,Schaum,cúr
105,Schmutz::N,Schmutz,salachar
106,See::N,See,loch
107,Sumpf::N,Sumpf,portach
108,Moor::N,Moor,caorán
109,Moor::N,Moor,móinteán
110,Wiese::N,Wiese,cluain
111,Wiese::N,Wiese,móinéar
112,Wald::N,Wald,coill
113,Wald::N,Wald,foraois
114,Hügel::N,Hügel,ard
115,Anhöhe::N,Anhöhe,ard
116,Anhöhe::N,Anhöhe,ardán
