,Concept_ID,ja,sk
195,Schale::N,皮,šupa
196,Schale::N,皮,škrupina
197,Grube::N,穴,jama
198,Falle::N,わな,pasca
199,Falle::N,わな,klepec
200,Schlinge::N,輪,slučka
201,Spur::N,跡,stopa
202,Asche::N,灰,popol
203,Dreck::N,泥,kal
204,Dreck::N,泥,blato
205,Eisen::N,鉄,železo
206,Gold::N,金,zlato
207,Silber::N,銀,striebro
208,Kohle::N,炭,uhlie
209,Glas::N,ガラス,sklo
210,Lehm::N,ローム,íl
211,Lehm::N,ローム,hlina
212,Sand::N,砂,piesok
213,Mensch::N,人,človek
214,Mann::N,男,muž
215,Mann::N,男,chlap
216,Mann::N,男性,muž
217,Mann::N,男性,chlap
218,Frau::N,女,žena
219,Frau::N,女性,žena
220,Kind::N,子,dieťa
221,Kind::N,子供,dieťa
222,Junge::N,男の子,chlapec
223,Mädchen::N,女の子,dievka
224,Familie::N,家族,rodina
225,Großvater::N,祖父,dedo
226,Großvater::N,祖父,starý otec
227,Großvater::N,おじいさん,dedo
228,Großvater::N,おじいさん,starý otec
229,Großmutter::N,祖母,babička
230,Großmutter::N,祖母,stará mať
231,Großmutter::N,おばあさん,babička
232,Großmutter::N,おばあさん,stará mať
233,Eltern::N,親,rodičia
234,Eltern::N,両親,rodičia
235,Vater::N,父,otec
236,Vater::N,お父さん,otec
237,Mutter::N,母,mať
238,Mutter::N,母,matka
239,Mutter::N,お母さん,mať
240,Mutter::N,お母さん,matka
241,Sohn::N,息子,syn
242,Sohn::N,息子さん,syn
243,Tochter::N,娘,dcéra
244,Tochter::N,お嬢さん,dcéra
245,Bruder::N,弟,brat
246,Schwester::N,妹,sestra
247,Onkel::N,伯父,ujo
248,Onkel::N,伯父,strýko
249,Onkel::N,伯父さん,ujo
250,Onkel::N,伯父さん,strýko
251,Tante::N,叔母,teta
252,Tante::N,叔母,tetka
253,Tante::N,叔母さん,teta
254,Tante::N,叔母さん,tetka
255,Ehemann::N,夫,muž
256,Ehemann::N,夫,manžel
257,Ehemann::N,主人,muž
258,Ehemann::N,主人,manžel
259,Ehefrau::N,妻,žena
260,Ehefrau::N,妻,manželka
261,Ehefrau::N,奥さん,žena
262,Ehefrau::N,奥さん,manželka
263,Freude::N,喜び,radosť
264,Gelächter::N,笑い,smiech
265,Glück::N,幸せ,šťastie
266,Kummer::N,悩み,žiaľ
267,Kummer::N,悩み,zármutok
268,Wunsch::N,希望,prianie
269,Lust::N,気,chuť
270,Geist::N,精神,duch
271,Gedanke::N,考え,myšlienka
272,Gedächtnis::N,記憶,pamäť
273,Verstand::N,理解力,rozum
274,Sinn::N,意味,zmysel
275,Grund::N,理由,dôvod
276,Grund::N,理由,príčina
277,Wahrheit::N,真実,pravda
278,Gespräch::N,会話,reč
279,Gespräch::N,会話,rozhovor
280,Märchen::N,童話,rozprávka
281,Erzählung::N,物語,poviedka
282,Nachricht::N,報告,správa
283,Neuigkeit::N,ニュース,novinka
284,Name::N,名前,meno
285,Rätsel::N,謎,záhada
286,Rätsel::N,謎,hádanka
287,Rede::N,演説,reč
288,Sprache::N,言語,reč
289,Sprache::N,言語,jazyk
290,Stimme::N,声,hlas
291,Wort::N,言葉,slovo
292,Zeichen::N,記号,znak
293,Ruf::N,呼び声,volanie
294,Ruf::N,呼び声,zavolanie
295,Lärm::N,騒音,hluk
296,Lärm::N,騒音,hurhaj
297,Laut::N,音,zvuk
298,Ton::N,音,tón
299,Ton::N,音,zvuk
300,Lied::N,歌,pieseň
301,Ruhe::N,静けさ,pokoj
302,Leute::N,人々,ľudia
303,Volk::N,民族,ľud
304,Volk::N,民族,národ
305,Arbeit::N,仕事,práca
306,Arbeit::N,仕事,robota
307,Gast::N,客,hosť
308,Geschenk::N,贈り物,dar
309,Spiel::N,遊び,hra
310,Gesellschaft::N,社会,spoločnosť
