,Concept_ID,ce,os
0,Auge::N,бӏаьрг,цӕст
1,Ohr::N,лерг,хъус
2,Nase::N,мара,фындз
3,Mund::N,бага,дзых
4,Zahn::N,церг,дӕндаг
5,Zunge::N,мотт,ӕвзаг
6,Lippe::N,балда,был
7,Wange::N,бесни,рус
8,Wange::N,бесни,уадул
9,Wange::N,бесни,ӕхсӕрфарс
10,Gesicht::N,юьхь,цӕсгом
11,Stirn::N,хьаж,ных
12,Haar::N,мас,хил
13,Schnurrbart::N,мекх,рихи
14,Bart::N,маж,зачъе
15,Kinn::N,чӏениг,роцъо
16,Kiefer[Anatomie]::N,мочхал,ӕфсӕр
17,Kehle::N,къамкъарг,хъуыр
18,Hals::N,ворта,къубал
19,Genick::N,кӏесаркӏаг,къӕбут
20,Kopf::N,корта,сӕр
21,Rücken::N,букъ,фӕсонтӕ
22,Bauch::N,кийра,гуыбын
23,Nabel::N,цӏонга,бикъ
24,Busen::N,зударийн накха,дзидзи
25,Brust::N,накха,риу
26,Schulter::N,белш,уӕхск
27,Arm::N,пхьарс,цонг
28,Ellenbogen::N,пхьаьрсан гола,рæмбын
29,Hand::N,куьг,къух
30,Handfläche::N,кераюкъ,армытъӕпӕн
31,Finger::N,пӏелг,ӕнруылдз
32,Fingernagel::N,мӏара,ных
33,Nagel[Anatomie]::N,мӏара,ных
34,Zeh::N,кога пӏелг,къух
35,Fuß::N,ког,фад
36,Ferse::N,кӏажа,зӕвӕт
37,Knie::N,гола,уӕраг
38,Oberschenkel::N,варе,агъд
39,Bein::N,ког,зӕнг
40,Körper::N,хӏума,буар
41,Haut::N,чкъор,царм
42,Blut::N,цӏий,туг
43,Ader::N,пха,дадзин
44,Ader::N,пха,тугдадзин
45,Sehne::N,хьорзам,хъиутæ
46,Sehne::N,хьорзам,нуар
47,Knochen::N,даьӏахк,стӕг
48,Gehirn::N,хье,магъз
49,Herz::N,дог,зӕрдӕ
50,Magen::N,зорх,ахсӕн
51,Leber::N,доӏах,игæр
52,Atem::N,садеӏар,улӕфт
53,Hunger::N,мацалла,стонг
54,Träne::N,бӏаьрхи,цæссыг
55,Geschmack::N,чам,ад
56,Geruch::N,хьожа,смаг
57,Schlaf::N,наб,хуыссӕг
58,Traum::N,гӏан,фын
59,Himmel::N,стигал,арв
60,Himmel::N,стигал,уӕларв
61,Sonne::N,малх,хур
62,Mond::N,бутт,мӕй
63,Stern::N,седа,стъалы
64,Luft::N,xӏаваъ,уӕлдӕф
65,Wind::N,мох,дымгӕ
66,Welle::N,тулгӏе,уылӕн
67,Wasser::N,хи,дон
68,Stein::N,тӏулг,дур
69,Boden::N,цӏенкъа,зӕхх
70,Erde::N,латта,сыджыт
71,Staub::N,чан,рыг
72,Rauch::N,кӏур,фӕздӕг
73,Funke::N,суй,цӕхӕр
74,Feuer::N,цӏе,зынг
75,Licht::N,серло,рухс
76,Schatten::N,ӏиндагӏ,аууон
77,Wetter::N,хенан хӏоттам,боныхъӕд
78,Nebel::N,дохк,мигъ
79,Wolke::N,марха,ӕврагъ
80,Regen::N,догӏа,уарын
81,Schnee::N,ло,мит
82,Eis::N,ша,их
83,Frost::N,шело,ихæн
84,Kälte::N,шело,уазал
85,Hitze::N,йовхо,ӕнтӕф
86,Raureif::N,йис,халас
87,Regenbogen::N,стелаӏад,арвырон
88,Regenbogen::N,стелаӏад,арвырдын
89,Donner::N,ткъес,æрвнæрын
90,Strömung::N,дӏаэхар,цыд
91,Strömung::N,дӏасалелар,цыд
92,Tropfen::N,тӏадам,æртах
93,Schaum::N,чопа,фынк
94,Schmutz::N,хатт,цъыф
95,See::N,ӏам,цад
96,Sumpf::N,уьшал,цъыфдзаст
97,Moor::N,уьшал,цъыфдзаст
98,Wiese::N,бай,уыгӕрдӕн
99,Wald::N,хьун,хъӕд
100,Hügel::N,гу,обау
101,Hügel::N,гу,къуыбыр
102,Hügel::N,шу,обау
103,Hügel::N,шу,къуыбыр
104,Hügel::N,барз,обау
105,Hügel::N,барз,къуыбыр
106,Anhöhe::N,акъари,уæлвæз
107,Anhöhe::N,акъари,уæлхох
108,Berg::N,лам,хох
109,Gipfel::N,бохь,цъупп
110,Höhle::N,хьех,лӕгӕт
111,Abhang::N,басе,къул
112,Quelle::N,шовда,суадон
113,Bach::N,татол,мӕсчъыдон
114,Fluss::N,хи,дон
115,Fluss::N,хи,цӕугӕдон
116,Ufer::N,хийист,был
117,Küste::N,йист,донбыл
118,Festland::N,латта,сурзæхх
119,Meer::N,xӏорд,денджыз
120,Bucht::N,чож,донбакæлæн
121,Insel::N,гӏайре,сакъадах
122,Blume::N,зезаг,дидинӕг
123,Gras::N,буц,кӕрдӕг
124,Wurzel::N,орам,уидаг
125,Baum::N,дитт,бӕлас
126,Stamm::N,гӏад,хӕтӕл
127,Stamm::N,тайпа,хӕтӕл
128,Rinde::N,кевстиг,цъар
129,Ast::N,га,арх
130,Zweig::N,га,къалиу
131,Blatt::N,гӏа,сыф
132,Birke::N,дакх,бæрз
133,Kiefer[Baum]::N,бага,нӕзы
134,Weide[Baum]::N,дак,хӕрис
135,Tanne::N,база,наз
136,Horn::N,маӏа,сыкъа
137,Feder::N,пелаг,сис
138,Fell::N,цӏока,царм
139,Flügel::N,тӏам,базыр
140,Klaue::N,мӏара,ных
141,Kralle::N,тlод,дзӕмбы
142,Schwanz::N,цӏога,къӕдзил
143,Ei::N,xӏoa,айк
144,Nest::N,бен,ахстон
145,Bau::N,lуьрг,хуынкъ
146,Tier::N,дийнат,сырд
147,Tier::N,дийнат,цӕрӕгой
148,Herde::N,жа,дзуг
