,Concept_ID,ku,vep
0,Auge::N,çav,sil'm
1,Ohr::N,guh,korv
2,Nase::N,bêvil,nena
3,Mund::N,dev,su
4,Zahn::N,didan,pi
5,Zahn::N,didan,hambaz
6,Zunge::N,ziman,kel'
7,Lippe::N,lêv,hul'
8,Wange::N,dêm,modpolišk
9,Wange::N,hinarik,modpolišk
10,Gesicht::N,rû,mod
11,Stirn::N,enî,oc
12,Haar::N,por,tuk
13,Haar::N,por,hibuz
14,Schnurrbart::N,simbêl,habinod
15,Bart::N,rih,bard
16,Kinn::N,zenî,löug
17,Kiefer[Anatomie]::N,arguşk,hambazlu
18,Kehle::N,qirik,kurk
19,Hals::N,stû,kagl
20,Hals::N,qirik,kagl
21,Genick::N,stû,tagarai
22,Kopf::N,serî,pä
23,Rücken::N,pişt,sel'g
24,Bauch::N,ûr,vac
25,Bauch::N,ûr,koht
26,Bauch::N,zik,vac
27,Bauch::N,zik,koht
28,Nabel::N,navik,naba
29,Busen::N,sîng,niža
30,Brust::N,sîng,rind
31,Schulter::N,mil,oug
32,Arm::N,çepil,käzi
33,Ellenbogen::N,enîşk,künambruz
34,Hand::N,dest,käzi
35,Hand::N,dest,käzitera
36,Handfläche::N,kefadest,kämen
37,Finger::N,tilî,sor'm
38,Fingernagel::N,neynuk,künz'
39,Nagel[Anatomie]::N,bizmar,künz'
40,Zeh::N,tilî linga,barbaz
41,Fuß::N,ling,jaug
42,Ferse::N,pahnî,kand
43,Knie::N,kabok,komb
44,Knie::N,kabok,pol'v
45,Oberschenkel::N,rahn,riiže
46,Bein::N,çip,jaug
47,Körper::N,laş,hibj
48,Körper::N,gowde,hibj
49,Haut::N,çerm,nahk
50,Blut::N,xwîn,čak
51,Blut::N,xwîn,veri
52,Ader::N,reh,son'
53,Sehne::N,reh,jände
54,Knochen::N,hestî,lu
55,Gehirn::N,mêjî,aivod
56,Herz::N,dil,südäin
57,Magen::N,navêş,südäikoht
58,Leber::N,kezeb,maks
59,Atem::N,hilm,hengaiduz
60,Hunger::N,birçîtî,näl'g
61,Träne::N,hêstir,kündal'
62,Geschmack::N,tam,magu
63,Geruch::N,bêhn,haju
64,Schlaf::N,xew,uni
65,Traum::N,xewn,unikuva
66,Himmel::N,ezman,taivaz
67,Sonne::N,roj,päiväine
68,Mond::N,heyv,kudmaine
69,Stern::N,stêrk,tähtaz
70,Luft::N,ba,il'm
71,Wind::N,ba,döl
72,Wind::N,ba,tullei
73,Welle::N,şewl,ald
74,Welle::N,şewl,laineh
75,Wasser::N,av,vezi
76,Stein::N,kevir,kivi
77,Boden::N,herd,ma
78,Boden::N,herd,pohj
79,Erde::N,ax,ma
80,Staub::N,toz,pölü
81,Rauch::N,dû,savu
82,Funke::N,çirûşk,kibin
83,Feuer::N,agir,lämoi
84,Licht::N,ronahî,vauktuz
85,Schatten::N,sî,pil'vez
86,Schatten::N,sî,kuvahaine
87,Wetter::N,hewa,sä
88,Nebel::N,mij,sumeg
89,Wolke::N,ewr,pil'v
90,Regen::N,baran,vihm
91,Schnee::N,berf,lumi
92,Eis::N,qeşa,jä
93,Frost::N,xûsik,hala
94,Frost::N,xûsik,pakaine
95,Kälte::N,serma,vilu
96,Hitze::N,germayî,räk
97,Raureif::N,şext,hüde
98,Regenbogen::N,heftreng,jumalanbembel'
99,Donner::N,gire-gir,juru
100,Donner::N,gire-gir,jumalanjuru
101,Strömung::N,şewl,joksmuz
102,Tropfen::N,dilop,tilkuine
103,Schaum::N,kef,vaht
104,Schmutz::N,gemar,redu
105,Schmutz::N,gemar,pačak
106,See::N,gol,järv
107,Sumpf::N,hezek,so
108,Moor::N,mafêl,so
109,Wiese::N,sûrik,nit
110,Wald::N,çiya,mec
111,Wald::N,daristan,mec
112,Hügel::N,gir,kukaz
113,Anhöhe::N,sere gir,kukaz
114,Berg::N,kaş,mägi
