,Concept_ID,et,cs
0,Auge::N,silm,oko
1,Ohr::N,kõrv,ucho
2,Nase::N,nina,nos
3,Mund::N,suu,pusa
4,Zahn::N,hammas,zub
5,Zunge::N,keel,jazyk
6,Lippe::N,huul,ret
7,Wange::N,põsk,tvář
8,Gesicht::N,nägu,obličej
9,Stirn::N,otsmik,čelo
10,Haar::N,juus,vlas
11,Haar::N,juus,vlasy
12,Schnurrbart::N,vurrud,kníry
13,Schnurrbart::N,vuntsid,kníry
14,Bart::N,habe,vousy
15,Kinn::N,lõug,brada
16,Kiefer[Anatomie]::N,lõualuu,čelist
17,Kehle::N,kõri,hrdlo
18,Hals::N,kael,krk
19,Genick::N,kukal,týl
20,Kopf::N,pea,hlava
21,Rücken::N,selg,záda
22,Rücken::N,selg,hřbet
23,Bauch::N,kõht,břicho
24,Nabel::N,naba,pupek
25,Busen::N,rind,ňadra
26,Brust::N,rind,prsa
27,Schulter::N,õlg,plece
28,Schulter::N,õlg,rameno
29,Arm::N,käsivars,ruka
30,Ellenbogen::N,küünarnukk,loket
31,Hand::N,käsi,ruka
32,Handfläche::N,pihk,dlaň
33,Finger::N,sõrm,prst
34,Fingernagel::N,küüs,nehet
35,Nagel[Anatomie]::N,küüs,nehet
36,Zeh::N,varvas,prst u nohy
37,Fuß::N,jalg,noha
38,Ferse::N,kand,pata
39,Knie::N,põlv,koleno
40,Oberschenkel::N,reis,stehno
41,Bein::N,jalg,noha
42,Körper::N,ihu,tělo
43,Körper::N,keha,tělo
44,Haut::N,nahk,kůže
45,Blut::N,veri,krev
46,Ader::N,veen,céva
47,Sehne::N,kõõlus,šlacha
48,Knochen::N,luu,kost
49,Gehirn::N,aju,mozek
50,Herz::N,süda,srdce
51,Magen::N,magu,žaludek
52,Leber::N,maks,játra
53,Atem::N,hingeõhk,dech
54,Atem::N,hingamine,dech
55,Hunger::N,nälg,hlad
56,Träne::N,pisar,slza
57,Geschmack::N,maitse,vkus
58,Geruch::N,lõhn,vůně
59,Geruch::N,lõhn,zápach
60,Schlaf::N,uni,spánek
61,Traum::N,unenägu,sen
62,Himmel::N,taevas,nebe
63,Sonne::N,päike,slunce
64,Mond::N,kuu,měsíc
65,Stern::N,täht,hvězda
66,Luft::N,õhk,vzduch
67,Wind::N,tuul,vítr
68,Welle::N,laine,vlna
69,Wasser::N,vesi,voda
70,Stein::N,kivi,kámen
71,Boden::N,maa,půda
72,Boden::N,pinnas,půda
73,Erde::N,maa,země
74,Staub::N,põrm,prach
75,Rauch::N,suits,dým
76,Rauch::N,suits,kouř
77,Funke::N,säde,jiskra
78,Feuer::N,tuli,oheň
79,Licht::N,valgus,světlo
80,Schatten::N,vari,stín
81,Wetter::N,ilm,počasí
82,Nebel::N,udu,mlha
83,Wolke::N,pilv,mrak
84,Wolke::N,pilv,oblak
85,Regen::N,sadu,déšť
86,Schnee::N,lumi,sníh
87,Eis::N,jää,led
88,Frost::N,pakane,mráz
89,Kälte::N,külm,chlad
90,Kälte::N,külmus,chlad
91,Hitze::N,kuumus,horko
92,Hitze::N,palavus,horko
93,Raureif::N,härmatis,jinovatka
94,Regenbogen::N,vikerkaar,duha
95,Donner::N,kõu,hrom
96,Donner::N,müristamine,hrom
97,Strömung::N,voolus,proudění
98,Strömung::N,jõevool,proudění
99,Tropfen::N,tilk,kapka
100,Schaum::N,vaht,pěna
101,Schmutz::N,pori,špína
102,Schmutz::N,mustus,špína
103,See::N,järv,jezero
104,Sumpf::N,soo,močál
105,Sumpf::N,soo,bažina
106,Moor::N,raba,bažina
107,Moor::N,raba,slatina
108,Wiese::N,aas,louka
109,Wiese::N,nurm,louka
110,Wald::N,mets,les
111,Hügel::N,küngas,kopec
112,Anhöhe::N,küngas,pahorek
113,Berg::N,mägi,hora
114,Gipfel::N,mäetipp,vrchol
115,Höhle::N,koobas,jeskyně
116,Abhang::N,nõlvak,svah
117,Abhang::N,nõlvak,stráň
118,Quelle::N,allikas,pramen
119,Bach::N,oja,potok
120,Fluss::N,jõgi,řeka
121,Ufer::N,kallas,břeh
122,Küste::N,rannik,pobřeží
123,Festland::N,mander,souš
124,Festland::N,mander,pevnina
125,Festland::N,maismaa,souš
126,Festland::N,maismaa,pevnina
127,Meer::N,meri,moře
128,Bucht::N,laht,záliv
129,Bucht::N,laht,zátoka
130,Insel::N,saar,ostrov
131,Blume::N,lill,květina
132,Gras::N,rohi,tráva
133,Wurzel::N,juur,kořen
134,Baum::N,puu,strom
135,Stamm::N,tüvi,kmen
136,Rinde::N,koor,kůra
137,Ast::N,oks,větev
138,Zweig::N,oks,větev
139,Blatt::N,leht,lupen
140,Birke::N,kask,bříza
141,Kiefer[Baum]::N,mänd,sosna
142,Kiefer[Baum]::N,mänd,borovice
143,Weide[Baum]::N,paju,vrba
144,Tanne::N,nulg,jedle
145,Horn::N,sarv,roh
146,Feder::N,sulg,pero
147,Fell::N,karvkate,srst
148,Fell::N,karusnahk,srst
149,Flügel::N,tiib,křídlo
150,Flügel::N,tiivik,křídlo
151,Klaue::N,küüs,dráp
152,Klaue::N,küüs,pazneht
153,Kralle::N,küünis,dráp
154,Schwanz::N,saba,ocas
155,Ei::N,muna,vejce
156,Nest::N,pesa,hnízdo
157,Bau::N,urg,nora
158,Tier::N,loom,zvíře
159,Herde::N,kari,stádo
160,Kuh::N,lehm,kráva
161,Bulle::N,pull,býk
162,Pferd::N,hobune,kůň
163,Schaf::N,lammas,ovce
164,Schwein::N,siga,vepř
165,Schwein::N,siga,prase
166,Hund::N,koer,pes
167,Katze::N,kass,kočka
168,Bär::N,karu,medvěd
169,Eichhörnchen::N,orav,veverka
170,Elch::N,põder,los
171,Fuchs::N,rebane,liška
172,Hase::N,jänes,zajíc
173,Maus::N,hiir,myš
174,Wolf::N,hunt,vlk
175,Vogel::N,lind,pták
176,Schwarm::N,parv,roj
177,Schwarm::N,parv,hejno
178,Huhn::N,kana,kuře
179,Huhn::N,kana,slepice
180,Hahn::N,kukk,kohout
181,Gans::N,hani,husa
182,Adler::N,kotkas,orel
183,Ente::N,part,kachna
184,Eule::N,kakk,sova
185,Eule::N,öökull,sova
186,Kranich::N,kurg,jeřáb
187,Krähe::N,vares,vrána
188,Kuckuck::N,kägu,kukačka
189,Schwan::N,luik,labuť
190,Fisch::N,kala,ryba
191,Barsch::N,ahven,okoun
192,Hecht::N,haug,štika
193,Schlange[Tier]::N,uss,had
194,Wurm::N,uss,červ
195,Wurm::N,vagel,červ
196,Spinne::N,ämblik,pavouk
197,Ameise::N,sipelgas,mravenec
198,Laus::N,täi,veš
199,Mücke::N,sääsk,komár
200,Fliege::N,kärbes,moucha
201,Schmetterling::N,liblikas,motýl
202,Beere::N,mari,bobule
203,Apfel::N,õun,jablko
204,Pilz::N,seen,houba
205,Zwiebel::N,sibul,cibule
206,Saat::N,seeme,osivo
207,Korn::N,iva,zrno
208,Korn::N,tera,zrno
209,Heu::N,hein,seno
210,Schale::N,koor,slupka
211,Schale::N,koor,skořápka
212,Grube::N,kaevand,jáma
213,Falle::N,lõks,past
214,Falle::N,lõks,léčka
215,Falle::N,püünis,past
216,Falle::N,püünis,léčka
217,Schlinge::N,aas,smyčka
218,Spur::N,jälg,stopa
219,Asche::N,tuhk,popel
220,Dreck::N,saast,špína
221,Dreck::N,mustus,špína
222,Eisen::N,raud,železo
223,Gold::N,kuld,zlato
224,Silber::N,hõbe,stříbro
225,Kohle::N,süsi,uhlí
226,Glas::N,klaas,sklo
227,Lehm::N,savi,jíl
228,Lehm::N,savi,hlína
229,Sand::N,liiv,písek
