,Concept_ID,lez,kl
0,Auge::N,вил,isi
1,Ohr::N,яб,siut
2,Nase::N,нер,
3,Mund::N,сив,paaq
4,Mund::N,сив,qaneq
5,Zahn::N,сас,kigut
6,Zahn::N,свах,kigut
7,Zunge::N,мез,oqaq
8,Lippe::N,пӏуз,qarloq
9,Wange::N,хъвехъ,ersaq
10,Gesicht::N,ччин,kiinaq
11,Stirn::N,пел,qaaq
12,Haar::N,чӏар,meqqoq
13,Schnurrbart::N,спел,
14,Schnurrbart::N,спелар,
15,Bart::N,ччуру,umik
16,Kinn::N,чене,talloq
17,Kiefer[Anatomie]::N,чене,alleroq
18,Kehle::N,туьд,malaq
19,Hals::N,гардан,qungaseq
20,Genick::N,кьам,pukusuk
21,Kopf::N,кьил,niaqoq
22,Rücken::N,далу,qimerlut
23,Bauch::N,руфун,naaq
24,Nabel::N,пицӏ,qalaseq
25,Busen::N,мам,iviangeq
26,Brust::N,хур,iviangeq
27,Schulter::N,къуьн,ersik
28,Schulter::N,къуьн,assaqqoq
29,Arm::N,гъил,taleq
30,Ellenbogen::N,кьуьнт,ikusik
31,Hand::N,капаш,assak
32,Handfläche::N,капан юкь,itumak
33,Finger::N,тӏуб,inuak
34,Fingernagel::N,кек,kikiak
35,Nagel[Anatomie]::N,кек,kukik
36,Zeh::N,кул,isigak
37,Fuß::N,кӏвач,
38,Ferse::N,дабан,kimmik
39,Knie::N,мет,seeqqoq
40,Bein::N,кӏвач,isigak
41,Körper::N,беден,timi
42,Haut::N,хам,mattak
43,Blut::N,иви,aak
44,Ader::N,дамар,taqaq
45,Sehne::N,кьуру дамар,ujalu
46,Sehne::N,кьуру дамар,ujaloq
47,Knochen::N,кӏараб,saanikut
48,Gehirn::N,мефт,qarasaq
49,Herz::N,рикӏ,uummat
50,Magen::N,хук,aqajaroq
51,Leber::N,лекь,tinguk
52,Atem::N,ял,anerneq
53,Atem::N,нефес,anerneq
54,Hunger::N,каш,kaanneq
55,Träne::N,вилин нагъв,qia
56,Träne::N,вилин нагъв,qiak
57,Geschmack::N,дад,qilanaartuut
58,Geschmack::N,тӏям,qilanaartuut
59,Geruch::N,ни,tipi
60,Geruch::N,ни,tipik
61,Schlaf::N,ахвар,
62,Traum::N,ахвар,sinnattoq
63,Traum::N,ахвар,sinnattugaq
64,Himmel::N,цав,qilak
65,Sonne::N,рагъ,seqineq
66,Mond::N,варз,qaammat
67,Stern::N,гъед,ulloriaq
68,Luft::N,гьава,silaannaq
69,Wind::N,гар,anori
70,Wind::N,гар,anorsarik
71,Welle::N,лепе,aalappaa
72,Wasser::N,яд,imeq
73,Stein::N,къван,ujarak
74,Boden::N,накьв,nateq
75,Erde::N,ччил,issoq
76,Staub::N,руг,pujualanerit
77,Staub::N,руг,pujoralanerit
78,Rauch::N,гум,iseq
79,Rauch::N,гум,pujoq
80,Funke::N,цӏелхем,illoorneq
81,Feuer::N,цӏай,inneq
82,Licht::N,экв,qaamaneq
83,Schatten::N,серин,tarraq
84,Wetter::N,гьава,sila
85,Nebel::N,ччилин циф,pujoq
86,Wolke::N,циф,nuia
87,Regen::N,марф,sialuk
88,Schnee::N,жив,aput
89,Eis::N,мурк,siku
90,Frost::N,аяз,issi
91,Frost::N,аяз,issik
92,Kälte::N,мекь,issi
93,Kälte::N,мекьивал,issi
94,Hitze::N,зегьем,kianneq
95,Hitze::N,зегьем,kiassuseq
96,Raureif::N,къирав,kaneq
97,Regenbogen::N,яргъируш,neriusaaq
98,Donner::N,цавун ван,kalleq
99,Tropfen::N,стӏал,kuseriarneq
100,Schaum::N,каф,qapuk
101,Schmutz::N,чирк,minguk
102,Schmutz::N,кьуруш,minguk
103,See::N,вир,taseq
104,Sumpf::N,уьлен,maqulluk
105,Wiese::N,векь,masarsuk
106,Wald::N,там,
107,Hügel::N,кӏунтӏ,qattuneq
108,Hügel::N,кӏунтӏ,majuariaq
109,Hügel::N,кӏунтӏ,majorajaaq
110,Hügel::N,кӏунтӏ,qaqqannguaq
111,Anhöhe::N,тепе,
112,Anhöhe::N,гьуьндуьрвал,
113,Berg::N,дагъ,qaqqaq
114,Gipfel::N,кӏукӏ,
115,Höhle::N,кьветӏ,qaarusuk
116,Abhang::N,гуьне,ippik
117,Abhang::N,гуьне,sivinganeq
118,Abhang::N,гуьне,sivingajaaq
119,Abhang::N,гуьне,kussangajaaq
120,Quelle::N,чешме,
121,Bach::N,булах,kuunnguaq
122,Fluss::N,вацӏ,kuuk
123,Ufer::N,къерех,sissap sinaa
124,Küste::N,къерех,sineriak
125,Festland::N,кьурамат,
126,Meer::N,гьуьл,imaq
127,Bucht::N,бухта,ikeq
128,Bucht::N,бухта,kangerluk
129,Bucht::N,бухта,kangerliumaneq
130,Insel::N,остров,qeqertaq
131,Blume::N,цуьк,naasoq
132,Gras::N,хъач,ivigaq
133,Wurzel::N,дувул,niulutaq
134,Baum::N,ттар,orpik
135,Stamm::N,тан,kanaartaq
136,Rinde::N,чкал,ameraq
137,Ast::N,тӏур,avalequt
138,Zweig::N,хел,avalequt
139,Blatt::N,пеш,pilutaq
140,Birke::N,верх,patitsit
141,Kiefer[Baum]::N,шамагъаж,
142,Weide[Baum]::N,цӏвелин ттар,palleq
143,Tanne::N,ель,orsuerneq
144,Horn::N,карч,nassuk
145,Feder::N,цӏакул,suluk
146,Fell::N,хам,ameq
147,Flügel::N,лув,suluk
148,Flügel::N,лув,isaroq
149,Klaue::N,къармах,kukik
150,Kralle::N,пац,kukik
151,Kralle::N,тапас,kukik
152,Schwanz::N,ттум,pamioq
153,Schwanz::N,ттум,paperuusaq
154,Ei::N,кака,mannik
155,Nest::N,муг,ullut
156,Bau::N,тӏеквен,ini
157,Tier::N,гьайван,uumasoq
158,Herde::N,суьруь,unguukkat
159,Kuh::N,ккал,ussik
160,Bulle::N,яц,angukulak
161,Bulle::N,яц,anguteralak
162,Bulle::N,яц,angutikulooq
163,Bulle::N,бугъа,angukulak
164,Bulle::N,бугъа,anguteralak
165,Bulle::N,бугъа,angutikulooq
166,Pferd::N,балкӏан,
167,Schaf::N,хеб,sava
168,Schwein::N,вак,puuluki
169,Hund::N,кицӏ,qimmeq
170,Katze::N,кац,puisaaq
171,Bär::N,сев,allaq
172,Eichhörnchen::N,белка,sissinnguaq
173,Elch::N,лось,
174,Fuchs::N,сикӏ,terianniaq
175,Hase::N,къуьр,ukaleq
176,Maus::N,кьиф,teriannguaq
177,Wolf::N,жанавур,amaroq
178,Vogel::N,луван ничхир,timmiaq
179,Schwarm::N,луж,
180,Huhn::N,верч,kukkukooq
181,Huhn::N,верч,marloraaqaaq
182,Hahn::N,кӏек,kiasiusaq
183,Gans::N,къаз,nerleq
184,Adler::N,лекь,nattoralik
185,Ente::N,пӏатӏ,
186,Eule::N,тӏиб,uppik
187,Kranich::N,дурна,qorlorfik
188,Krähe::N,къаргъа,tuluatsiaq
189,Kuckuck::N,кукупӏ,kukkooq
190,Schwan::N,къугь,qussuk
191,Fisch::N,гъед,aalisagaq
192,Barsch::N,окунь,
193,Hecht::N,щука,
194,Schlange[Tier]::N,илан,pulateriarsuk
195,Schlange[Tier]::N,илан,pulateriaarsuk
196,Schlange[Tier]::N,гъуьлягъ,pulateriarsuk
197,Schlange[Tier]::N,гъуьлягъ,pulateriaarsuk
198,Wurm::N,квак,
199,Spinne::N,хуьшрекан,aasiaq
200,Spinne::N,хуьшрекан,nissavaarsuk
201,Ameise::N,цегв,uniaaluk
202,Laus::N,нет,kumak
203,Mücke::N,ветӏ,ippernaq
204,Fliege::N,тӏветӏ,ippernaq
205,Schmetterling::N,чепелукь,paluaq
206,Schmetterling::N,чепелукь,pakkaluaq
207,Schmetterling::N,чепелукь,utsuppaluaq
208,Schmetterling::N,чепелукь,taqaleqisaaq
209,Beere::N,куьлуь емиш,paarmaq
210,Beere::N,куьлуь емиш,paarngaq
211,Apfel::N,ич,iipili
212,Pilz::N,къарникъуз,anngiusaq
213,Zwiebel::N,чичӏек,uanitsoq
214,Saat::N,тумар,naatsiiassaq
215,Korn::N,твар,maannineq
216,Heu::N,векь,
217,Heu::N,векьер,
218,Schale::N,пириш,niutsivik
219,Schale::N,пириш,ilulissaq qaartussaq
220,Schale::N,хъуьруьш,niutsivik
221,Schale::N,хъуьруьш,ilulissaq qaartussaq
222,Grube::N,фур,itersaq
223,Falle::N,ракьар,pualavoq
224,Schlinge::N,гьалкъа,orseq
225,Schlinge::N,гьалкъа,norloq
226,Spur::N,гел,tumaa
227,Asche::N,руьхъ,arsat
228,Dreck::N,чирк,minguk
229,Dreck::N,кьуруш,minguk
230,Eisen::N,ракь,savimineq
231,Eisen::N,ракь,saffiugassaq
232,Gold::N,алтун,kuulti
233,Silber::N,гимиш,siilviuvoq
234,Kohle::N,цӏивин,aamarsuit aamaruutissat
235,Glas::N,шуьше,igalaaq
236,Glas::N,шуьше,imertarfik
237,Glas::N,шуьше,igalaamineq
238,Lehm::N,ччеб,marraq
239,Sand::N,къум,sioqqat
240,Mensch::N,инсан,inuk
241,Mensch::N,инсан,silamiu
242,Mann::N,итим,angut
243,Frau::N,паб,arnaq
244,Frau::N,дишегьли,arnaq
245,Kind::N,аял,meeraq
246,Junge::N,гада,nukappiaraq
247,Mädchen::N,руш,arnannguaq
248,Familie::N,хзан,ilaqutakka
249,Familie::N,хзан,ilaqutariit
250,Familie::N,килфет,ilaqutakka
251,Familie::N,килфет,ilaqutariit
252,Großvater::N,чӏехи буба,aatak
253,Großmutter::N,чӏехи диде,aanaq
254,Eltern::N,диде-буба,angajoqqaat
255,Vater::N,буба,ataata
256,Vater::N,буба,ataataq
257,Mutter::N,диде,anaana
258,Sohn::N,хва,erneq
259,Tochter::N,руш,panik
260,Bruder::N,стха,ani
261,Bruder::N,стха,aqqaluk
262,Bruder::N,стха,qatanngut
263,Schwester::N,вах,naja
264,Schwester::N,вах,aleqa
265,Schwester::N,вах,qatanngut
266,Onkel::N,ими,akkak
267,Onkel::N,халу,akkak
268,Tante::N,эме,aja
269,Tante::N,эме,ajak
270,Tante::N,эме,atsak
271,Tante::N,хала,aja
272,Tante::N,хала,ajak
273,Tante::N,хала,atsak
274,Ehemann::N,гъуьл,ui
275,Ehefrau::N,паб,nuliaq
276,Freude::N,шадвал,tipaatsussuseq
277,Gelächter::N,хъвер,illaq
278,Glück::N,бахт,usornaat
279,Glück::N,бахт,usornarsuseq
280,Kummer::N,дерт,
281,Kummer::N,хажалат,
282,Wunsch::N,мурад,kissaat
283,Lust::N,гьевес,illigussuseq
284,Lust::N,гьевес,piummaseq
285,Geist::N,руьгь,anerneq
286,Geist::N,руьгь,toornaq
287,Gedanke::N,фикир,isumassaq
288,Verstand::N,акьул,isuma
289,Verstand::N,акьул,sianissut
290,Verstand::N,акьул,misigissut
291,Verstand::N,акьул,sianissuseq
292,Verstand::N,акьул,silaqassuseq
293,Sinn::N,мана,isuma
294,Grund::N,себеб,patsit
295,Wahrheit::N,керчек,sallusuissut
296,Wahrheit::N,гьакъикъат,sallusuissut
297,Gespräch::N,ихтилат,
298,Märchen::N,мах,oqalualaarut
299,Märchen::N,мах,oqaluasaaq
300,Erzählung::N,кьиса,oqaluttuaq
301,Nachricht::N,хабар,oqaassut
302,Nachricht::N,хабар,oqqersuut
303,Neuigkeit::N,цӏийи хабар,tusarnartaq
304,Name::N,тӏвар,ateq
305,Rätsel::N,мискӏал,nalorsitsaarut
306,Rede::N,рахун,oqaluuseq
307,Sprache::N,чӏал,oqaatsit
308,Stimme::N,ван,erinaq
309,Stimme::N,ван,qarluuseq
310,Wort::N,гаф,oqaasii
311,Zeichen::N,ишара,nalunaaqqut
312,Ruf::N,эвер,qaaqqussut
313,Lärm::N,ван-сес,perpaluk
314,Laut::N,ван,torsukattak
315,Laut::N,сес,torsukattak
316,Ton::N,ван-сес,erinaq
317,Lied::N,мани,taalliaq
318,Lied::N,мани,erinarsuut
319,Ruhe::N,ласвал,qatsunganeq
320,Ruhe::N,фаракъат,qatsunganeq
321,Ruhe::N,асайиш,qatsunganeq
322,Leute::N,инсанар,inuiak
323,Leute::N,инсанар,inuiaqatigiit
324,Volk::N,халкь,inuiaat
325,Arbeit::N,кӏвалах,suliaq
326,Gast::N,мугьман,qaaqqusaq
327,Geschenk::N,савкьат,pajugut
328,Spiel::N,къугъун,
329,Gesellschaft::N,жемят,
330,Gesellschaft::N,общество,
331,Hilfe::N,куьмек,annertoqqut
332,Freund::N,дуст,tiliaq
333,Freund::N,дуст,ikinngut
334,Kamerad::N,яр-дуст,tiliaq
335,Kamerad::N,яр-дуст,ikinngut
336,Angelegenheit::N,кар,
337,Anzahl::N,сан,
338,Anzahl::N,кьадар,
339,Art::N,жуьре,ileqquuseq
340,Stück::N,кӏус,nakkaalaniku
341,Teil::N,пай,tassiaasat
342,Hälfte::N,зур,affaq
343,Hälfte::N,зур пай,affaq
344,Kreis::N,круг,kaajaluinneq or kaajaluitsoq
345,Kreis::N,чкаяр,kaajaluinneq or kaajaluitsoq
346,Kreis::N,элкъвей цӏар,kaajaluinneq or kaajaluitsoq
347,Kreuz::N,хаш,sanningasulik
348,Linie::N,цӏар,tittaq
349,Linie::N,цӏар,titarneq
350,Strich::N,цӏар,
351,Abstand::N,ара,aku
352,Abstand::N,ара,ikiaq
353,Entfernung::N,мензил,asi
354,Gegend::N,чка,nuna
355,Platz::N,ара,ini
356,Platz::N,ара,inissaq
357,Ort::N,чка,sumiiffik
358,Seite::N,пад,saneraq
359,Mitte::N,юкь,qiteq
360,Gegenstand::N,затӏ,
361,Sache::N,шей,pigisaq
362,Sache::N,затӏ,pigisaq
363,Rand::N,къерех,sini
364,Rand::N,къерех,akerfineq
365,Kante::N,син,akerfineq
