,Concept_ID,ko,zh
0,Auge::N,눈,眼睛
1,Ohr::N,귀,耳朵
2,Nase::N,코,鼻子
3,Mund::N,입,嘴
4,Zahn::N,이,牙齿
5,Zunge::N,혀,舌头
6,Lippe::N,입술,嘴唇
7,Wange::N,뺨,面颊
8,Gesicht::N,얼굴,脸
9,Stirn::N,이마,额
10,Haar::N,털,头发
11,Schnurrbart::N,윗수몀,髭须
12,Schnurrbart::N,코밑수염,髭须
13,Bart::N,수엄,胡子
14,Kinn::N,아래턱,下巴
15,Kiefer[Anatomie]::N,턱,颌
16,Kehle::N,인후,嗓子
17,Hals::N,목,颈
18,Genick::N,먹덜이,后颈
19,Kopf::N,머리,头
20,Rücken::N,든,背
21,Bauch::N,배,肚子
22,Nabel::N,배꼽,肚脐
23,Busen::N,가슴속,胸脯
24,Brust::N,가슴,胸
25,Schulter::N,어깨,肩膀
26,Arm::N,팔,臂膀
27,Ellenbogen::N,팔쿰치,肘
28,Hand::N,손,手
29,Handfläche::N,손바닥,手掌
30,Finger::N,속가락,手指
31,Fingernagel::N,손톱,指甲
32,Nagel[Anatomie]::N,손톱,指甲
33,Zeh::N,발가락,脚趾
34,Fuß::N,발,脚
35,Ferse::N,발꿈치,后跟
36,Knie::N,무릎,膝
37,Oberschenkel::N,허벅다리,大腿
38,Bein::N,다리,腿
39,Körper::N,구간,身体
40,Haut::N,살갗,皮肤
41,Blut::N,피,血
42,Ader::N,정맥,血管
43,Sehne::N,현,腱
44,Knochen::N,뼈,骨
45,Gehirn::N,뇌,脑
46,Gehirn::N,뇌수,脑
47,Herz::N,염통,心
48,Magen::N,위,胃
49,Leber::N,간,肝
50,Atem::N,기식,呼吸
51,Hunger::N,공복,饿
52,Träne::N,눈물,眼泪
53,Geschmack::N,기호,味道
54,Geruch::N,냄새,气味
55,Schlaf::N,수면,睡眠
56,Traum::N,쿰,梦
57,Himmel::N,하늘,天空
58,Sonne::N,해,太阳
59,Mond::N,달,月亮
60,Stern::N,별,星
61,Luft::N,동준,空气
62,Luft::N,가스채,空气
63,Wind::N,바람,风
64,Welle::N,물결,波
65,Wasser::N,물,水
66,Stein::N,돌,石头
67,Boden::N,바닥,地面
68,Erde::N,흙,地
69,Staub::N,먼지,灰尘
70,Rauch::N,연기,烟
71,Funke::N,불티,火花
72,Feuer::N,불,火
73,Licht::N,불,光
74,Schatten::N,어스레함,影子
75,Wetter::N,기상,天气
76,Nebel::N,안개,雾
77,Wolke::N,구름,云
78,Regen::N,비,雨
79,Schnee::N,눈,雪
80,Eis::N,얼음,冰
81,Frost::N,혹한,霜冻
82,Kälte::N,추위,寒冷
83,Kälte::N,차가움,寒冷
84,Hitze::N,고온,炎热
85,Hitze::N,더위,炎热
86,Regenbogen::N,무지개,虹
87,Donner::N,뇌명,雷
88,Strömung::N,유동,水流
89,Tropfen::N,물방울,滴
90,Schaum::N,포말,泡沫
91,Schmutz::N,때,赃物
92,See::N,호수,湖
93,Sumpf::N,습지,沼泽
94,Moor::N,저습지,沼泽
95,Wiese::N,목초지,草地
96,Wald::N,숲,森林
97,Hügel::N,언덕,丘陵
98,Anhöhe::N,언덕,山丘
99,Berg::N,산,山
100,Gipfel::N,졀졍,峰
101,Höhle::N,공동,洞穴
102,Abhang::N,몰매,斜坡
103,Quelle::N,근원,泉
104,Bach::N,내,溪
105,Fluss::N,강,河流
106,Ufer::N,강변,岸
107,Ufer::N,바닷가,岸
108,Küste::N,해변,海岸
109,Küste::N,해변가,海岸
110,Festland::N,본토,大陆
111,Meer::N,바다,海
112,Bucht::N,협만,海湾
113,Insel::N,섬,岛
114,Blume::N,꽃,花
115,Gras::N,풀,草
116,Wurzel::N,뿌리,根
117,Baum::N,나무,树
118,Stamm::N,대,树干
119,Rinde::N,나무껍질,树皮
120,Ast::N,가지,树枝
121,Zweig::N,가지,树枝
122,Blatt::N,잎,叶子
123,Birke::N,자작나무,桦木
124,Kiefer[Baum]::N,소나무,松树
125,Weide[Baum]::N,쉬양버들,柳树
126,Tanne::N,전나무,冷杉
127,Horn::N,뿔,角
128,Feder::N,깃털,羽毛
129,Fell::N,피혁모피,皮毛
130,Flügel::N,날개,翅膀
131,Klaue::N,갈고리 발톺,爪子
132,Kralle::N,발툭,爪子
133,Schwanz::N,꼬리,尾巴
134,Ei::N,알,蛋
135,Nest::N,보금자리,巢
136,Bau::N,굴,穴
137,Tier::N,짐승,动物
138,Herde::N,가축의떼,群
139,Kuh::N,암소,母牛
140,Bulle::N,황소,公牛
141,Pferd::N,말,马
142,Schaf::N,양,羊
143,Schwein::N,돼지,猪
144,Hund::N,개,狗
145,Katze::N,고양이,猫
146,Bär::N,콤,熊
147,Eichhörnchen::N,다람쥐,松鼠
148,Elch::N,고라니,麋鹿
149,Fuchs::N,여우,狐狸
150,Hase::N,토끼,兔子
151,Maus::N,쥐,老鼠
152,Wolf::N,늑대,狼
153,Vogel::N,새,鸟
154,Schwarm::N,뗴,群
155,Huhn::N,암탉,鸡
156,Hahn::N,수탉,公鸡
157,Gans::N,거위,鹅
158,Adler::N,수리,鹰
159,Ente::N,오리,鸭
160,Eule::N,부엉이,猫头鹰
161,Kranich::N,두루미,鹤
162,Krähe::N,까마귀,乌鸦
163,Kuckuck::N,뻐꾸기,布谷鸟
164,Schwan::N,배조,天鹅
165,Fisch::N,물고기,鱼
166,Barsch::N,농어,鲈鱼
167,Hecht::N,에속스,狗鱼
168,Schlange[Tier]::N,뱀,蛇
169,Wurm::N,벌레,蠕虫
170,Spinne::N,거미,蜘蛛
