,Concept_ID,vep,hr
0,Auge::N,sil'm,oko
1,Ohr::N,korv,uho
2,Nase::N,nena,nos
3,Mund::N,su,usta
4,Zahn::N,pi,zub
5,Zahn::N,hambaz,zub
6,Zunge::N,kel',jezik
7,Lippe::N,hul',usna
8,Wange::N,modpolišk,obraz
9,Gesicht::N,mod,lice
10,Stirn::N,oc,čelo
11,Haar::N,tuk,kosa
12,Haar::N,hibuz,kosa
13,Schnurrbart::N,habinod,brkovi
14,Bart::N,bard,brada
15,Kinn::N,löug,brada
16,Kinn::N,löug,podbradak
17,Kiefer[Anatomie]::N,hambazlu,čeljust
18,Kehle::N,kurk,grlo
19,Hals::N,kagl,vrat
20,Genick::N,tagarai,zatiljak
21,Kopf::N,pä,glava
22,Rücken::N,sel'g,leđa
23,Rücken::N,sel'g,hrbat
24,Bauch::N,vac,trbuh
25,Bauch::N,koht,trbuh
26,Nabel::N,naba,pupak
27,Busen::N,niža,sisa
28,Busen::N,niža,njedra
29,Brust::N,rind,prsa
30,Schulter::N,oug,rame
31,Schulter::N,oug,pleći
32,Arm::N,käzi,ruka
33,Ellenbogen::N,künambruz,lakat
34,Hand::N,käzi,ruka
35,Hand::N,käzitera,ruka
36,Handfläche::N,kämen,dlan
37,Finger::N,sor'm,prst
38,Fingernagel::N,künz',nokat
39,Nagel[Anatomie]::N,künz',nokat
40,Zeh::N,barbaz,nozni prst
41,Fuß::N,jaug,noga
42,Fuß::N,jaug,stopalo
43,Ferse::N,kand,peta
44,Knie::N,komb,koljeno
45,Knie::N,pol'v,koljeno
46,Oberschenkel::N,riiže,bedro
47,Bein::N,jaug,noga
48,Körper::N,hibj,tijelo
49,Haut::N,nahk,put
50,Haut::N,nahk,koža
51,Blut::N,čak,krv
52,Blut::N,veri,krv
53,Ader::N,son',žila
54,Sehne::N,jände,tetiva
55,Knochen::N,lu,kost
56,Gehirn::N,aivod,
57,Herz::N,südäin,srce
58,Magen::N,südäikoht,stomak
59,Magen::N,südäikoht,želudac
60,Leber::N,maks,jetra
61,Atem::N,hengaiduz,dah
62,Hunger::N,näl'g,glad
63,Träne::N,kündal',suza
64,Geschmack::N,magu,ukus
65,Geruch::N,haju,njuh
66,Geruch::N,haju,miris
67,Schlaf::N,uni,san
68,Traum::N,unikuva,san
69,Himmel::N,taivaz,nebo
70,Sonne::N,päiväine,sunce
71,Mond::N,kudmaine,mjesec
72,Stern::N,tähtaz,zvijezda
73,Luft::N,il'm,zrak
74,Wind::N,döl,vjetar
75,Wind::N,tullei,vjetar
76,Welle::N,ald,val
77,Welle::N,ald,talas
78,Welle::N,laineh,val
79,Welle::N,laineh,talas
80,Wasser::N,vezi,voda
81,Stein::N,kivi,kamen
82,Boden::N,ma,tlo
83,Boden::N,ma,zemlja
84,Boden::N,pohj,tlo
85,Boden::N,pohj,zemlja
86,Erde::N,ma,zemlja
87,Staub::N,pölü,prah
88,Staub::N,pölü,prašina
89,Rauch::N,savu,dim
90,Funke::N,kibin,iskra
91,Funke::N,kibin,varnica
92,Feuer::N,lämoi,vatra
93,Licht::N,vauktuz,svjetlo
94,Schatten::N,pil'vez,hlad
95,Schatten::N,pil'vez,sjena
96,Schatten::N,kuvahaine,hlad
97,Schatten::N,kuvahaine,sjena
98,Wetter::N,sä,vrijeme
99,Nebel::N,sumeg,magla
100,Wolke::N,pil'v,oblak
101,Regen::N,vihm,kiša
102,Schnee::N,lumi,snijeg
103,Eis::N,jä,led
104,Frost::N,hala,mraz
105,Frost::N,pakaine,mraz
106,Kälte::N,vilu,studen
107,Kälte::N,vilu,hladnoća
108,Hitze::N,räk,vrućina
109,Raureif::N,hüde,inje
110,Regenbogen::N,jumalanbembel',duga
111,Donner::N,juru,grom
112,Donner::N,juru,grmljavina
113,Donner::N,jumalanjuru,grom
114,Donner::N,jumalanjuru,grmljavina
115,Strömung::N,joksmuz,struja
116,Strömung::N,joksmuz,strujanje
117,Tropfen::N,tilkuine,kap
118,Tropfen::N,tilkuine,kaplja
119,Schaum::N,vaht,pjena
120,Schmutz::N,redu,nečistoća
121,Schmutz::N,redu,prljavština
122,Schmutz::N,pačak,nečistoća
123,Schmutz::N,pačak,prljavština
124,See::N,järv,jezero
125,Sumpf::N,so,bara
126,Moor::N,so,močvara
127,Wiese::N,nit,livada
128,Wald::N,mec,šuma
129,Hügel::N,kukaz,brijeg
130,Hügel::N,kukaz,brežuljak
131,Anhöhe::N,kukaz,uzvišica
132,Berg::N,mägi,brdo
133,Gipfel::N,ladv,vrh
134,Höhle::N,mägionduz,pećina
135,Höhle::N,mägionduz,spilja
136,Abhang::N,paute,obronak
137,Abhang::N,paute,nizbrdica
138,Quelle::N,lähte,izvor
139,Quelle::N,lähte,vrelo
140,Bach::N,oja,potok
141,Fluss::N,jogi,rijeka
142,Ufer::N,rand,obala
143,Küste::N,randišt,obala
144,Küste::N,randišt,morska obala
145,Festland::N,kuivma,kopno
146,Meer::N,meri,more
147,Bucht::N,laht,zaliv
148,Insel::N,sar',ada
149,Insel::N,sar',otok
150,Blume::N,änik,cvijet
151,Gras::N,hein,trava
152,Wurzel::N,jur',korijen
153,Baum::N,pu,drvo
154,Baum::N,pu,stablo
