,Concept_ID,se,ml
0,Auge::N,tjelmie,കണ്ണ്
1,Auge::N,tjalmme,കണ്ണ്
2,Auge::N,čalbmi,കണ്ണ്
3,Auge::N,čalme,കണ്ണ്
4,Auge::N,čâ´lmm,കണ്ണ്
5,Auge::N,ча̄лльм,കണ്ണ്
6,Ohr::N,bieljie,ചെവി
7,Ohr::N,biellje,ചെവി
8,Ohr::N,beallji,ചെവി
9,Ohr::N,pelji,ചെവി
10,Ohr::N,pe´llj,ചെവി
11,Ohr::N,пе̄лльй,ചെവി
12,Nase::N,njuenie,മൂക്ക്
13,Nase::N,njunnje,മൂക്ക്
14,Nase::N,njunni,മൂക്ക്
15,Nase::N,njuṇe,മൂക്ക്
16,Nase::N,njuu´nn,മൂക്ക്
17,Nase::N,нюннҍ,മൂക്ക്
18,Mund::N,njaelmie,വായ
19,Mund::N,njálmme,വായ
20,Mund::N,njálbmi,വായ
21,Mund::N,njälmi,വായ
22,Mund::N,njä´lmm,വായ
23,Mund::N,ня̄лльм,വായ
24,Zahn::N,baenie,പല്ല്
25,Zahn::N,bádne,പല്ല്
26,Zahn::N,bátni,പല്ല്
27,Zahn::N,pääṇi,പല്ല്
28,Zahn::N,pää´nn,പല്ല്
29,Zahn::N,па̄ннҍ,പല്ല്
30,Zunge::N,njoektjeme,നാക്ക്
31,Zunge::N,njuovtjav,നാക്ക്
32,Zunge::N,njuovčča,നാക്ക്
33,Zunge::N,njuovčâ,നാക്ക്
34,Zunge::N,njuhččâm,നാക്ക്
35,Zunge::N,нюхчем,നാക്ക്
36,Lippe::N,bangseme,ചുണ്ട്
37,Lippe::N,njálmmerabdda,ചുണ്ട്
38,Lippe::N,bavssa,ചുണ്ട്
39,Lippe::N,poovsâ,ചുണ്ട്
40,Lippe::N,põõus,ചുണ്ട്
41,Lippe::N,пэ̄кс,ചുണ്ട്
42,Wange::N,skiehrie,കവിൾത്തടം
43,Wange::N,nierra,കവിൾത്തടം
44,Wange::N,muohtu,കവിൾത്തടം
45,Wange::N,nieṛâ,കവിൾത്തടം
46,Wange::N,njiõrr,കവിൾത്തടം
47,Wange::N,нӣрр,കവിൾത്തടം
48,Gesicht::N,ååredæjja,മുഖം
49,Gesicht::N,muohto,മുഖം
50,Gesicht::N,muođut,മുഖം
51,Gesicht::N,ámadadju,മുഖം
52,Gesicht::N,muáđuh,മുഖം
53,Gesicht::N,muâđ,മുഖം
54,Gesicht::N,ка̄ссв,മുഖം
55,Stirn::N,gaalloe,നെറ്റി
56,Stirn::N,gállo,നെറ്റി
57,Stirn::N,gállu,നെറ്റി
58,Stirn::N,kállu,നെറ്റി
59,Stirn::N,käll,നെറ്റി
60,Stirn::N,вуэххьц,നെറ്റി
61,Haar::N,voepte,തലമുടി
62,Haar::N,vuoppta,തലമുടി
63,Haar::N,vuokta,തലമുടി
64,Haar::N,vuop'tâ,തലമുടി
65,Haar::N,vuõpt,തലമുടി
66,Haar::N,вӯппт,തലമുടി
67,Schnurrbart::N,bijjie-skaavtjoe,മീശ
68,Schnurrbart::N,njunjevuolskávttjá,മീശ
69,Schnurrbart::N,seamu,മീശ
70,Schnurrbart::N,siämu,മീശ
71,Schnurrbart::N,ää´bben,മീശ
72,Schnurrbart::N,о̄а̄бпан,മീശ
73,Bart::N,skaavtja,താടിരോമം
74,Bart::N,skaavtjoe,താടിരോമം
75,Bart::N,skávttjá,താടിരോമം
76,Bart::N,seamu,താടിരോമം
77,Bart::N,siämu,താടിരോമം
78,Bart::N,seäm,താടിരോമം
79,Bart::N,ся̄м,താടിരോമം
80,Kinn::N,gaejpie,താടി
81,Kinn::N,gájbbe,താടി
82,Kinn::N,gáibi,താടി
83,Kinn::N,käibi,താടി
84,Kinn::N,käi´bb,താടി
85,Kinn::N,ка̄ййп,താടി
86,Kiefer[Anatomie]::N,gaejpie,താടിയെല്ല്
87,Kiefer[Anatomie]::N,oalol,താടിയെല്ല്
88,Kiefer[Anatomie]::N,oaloldákte,താടിയെല്ല്
89,Kiefer[Anatomie]::N,gáibi,താടിയെല്ല്
90,Kiefer[Anatomie]::N,uá'lultähti,താടിയെല്ല്
91,Kiefer[Anatomie]::N,vuâl'lõš,താടിയെല്ല്
92,Kiefer[Anatomie]::N,вуаллнешш,താടിയെല്ല്
93,Kehle::N,gealoe,കണ്ഠനാളം
94,Kehle::N,tjåttå,കണ്ഠനാളം
95,Kehle::N,njiello,കണ്ഠനാളം
96,Kehle::N,čotta,കണ്ഠനാളം
97,Kehle::N,čuudâ,കണ്ഠനാളം
98,Kehle::N,čoodd,കണ്ഠനാളം
99,Kehle::N,чонт,കണ്ഠനാളം
100,Kehle::N,кэ̄ҏс,കണ്ഠനാളം
101,Hals::N,tjeapohke,കഴുത്ത്
102,Hals::N,tjiebet,കഴുത്ത്
103,Hals::N,čeabet,കഴുത്ത്
104,Hals::N,čiäppát,കഴുത്ത്
105,Hals::N,čeäppat,കഴുത്ത്
106,Hals::N,ча̄пэх,കഴുത്ത്
107,Genick::N,tjovrese,പിടലി
108,Genick::N,nisske,പിടലി
109,Genick::N,niehkki,പിടലി
110,Genick::N,niski,പിടലി
111,Genick::N,niek'ki,പിടലി
112,Genick::N,nji´šǩǩmaadd,പിടലി
113,Genick::N,нышшькмоант,പിടലി
114,Kopf::N,åejjie,തല
115,Kopf::N,oajvve,തല
116,Kopf::N,oaivi,തല
117,Kopf::N,uái'vi,തല
118,Kopf::N,vuei´vv,തല
119,Kopf::N,вуэййв,തല
120,Rücken::N,rudtje,മുതുക്
121,Rücken::N,hárddo,മുതുക്
122,Rücken::N,tjavelk,മുതുക്
123,Rücken::N,sealgi,മുതുക്
124,Rücken::N,selgi,മുതുക്
125,Rücken::N,čielgi,മുതുക്
126,Rücken::N,seä´lǧǧ,മുതുക്
127,Rücken::N,се̄лльк,മുതുക്
128,Bauch::N,tjåejjie,നയറ്
129,Bauch::N,tjoajvve,നയറ്
130,Bauch::N,čoavji,നയറ്
131,Bauch::N,čuáv'ji,നയറ്
132,Bauch::N,čåu´jj,നയറ്
133,Bauch::N,чо̄ввьй,നയറ്
134,Nabel::N,naepie,നാഭി
135,Nabel::N,náhpe,നാഭി
136,Nabel::N,náhpi,നാഭി
137,Nabel::N,nääpi,നാഭി
138,Nabel::N,nää´pp,നാഭി
139,Nabel::N,на̄бпь,നാഭി
140,Busen::N,boenge,സ്തനം
141,Busen::N,bållå,സ്തനം
142,Busen::N,čižži,സ്തനം
143,Busen::N,njamma,സ്തനം
144,Busen::N,njižže,സ്തനം
145,Busen::N,nje´ǯǯ,സ്തനം
146,Busen::N,раннҍт,സ്തനം
147,Brust::N,mïelke,സ്തനം
148,Brust::N,radde,സ്തനം
149,Brust::N,mielgga,സ്തനം
150,Brust::N,raddi,സ്തനം
151,Brust::N,radde,സ്തനം
152,Brust::N,râ´dd,സ്തനം
153,Brust::N,раннҍт,സ്തനം
154,Schulter::N,åelkie,തോൾ
155,Schulter::N,oalgge,തോൾ
156,Schulter::N,hárdu,തോൾ
157,Schulter::N,ärdee,തോൾ
158,Schulter::N,uál'gi,തോൾ
159,Schulter::N,a´rddi,തോൾ
160,Schulter::N,vuä´lǧǧ,തോൾ
161,Schulter::N,вуэллык,തോൾ
162,Arm::N,gïete,കൈ
163,Arm::N,giehta,കൈ
164,Arm::N,giehta,കൈ
165,Arm::N,kietâ,കൈ
166,Arm::N,kie'tâkaaṿâ,കൈ
167,Arm::N,ǩiõtt,കൈ
168,Arm::N,кӣдт,കൈ
169,Ellenbogen::N,gernjere,കൈമുട്ട്
170,Ellenbogen::N,garŋŋel,കൈമുട്ട്
171,Ellenbogen::N,gargŋil,കൈമുട്ട്
172,Ellenbogen::N,käŋŋir,കൈമുട്ട്
173,Ellenbogen::N,kõõnjâr,കൈമുട്ട്
174,Ellenbogen::N,карьнэль,കൈമുട്ട്
175,Hand::N,gïete,കൈ
176,Hand::N,giehta,കൈ
177,Hand::N,giehta,കൈ
178,Hand::N,kietâ,കൈ
179,Hand::N,ǩiõtt,കൈ
180,Hand::N,кӣдт,കൈ
181,Handfläche::N,gïeten-låapoe,ഉള്ളം കൈ
182,Handfläche::N,giehtavuodo,ഉള്ളം കൈ
183,Handfläche::N,tjårmmåvuodo,ഉള്ളം കൈ
184,Handfläche::N,giehtaloahpu,ഉള്ളം കൈ
185,Handfläche::N,kiämád,ഉള്ളം കൈ
186,Handfläche::N,kuámmir,ഉള്ളം കൈ
187,Handfläche::N,kuä´m'mer,ഉള്ളം കൈ
188,Handfläche::N,ǩiõttǩeä´m'men,ഉള്ളം കൈ
189,Handfläche::N,ко̄а̄ллдэгк,ഉള്ളം കൈ
190,Handfläche::N,кӣдткоалдэгк,ഉള്ളം കൈ
191,Finger::N,soerme,വിരൽ
192,Finger::N,tjuvdde,വിരൽ
193,Finger::N,suorbma,വിരൽ
194,Finger::N,čuvde,വിരൽ
195,Finger::N,suor'mâ,വിരൽ
196,Finger::N,suõrmm,വിരൽ
197,Finger::N,це̄ххп,വിരൽ
198,Fingernagel::N,gadtse,നഖം
199,Fingernagel::N,guehpere,നഖം
200,Fingernagel::N,gadtsa,നഖം
201,Fingernagel::N,gazza,നഖം
202,Fingernagel::N,kozzâ,നഖം
203,Fingernagel::N,kõʒʒ,നഖം
204,Fingernagel::N,кэ̄ннц,നഖം
205,Nagel[Anatomie]::N,gadtse,നഖം
206,Nagel[Anatomie]::N,guehpere,നഖം
207,Nagel[Anatomie]::N,gadtsa,നഖം
208,Nagel[Anatomie]::N,gazza,നഖം
209,Nagel[Anatomie]::N,kozzâ,നഖം
210,Nagel[Anatomie]::N,kõʒʒ,നഖം
211,Nagel[Anatomie]::N,кэ̄ннц,നഖം
212,Zeh::N,tjiehtjere,കാൽവിരൽ
213,Zeh::N,juolggetjuvdde,കാൽവിരൽ
214,Zeh::N,juolgesuorbma,കാൽവിരൽ
215,Zeh::N,jyel'gisuor'mâ,കാൽവിരൽ
216,Zeh::N,jue´lǧǧsuõrmm,കാൽവിരൽ
217,Zeh::N,ю̄лльк-це̄һп,കാൽവിരൽ
218,Fuß::N,juelkie,കാൽപ്പാദം
219,Fuß::N,juolgge,കാൽപ്പാദം
220,Fuß::N,juolgi,കാൽപ്പാദം
