,Concept_ID,lez,bn
0,Auge::N,вил,চক্ষু
1,Ohr::N,яб,কর্ণ
2,Nase::N,нер,নাক
3,Mund::N,сив,মুখ
4,Zahn::N,сас,দাঁত
5,Zahn::N,свах,দাঁত
6,Zunge::N,мез,জিহবা
7,Lippe::N,пӏуз,অধর
8,Wange::N,хъвехъ,গণ্ড
9,Gesicht::N,ччин,মুখমণ্ডল
10,Stirn::N,пел,কপাল
11,Haar::N,чӏар,চুল
12,Schnurrbart::N,спел,গোঁফ
13,Schnurrbart::N,спелар,গোঁফ
14,Bart::N,ччуру,শ্মশ্রু
15,Kinn::N,чене,চিবুক
16,Kiefer[Anatomie]::N,чене,চোয়াল
17,Kehle::N,туьд,কণ্ঠ
18,Hals::N,гардан,গল
19,Genick::N,кьам,ঘাড়
20,Kopf::N,кьил,মাথা
21,Rücken::N,далу,পৃষ্ঠ
22,Bauch::N,руфун,উদর
23,Nabel::N,пицӏ,নাভি
24,Busen::N,мам,স্তন
25,Brust::N,хур,বুক
26,Schulter::N,къуьн,স্কন্ধ
27,Arm::N,гъил,বাহু
28,Ellenbogen::N,кьуьнт,কনুই
29,Hand::N,капаш,হাত
30,Handfläche::N,капан юкь,করতল
31,Finger::N,тӏуб,আঙ্গুল
32,Fingernagel::N,кек,হাতের নখ
33,Nagel[Anatomie]::N,кек,নখ
34,Zeh::N,кул,আঙ্গুল
35,Fuß::N,кӏвач,পা
36,Ferse::N,дабан,গোড়ালি
37,Knie::N,мет,হাঁটু
38,Bein::N,кӏвач,পা
39,Körper::N,беден,দেহ
40,Haut::N,хам,ত্বক
41,Blut::N,иви,রক্ত
42,Ader::N,дамар,শিরা
43,Sehne::N,кьуру дамар,কণ্ডরা
44,Knochen::N,кӏараб,অস্থি
45,Gehirn::N,мефт,মস্তিষ্ক
46,Herz::N,рикӏ,হৃৎপিণ্ড
47,Magen::N,хук,পাকস্থলী
48,Leber::N,лекь,যকৃৎ
49,Atem::N,ял,শ্বাস
50,Atem::N,нефес,শ্বাস
51,Hunger::N,каш,ক্ষুধা
52,Träne::N,вилин нагъв,অশ্রু
53,Geschmack::N,дад,স্বাদ
54,Geschmack::N,тӏям,স্বাদ
55,Geruch::N,ни,গন্ধ
56,Schlaf::N,ахвар,ঘুম
57,Traum::N,ахвар,স্বপ্ন
58,Himmel::N,цав,আকাশ
59,Sonne::N,рагъ,সূর্য
60,Mond::N,варз,চন্দ্র
61,Stern::N,гъед,নক্ষত্র
62,Luft::N,гьава,বায়ু
63,Wind::N,гар,বাতাস
64,Welle::N,лепе,ঢেউ
65,Welle::N,лепе,তরঙ্গ
66,Wasser::N,яд,জল
67,Stein::N,къван,ঢিল
