,Concept_ID,xal,te
0,Auge::N,нүдн,కన్ను
1,Ohr::N,чикн,చెవి
2,Nase::N,хамр,ముక్కు
3,Mund::N,амн,నోరు
4,Zahn::N,шүдн,పల్లు
5,Zunge::N,келн,నాలుక
6,Lippe::N,урл,పెదవి
7,Wange::N,халх,చెంప
8,Gesicht::N,нүр,ముఖము
9,Stirn::N,маңна,నుదురు
10,Haar::N,үсн,వెండ్రుక
11,Schnurrbart::N,сахл,మీసము
12,Bart::N,сахл,గడ్డము
13,Bart::N,өргнә сахл,గడ్డము
14,Kinn::N,өргн,గడ్డము
15,Kiefer[Anatomie]::N,өргн,దౌడ
16,Kehle::N,хол,గొంతు
17,Hals::N,күзүн,మెడ
18,Genick::N,гиҗг,మూపు
19,Kopf::N,толһа,తల
20,Rücken::N,нурһн,వెన్ను
21,Bauch::N,гесн,కడుపు
22,Nabel::N,киисн,బొడ్డు
23,Busen::N,көкн,స్తనము
24,Brust::N,чееҗ,ఱొమ్ము
25,Schulter::N,ээм,భుజము
26,Arm::N,һар,చేయి
27,Ellenbogen::N,тоха,మోచేయి
28,Hand::N,баһлцг,చేయి
29,Handfläche::N,альхн,అరచేయు
30,Finger::N,хурһн,చేతిప్రేలు
31,Finger::N,һарин хурһн,చేతిప్రేలు
32,Fingernagel::N,хумсн,గోరు
33,Nagel[Anatomie]::N,хумсн,గోరు
34,Zeh::N,хурһн,కాలిప్రేలు
35,Zeh::N,көлин хурһн,కాలిప్రేలు
36,Fuß::N,тавг,అడుగు
37,Ferse::N,өскә,మడమ
38,Knie::N,өвдг,మోకాలు
39,Oberschenkel::N,һуй,తొడ
40,Bein::N,көл,కాలు
41,Körper::N,махмуд,కాయము
42,Haut::N,арсн,చర్మము
43,Blut::N,цусн,రక్తము
44,Ader::N,судцн,సిర
45,Sehne::N,шүрүсн,స్నాయువు
46,Knochen::N,ясн,ఎముక
47,Gehirn::N,экн,మెదడు
48,Herz::N,зүркн,హృదయము
49,Magen::N,гесн,కడుపు
50,Leber::N,элкн,కాలేయము
51,Atem::N,әмсхл,ఉపిరి
52,Hunger::N,харһнлһн,ఆకలి
53,Träne::N,нульмсн,కన్నీటిచుక్క
54,Geschmack::N,амтн,రుచి
55,Geruch::N,үнр,వాసన
56,Schlaf::N,нөр,నిద్ర
57,Traum::N,зүүдн,కల
58,Himmel::N,теңгр,ఆకాశము
59,Sonne::N,нарн,సూర్యుడు
60,Mond::N,сар,చంద్రుడు
61,Stern::N,одн,నక్షత్రము
62,Luft::N,аһар,గాలి
63,Wind::N,салькн,వీచుచున్నగాలి
64,Welle::N,дольган,అల
65,Wasser::N,усн,నీరు
66,Stein::N,чолун,ఱాయి
67,Boden::N,Һазр,నేల
68,Erde::N,Һазр,మన్ను
69,Staub::N,тоосн,దుమ్ము
70,Rauch::N,утан,పొగ
71,Funke::N,очн,అగ్నికణము
72,Feuer::N,һал,అగ్ని
73,Licht::N,герл,కాంతి
74,Schatten::N,сүүдр,నీడ
75,Wetter::N,теңгр,వాతావరణ స్థితి
76,Nebel::N,будн,పొగమంచు
77,Wolke::N,үүлн,మేఘము
78,Regen::N,хур,వాన
79,Schnee::N,цасн,హిమము
80,Eis::N,мөсн,మంచుగడ్డ
81,Frost::N,киитн,పేరిన మంచు
82,Kälte::N,киитн,చలి
83,Hitze::N,халун,వేడిమి
84,Raureif::N,цаң,మంచు
85,Raureif::N,кирү,మంచు
86,Regenbogen::N,солңһ,ఇంద్రధనుస్సు
87,Donner::N,оһтрһун дун,ఉరుము
88,Strömung::N,урсхл,ప్రవాహము
89,Tropfen::N,дусал,చుక్క
90,Schaum::N,көөсн,నురుగు
91,Schmutz::N,кир,మైల
92,See::N,нур,సరస్సు
93,Sumpf::N,унул,చిత్తడినేల
94,Moor::N,улм,చిత్తడినేల
95,Wiese::N,хадлһн,పచ్చిక బయలు
96,Wald::N,ө-модн,అడవి
97,Hügel::N,толһа,చివ్నకొండ
98,Anhöhe::N,хамр,కొండ
99,Berg::N,уул,పర్వతము
100,Gipfel::N,ора,శిఖరము
101,Höhle::N,хадин көндә,గుహ
102,Abhang::N,ташу,ఏటవాలు
103,Quelle::N,булг,మూలము
104,Bach::N,һооҗур,కాలువ
105,Fluss::N,һол,నది
106,Ufer::N,көвә,తీరము
107,Küste::N,көвә,తీరము
108,Küste::N,теңгсин көвә,తీరము
109,Festland::N,хүүрә һазр,భూమి
110,Meer::N,теңгс,సముద్రము
111,Bucht::N,цекә,మరుగు
112,Bucht::N,теңгсин цекә,మరుగు
113,Insel::N,арл,దీవి
114,Blume::N,цецг,పుష్పము
115,Gras::N,ноһан,పచ్చగడ్డి
116,Wurzel::N,уңг,వేరు
117,Baum::N,модн,చెట్టు
118,Stamm::N,шилв,చెట్టుబోదె
119,Stamm::N,һол модн,చెట్టుబోదె
120,Rinde::N,көрсн,చెట్టుపట్ట
121,Ast::N,ац,కొమ్మ
122,Zweig::N,ац,చివుకు
123,Blatt::N,хамтхасн,ఆకు
124,Birke::N,хусм модн,తరహా చెట్టు
125,Kiefer[Baum]::N,шар харһа,దేవదారు చెట్టు
126,Weide[Baum]::N,удн,జాతిచెట్టు
127,Tanne::N,җөөлн цаһан модн,దేవదారుచెట్టు
128,Horn::N,өвр,కొమ్ము
129,Feder::N,өрвлг,ఈక
130,Fell::N,арсн,తోలు
131,Flügel::N,җивр,ఱెక్క
132,Klaue::N,хумсн,వంకరగోరు
133,Kralle::N,тавг,వంకరగోరు
134,Schwanz::N,сүл,తోక
135,Ei::N,өндгн,గ్రుడ్డు
136,Nest::N,үр,పక్షిగూడు
137,Bau::N,нүкн,గుహ
138,Tier::N,мал,జంతువు
139,Herde::N,сүрг мал,మంద
140,Kuh::N,үкр,ఆవు
141,Bulle::N,бух,గిత్త
142,Pferd::N,мөрн,గుఱ్ఱము
143,Schaf::N,хөн,గొఱ్ఱె
144,Schwein::N,һаха,పంది
145,Hund::N,ноха,కుక్క
146,Katze::N,мис,పిల్లి
147,Bär::N,аю,ఎలుగుబంటి
148,Eichhörnchen::N,кермн,ఉడుత
149,Elch::N,хандһа,కణంజు
150,Fuchs::N,арат,గుంటనక్క
151,Hase::N,туула,కుందేలు
152,Maus::N,хулһн,చిట్టెలుక
153,Wolf::N,чон,తోడేలు
154,Vogel::N,шовун,పక్షి
155,Schwarm::N,зел,గుంపు
156,Huhn::N,така,కోడిపిల్ల
157,Hahn::N,эр така,కోడివుంజు
158,Gans::N,һалун,ఆడుబాతు
159,Adler::N,һәрд,గ్రద్ద
160,Ente::N,нуһсн,పాట్టిబాతు
161,Eule::N,һурвлһ,గ్రుడ్లగూబ
162,Kranich::N,тоһрун,కొంగ
163,Krähe::N,шаазһа,కాకి
164,Kuckuck::N,эргин хуцдг,కోయల
165,Schwan::N,хун,హంస
166,Fisch::N,заһсн,చేప
167,Barsch::N,шүрг,ఒకచేఁప
168,Hecht::N,цурх,గండుమీను
169,Schlange[Tier]::N,моһа,పాము
170,Wurm::N,өтн,పురుగు
171,Spinne::N,аралҗн,సాలె పురుగు
172,Ameise::N,шорһлҗн,చీమ
173,Laus::N,бөөсн,పేను
174,Mücke::N,бөкүн,చీకటీగ
175,Fliege::N,батхн,ఈగ
176,Schmetterling::N,эрвәкә,సీతాకోకచిలుక
177,Beere::N,бөөлҗрһн,కాయ
178,Apfel::N,альмн,ఆపిల్ పండు
179,Pilz::N,теңгрин ки,కుక్కగొడుగు
180,Zwiebel::N,мәңгрснә толһа,నీరుల్లి
181,Saat::N,буудян экн,విత్తనము
182,Korn::N,экн,గింజ
183,Heu::N,өвсн,ఎండుగడ్డి
184,Schale::N,хальсн,పొట్టు
185,Grube::N,нүкн,గొయ్యి
186,Falle::N,урх,బోను
187,Falle::N,хавх,బోను
188,Schlinge::N,бүтү,ఉరి
189,Spur::N,мөр,జాడ
190,Asche::N,үмсн,బూడిద
191,Dreck::N,бальчг,ముఱికి
192,Eisen::N,төмр,ఇనుము
193,Gold::N,алтн,బంగారము
194,Silber::N,мөңгн,వెండి
195,Silber::N,цаһан мөңгн,వెండి
196,Kohle::N,нүүрсн,నేలబొగ్గు
197,Glas::N,шил,గాజు
198,Lehm::N,шавр,బంకమన్ను
199,Sand::N,элсн,ఇసుక
200,Mensch::N,күн,నరుడు
201,Mensch::N,күмн,నరుడు
202,Mann::N,эр,పురుమడు
203,Frau::N,күүкд күн,ఆడుది
204,Kind::N,үрн,బిడ్డ
205,Junge::N,көвүн,బాలుడు
206,Mädchen::N,бичкн күүкн,బాలిక
207,Familie::N,бүл,కుటుంబము
208,Großvater::N,өвк эцк,తాత
209,Großvater::N,наһц эцк,తాత
210,Großmutter::N,эмг эк,అయ్యమ్మ
211,Großmutter::N,наһц эк,అయ్యమ్మ
212,Eltern::N,эк эцк хойр,తల్లితండ్రులు
213,Vater::N,эцк,తండ్రి
214,Mutter::N,эк,తల్లి
215,Sohn::N,көвүн,కొడుకు
216,Tochter::N,күүкн,కూతురు
217,Bruder::N,дү көвүн,పోదరుడు
218,Schwester::N,эгч,సోదరి
219,Schwester::N,дү күүкн,సోదరి
220,Onkel::N,авһ,మేనమామ
221,Onkel::N,наһцх,మేనమామ
222,Tante::N,наһц эгч,మేనత్త
223,Tante::N,наһц эгч,పినతల్లి
224,Ehemann::N,залу,భర్త
225,Ehefrau::N,гергн,భార్య
226,Freude::N,байр,సంతోషము
227,Gelächter::N,инәдн,నవ్వు
228,Glück::N,җирһл,సంతోషము
229,Glück::N,сәәхн җирһл,సంతోషము
230,Kummer::N,зовлң,దుఃఖము
231,Wunsch::N,дурн,కోరిక
232,Lust::N,җилвтлһн,కోరిక
233,Geist::N,зөрг,ఆత్మ
234,Gedanke::N,ухан,ఆలోచన
235,Gedächtnis::N,чееҗин тодлвр,జ్ఞాపకము
236,Verstand::N,ухан,మనస్సు
237,Sinn::N,учр-утх,అర్థము
238,Grund::N,учр,కారణము
239,Grund::N,шалтан,కారణము
240,Wahrheit::N,үнн,సత్యము
241,Gespräch::N,күүндвүр,పంభాషణ
242,Märchen::N,тууль,అద్భుతకథ
243,Erzählung::N,келвр,కథ
244,Nachricht::N,медүллһн,వార్త
245,Neuigkeit::N,зәңг,వార్త
246,Name::N,нерн,పేరు
247,Rätsel::N,тәәлвртә тууль,చిక్కు
248,Rede::N,келлһн,ఉపన్యాసము
249,Sprache::N,келн,భాష
250,Stimme::N,дун,కంరథ్సని
251,Wort::N,үг,మాట
252,Zeichen::N,темдг,గుర్తు
253,Ruf::N,дуудлһн,పిలువు
254,Lärm::N,шууган,సందడి
255,Laut::N,ә,ధ్వని
256,Ton::N,дун,స్వరము
257,Lied::N,дун,పాట
258,Ruhe::N,амулң,గాలిలేమి
259,Leute::N,әмтн,జనులు
260,Volk::N,улс,జాతి
261,Arbeit::N,көдлмш,పని
262,Gast::N,гиич,అతిధి
263,Geschenk::N,белг,దానము
264,Spiel::N,наадн,ఆట
265,Gesellschaft::N,олн,జట్టు
266,Hilfe::N,нөкд,సాహాయ్యము
267,Freund::N,иньг,స్నేహితుడు
268,Kamerad::N,үр,చెలికాడు
269,Angelegenheit::N,керг,విషయము
270,Anzahl::N,то,లెక్క
271,Art::N,зүүл,జాతి
272,Stück::N,хусг,తునుక
273,Teil::N,хүв,భాగము
274,Hälfte::N,өрәл,సగము
275,Kreis::N,төгрг,వృత్తము
276,Kreuz::N,кирс,సిలువ
277,Linie::N,зурасн,గీత
278,Strich::N,татасн,గీత
279,Abstand::N,зә,సందు
280,Entfernung::N,һазр,దూరము
281,Gegend::N,һазр,విస్తీర్ణము
282,Platz::N,зә,ఎడము
283,Ort::N,бәәрн,స్థలము
284,Seite::N,тал,ప్రక్క
285,Seite::N,хаҗу,ప్రక్క
286,Seite::N,хәврһ,ప్రక్క
287,Mitte::N,дунд,నడిమి
288,Gegenstand::N,юмн,పద్దు
289,Sache::N,юмн,వస్తువు
290,Rand::N,зах,అంచు
291,Kante::N,ирмәг,అంచు
292,Ecke::N,өнцг,మూల
293,Spitze::N,үзүр,మొన
294,Ende::N,үзүр,కొన
295,Loch::N,хаһрха,రంధ్రము
296,Winkel::N,булң,కోణము
297,Muster::N,намч,మాదిరి
298,Größe::N,кемҗән,పరిమాణము
299,Länge::N,ут,పొడుగు
300,Höhe::N,өндр,పొడుగు
301,Gewicht::N,күнд,భారము
302,Gewicht::N,чиңнүр,భారము
303,Menge::N,ик,మొత్తము
304,Haufen::N,ова,రాశి
305,Reihe::N,зерг,వరుస
306,Reihe::N,зерглән,వరుస
307,Boot::N,оңһц,పడవ
308,Ruder::N,хәәв,అడక
309,Schlitten::N,цан,సరవండ్లు
310,Ski::N,лыҗ,స్కీ
311,Lagerfeuer::N,костёр,నెగడు
312,Last::N,күнд,బరువు
313,Gang::N,йовлһн,నడక
314,Schritt::N,ишкм,అడుగు
315,Norden::N,ар үзг,ఉత్తరదిక్కు
316,Süden::N,өмн,దక్షిణము
317,Süden::N,өмн үзг,దక్షిణము
318,Westen::N,барун,పడమర
319,Westen::N,барун үзг,పడమర
320,Osten::N,зүн,తూర్పు
321,Osten::N,зүн үзг,తూర్పు
322,Holz::N,модн,కొయ్య
323,Brett::N,харһа,పలక
324,Platte::N,хавтха чолун,పలక
325,Stütze::N,тулг,వాల్సేడ్లు
326,Stange::N,уньн,స్తంభము
327,Stock::N,модн,కఱ్ఱ
328,Stab::N,шуург,కఱ్ఱ
329,Rohr::N,турва,గొట్టము
330,Haus::N,гер,ఇల్లు
331,Heim::N,гер-бул,స్వగృహము
332,Ofen::N,беш,పొయ్యి
333,Fußboden::N,девскр,నేల
334,Tisch::N,ширә,మేజా
335,Stuhl::N,стул,కుర్చీ
336,Wiege::N,өлгә,ఉయ్యాల
337,Wiege::N,дүүҗң,ఉయ్యాల
338,Bett::N,орн,పడక
339,Bett::N,орн,మంచం
340,Bett::N,орндг,పడక
341,Bett::N,орндг,మంచం
342,Regal::N,таг,అటక
343,Regal::N,тәвц,అటక
344,Kiste::N,яршг,వెట్టె
345,Fenster::N,терз,కిటికి
346,Tür::N,үүдн,ద్వారము
347,Tor::N,үүдн,ద్వారము
348,Tor::N,өргн үүдн,ద్వారము
349,Tor::N,хашан үүдн,ద్వారము
350,Zaun::N,хаша,కంచె
351,Dach::N,деевр,ఇంటివైకప్పు
352,Leiter::N,шат,నిచ్చెన
353,Leiter::N,давшур,నిచ్చెన
354,Besen::N,сәвүр,చీపురుకట్ట
355,Spaten::N,күрз,పాఱ
356,Schaufel::N,совг,పాఱ
357,Gabel::N,серә,ముండ్లగరిటె
358,Löffel::N,ухр,గరిటె
359,Messer::N,утх,కత్తి
360,Nagel::N,хадасн,మేకు
361,Netz::N,гөлм,వల
362,Haken::N,дегә,కొక్కెము
363,Griff::N,иш,పిడి
364,Griff::N,бәрүл,పిడి
365,Schloss::N,оньс,తాళము
366,Bild::N,зург,చిత్రము
367,Figur::N,фигур,రూపము
368,Puppe::N,наадһа,బొమ్మ
369,Beutel::N,мишг,సంచి
370,Bündel::N,багла,మూట
371,Bündel::N,боодһа,మూట
372,Tasche::N,сумк,సంచి
373,Eimer::N,суулһ,చేద
374,Deckel::N,бүркәсн,మూత
375,Geschirr::N,сав,వంటకాలు
376,Geschirr::N,сав-сарх,వంటకాలు
377,Sack::N,мишг,గోనెసంచి
378,Tasse::N,ааһ,గిన్నె
379,Topf::N,кастрюль,కుండ
380,Kessel::N,хәәсн,నీరుకాచుపాత్ర
381,Essen::N,зоогллһн,ఆహారము
382,Nahrung::N,теҗәл,ఆహారము
383,Speise::N,хот,ఆహారము
384,Fleisch::N,махн,మాంసము
385,Getreide::N,хот болҗ эдлгддг цецгүдтә урһмл,ధాన్యము
386,Brei::N,хаш,గుజ్జు
387,Brot::N,өдмг,రొట్టె
388,Scheibe::N,зүсм,బద్ద
389,Fett::N,өөкн,క్రొవ్వు
390,Butter::N,тосн,వెన్న
391,Öl::N,тосн,నూనె
392,Salz::N,давсн,ఉప్పు
393,Suppe::N,шөлн,చారు
394,Honig::N,бал,తెనె
395,Milch::N,үсн,పాలు
396,Tee::N,цә,తేనీరు
397,Leder::N,арсн,బాగుచేసివతోలు
398,Wolle::N,утцн,ఉన్ని
399,Wolle::N,эд,ఉన్ని
400,Stoff::N,эд,బట్ట
401,Nadel::N,зүн,సూది
402,Faden::N,утцн,దారము
403,Knopf::N,товч,బొత్తాము
404,Knoten::N,зәңгдә,ముడి
405,Farbe::N,будг,రంగు
406,Kleidung::N,хувцн,బట్టలు
407,Kleidung::N,хувц-хунр,బట్టలు
408,Hemd::N,киилг,చొక్కాయ
409,Kragen::N,зах,మాల
410,Ärmel::N,ханцн,చొక్కాయచెయ్యి
411,Hose::N,шалвур,ఇజారు
412,Gürtel::N,бүс,పటకా
413,Mütze::N,махла,టోపి
414,Schuh::N,башмгуд,పాదరక్ష
415,Stiefel::N,һосн,బూటు
416,Ring::N,билцг,ఉంగరము
417,Band::N,лент,నాడా
418,Kamm::N,сам,దువ్వెన
419,Spiegel::N,толь,అద్దము
420,Riemen::N,бүс,వాడా
421,Schnur::N,деесн,దారము
422,Leine::N,бурнтг,వారు
423,Leine::N,нохан көтлвр,వారు
424,Decke::N,көнҗл,కంబళి
425,Kissen::N,дер,తలగడ
426,Tuch::N,альчур,బట్ట
427,Handtuch::N,полотенц,తువాలు
428,Handtuch::N,һар-нүүрин альчур,తువాలు
429,Kraft::N,күчн,బలము
430,Stärke::N,чидл,శక్తి
431,Gesundheit::N,эрүл-менд,ఆరోగ్యము
432,Krankheit::N,өвчн,రోగము
433,Schmerz::N,өвдлһн,నొప్పి
434,Wunde::N,шав,గాయము
435,Fieber::N,безг,జ్వరము
436,Arznei::N,эм,మందు
437,Brücke::N,тагт,వంతెన
438,Brunnen::N,худг,బావి
439,Brunnen::N,худг,కూపము
440,Brunnen::N,худг,నుయ్యి
441,Weide::N,малын идг,పచ్చికబయలు
442,Pfad::N,цувг,కాలిత్రోవ
443,Weg::N,хаалһ,మార్గము
444,Straße::N,зам,బాట
445,Dorf::N,хотн,గ్రామము
446,Stadt::N,балһсн,పట్టణము
447,Brief::N,бичг,జాబు
448,Buch::N,дегтр,పుస్తకము
449,Buchstabe::N,үзг,అక్షరము
450,Zeitung::N,газет,వార్తాపత్రిక
451,Leben::N,җирһл,ప్రాణము
452,Tod::N,үкл,మరణము
453,Tod::N,өңгрлһн,మరణము
454,Grab::N,оршалһна нүкн,సమాధి
455,Kirche::N,чонҗ,క్రెస్తవులగుడి
456,Sünde::N,нүл,పాపము
457,Sünde::N,килнц,పాపము
458,Gott::N,бурхн,దేవుడు
459,Arbeiter::N,көдлмшч,పనిపాటుచేశేవాడు
460,Chef::N,толһач,యజమానుడు
461,Meister::N,урн,కళాకారుడు
462,Arzt::N,эмч,వైద్యుడు
463,Lehrer::N,багш,ఉపాధ్యాయుడు
464,Geld::N,мөңгн,ద్రవ్యము
465,Geschäft::N,көдлмш,వ్యాపారము
466,Laden::N,лавк,అంగడి
467,Preis::N,үн,వెల
468,Ware::N,эд-тавр,సరకులు
469,Nutzen::N,олз,ప్రయోజనము
470,Reichtum::N,зөөр,ధనము
471,Welt::N,орчлң,ప్రపంచము
472,Welt::N,делкә,ప్రపంచము
473,Land::N,орн-нутг,దేశము
474,Staat::N,государств,రాజ్యము
475,König::N,хан,రాజు
476,Macht::N,йосн,అధికారము
477,Grenze::N,меҗә,సరిహద్దు
478,Krieg::N,дән,యుద్ధము
479,Feind::N,дәәсн,శత్రువు
480,Gewalt::N,күч һарһлһн,దౌర్జన్యము
481,Kampf::N,ноолдан,పోట్లాట
482,Kampf::N,бәрлдлһн,పోట్లాట
483,Bogen[Waffe]::N,саадг,విల్లు
484,Pfeil::N,сумн,బాణము
485,Gewehr::N,бу,తుపాకి
486,Fehler::N,алдг,తప్ప
487,Lüge::N,худл,అసత్యము
488,Schaden::N,хорлт,నష్టము
489,Unglück::N,гүрм,దురదృష్టము
490,Schuld::N,гем,తప్పు
491,Schuld::N,буру,తప్పు
492,Alter::N,насн,వయస్సు
493,Schluss::N,чилгч,ముగింపు
494,Zeit::N,цаг,కాలము
495,Tag::N,өдр,దినము
496,Morgen::N,өрүн,ఉదయము
497,Mittag::N,үд,మధ్యాహ్నము
498,Abend::N,асхн,సాయంకాలము
499,Nacht::N,сө,రత్రి
500,Woche::N,долан хонг,వారము
501,Monat::N,сар,నెల
502,Jahr::N,җил,సంవత్సరము
503,Frühling::N,хавр,వసంతకాలము
504,Sommer::N,зун,వేసవికాము
505,Herbst::N,намр,ఆకురాలుకాలము
506,Winter::N,үвл,శీతకాలము
507,Januar::N,январь,జనవరి
508,Februar::N,февраль,ఫిబ్రవరి
509,März::N,март,మార్చి
510,März::N,моһа сар,మార్చి
511,April::N,апрель,ఏప్రిలు
512,Mai::N,май,మే
513,Juni::N,июнь,జూన్
514,Juni::N,мөчн сар,జూన్
515,Juli::N,июль,జూలై
516,August::N,август,ఆగస్టు
517,September::N,һаха сар,సెప్ఠెంబరు
518,Oktober::N,октябрь,అక్టోబరు
519,November::N,ноябрь,నవంబరు
520,November::N,үкр сар,నవంబరు
521,Dezember::N,бар сар,డిసెంబర్
522,Montag::N,понедельник,సోమవారము
523,Dienstag::N,вторник,మంగళవారము
524,Mittwoch::N,среда,బుధవారము
525,Mittwoch::N,үлмҗ өдр,బుధవారము
526,Donnerstag::N,четверг,గురువారము
527,Donnerstag::N,пүрвә өдр,గురువారము
528,Freitag::N,пятниц,శుక్రవారము
529,Samstag::N,суббот,శనివారము
530,Sonntag::N,нарн өдр,ఆదివారము
531,Sonntag::N,воскресень,ఆదివారము
532,groß::A,ик,గొప్పైన
533,klein::A,бичкн,చిన్న
534,lang::A,ут,పొడుగాటి
535,kurz::A,оһтр,పొట్టి
536,breit::A,өргн,వెడల్పైన
537,schmal::A,уутьхн,ఇఱుకైన
538,dicht::A,нигт,దట్టమైన
539,dick[Gegenstand]::A,зузан,దట్టమైన
540,dünn::A,нимгн,పలుచని
541,fein::A,нәрхн,నాజాకైన
542,fest::A,бат,దృడమైవ
543,flach::A,хавтха,చదువైన
544,glatt::A,тегш,నున్నని
545,glatt::A,тиньгр,నున్నని
546,hart::A,хату,కఠినమైన
547,weich::A,җөөлн,మృదువైన
548,weich::A,җөөлкн,మృదువైన
549,rund::A,төгрг,గుండ్రని
550,spitz::A,шовһр,మొనగల
551,scharf::A,хурц,పదనైన
552,stumpf::A,мука,వాడిలేని
553,schwer::A,күнд,బరువ్తెన
554,schön::A,сәәхн,సుందరమైన
555,heiß::A,халун,వేడియైన
556,warm::A,дулан,వెచ్చని
557,kalt::A,киитн,చల్లని
558,kühl::A,серүн,చల్లని
559,frisch::A,серүн,తాజాయైన
560,feucht::A,чиигтә,చెమ్మగానున్న
561,nass::A,чиигтә,తడిగామన్న
562,trocken::A,хагсу,ఎండిన
563,voll::A,дүүрң,నిండు
564,leer::A,сул,శూన్యమైన
565,leer::A,хоосн,శూన్యమైన
566,offen::A,секәтә,తెఱచియున్న
567,geschlossen::A,хаалһата,మూసిన
568,sauber::A,цевр,పరిశుద్ధమైన
569,schmutzig::A,киртә,ముఱికియైన
570,roh::A,түүкә,పచ్చి
571,reif::A,болсн,పండివ
572,lecker::A,әмтәхн,రుచి గల
573,süß::A,әмтәхн,తియ్యని
574,bitter::A,һашун,చేదైన
575,bitter::A,һашута,చేదైన
576,sauer::A,ишклң,పుల్లని
577,hell::A,герлтә,కాంతిగల
578,dunkel::A,харңһу,చీకటియైన
579,schwarz::A,хар,నల్లని
580,weiß::A,цаһан,తెలుపు
581,rot::A,улан,ఎఱ్ఱని
582,gelb::A,шар,పసుపు పచ్చ
583,blau::A,көк,నీలవర్ణము
584,grün::A,көк,ఆకుపచ్చని
585,grau::A,бор,నెరిసిన
586,bunt::A,алг,రంగేలీ
587,bunt::A,эрәтә,రంగేలీ
588,billig::A,кимд,చౌకయైన
589,teuer::A,үнтә,వెలపొడుగైన
590,wertvoll::A,үнтә,విలుప్తెన
591,wertvoll::A,эрднь,విలుప్తెన
592,blind::A,сохр,గ్రుడ్డి
