,Concept_ID,sv,ml
0,Auge::N,öga,കണ്ണ്
1,Ohr::N,öra,ചെവി
2,Nase::N,näsa,മൂക്ക്
3,Mund::N,mun,വായ
4,Zahn::N,tand,പല്ല്
5,Zunge::N,tunga,നാക്ക്
6,Lippe::N,läpp,ചുണ്ട്
7,Wange::N,kind,കവിൾത്തടം
8,Gesicht::N,syn,മുഖം
9,Gesicht::N,ansikte,മുഖം
10,Stirn::N,panna,നെറ്റി
11,Haar::N,hår,തലമുടി
12,Schnurrbart::N,mustasch,മീശ
13,Bart::N,skägg,താടിരോമം
14,Kinn::N,haka,താടി
15,Kiefer[Anatomie]::N,käke,താടിയെല്ല്
16,Kehle::N,strupe,കണ്ഠനാളം
17,Hals::N,hals,കഴുത്ത്
18,Genick::N,nacke,പിടലി
19,Kopf::N,huvud,തല
20,Rücken::N,rygg,മുതുക്
21,Bauch::N,buk,നയറ്
22,Bauch::N,mage,നയറ്
23,Nabel::N,navel,നാഭി
24,Busen::N,barm,സ്തനം
25,Brust::N,bröst,സ്തനം
26,Schulter::N,skuldra,തോൾ
27,Arm::N,arm,കൈ
28,Ellenbogen::N,armbåge,കൈമുട്ട്
29,Hand::N,hand,കൈ
30,Handfläche::N,handflata,ഉള്ളം കൈ
31,Finger::N,finger,വിരൽ
32,Fingernagel::N,fingernagel,നഖം
33,Nagel[Anatomie]::N,nagel,നഖം
34,Zeh::N,tå,കാൽവിരൽ
35,Fuß::N,fot,കാൽപ്പാദം
36,Ferse::N,häl,ഉപ്പൂറ്റി
37,Knie::N,knä,കാൽമുട്ട്
38,Oberschenkel::N,lår,തുട
39,Bein::N,ben,കാൽ
40,Körper::N,kropp,ശരീരം
41,Haut::N,hud,ചർമ്മം
42,Haut::N,skinn,ചർമ്മം
43,Blut::N,blod,രക്തം
44,Ader::N,åder,ഞരമ്പ്
45,Sehne::N,sena,സ്നായു
46,Knochen::N,ben,അസ്ഥി
47,Gehirn::N,hjärna,തലച്ചോറ്
48,Herz::N,hjärta,ഹൃദയം
49,Magen::N,mage,വയർ
