,Concept_ID,ka,vep
0,Auge::N,თვალი,sil'm
1,Ohr::N,ყური,korv
2,Nase::N,ცხვირი,nena
3,Mund::N,პირი,su
4,Zahn::N,კბილი,pi
5,Zahn::N,კბილი,hambaz
6,Zunge::N,ენა,kel'
7,Lippe::N,ბაგე,hul'
8,Wange::N,ლოყა,modpolišk
9,Gesicht::N,სახე,mod
10,Stirn::N,შუბლი,oc
11,Haar::N,თმა,tuk
12,Haar::N,თმა,hibuz
13,Schnurrbart::N,ულვაში,habinod
14,Bart::N,წვერი,bard
15,Kinn::N,ნიკაპი,löug
16,Kiefer[Anatomie]::N,ყბა,hambazlu
17,Kehle::N,ყელი,kurk
18,Hals::N,ყელი,kagl
19,Hals::N,კისერი,kagl
20,Genick::N,კეფა,tagarai
21,Kopf::N,თავი,pä
22,Rücken::N,ზურგი,sel'g
23,Bauch::N,მუცელი,vac
24,Bauch::N,მუცელი,koht
25,Nabel::N,ჭიპი,naba
26,Busen::N,ძუძუ,niža
27,Brust::N,მკერდი,rind
28,Schulter::N,მხარი,oug
29,Schulter::N,მკლავი,oug
30,Arm::N,ხელი,käzi
31,Ellenbogen::N,იდაყვი,künambruz
32,Hand::N,ხელი,käzi
33,Hand::N,ხელი,käzitera
34,Handfläche::N,ნები,kämen
35,Handfläche::N,ხელისგული,kämen
36,Finger::N,თითი,sor'm
37,Fingernagel::N,ფრჩხილი,künz'
38,Nagel[Anatomie]::N,ფრჩხილი,künz'
39,Zeh::N,ფეხის თითი,barbaz
40,Fuß::N,ტერფი,jaug
41,Fuß::N,ფეხისგული,jaug
42,Ferse::N,ქუსლი,kand
43,Knie::N,მუხლი,komb
44,Knie::N,მუხლი,pol'v
45,Oberschenkel::N,ბარძაყი,riiže
46,Bein::N,ფეხი,jaug
47,Körper::N,ტანი,hibj
48,Körper::N,სხეული,hibj
49,Haut::N,კანი,nahk
50,Blut::N,სისხლი,čak
51,Blut::N,სისხლი,veri
52,Ader::N,ძარღვი,son'
53,Sehne::N,მყესი,jände
54,Knochen::N,ძვალი,lu
55,Gehirn::N,ტვინი,aivod
56,Herz::N,გული,südäin
57,Magen::N,კუჭი,südäikoht
58,Leber::N,ღვიძლი,maks
59,Atem::N,სუნთქვა,hengaiduz
60,Hunger::N,შიმშილი,näl'g
61,Träne::N,ცრემლი,kündal'
62,Geschmack::N,გემო,magu
63,Geruch::N,სუნი,haju
64,Schlaf::N,ძილი,uni
65,Traum::N,სიზმარი,unikuva
66,Himmel::N,ცა,taivaz
67,Sonne::N,მზე,päiväine
68,Mond::N,მთვარე,kudmaine
69,Stern::N,ვარსკვლავი,tähtaz
70,Luft::N,ჰაერი,il'm
71,Wind::N,ქარი,döl
72,Wind::N,ქარი,tullei
73,Welle::N,ტალღა,ald
74,Welle::N,ტალღა,laineh
75,Wasser::N,წყალი,vezi
76,Stein::N,ქვა,kivi
77,Boden::N,მიწა,ma
78,Boden::N,მიწა,pohj
79,Erde::N,ნიადაგი,ma
80,Staub::N,მტვერი,pölü
81,Rauch::N,ბოლი,savu
82,Rauch::N,კვამლი,savu
83,Funke::N,ნაკვესი,kibin
84,Feuer::N,ცეცხლი,lämoi
85,Licht::N,შუქი,vauktuz
86,Licht::N,სინათლე,vauktuz
87,Schatten::N,ლანდი,pil'vez
88,Schatten::N,ლანდი,kuvahaine
89,Schatten::N,ჩრდილი,pil'vez
90,Schatten::N,ჩრდილი,kuvahaine
91,Wetter::N,ამინდი,sä
92,Nebel::N,ნისლი,sumeg
93,Wolke::N,ღრუბელი,pil'v
94,Regen::N,წვიმა,vihm
95,Schnee::N,თოვლი,lumi
96,Eis::N,თოში,jä
97,Eis::N,ყინული,jä
98,Frost::N,ყინვა,hala
99,Frost::N,ყინვა,pakaine
100,Kälte::N,სიცივე,vilu
101,Hitze::N,სიცხე,räk
102,Raureif::N,ჭირხლი,hüde
103,Raureif::N,თრთვილი,hüde
104,Regenbogen::N,ცისარტყელა,jumalanbembel'
105,Donner::N,ქუხილი,juru
106,Donner::N,ქუხილი,jumalanjuru
107,Strömung::N,დინება,joksmuz
108,Tropfen::N,წვეთი,tilkuine
109,Schaum::N,ქაფი,vaht
110,Schaum::N,დორბლი,vaht
111,Schmutz::N,ჭუჭყი,redu
112,Schmutz::N,ჭუჭყი,pačak
113,Schmutz::N,ტალახი,redu
114,Schmutz::N,ტალახი,pačak
115,See::N,ტბა,järv
116,Sumpf::N,ჭაობი,so
117,Moor::N,ტორფნარი,so
118,Wiese::N,ველი,nit
119,Wiese::N,მდელო,nit
120,Wald::N,ტყე,mec
121,Hügel::N,ბორცვი,kukaz
122,Anhöhe::N,მაღლობი,kukaz
123,Berg::N,მთა,mägi
124,Gipfel::N,მწვერვალი,ladv
125,Höhle::N,მღვიმე,mägionduz
126,Höhle::N,გამოქვებული,mägionduz
127,Abhang::N,ფერდობი,paute
128,Quelle::N,წყარო,lähte
129,Quelle::N,სათავე,lähte
130,Bach::N,რუ,oja
131,Bach::N,ნაკადული,oja
132,Fluss::N,მდინარე,jogi
133,Ufer::N,კიდე,rand
134,Ufer::N,ნაპირი,rand
135,Küste::N,ნაპირი,randišt
136,Festland::N,ხმელეთი,kuivma
137,Meer::N,ზღვა,meri
138,Bucht::N,ყურე,laht
139,Insel::N,კუნძული,sar'
140,Blume::N,ყვავილი,änik
141,Gras::N,ბალახი,hein
142,Wurzel::N,ძირი,jur'
143,Wurzel::N,ფესვი,jur'
144,Baum::N,ხე,pu
145,Stamm::N,ტანი,tüvi
146,Rinde::N,ქერქი,kor'
147,Ast::N,ტოტი,oks
148,Zweig::N,შტო,oks
149,Zweig::N,შტო,barb
150,Blatt::N,ფოთოლი,lehtez
151,Birke::N,არყი,koiv
152,Kiefer[Baum]::N,ფიჭვი,pedai
153,Weide[Baum]::N,ტირიფი,raid
154,Tanne::N,ნაძვი,kuz'
155,Horn::N,რქა,sar'v
156,Feder::N,ფრთა,höuneh
157,Fell::N,ტყავი,nahk
158,Flügel::N,ფრთა,suug
159,Klaue::N,კლანჭი,künz'
160,Kralle::N,ტორი,künz'
161,Schwanz::N,კუდი,händ
162,Ei::N,კვერცხი,muna
163,Nest::N,ბუდე,peza
164,Bau::N,სორო,uru
165,Tier::N,ნადირი,živat
166,Tier::N,ცხოველი,živat
167,Herde::N,ფარა,kogo
168,Kuh::N,ფური,lehm
169,Kuh::N,ძროხა,lehm
170,Bulle::N,ხარი,härg
171,Pferd::N,რაში,hebo
172,Pferd::N,ცხენი,hebo
173,Schaf::N,ცხვარი,lambaz
174,Schwein::N,ღორი,siga
175,Hund::N,ძაღლი,koir
176,Katze::N,კატა,kaži
177,Bär::N,დათვი,kondi
178,Eichhörnchen::N,ციყვი,orav
179,Elch::N,ცხენ-ირემი,hirb'
180,Fuchs::N,მელა,reboi
181,Hase::N,კურდღელი,jäniš
182,Maus::N,თაგვი,hir'
183,Wolf::N,მგელი,händikaz
184,Vogel::N,ჩიტი,lind
185,Vogel::N,ფრინველი,lind
186,Schwarm::N,გუნდი,parveh
187,Huhn::N,დედალი,kana
188,Hahn::N,მამალი,kukoi
189,Gans::N,ბატი,hanh'
190,Adler::N,არწივი,orl
191,Ente::N,იხვი,sorz
192,Eule::N,ბუ,hir'pulo
193,Kranich::N,წერო,kurg
194,Krähe::N,ყვავი,variš
195,Kuckuck::N,გუგული,kägi
196,Schwan::N,გედი,joucen
197,Fisch::N,თევზი,kala
198,Barsch::N,ქორჭილა,ahven
199,Hecht::N,ქარიყლაპია,haug'
200,Schlange[Tier]::N,გველი,kü
201,Schlange[Tier]::N,გველი,mado
202,Wurm::N,ჭია,mado
203,Spinne::N,ობობა,hämähouk
204,Ameise::N,ჭიანჭველა,murahaine
205,Laus::N,ტილი,täi
206,Laus::N,მკბენარი,täi
207,Mücke::N,კოღო,säs'k
208,Fliege::N,ბუზი,kärbhaine
209,Schmetterling::N,პეპელა,lipkaine
210,Beere::N,კენკრა,marj
211,Apfel::N,ვაშლი,jablok
212,Pilz::N,სოკო,sen'
213,Pilz::N,სოკო,babuk
214,Zwiebel::N,ხახვი,lauk
215,Saat::N,თესლი,semned
216,Korn::N,მარცვალი,jüvä
217,Korn::N,მარცვალი,vill'
218,Heu::N,თივა,hein
219,Schale::N,ჩენჩო,kor'
220,Grube::N,ორმო,kop
221,Falle::N,ხაფანგი,rida
222,Schlinge::N,მახე,rihm
223,Spur::N,კვალი,jäl'g
224,Asche::N,ფერფლი,tuhk
225,Dreck::N,ტალახი,redu
226,Dreck::N,ტალახი,pačak
227,Dreck::N,სიბინძურე,redu
228,Dreck::N,სიბინძურე,pačak
229,Eisen::N,რკინა,raud
230,Gold::N,ოქრო,kuld
231,Silber::N,ვერცხლი,hobed
232,Kohle::N,ნახშირი,hil'
233,Glas::N,მინა,stökol
234,Lehm::N,თიხა,savi
235,Sand::N,ქვიშა,lete
236,Mensch::N,ადამიანი,mez'
237,Mensch::N,ადამიანი,ristit
238,Mann::N,კაცი,mez'
239,Frau::N,ქალი,naine
240,Kind::N,ბავშვი,laps'
241,Junge::N,ვაჟი,poig
242,Junge::N,ვაჟი,prihaine
243,Mädchen::N,გოგო,neičukaine
244,Familie::N,ოჯახი,kanz
245,Familie::N,ოჯახი,pereh
246,Großvater::N,პაპა,ded
247,Großvater::N,ბაბუა,ded
248,Großmutter::N,ბებია,bab
249,Großmutter::N,დიდედა,bab
250,Eltern::N,მშობლები,vanhembad
251,Eltern::N,მშობლები,kazvatajad
252,Vater::N,მამა,tat
253,Mutter::N,დედა,mam
254,Sohn::N,ვაჟიშვილი,poig
255,Tochter::N,ქალიშვილი,tütär
256,Bruder::N,ძმა,veik
257,Bruder::N,ძმა,vell'
258,Schwester::N,და,čiža
259,Schwester::N,და,sizar
260,Onkel::N,ბიძა,däd'
261,Tante::N,დეიდა,tädi
262,Tante::N,მამიდა,tädi
263,Ehemann::N,ქმარი,mužik
264,Ehefrau::N,ცოლი,ak
265,Freude::N,სიხარული,ilo
266,Freude::N,სიხარული,ihastuz
267,Gelächter::N,სიცილი,nagr
268,Glück::N,ბედნიერება,oza
269,Kummer::N,მწუხარება,gor'a
270,Wunsch::N,წადილი,taht
271,Wunsch::N,სურვილი,taht
272,Lust::N,წადილი,himo
273,Geist::N,სული,heng
274,Gedanke::N,ფიქრი,meletuz
275,Gedächtnis::N,მეხსიერება,mušt
276,Verstand::N,ჭკუა,mel'
277,Verstand::N,გონება,mel'
278,Sinn::N,მნიშვნელობა,jüvä
279,Grund::N,მიზეზი,sü
280,Wahrheit::N,სიმართლე,tozi
281,Wahrheit::N,ჭეშმარიტება,tozi
282,Gespräch::N,ბაასი,lodu
283,Gespräch::N,ბაასი,pagin
284,Gespräch::N,საუბარი,lodu
285,Gespräch::N,საუბარი,pagin
286,Märchen::N,არაკი,sarn
287,Märchen::N,ზღაპარი,sarn
288,Erzählung::N,თქმულება,sanutez
289,Nachricht::N,ცნობა,tedotuz
290,Nachricht::N,ამბავი,tedotuz
291,Neuigkeit::N,სიახლე,uzištuz
292,Name::N,სახელი,nimi
293,Rätsel::N,გამოცანა,ozoitez
294,Rede::N,სიტყვა,pagin
295,Rede::N,სიტყვა,sanad
296,Sprache::N,ენა,kel'
297,Stimme::N,ხმა,än'
298,Wort::N,სიტყვა,sana
299,Zeichen::N,ნიშანი,znam
300,Ruf::N,ძახილი,kida
301,Ruf::N,ძახილი,kucund
302,Lärm::N,ხმაური,judu
303,Laut::N,ხმა,kulund
304,Laut::N,ბგერა,kulund
305,Ton::N,ტონი,kulund
306,Lied::N,სიმღერა,pajo
307,Ruhe::N,სიწყნარე,lebu
308,Leute::N,ადამიანები,rahvaz
309,Volk::N,ერი,rahvaz
310,Volk::N,ხალხი,rahvaz
311,Arbeit::N,მუშაობა,tö
312,Arbeit::N,მუშაობა,rad
313,Gast::N,სტუმარი,adiv
314,Geschenk::N,საჩუქარი,lahj
315,Spiel::N,თამაში,vänd
316,Gesellschaft::N,საზოგადოება,sebr
317,Hilfe::N,შველა,abu
318,Hilfe::N,დახმარება,abu
319,Freund::N,მეგობარი,sebranik
320,Kamerad::N,ამხანაგი,sebranik
321,Angelegenheit::N,საქმე,azj
322,Anzahl::N,ოდენობა,lugu
323,Art::N,სახეობა,rod
324,Art::N,სახეობა,rodsugu
325,Stück::N,ნატეხი,pala
326,Stück::N,ნატეხი,supal
327,Teil::N,წილი,pala
328,Hälfte::N,ნახევარი,pol'
329,Kreis::N,წრე,ümbruz
330,Kreis::N,წრე,kehkruz
331,Kreuz::N,ჯვარი,rist
332,Linie::N,ხაზი,pird
333,Strich::N,შტრიხი,pird
334,Abstand::N,მანძილი,keskust
335,Entfernung::N,სიშორე,matk
336,Gegend::N,არე,taho
337,Gegend::N,მხარე,taho
338,Platz::N,ფართობი,avaruz'
339,Ort::N,ადგილი,koht
340,Seite::N,მხარე,pol'
341,Seite::N,მხარე,kül'g
342,Mitte::N,შუა,kesk
343,Gegenstand::N,საგანი,kalu
344,Sache::N,ნივთი,azj
345,Rand::N,კიდე,röun
346,Kante::N,ნაწიბული,röun
347,Ecke::N,კუთხე,saum
348,Spitze::N,წვეტი,agjaine
349,Ende::N,ბოლო,agj
350,Loch::N,ხვრელი,reig
351,Winkel::N,კუთხე,čoga
352,Winkel::N,კუთხე,saum
353,Muster::N,მოხატულობა,kirjam
354,Größe::N,ზომა,suruz'
355,Größe::N,სიდიდე,suruz'
356,Länge::N,სიგრძე,piduz
357,Höhe::N,სიმაღლე,korktuz'
358,Gewicht::N,წონა,jügu
