,Concept_ID,es,ar
0,Auge::N,ojo,عين
1,Ohr::N,oreja,أذن
2,Nase::N,nariz,أنف
3,Mund::N,boca,فم
4,Zahn::N,diente,سن
5,Zunge::N,lengua,لسان
6,Lippe::N,labio,شفة
7,Wange::N,mejilla,خد
8,Wange::N,mejilla,وجنة
9,Gesicht::N,cara,وجه
10,Stirn::N,frente,جبين
11,Haar::N,cabello,شعر
12,Schnurrbart::N,bigote,شارب
13,Bart::N,barba,لحية
14,Kinn::N,barbilla,ذقن
15,Kiefer[Anatomie]::N,mandíbula,فك
16,Kehle::N,garganta,حلق
17,Hals::N,cuello,عنق
18,Hals::N,cuello,رقبة
19,Genick::N,nuca,قفا
20,Genick::N,cerviz,قفا
21,Kopf::N,cabeza,رأس
22,Rücken::N,espalda,ظهر
23,Bauch::N,vientre,بطن
24,Nabel::N,ombligo,سرة
25,Busen::N,pecho,ثدي
26,Brust::N,pecho,صدر
27,Schulter::N,hombro,كتف
28,Arm::N,brazo,ذراع
29,Ellenbogen::N,codo,كوع
30,Hand::N,mano,يد
31,Handfläche::N,palma,كف
32,Finger::N,dedo,إصبع
33,Fingernagel::N,uña,ظفر
34,Nagel[Anatomie]::N,uña,ظفر
35,Zeh::N,dedo del pie,إصبع القدم
36,Fuß::N,pie,قدم
37,Ferse::N,talón,كعب
38,Knie::N,rodilla,ركبة
39,Oberschenkel::N,muslo,فخذ
40,Bein::N,pierna,ساق
41,Körper::N,cuerpo,جسم
42,Haut::N,piel,بشرة
43,Blut::N,sangre,دم
44,Ader::N,vena,عرق
45,Sehne::N,tendón,طنب
46,Knochen::N,hueso,عظم
47,Gehirn::N,cerebro,دماغ
48,Gehirn::N,encéfalo,دماغ
49,Herz::N,corazón,قلب
50,Magen::N,estómago,معدة
51,Leber::N,hígado,كبد
52,Atem::N,aliento,نفس
53,Hunger::N,hambre,جوع
54,Träne::N,lágrima,دمعة
55,Geschmack::N,gusto,طعم
56,Geschmack::N,gusto,مذاق
57,Geruch::N,olor,رائحة
58,Schlaf::N,sueño,نوم
59,Schlaf::N,sueño,منام
60,Traum::N,sueño,حلم
61,Traum::N,ensueño,حلم
62,Himmel::N,cielo,سماء
63,Sonne::N,sol,شمس
64,Mond::N,luna,قمر
65,Stern::N,estrella,نجم
66,Stern::N,estrella,كوكب
67,Luft::N,aire,هواء
68,Wind::N,viento,ريح
69,Welle::N,ola,موجة
70,Welle::N,onda,موجة
71,Wasser::N,agua,ماء
72,Stein::N,piedra,حجر
73,Boden::N,suelo,تراب
74,Erde::N,tierra,أرض
75,Staub::N,polvo,غبار
76,Rauch::N,humo,دخان
77,Funke::N,chispa,شرارة
78,Feuer::N,fuego,نار
79,Licht::N,luz,نور
80,Licht::N,luz,ضوء
81,Schatten::N,sombra,ظل
82,Schatten::N,sombra,فيء
83,Wetter::N,tiempo,جو
84,Wetter::N,tiempo,طقس
85,Nebel::N,niebla,ضباب
86,Wolke::N,nube,غيمة
87,Wolke::N,nube,سحابة
88,Regen::N,lluvia,مطر
89,Schnee::N,nieve,ثلج
90,Eis::N,hielo,جليد
91,Frost::N,helada,صقيع
92,Kälte::N,frío,برد
93,Hitze::N,calor,حر
94,Hitze::N,calor,حرارة
95,Raureif::N,escarcha,صقيع
96,Regenbogen::N,arco iris,قوس قزح
97,Donner::N,trueno,رعد
98,Strömung::N,corriente,تيار
99,Tropfen::N,gota,قطرة
100,Schaum::N,espuma,زبد
101,Schaum::N,espuma,رغوة
102,Schmutz::N,suciedad,وسخ
103,See::N,lago,بحيرة
104,Sumpf::N,pantano,مستنقع
105,Moor::N,turbera,مستنقع
106,Wiese::N,prado,مرج
107,Wiese::N,pradera,مرج
108,Wald::N,bosque,غابة
109,Hügel::N,colina,تل
110,Anhöhe::N,cerro,تل
111,Berg::N,monte,جبل
112,Berg::N,montaña,جبل
113,Gipfel::N,cima,قمة
114,Gipfel::N,cumbre,قمة
115,Höhle::N,cueva,كهف
116,Höhle::N,caverna,كهف
117,Abhang::N,cuesta,منحدر
118,Abhang::N,declive,منحدر
119,Quelle::N,fuente,منبع
120,Quelle::N,manantial,منبع
121,Bach::N,arroyo,مجرى
122,Fluss::N,río,نهر
123,Ufer::N,orilla,ضفة
124,Küste::N,costa,ساحل
125,Festland::N,tierra firme,بر
126,Meer::N,mar,بحر
127,Bucht::N,cala,خليج
128,Bucht::N,bahía,خليج
129,Insel::N,isla,جزيرة
130,Blume::N,flor,زهرة
131,Gras::N,hierba,حشيش
132,Wurzel::N,raíz,أصل
133,Baum::N,árbol,شجرة
134,Stamm::N,tronco,جذع
135,Rinde::N,corteza,قشرة
136,Ast::N,rama,فرع
137,Zweig::N,ramo,غصن
138,Blatt::N,hoja,ورقة
139,Birke::N,abedul,قضبان
140,Kiefer[Baum]::N,pino,صنوبرة
141,Weide[Baum]::N,sauce,صفصاف
142,Tanne::N,abeto,شوح
143,Tanne::N,abeto,تبوب
144,Horn::N,asta,قرن
145,Horn::N,cuerno,قرن
146,Feder::N,pluma,ريشة
147,Fell::N,piel,فرو
148,Flügel::N,ala,جناح
149,Klaue::N,garra,مخلب
150,Kralle::N,uña,مخلب
151,Kralle::N,garra,مخلب
152,Schwanz::N,cola,ذيل
153,Ei::N,huevo,بيض
154,Nest::N,nido,عش
155,Bau::N,madriguera,جحر
156,Tier::N,animal,حيوان
157,Herde::N,rebaño,قطيع
158,Kuh::N,vaca,بقرة
159,Bulle::N,toro,ثور
160,Pferd::N,caballo,خيل
161,Schaf::N,oveja,شاة
162,Schwein::N,cerdo,خنزير
163,Hund::N,perro,كلب
164,Katze::N,gato,قطة
165,Bär::N,oso,دب
166,Eichhörnchen::N,ardilla,سنجاب
167,Elch::N,alce,موظ
168,Fuchs::N,zorro,ثعلب
169,Hase::N,liebre,أرنب
170,Maus::N,ratón,فأرة
171,Wolf::N,lobo,ذئب
172,Vogel::N,ave,طير
173,Vogel::N,pájaro,طير
174,Schwarm::N,bandada,سرب
175,Huhn::N,gallina,دجاجة
176,Hahn::N,gallo,ديك
177,Gans::N,oca,وزة
178,Gans::N,ganso,وزة
179,Adler::N,águila,نسر
180,Ente::N,pato,بطة
181,Eule::N,lechuza,بوم
182,Kranich::N,grulla,كركي
183,Krähe::N,corneja,غراب
184,Kuckuck::N,cuco,وقواق
185,Schwan::N,cisne,إوز عراقي
186,Fisch::N,pez,سمك
187,Barsch::N,perca,فرخ أوربي
188,Hecht::N,lucio,سمك الكراكي
189,Schlange[Tier]::N,serpiente,حية
190,Schlange[Tier]::N,serpiente,ثعبان
191,Wurm::N,gusano,دودة
192,Spinne::N,araña,عنكبوت
193,Ameise::N,hormiga,نملة
194,Laus::N,piojo,قملة
195,Mücke::N,mosquito,ناموسة
196,Fliege::N,mosca,ذبابة
197,Schmetterling::N,mariposa,فراشة
198,Beere::N,baya,حبة
199,Apfel::N,manzana,تفاح
200,Pilz::N,seta,فطر
201,Pilz::N,hongo,فطر
202,Zwiebel::N,cebolla,بصل
203,Saat::N,siembra,زرع
204,Korn::N,grano,حبة
