,Concept_ID,mrj,pt
0,Auge::N,сӹнзӓ,olho
1,Ohr::N,пӹлӹш,orelha
2,Nase::N,нер,nariz
3,Mund::N,ышма,boca
4,Zahn::N,пӱ,dente
5,Zunge::N,йӹлмӹ,língua
6,Lippe::N,тӹрвӹ,lábio
7,Wange::N,шӹргӹ,face
8,Gesicht::N,лицӓ,cara
9,Gesicht::N,лицӓ,rosto
10,Stirn::N,лепкӓ,testa
11,Haar::N,ӱп,cabelo
12,Schnurrbart::N,öрш,bigode
13,Bart::N,пандаш,barba
14,Kinn::N,онгылаш,queixo
15,Kiefer[Anatomie]::N,пӱ арата,maxila
16,Kiefer[Anatomie]::N,пӱ арата,mandíbula
17,Kehle::N,логер,garganta
18,Hals::N,шӱ,colo
19,Hals::N,шӱ,pescoço
20,Genick::N,ланга,nuca
21,Kopf::N,вуй,cabeça
22,Rücken::N,туп,dorso
23,Rücken::N,туп,costas
24,Bauch::N,мӹшкӹр,ventre
25,Bauch::N,мӹшкӹр,barriga
26,Nabel::N,кӹлӹмдӹ,umbigo
27,Busen::N,цӹзӹ,seio
28,Brust::N,мел,peito
29,Schulter::N,ӹнгӹжӓ,ombro
30,Arm::N,кид,braço
31,Ellenbogen::N,кӹнервуй,cotovelo
32,Hand::N,лапа,mão
33,Handfläche::N,кид лапа,palma
34,Handfläche::N,кид лапа,palma da mão
35,Finger::N,парня,dedo
36,Fingernagel::N,кӹч,unha
37,Nagel[Anatomie]::N,кӹч,unha
38,Zeh::N,парня,dedo do pé
39,Fuß::N,ял лапа,pé
40,Ferse::N,ялгавал,calcanhar
41,Ferse::N,ял кавал,calcanhar
42,Knie::N,пылвуй,joelho
43,Oberschenkel::N,ӓрдӹ,coxa
44,Bein::N,ял,perna
45,Körper::N,монгыр,corpo
46,Haut::N,кавашты,pele
47,Blut::N,вӹр,sangue
48,Ader::N,вӹршӓр,veia
49,Sehne::N,кукшышӱн,tendão
50,Knochen::N,лу,osso
51,Gehirn::N,вим,cérebro
52,Herz::N,шӱм,coração
53,Magen::N,шӱм,estômago
54,Leber::N,мокш,fígado
55,Atem::N,шӱлӹш,fôlego
56,Hunger::N,шужымаш,fome
57,Träne::N,сӹнзӓвӹд,lágrima
58,Geschmack::N,тот,gosto
59,Geruch::N,пыш,odor
60,Geruch::N,пыш,cheiro
61,Schlaf::N,ом,sono
62,Traum::N,ом,sonho
63,Himmel::N,пӹлгом,céu
64,Sonne::N,кечӹ,sol
65,Mond::N,тӹлзӹ,lua
66,Stern::N,шӹдӹр,estrela
67,Luft::N,юж,ar
68,Luft::N,воздух,ar
69,Wind::N,мардеж,vento
70,Welle::N,ко,onda
71,Welle::N,коэ,onda
72,Wasser::N,вӹд,água
73,Stein::N,кӱ,pedra
74,Boden::N,рок,solo
75,Erde::N,свет,terra
76,Staub::N,пырак,pó
77,Rauch::N,шӹкш,fumo
78,Funke::N,ип,faísca
79,Funke::N,ип,centelha
80,Funke::N,тылип,faísca
81,Funke::N,тылип,centelha
82,Feuer::N,тыл,fogo
83,Licht::N,соты,luz
84,Licht::N,валгыды,luz
85,Schatten::N,ӹмӹл,sombra
86,Wetter::N,игечӹ,tempo
87,Nebel::N,тӹтӹрӓ,nevoeiro
88,Wolke::N,пӹл,nuvem
89,Regen::N,юр,chuva
90,Schnee::N,лым,neve
91,Eis::N,и,gelo
92,Frost::N,ӱштӹ,gelo
93,Frost::N,ӱштӹ,geada
94,Kälte::N,ӱштӹ,frio
95,Hitze::N,шокшы,ardor
96,Raureif::N,пöрш,geada
97,Regenbogen::N,шанавӹл,arco-iris
98,Donner::N,хӹдӹртӹш,trovão
99,Strömung::N,йогы,corrente
100,Tropfen::N,капльы,gota
101,Tropfen::N,капльык,gota
102,Schaum::N,шонг,espuma
103,Schmutz::N,лявӹрӓ,sujidade
104,Schmutz::N,лявӹрӓ,imundície
105,See::N,йӓр,lago
106,Sumpf::N,лӱкӹ,charco
107,Sumpf::N,лӱкӹ,pântano
108,Moor::N,куп,pântano
109,Wiese::N,алык,prado
110,Wald::N,шӹргӹ,bosque
111,Wald::N,шӹргӹ,floresta
112,Hügel::N,пӱгӹрикӓ,colina
113,Anhöhe::N,кӱкшикӓ,alto
114,Anhöhe::N,кӱкшикӓ,outeiro
115,Berg::N,кырык,monte
116,Berg::N,кырык,montanha
117,Gipfel::N,неркӓ,pico
118,Höhle::N,ы́раж,caverna
119,Abhang::N,полом,encosta
120,Quelle::N,вӹдсӹнзӓ,fonte
121,Bach::N,ӓнгӹр,regato
122,Bach::N,ӓнгӹр,ribeiro
123,Fluss::N,вӹд,rio
124,Ufer::N,сир,beira
125,Küste::N,сир,costa
126,Festland::N,мӱлӓндӹ,terra firme
127,Meer::N,тангыж,mar
128,Bucht::N,вӹдъял,baía
129,Insel::N,острок,ilha
130,Blume::N,пеледӹш,flor
131,Gras::N,шуды,erva
132,Wurzel::N,важ,raiz
133,Baum::N,пушӓнгӹ,árvore
134,Stamm::N,пушӓнгӹ тӹнг,tronco
135,Rinde::N,каргыж,casca
136,Ast::N,укш,ramo
137,Zweig::N,укш,galho
138,Blatt::N,листӹ,folha
139,Birke::N,куги,bétula
140,Kiefer[Baum]::N,йӓктӹ,pinheiro
141,Weide[Baum]::N,уа,salgueiro
142,Tanne::N,кож,abeto
143,Horn::N,шур,corno
144,Horn::N,шур,chifre
145,Feder::N,пын,pena
146,Fell::N,кавашты,pele
147,Flügel::N,шылдыр,asa
148,Klaue::N,кӹч,pata
149,Kralle::N,лапа,unha
150,Kralle::N,лапа,garra
151,Schwanz::N,пач,rabo
152,Schwanz::N,пач,cauda
153,Ei::N,мыны,ovo
154,Nest::N,пӹжӓш,ninho
155,Bau::N,ыраж,toca
156,Bau::N,ыраж,covil
157,Tier::N,во́льык,animal
158,Herde::N,кӹтö,rebanho
159,Kuh::N,ышкал,vaca
160,Bulle::N,ӱшкӱж,touro
161,Pferd::N,имни,cavalo
162,Schaf::N,шарык,ovelha
163,Schwein::N,сасна,porco
164,Hund::N,пи,cão
165,Katze::N,коти,gata
166,Bär::N,мöскӓ,urso
167,Eichhörnchen::N,ур,esquilo
168,Elch::N,шарды,alce
169,Fuchs::N,рӹвӹж,raposa
170,Hase::N,морен,lebre
171,Maus::N,каля,rato
172,Wolf::N,пирӹ,lobo
173,Vogel::N,кек,ave
174,Vogel::N,кек,pássaro
175,Schwarm::N,цуца,bando
176,Schwarm::N,цуца,enxame
177,Huhn::N,цӹвӹ,galinha
178,Hahn::N,ӓптӓн,galo
179,Gans::N,комбы,ganso
180,Adler::N,кучкыж,águia
181,Ente::N,лыды,pata
182,Eule::N,тымана,mocho
183,Eule::N,тымана,coruja
184,Kranich::N,тырня,grou
185,Kranich::N,тыртня,grou
186,Krähe::N,лудыгарак,gralha
187,Kuckuck::N,куку,cuco
188,Schwan::N,йӱксӹ,cisne
189,Fisch::N,кол,peixe
190,Barsch::N,алангы,perca
191,Hecht::N,нуж,lúcio
192,Hecht::N,нужгол,lúcio
193,Schlange[Tier]::N,кӹшкы,serpente
194,Wurm::N,шукш,verme
195,Spinne::N,ӓнгӹремшӹ,aranha
196,Ameise::N,кыткы,formiga
197,Laus::N,ти,piolho
198,Mücke::N,кужнер,mosquito
199,Mücke::N,кужынер,mosquito
200,Fliege::N,шӹнгӓ,mosca
201,Schmetterling::N,лӹпӹ,borboleta
202,Beere::N,мöр,bago
203,Apfel::N,олма,maçã
204,Pilz::N,понгы,fungo
205,Pilz::N,понгы,cogumelo
206,Zwiebel::N,охыра,cebola
207,Saat::N,нӱшмӹ,sementeira
208,Saat::N,нӱшмӱ,sementeira
209,Korn::N,пӹрцӹ,grão
210,Heu::N,шуды,feno
211,Schale::N,аваха,casca
212,Schale::N,карлангы,casca
213,Grube::N,йӓм,cova
214,Grube::N,йӓм,fossa
215,Falle::N,лӱдӹ,armadilha
216,Falle::N,лӱдӹш,armadilha
217,Schlinge::N,онгы,laço
218,Spur::N,кишӓ,pista
219,Spur::N,кишӓ,vestígio
220,Asche::N,ломых,cinza
221,Asche::N,ломпыж,cinza
222,Dreck::N,лявӹрӓ,sujidade
223,Eisen::N,кӹртни,ferro
224,Gold::N,шöртни,ouro
225,Gold::N,шöртньӹ,ouro
226,Silber::N,ши,prata
227,Kohle::N,шӱ,carvão
228,Glas::N,охоница,vidro
229,Lehm::N,шун,barro
230,Lehm::N,шун,argila
231,Sand::N,ошма,areia
232,Mensch::N,эдем,homem
233,Mensch::N,эдем,pessoa
234,Mann::N,пӱэргӹ,homem
235,Frau::N,ӹдӹрӓмӓш,mulher
236,Kind::N,ӓзӓ,filho
237,Kind::N,ӓзӓ,criança
238,Kind::N,шачшы,filho
239,Kind::N,шачшы,criança
240,Junge::N,рвезӹ,rapaz
241,Junge::N,рвезӹ,menino
242,Junge::N,ӹрвезӹ,rapaz
243,Junge::N,ӹрвезӹ,menino
244,Mädchen::N,ӹдӹрӓш,menina
245,Mädchen::N,ӹдӹрӓш,rapariga
246,Familie::N,йиш,família
247,Familie::N,семня,família
248,Großvater::N,тьоти,avô
249,Großmutter::N,папа,avó
250,Eltern::N,ӓтя-ӓвӓ,pais
251,Vater::N,ӓтя,pai
252,Mutter::N,ӓвӓ,mãe
253,Sohn::N,эргӹ,filho
254,Tochter::N,ӹдӹр,filha
255,Bruder::N,ӹза,irmão
256,Schwester::N,ӓкӓ,irmã
257,Onkel::N,кугуза,tio
258,Tante::N,куака,tia
259,Ehemann::N,мары,esposo
260,Ehefrau::N,вӓтӹ,esposa
261,Freude::N,ӹвӹртӹмӓш,prazer
262,Freude::N,ӹвӹртӹмӓш,alegria
263,Gelächter::N,ваштылмаш,risada
264,Gelächter::N,ваштылмаш,gargalhada
265,Glück::N,пиӓл,felicidade
266,Kummer::N,ясы,aflição
267,Kummer::N,ясы,desgosto
268,Wunsch::N,охата,desejo
269,Wunsch::N,шанымаш,desejo
270,Lust::N,шӓр,vontade
271,Lust::N,охата,vontade
272,Lust::N,шанымаш,vontade
273,Geist::N,тух,mente
274,Geist::N,тух,espírito
275,Gedanke::N,шанымаш,ideia
276,Gedanke::N,шанымаш,pensamento
277,Gedächtnis::N,ӓш,memória
278,Verstand::N,ыш,razão
279,Verstand::N,ыш,inteligência
280,Sinn::N,кын,sentido
281,Sinn::N,кын,significado
282,Grund::N,вир,causa
283,Grund::N,вир,motivo
284,Wahrheit::N,тöр,verdade
285,Gespräch::N,хытырымаш,conversa
286,Gespräch::N,хытырымаш,conversação
287,Märchen::N,ямак,conto
288,Erzählung::N,шайыштмаш,conto
289,Erzählung::N,шайыштмаш,narrativa
290,Nachricht::N,увертӓрӹмӓш,mensagem
291,Neuigkeit::N,увер,notícia
292,Neuigkeit::N,увер,novidade
293,Name::N,лӹм,nome
294,Rätsel::N,тышты,adivinha
295,Rede::N,шая,oração
296,Rede::N,шая,discurso
297,Rede::N,шамак,oração
298,Rede::N,шамак,discurso
299,Sprache::N,йӹлмӹ,língua
300,Stimme::N,юк,voz
301,Wort::N,шамак,palavra
302,Zeichen::N,палӹ,marca
303,Ruf::N,сӹгӹрӹмӓш,grito
304,Ruf::N,сӹгӹрӹмӓш,chamada
305,Lärm::N,юкланымащ,ruído
306,Lärm::N,юкланымащ,barulho
307,Laut::N,юк,som
308,Ton::N,юк,tom
309,Lied::N,мыры,canção
310,Ruhe::N,тыр,calma
311,Ruhe::N,тыр,silêncio
312,Leute::N,эдемвлӓ,gente
313,Leute::N,эдемвлӓ,pessoas
314,Volk::N,халык,povo
315,Volk::N,халык,nação
316,Arbeit::N,пӓшӓ,trabalho
317,Gast::N,хына,hóspede
318,Gast::N,хына,convidado
319,Geschenk::N,подарка,prenda
320,Geschenk::N,подарка,presente
321,Spiel::N,мадыш,jogo
322,Gesellschaft::N,йӓл,companhia
323,Gesellschaft::N,йӓлвлӓ,companhia
324,Hilfe::N,палшык,ajuda
325,Hilfe::N,палшык,socorro
326,Freund::N,тӓнг,amigo
327,Kamerad::N,тос,camarada
328,Angelegenheit::N,дела,assunto
329,Angelegenheit::N,йела,assunto
330,Angelegenheit::N,йыла,assunto
331,Angelegenheit::N,пӓшӓ,assunto
332,Anzahl::N,шот,número
333,Anzahl::N,шот,quantidade
334,Art::N,цӹре,tipo
335,Art::N,цӹре,espécie
336,Stück::N,лаштык,pedaço
337,Teil::N,пай,peça
338,Teil::N,пай,parte
339,Teil::N,часть,peça
340,Teil::N,часть,parte
341,Hälfte::N,пел,metade
342,Kreis::N,тӹртӹш,círculo
343,Kreuz::N,крестӹ,cruz
344,Abstand::N,ло,distância
345,Entfernung::N,ло,distância
346,Gegend::N,вӓр,área
347,Gegend::N,вӓр,região
348,Platz::N,вӓр,lugar
349,Ort::N,вӓр,sítio
350,Seite::N,öрдӹж,lado
351,Mitte::N,ло,meio
352,Gegenstand::N,хӓдӹр,objecto
353,Sache::N,хӓдӹр,coisa
354,Rand::N,шöр,bordo
355,Rand::N,шöр,margem
356,Kante::N,шöр,borda
357,Kante::N,шöр,aresta
358,Ecke::N,лык,esquina
359,Spitze::N,вуй,ponta
360,Ende::N,вуй,cabo
361,Ende::N,вуй,extremo
362,Ende::N,мычаш,cabo
363,Ende::N,мычаш,extremo
364,Loch::N,ыраж,furo
365,Loch::N,ыраж,buraco
366,Winkel::N,лык,canto
367,Winkel::N,лык,ângulo
368,Muster::N,тӹрлец,padrão
369,Muster::N,тӹрлец,desenho
370,Größe::N,кӱкшӹц,tamanho
371,Länge::N,кыт,comprimento
372,Höhe::N,кӱкшӹц,altura
373,Höhe::N,кӱкшӹц,altitude
374,Gewicht::N,нелӹц,peso
375,Menge::N,шот,quantidade
376,Haufen::N,ара,pilha
377,Reihe::N,ряд,fila
378,Boot::N,пыш,barco
379,Ruder::N,вешлӓ,remo
380,Schlitten::N,тир,trenó
381,Ski::N,ечӹ,esqui
382,Lagerfeuer::N,тыл,fogueira
383,Last::N,нелӹц,carga
384,Gang::N,ход,curso
385,Gang::N,ход,caminhada
386,Schritt::N,ашкыл,passo
387,Norden::N,йыдпелвел,norte
388,Süden::N,кечӹвӓлвел,sul
389,Westen::N,кечӹ шӹцмӹ,oeste
390,Westen::N,кечӹ шӹцмӹ,ocidente
391,Osten::N,ирвел,este
392,Osten::N,ирвел,leste
393,Osten::N,ирвел,oriente
394,Osten::N,кечӹ лӱлтмӹ,este
395,Osten::N,кечӹ лӱлтмӹ,leste
396,Osten::N,кечӹ лӱлтмӹ,oriente
397,Holz::N,пушӓнгӹ,madeira
398,Brett::N,ханга,tábua
399,Brett::N,ханга,prancha
400,Platte::N,плитӓ,laje
401,Platte::N,плитӓ,chapa
402,Stütze::N,цӓрӓк,apoio
403,Stütze::N,цӓрӓк,suporte
404,Stange::N,равы,vara
405,Stange::N,равы,barra
406,Stange::N,намаш,vara
407,Stange::N,намаш,barra
408,Stock::N,панды,pau
409,Stock::N,панды,bengala
410,Stab::N,равы,bastão
411,Rohr::N,пыч,cano
412,Haus::N,пöрт,casa
413,Heim::N,пöрт,lar
414,Heim::N,пöрт,casa
415,Ofen::N,камака,estufa
416,Ofen::N,камака,aquecedor
417,Fußboden::N,седӹрӓ,piso
418,Tisch::N,стöл,mesa
419,Stuhl::N,пöкен,cadeira
420,Wiege::N,шипкӓ,berço
421,Bett::N,койка,cama
422,Bett::N,кравать,cama
423,Regal::N,полицӓ,estante
424,Regal::N,полицӓ,prateleira
425,Kiste::N,шӱ́ндӹк,caixa
426,Fenster::N,окня,janela
427,Tür::N,амаса,porta
428,Tor::N,хапка,portão
429,Zaun::N,забор,cerca
430,Zaun::N,забор,vedação
431,Dach::N,левӓш,telhado
432,Leiter::N,ташкалтыш,escada
433,Leiter::N,ташкалтыш,escada móvel
434,Besen::N,сало,vassoura
435,Besen::N,салко,vassoura
436,Spaten::N,кольмы,pá
437,Schaufel::N,лоток,pá
438,Gabel::N,ви́лка,garfo
439,Löffel::N,савала,colher
440,Messer::N,кӹзӹ,faca
441,Nagel::N,пыда,cravo
442,Netz::N,вӓпш,rede
443,Haken::N,крӱк,gancho
444,Haken::N,кагак,gancho
