,Concept_ID,eu,ro
0,Auge::N,begi,ochi
1,Ohr::N,belarri,ureche
2,Nase::N,sudur,nas
3,Mund::N,aho,gură
4,Zahn::N,hortz,dinte
5,Zunge::N,mihi,limbă
6,Lippe::N,ezpain,buză
7,Wange::N,masail,bucă
8,Wange::N,masail,obraz
9,Gesicht::N,aurpegi,față
10,Gesicht::N,aurpegi,figură
11,Stirn::N,bekoki,frunte
12,Haar::N,ile,păr
13,Haar::N,bilo,păr
14,Schnurrbart::N,bibote,mustață
15,Schnurrbart::N,sudurpeko,mustață
16,Bart::N,bizar,barbă
17,Kinn::N,kokots,bărbie
18,Kiefer[Anatomie]::N,masailezur,falcă
19,Kehle::N,eztarri,beregată
20,Hals::N,sama,gât
21,Genick::N,garondo,ceafă
22,Kopf::N,buru,cap
23,Rücken::N,bizkar,dos
24,Rücken::N,bizkar,spate
25,Rücken::N,bizkar,spinare
26,Bauch::N,sabel,burtă
27,Bauch::N,sabel,pântece
28,Nabel::N,zilbor,buric
29,Busen::N,titi,sân
30,Busen::N,ugatz,sân
31,Brust::N,bular,piept
32,Schulter::N,besaburu,umăr
33,Schulter::N,besaburu,spate
34,Arm::N,beso,braț
35,Ellenbogen::N,ukondo,cot
36,Hand::N,esku,mână
37,Handfläche::N,ahur,palmă
38,Finger::N,hatz,deget
39,Fingernagel::N,azazkal,unghie
40,Nagel[Anatomie]::N,azazkal,unghie
41,Zeh::N,behatz,deget de la picior
42,Fuß::N,oin,picior
43,Ferse::N,orpo,călcâi
44,Ferse::N,oinburu,călcâi
45,Knie::N,belaun,genunchi
46,Oberschenkel::N,izter,coapsă
47,Bein::N,zango,picior
48,Körper::N,soin,corp
49,Haut::N,azal,piele
50,Blut::N,odol,sânge
51,Ader::N,zain,vână
52,Ader::N,zain,arteră
53,Sehne::N,gihar-zain,tendon
54,Knochen::N,hezur,os
55,Gehirn::N,garun,creier
56,Gehirn::N,burmuin,creier
57,Herz::N,bihotz,inimă
58,Magen::N,urdail,stomac
59,Leber::N,gibel,ficat
60,Atem::N,hats,răsuflare
61,Atem::N,hats,respirație
62,Atem::N,arnasa,răsuflare
63,Atem::N,arnasa,respirație
64,Hunger::N,gose,foame
65,Träne::N,malko,lacrimă
66,Geschmack::N,dasta,gust
67,Geruch::N,usain,miros
68,Schlaf::N,lo,somn
69,Traum::N,amets,vis
70,Himmel::N,zeru,cer
71,Sonne::N,eguzki,soare
72,Mond::N,ilargi,lună
73,Stern::N,izar,stea
74,Luft::N,aire,aer
75,Wind::N,haize,vânt
76,Welle::N,uhin,val
77,Welle::N,uhin,undă
78,Welle::N,olatu,val
79,Welle::N,olatu,undă
80,Wasser::N,ur,apă
81,Stein::N,harri,piatră
82,Boden::N,lur,sol
83,Boden::N,lur,pământ
84,Boden::N,zoru,sol
85,Boden::N,zoru,pământ
86,Erde::N,lur,pământ
87,Staub::N,hauts,praf
88,Rauch::N,ke,fum
89,Funke::N,zirta,scânteie
90,Funke::N,txinparta,scânteie
91,Feuer::N,su,foc
92,Licht::N,argi,lumină
93,Schatten::N,itzal,umbră
94,Schatten::N,geriza,umbră
95,Wetter::N,eguraldi,timp
96,Wetter::N,eguraldi,vreme
97,Nebel::N,laino,ceață
98,Nebel::N,laino,negură
99,Wolke::N,hodei,nor
100,Regen::N,euri,ploaie
101,Schnee::N,elur,zăpadă
102,Eis::N,horma,gheață
103,Frost::N,izotzaldi,ger
104,Kälte::N,hotz,frig
105,Hitze::N,bero,arșiță
106,Hitze::N,bero,căldură
107,Raureif::N,antzigar,chiciură
108,Regenbogen::N,ostadar,curcubeu
109,Regenbogen::N,ortzadar,curcubeu
110,Donner::N,ostots,tunet
111,Donner::N,ihurtzuri,tunet
112,Strömung::N,laster,curent
113,Tropfen::N,xorta,picătură
114,Schaum::N,bits,spumă
115,Schmutz::N,lohi,murdărie
116,Schmutz::N,zikin,murdărie
117,See::N,laku,lac
118,See::N,aintzira,lac
119,Sumpf::N,zingira,mlaștină
120,Moor::N,zohikaztegi,bărăgan
121,Wiese::N,larre,fânaț
122,Wiese::N,larre,livadă
123,Wiese::N,belardi,fânaț
