,Concept_ID,sk,ga
0,Auge::N,oko,súil
1,Ohr::N,ucho,cluas
2,Nase::N,nos,soc
3,Mund::N,ústa,béal
4,Zahn::N,zub,fiacail
5,Zunge::N,jazyk,teanga
6,Lippe::N,pera,liopa
7,Wange::N,líce,grua
8,Wange::N,líce,leiceann
9,Gesicht::N,tvár,éadan
10,Gesicht::N,tvár,aghaidh
11,Gesicht::N,obličaj,éadan
12,Gesicht::N,obličaj,aghaidh
13,Stirn::N,čelo,baithis
14,Stirn::N,čelo,clár éadain
15,Haar::N,vlas,gruaig
16,Schnurrbart::N,fúzy,croiméal
17,Bart::N,brada,féasóg
18,Kinn::N,brada,smig
19,Kiefer[Anatomie]::N,čeľusť,giall
20,Kehle::N,hrdlo,scornach
21,Hals::N,krk,muinéal
22,Genick::N,väzy,baic
23,Kopf::N,hlava,ceann
24,Rücken::N,chrbát,droim
25,Bauch::N,brucho,bolg
26,Nabel::N,pupok,imleacán
27,Busen::N,prsia,cíoch
28,Brust::N,hruď,brollach
29,Schulter::N,plece,gualainn
30,Arm::N,rameno,lámh
31,Ellenbogen::N,lakeť,uillinn
32,Hand::N,ruka,lámh
33,Handfläche::N,dlaň,bos
34,Finger::N,prst,méar
35,Fingernagel::N,necht,ionga
36,Nagel[Anatomie]::N,necht,ionga
37,Zeh::N,prst na nohe,ladhar
38,Fuß::N,noha,cos
39,Fuß::N,noha,troigh
40,Ferse::N,päta,sáil
41,Knie::N,koleno,glúin
42,Oberschenkel::N,stehno,ceathrú
43,Bein::N,noha,cos
44,Körper::N,telo,corp
45,Körper::N,telo,colainn
46,Haut::N,koža,cneas
47,Haut::N,koža,craiceann
48,Blut::N,krv,fuil
49,Ader::N,žila,
50,Sehne::N,šľacha,teannán
51,Sehne::N,šľacha,féitheog
52,Knochen::N,kosť,cnámh
53,Gehirn::N,mozog,inchinn
54,Herz::N,srdce,croí
55,Magen::N,žalúdok,bolg
56,Magen::N,žalúdok,goile
57,Leber::N,pečeň,ae
58,Atem::N,dych,anáil
59,Hunger::N,hlad,ocras
60,Träne::N,slza,deoir
61,Geschmack::N,chuť,blas
62,Geruch::N,pach,boladh
63,Schlaf::N,spánok,suan
64,Schlaf::N,spánok,codladh
65,Traum::N,sen,taibhreamh
66,Himmel::N,nebo,spéir
67,Sonne::N,slnko,grian
68,Mond::N,mesiac,ré
69,Mond::N,mesiac,gealach
70,Stern::N,hviezda,rinn
71,Stern::N,hviezda,réalta
72,Luft::N,vzduch,aer
73,Wind::N,vietor,gaoth
74,Welle::N,vlna,tonn
75,Wasser::N,voda,uisce
76,Stein::N,kameň,cloch
77,Boden::N,zem,talamh
78,Boden::N,pôda,talamh
79,Erde::N,zem,cré
80,Erde::N,zem,ithir
81,Staub::N,prach,dusta
82,Staub::N,prach,deannach
83,Rauch::N,dym,toit
84,Rauch::N,dym,deatach
85,Funke::N,iskra,drithle
86,Feuer::N,oheň,tine
87,Licht::N,svetlo,solas
88,Schatten::N,tieň,scáth
89,Wetter::N,počasie,aimsir
90,Nebel::N,hmla,ceo
91,Wolke::N,oblak,néal
92,Wolke::N,oblak,scamall
93,Wolke::N,mračno,néal
94,Wolke::N,mračno,scamall
95,Regen::N,dážď,báisteach
96,Regen::N,dážď,fearthainn
97,Schnee::N,sneh,sneachta
98,Eis::N,ľad,oighear
99,Frost::N,mráz,sioc
100,Kälte::N,zima,fuacht
101,Kälte::N,chlad,fuacht
102,Hitze::N,horúčava,teas
103,Hitze::N,horúčava,teocht
104,Raureif::N,srieň,sioc bán
105,Raureif::N,inovať,sioc bán
106,Regenbogen::N,dúha,stua ceatha
107,Regenbogen::N,dúha,bogha báistí
108,Donner::N,hrom,toirneach
109,Strömung::N,prúdenie,sruth
110,Tropfen::N,kvapka,deoir
111,Schaum::N,pena,cúr
112,Schmutz::N,špina,salachar
113,Schmutz::N,nečistota,salachar
114,See::N,jazero,loch
115,Sumpf::N,bahno,portach
116,Moor::N,močiar,caorán
117,Moor::N,močiar,móinteán
118,Wiese::N,lúka,cluain
119,Wiese::N,lúka,móinéar
120,Wald::N,les,coill
121,Wald::N,les,foraois
122,Wald::N,hora,coill
123,Wald::N,hora,foraois
124,Hügel::N,vŕšok,ard
125,Anhöhe::N,výšina,ard
126,Anhöhe::N,výšina,ardán
127,Anhöhe::N,vyvýšenina,ard
128,Anhöhe::N,vyvýšenina,ardán
129,Berg::N,hora,sliabh
130,Gipfel::N,vrchol,barr
131,Gipfel::N,vrchol,mullach
132,Höhle::N,jaskyňa,uaimh
133,Höhle::N,jaskyňa,pluais
134,Abhang::N,úbočie,fána
135,Quelle::N,prameň,foinse
136,Bach::N,potok,sruthán
137,Fluss::N,rieka,abhainn
138,Ufer::N,breh,bruach
139,Küste::N,pobrežie,cósta
140,Küste::N,pobrežie,cladach
141,Festland::N,pevnina,míntír
142,Meer::N,more,muir
143,Meer::N,more,farraige
144,Bucht::N,záliv,bá
145,Bucht::N,záliv,cuan
146,Bucht::N,zátoka,bá
147,Bucht::N,zátoka,cuan
148,Insel::N,ostrov,inis
149,Insel::N,ostrov,oileán
150,Blume::N,kvet,bláth
151,Blume::N,kvetina,bláth
152,Gras::N,tráva,féar
153,Wurzel::N,koreň,rúta
154,Wurzel::N,koreň,fréamh
155,Baum::N,strom,crann
156,Stamm::N,kmeň,stoc
157,Stamm::N,kmeň,tamhan
158,Rinde::N,kôra,coirt
159,Rinde::N,kôra,craiceann
160,Ast::N,konár,géag
161,Zweig::N,vetva,géag
162,Zweig::N,vetva,craobh
163,Blatt::N,list,duille
164,Blatt::N,list,duilleog
165,Birke::N,breza,beith
166,Birke::N,breza,crann beithe
167,Kiefer[Baum]::N,sosna,péine
