,Concept_ID,sk,ka
0,Auge::N,oko,თვალი
1,Ohr::N,ucho,ყური
2,Nase::N,nos,ცხვირი
3,Mund::N,ústa,პირი
4,Zahn::N,zub,კბილი
5,Zunge::N,jazyk,ენა
6,Lippe::N,pera,ბაგე
7,Wange::N,líce,ლოყა
8,Gesicht::N,tvár,სახე
9,Gesicht::N,obličaj,სახე
10,Stirn::N,čelo,შუბლი
11,Haar::N,vlas,თმა
12,Schnurrbart::N,fúzy,ულვაში
13,Bart::N,brada,წვერი
14,Kinn::N,brada,ნიკაპი
15,Kiefer[Anatomie]::N,čeľusť,ყბა
16,Kehle::N,hrdlo,ყელი
17,Hals::N,krk,ყელი
18,Hals::N,krk,კისერი
19,Genick::N,väzy,კეფა
20,Kopf::N,hlava,თავი
21,Rücken::N,chrbát,ზურგი
22,Bauch::N,brucho,მუცელი
23,Nabel::N,pupok,ჭიპი
24,Busen::N,prsia,ძუძუ
25,Brust::N,hruď,მკერდი
26,Schulter::N,plece,მხარი
27,Schulter::N,plece,მკლავი
28,Arm::N,rameno,ხელი
29,Ellenbogen::N,lakeť,იდაყვი
30,Hand::N,ruka,ხელი
31,Handfläche::N,dlaň,ნები
32,Handfläche::N,dlaň,ხელისგული
33,Finger::N,prst,თითი
34,Fingernagel::N,necht,ფრჩხილი
35,Nagel[Anatomie]::N,necht,ფრჩხილი
36,Zeh::N,prst na nohe,ფეხის თითი
37,Fuß::N,noha,ტერფი
38,Fuß::N,noha,ფეხისგული
39,Ferse::N,päta,ქუსლი
40,Knie::N,koleno,მუხლი
41,Oberschenkel::N,stehno,ბარძაყი
42,Bein::N,noha,ფეხი
43,Körper::N,telo,ტანი
44,Körper::N,telo,სხეული
45,Haut::N,koža,კანი
46,Blut::N,krv,სისხლი
47,Ader::N,žila,ძარღვი
48,Sehne::N,šľacha,მყესი
49,Knochen::N,kosť,ძვალი
50,Gehirn::N,mozog,ტვინი
51,Herz::N,srdce,გული
52,Magen::N,žalúdok,კუჭი
53,Leber::N,pečeň,ღვიძლი
54,Atem::N,dych,სუნთქვა
55,Hunger::N,hlad,შიმშილი
56,Träne::N,slza,ცრემლი
57,Geschmack::N,chuť,გემო
58,Geruch::N,pach,სუნი
59,Schlaf::N,spánok,ძილი
60,Traum::N,sen,სიზმარი
61,Himmel::N,nebo,ცა
62,Sonne::N,slnko,მზე
63,Mond::N,mesiac,მთვარე
64,Stern::N,hviezda,ვარსკვლავი
65,Luft::N,vzduch,ჰაერი
66,Wind::N,vietor,ქარი
67,Welle::N,vlna,ტალღა
68,Wasser::N,voda,წყალი
69,Stein::N,kameň,ქვა
70,Boden::N,zem,მიწა
71,Boden::N,pôda,მიწა
72,Erde::N,zem,ნიადაგი
73,Staub::N,prach,მტვერი
74,Rauch::N,dym,ბოლი
75,Rauch::N,dym,კვამლი
76,Funke::N,iskra,ნაკვესი
77,Feuer::N,oheň,ცეცხლი
78,Licht::N,svetlo,შუქი
79,Licht::N,svetlo,სინათლე
80,Schatten::N,tieň,ლანდი
81,Schatten::N,tieň,ჩრდილი
82,Wetter::N,počasie,ამინდი
83,Nebel::N,hmla,ნისლი
84,Wolke::N,oblak,ღრუბელი
85,Wolke::N,mračno,ღრუბელი
86,Regen::N,dážď,წვიმა
87,Schnee::N,sneh,თოვლი
88,Eis::N,ľad,თოში
89,Eis::N,ľad,ყინული
90,Frost::N,mráz,ყინვა
91,Kälte::N,zima,სიცივე
92,Kälte::N,chlad,სიცივე
93,Hitze::N,horúčava,სიცხე
94,Raureif::N,srieň,ჭირხლი
95,Raureif::N,srieň,თრთვილი
96,Raureif::N,inovať,ჭირხლი
97,Raureif::N,inovať,თრთვილი
98,Regenbogen::N,dúha,ცისარტყელა
99,Donner::N,hrom,ქუხილი
100,Strömung::N,prúdenie,დინება
101,Tropfen::N,kvapka,წვეთი
102,Schaum::N,pena,ქაფი
103,Schaum::N,pena,დორბლი
104,Schmutz::N,špina,ჭუჭყი
105,Schmutz::N,špina,ტალახი
106,Schmutz::N,nečistota,ჭუჭყი
107,Schmutz::N,nečistota,ტალახი
108,See::N,jazero,ტბა
109,Sumpf::N,bahno,ჭაობი
110,Moor::N,močiar,ტორფნარი
111,Wiese::N,lúka,ველი
112,Wiese::N,lúka,მდელო
113,Wald::N,les,ტყე
114,Wald::N,hora,ტყე
115,Hügel::N,vŕšok,ბორცვი
116,Anhöhe::N,výšina,მაღლობი
117,Anhöhe::N,vyvýšenina,მაღლობი
118,Berg::N,hora,მთა
119,Gipfel::N,vrchol,მწვერვალი
120,Höhle::N,jaskyňa,მღვიმე
121,Höhle::N,jaskyňa,გამოქვებული
122,Abhang::N,úbočie,ფერდობი
123,Quelle::N,prameň,წყარო
124,Quelle::N,prameň,სათავე
125,Bach::N,potok,რუ
126,Bach::N,potok,ნაკადული
127,Fluss::N,rieka,მდინარე
128,Ufer::N,breh,კიდე
129,Ufer::N,breh,ნაპირი
130,Küste::N,pobrežie,ნაპირი
131,Festland::N,pevnina,ხმელეთი
132,Meer::N,more,ზღვა
133,Bucht::N,záliv,ყურე
134,Bucht::N,zátoka,ყურე
135,Insel::N,ostrov,კუნძული
136,Blume::N,kvet,ყვავილი
137,Blume::N,kvetina,ყვავილი
138,Gras::N,tráva,ბალახი
139,Wurzel::N,koreň,ძირი
140,Wurzel::N,koreň,ფესვი
141,Baum::N,strom,ხე
142,Stamm::N,kmeň,ტანი
143,Rinde::N,kôra,ქერქი
144,Ast::N,konár,ტოტი
145,Zweig::N,vetva,შტო
146,Blatt::N,list,ფოთოლი
147,Birke::N,breza,არყი
148,Kiefer[Baum]::N,sosna,ფიჭვი
149,Kiefer[Baum]::N,borovica,ფიჭვი
150,Weide[Baum]::N,vŕba,ტირიფი
151,Tanne::N,jedľa,ნაძვი
152,Horn::N,roh,რქა
153,Feder::N,pero,ფრთა
154,Fell::N,koža,ტყავი
155,Fell::N,kožušina,ტყავი
156,Flügel::N,krídlo,ფრთა
157,Klaue::N,paznecht,კლანჭი
158,Kralle::N,pazúr,ტორი
159,Schwanz::N,chvost,კუდი
160,Ei::N,vajce,კვერცხი
161,Ei::N,vajíčko,კვერცხი
