,Concept_ID,myv,hy
0,Auge::N,сельме,աչք
1,Ohr::N,пиле,ականջ
2,Nase::N,судо,քիթ
3,Mund::N,курго,բերան
4,Zahn::N,пей,ատամ
5,Zunge::N,кель,լեզու
6,Lippe::N,турва,շրթունք
7,Wange::N,чамабока,այտ
8,Wange::N,чамабока,թուշ
9,Wange::N,чамаумарь,այտ
10,Wange::N,чамаумарь,թուշ
11,Gesicht::N,чама,դեմք
12,Stirn::N,коня,ճակատ
13,Haar::N,черь,մազ
14,Schnurrbart::N,ус,բեղ
15,Schnurrbart::N,муюк,բեղ
16,Bart::N,сакал,մորուք
17,Kinn::N,уло,կզակ
18,Kiefer[Anatomie]::N,пейпакар,ծնոտ
19,Kiefer[Anatomie]::N,пейловажа,ծնոտ
20,Kehle::N,кирьгапарь,կոկորդ
21,Hals::N,кирьга,վիզ
22,Hals::N,кирьга,պարանոց
23,Genick::N,човонь,ծոծրակ
24,Kopf::N,пря,գլուխ
25,Rücken::N,копорь,մեջք
26,Bauch::N,пеке,փոր
27,Bauch::N,пеке,որովայն
28,Nabel::N,почо,պորտ
29,Busen::N,поте,ծոց
30,Brust::N,меште,կուրծք
31,Schulter::N,лавтов,ուս
32,Arm::N,кедь,թեւ
33,Arm::N,кедь,բազուկ
34,Ellenbogen::N,кенерепакарь,արմունկ
35,Hand::N,кедь,ձեռք
36,Handfläche::N,кедькуншка,ափ
37,Handfläche::N,кедьлапушка,ափ
38,Finger::N,сур,մատ
39,Fingernagel::N,кенже,եղունգ
40,Nagel[Anatomie]::N,кенже,եղունգ
41,Zeh::N,пильге сур,ոտքի մատ
42,Fuß::N,пильге,ոտք
43,Ferse::N,кочкаря,գարշապար
44,Knie::N,эле,ծունկ
45,Knie::N,эзне,ծունկ
46,Knie::N,кумажа,ծունկ
47,Oberschenkel::N,качо,ազդր
48,Bein::N,пильге,ոտք
49,Körper::N,рунго,մարմին
50,Haut::N,киське,մաշկ
51,Blut::N,верь,արյուն
52,Ader::N,сан,երակ
53,Sehne::N,коське сан,ջիղ
54,Sehne::N,коське сан,ձգտան
55,Knochen::N,пакарь,ոսկոր
56,Gehirn::N,удем,խելք
57,Herz::N,седей,սիրտ
58,Magen::N,пеке,ստամոքս
59,Leber::N,максо,լյարդ
60,Atem::N,лексема,շունչ
61,Atem::N,оймень таргсема,շունչ
62,Hunger::N,вачочи,քաղց
63,Träne::N,селведь,արտասուք
64,Geschmack::N,тансть,համ
65,Geschmack::N,тансть,բուրմունք
66,Geruch::N,чине,հոտ
67,Geruch::N,чине,բուրում
68,Schlaf::N,удома,քուն
69,Traum::N,он,երազ
70,Himmel::N,менель,երկինք
71,Sonne::N,чи,արեւ
72,Mond::N,ков,լուսին
73,Stern::N,теште,աստղ
74,Luft::N,кошт,օդ
75,Wind::N,варма,քամի
76,Welle::N,толкун,ալիք
77,Wasser::N,ведь,ջուր
78,Stein::N,кев,քար
79,Boden::N,мода,գետին
80,Erde::N,мастор,հող
81,Staub::N,пуль,փոշի
82,Rauch::N,качамо,ծուխ
83,Funke::N,сятко,կայծ
84,Feuer::N,тол,կրակ
85,Feuer::N,тол,հրդեհ
86,Licht::N,валдо,լույս
87,Schatten::N,сулей,ստվեր
88,Schatten::N,сулейкс,ստվեր
89,Wetter::N,ушо,եղանակ
90,Nebel::N,сув,մեգ
91,Nebel::N,сув,մառախուղ
92,Wolke::N,пель,ամպ
93,Regen::N,пиземс,անձրև
94,Schnee::N,лов,ձյուն
95,Eis::N,эй,սառույց
96,Frost::N,кельме,սառնամանիք
97,Kälte::N,якшамо,դող
98,Hitze::N,пси,շոգ
99,Raureif::N,лекш,ցօղեղեամ
100,Regenbogen::N,пурьгинечирьке,ծիածան
101,Regenbogen::N,пурьгинеёнкс,ծիածան
102,Donner::N,пурьгине,որոտ
103,Strömung::N,чудема,հոսանք
104,Strömung::N,чудевкс,հոսանք
105,Tropfen::N,петнявкс,կաթիլ
106,Schaum::N,чов,փրփուր
107,Schmutz::N,рудаз,կեղտ
108,See::N,эрьке,լիճ
109,Sumpf::N,чей,ճահիճ
110,Moor::N,чей,ճահիճ
111,Wiese::N,луга,մարգագետին
112,Wald::N,вирь,անտառ
113,Hügel::N,губорь,բլուր
114,Hügel::N,пандыне,բլուր
115,Anhöhe::N,губорь,բարձունք
116,Anhöhe::N,пандыне,բարձունք
117,Berg::N,пандо,լեռ
118,Gipfel::N,пря,գագաթ
119,Gipfel::N,пря,կատար
120,Höhle::N,пещера,քարայր
121,Abhang::N,пандочама,լանջ
122,Abhang::N,пандочама,զառիվայր
123,Quelle::N,ушодкс,աղբյուր
124,Bach::N,чудикерькс,վտակ
125,Fluss::N,лей,գետ
