,Concept_ID,lbe,ab
0,Auge::N,я,ала
1,Ohr::N,вичӏи,алымҳа
2,Nase::N,май,аҧынҵа
3,Mund::N,кьацӏ,аҧышə
4,Zahn::N,ккарччи,ахаҧыц
5,Zunge::N,маз,абз
6,Lippe::N,мурччи,ақьышə
7,Wange::N,чӏав,аӡамҩа
8,Gesicht::N,лажин,аҿы
9,Stirn::N,ненттабакӏ,алахь
10,Haar::N,чӏара,ахəыц
11,Schnurrbart::N,ссирссилтту,аҧаҵа
12,Bart::N,чӏири,ажакьа
13,Kinn::N,лунттубакӏ,ацламкəыгə
14,Kiefer[Anatomie]::N,ххинчулул,ацламҳəа
15,Kehle::N,кьакьари,ахəда
16,Hals::N,ссурссу,ахəда
17,Genick::N,махъабакӏ,ахəдаџьал
18,Kopf::N,бакӏ,ахы
19,Rücken::N,ттиликӏ,азқəа
20,Bauch::N,лякьа,амгəа
21,Nabel::N,цӏумуккутӏ,аҷапан
22,Busen::N,ккукку,агəыҧҳəы
23,Brust::N,хъазам,агəышҧы
24,Schulter::N,хъачӏ,ажəҩахыр
25,Arm::N,ка,амахəар
26,Ellenbogen::N,ссюрхъ,амашьхəылҵ
27,Hand::N,бартка,анапы
28,Handfläche::N,хъат,анапсаргəыҵа
29,Handfläche::N,битӏянхъ,анапсаргəыҵа
30,Finger::N,кӏисса,анацəа
31,Fingernagel::N,михь,анапхыц
32,Nagel[Anatomie]::N,михь,ашьапхыц
33,Zeh::N,кӏисса,ашьацəа
34,Fuß::N,чӏанччан,ашьапсыргəыҵа
35,Ferse::N,никъа,ашьхəа
36,Knie::N,ник,ашьамхы
37,Oberschenkel::N,жира,ауаҭəа
38,Bein::N,ччан,ашьапы
39,Körper::N,чурх,ацəеижь
40,Haut::N,бурчу,ацəа
41,Blut::N,оь,ашьа
42,Ader::N,тунну,ада
43,Sehne::N,хьхьа,адаш
44,Knochen::N,ттаркӏ,абаҩ
45,Gehirn::N,ня,ахшлыбаҩ
46,Gehirn::N,ня,ахшыбаҩ
47,Herz::N,дакӏ,агəы
48,Herz::N,къюкӏ,агəы
49,Magen::N,лякьа,аца
50,Magen::N,лякьа,ацар
51,Atem::N,ссихӏ ласаву,аҧсыҧлагаҩгара
52,Atem::N,ссихӏ бигьаву,аҧсыҧлагаҩгара
53,Hunger::N,ккаши,амла
54,Träne::N,макь,алабжыш
55,Geschmack::N,тӏин,агьама
56,Geschmack::N,тӏааьн,агьама
57,Geruch::N,кьанкь,афҩы
58,Schlaf::N,шану,ацəа
59,Traum::N,макӏру,аҧхыӡ
60,Himmel::N,ссав,ажəҩан
61,Sonne::N,баргъ,амра
62,Mond::N,барз,амза
63,Stern::N,цӏуку,аеҵəа
64,Luft::N,гьава,аҳаир
65,Wind::N,марч,аҧша
66,Welle::N,щатӏи,ацəқəырҧа
67,Wasser::N,щин,аӡы
68,Stein::N,чару,ахаҳə
69,Boden::N,аьрщи,адгьыл
70,Erde::N,аьрщи,адгьыл
71,Staub::N,ххит,асаба
72,Rauch::N,пуркӏу,алҩа
73,Funke::N,пиягь,акəиц
74,Funke::N,пиягь,ацҧхь
75,Feuer::N,цӏу,амца
76,Licht::N,чани,алашара
77,Schatten::N,ххют,ашəшьыра
78,Wetter::N,гьава,амш
79,Nebel::N,шархь ттурлу,анаҟəа
80,Wolke::N,ттурлу,аҧсҭҳəа
81,Regen::N,гъарал,ақəа
82,Schnee::N,марххала,асы
83,Eis::N,микӏ,аҵаа
84,Frost::N,дяркъу,аҵаа
85,Frost::N,замгьар,аҵаа
86,Kälte::N,дяркъу,ахьҭа
87,Hitze::N,кӏиришиву,ашоура
88,Raureif::N,сил,аҵааҧшқа
89,Raureif::N,бурса,аҵааҧшқа
90,Regenbogen::N,ссурул ккуртта,ацəаҟəа
91,Donner::N,къув,адыд
92,Strömung::N,экьинанаву,аиасра
93,Strömung::N,экьинанаву,амҩасра
94,Tropfen::N,кӏунтӏ,ацəыкəбар
95,Schaum::N,хьама,ашəах
96,Schmutz::N,кьяркьи,алымт
97,See::N,бяр,аӡиа
98,Sumpf::N,кунцӏа,аӡмах
99,Wiese::N,кьан,адəы
100,Wald::N,вацӏа,абна
101,Hügel::N,бакӏу,ахəы
102,Berg::N,зунтту,ашьха
103,Gipfel::N,мицӏ,ацəқəа
104,Höhle::N,нух,аҳаҧы
105,Abhang::N,сун,анаара
106,Quelle::N,дайдихьу,аҵҵырҭа
107,Quelle::N,бакӏ,аҵҵырҭа
108,Bach::N,чӏрир нех,акəараҷҷа
109,Fluss::N,нех,аӡиас
110,Ufer::N,зума,ахықə
111,Küste::N,зумаинхалу,ахықə
112,Küste::N,зуманицӏалу,ахықə
113,Festland::N,кьири,абарра
114,Meer::N,хьхьири,амшын
115,Insel::N,жазира,адгьылбжьаха
116,Blume::N,тӏутӏи,ашəҭ
117,Gras::N,уртту,аҳасакьын
118,Wurzel::N,мархха,адац
119,Baum::N,мурхь,аҵла
120,Stamm::N,ттарцӏ,ашьапы
121,Rinde::N,ккамара,ацəа
122,Ast::N,матӏи,амахə
123,Ast::N,матӏи,амахəҭа
124,Zweig::N,къяртта,амахə
125,Zweig::N,къяртта,амахəҭа
126,Blatt::N,чӏапӏи,абҕьы
127,Birke::N,кӏялахӏи,аҵааҵла
128,Birke::N,кӏялахӏилул мурхь,аҵааҵла
129,Kiefer[Baum]::N,ттар,амза
130,Kiefer[Baum]::N,ттарлил мурхь,амза
131,Weide[Baum]::N,щавщи,аҧслыш
132,Tanne::N,ттарлил мурхь,аҧсаӡ
133,Horn::N,хъи,атəыҩа
134,Feder::N,лелуххул тӏиму,ахӡы
135,Fell::N,бурчу,ацəа
136,Flügel::N,хъа,амҵəыжəа
137,Flügel::N,ххурупӏайрал тӏиму,амҵəыжəа
138,Klaue::N,михь,ашьапхыц
139,Kralle::N,ххяппа,
140,Schwanz::N,магъ,аҵыхəа
141,Ei::N,ккунук,акəтаӷь
142,Nest::N,кюру,аҭра
143,Nest::N,кюру,аҵысҭра
144,Bau::N,цукъуккутӏ,аҭыҩра
145,Tier::N,хӏайван,аҧстəы
146,Tier::N,хӏайван,агыгшəыг
147,Herde::N,газу,агəарҭа
148,Kuh::N,оьл,ажə
149,Bulle::N,ниц,ацə
150,Pferd::N,чу,аҽы
151,Schaf::N,тта,ауаса
152,Schwein::N,дунгъуз,аҳəа
153,Hund::N,ккаччи,ала
