,Concept_ID,lez,ady
0,Auge::N,вил,нэ
1,Ohr::N,яб,тхьакӏу́м
2,Nase::N,нер,пэ
3,Mund::N,сив,жэ
4,Zahn::N,сас,цэ
5,Zahn::N,свах,цэ
6,Zunge::N,мез,бзэгу
7,Lippe::N,пӏуз,ӏупшӏэ́
8,Wange::N,хъвехъ,нэкӏу́шъу
9,Gesicht::N,ччин,нэ́гу
10,Stirn::N,пел,натӏэ́
11,Haar::N,чӏар,шъхьацы́
12,Schnurrbart::N,спел,
13,Schnurrbart::N,спелар,
14,Bart::N,ччуру,жакӏэ́
15,Kinn::N,чене,жэкӏэпэпкъ
16,Kiefer[Anatomie]::N,чене,жэпкъы́
17,Kehle::N,туьд,чый
18,Hals::N,гардан,пшъэ
19,Genick::N,кьам,шъхьэпхэтыку
20,Kopf::N,кьил,шъхьэ́
21,Rücken::N,далу,кӏыбы́
22,Bauch::N,руфун,ныбэ́
23,Nabel::N,пицӏ,
24,Busen::N,мам,бгъэ́
25,Brust::N,хур,бгъэ́
26,Schulter::N,къуьн,блыпкъ
27,Arm::N,гъил,ӏэ
28,Ellenbogen::N,кьуьнт,ӏэнтэ́гъу
29,Hand::N,капаш,ӏэтхьэцу
30,Handfläche::N,капан юкь,ӏэ́гу
31,Finger::N,тӏуб,ӏэхъуа́мб
32,Fingernagel::N,кек,ӏэбжъа́н
33,Nagel[Anatomie]::N,кек,ӏэбжъа́н
34,Zeh::N,кул,ӏэхъуа́мб
35,Fuß::N,кӏвач,лъэгу
36,Ferse::N,дабан,лъэдакъэ
37,Knie::N,мет,лъагуа́ндж
38,Bein::N,кӏвач,лъакъо́
39,Körper::N,беден,пкъышъол
40,Haut::N,хам,кӏы́шъу
41,Blut::N,иви,лъы
42,Ader::N,дамар,льытф
43,Sehne::N,кьуру дамар,фэ
44,Knochen::N,кӏараб,къупшъхьэ́
45,Gehirn::N,мефт,куцӏы
46,Herz::N,рикӏ,гу
47,Magen::N,хук,мышкӏу
48,Leber::N,лекь,шӏу
49,Atem::N,ял,къэщэныр
50,Atem::N,нефес,къэщэныр
51,Hunger::N,каш,гъаблэ́
52,Träne::N,вилин нагъв,нэпсы
53,Geschmack::N,дад,ӏэшӏугъа́кӏ
54,Geschmack::N,тӏям,ӏэшӏугъа́кӏ
55,Geruch::N,ни,мэ
56,Schlaf::N,ахвар,пчыхьы́пӏ
57,Traum::N,ахвар,пчыхьы́пӏ
58,Himmel::N,цав,уашъо́
59,Sonne::N,рагъ,тыгъэ
60,Mond::N,варз,мазэ
61,Stern::N,гъед,жъуагъо́
62,Luft::N,гьава,жьы
63,Wind::N,гар,жьыбгъэ́
64,Welle::N,лепе,ор
65,Welle::N,лепе,оры
66,Wasser::N,яд,псы
67,Stein::N,къван,мыжъо́
68,Boden::N,накьв,чӏ́ыгу
69,Erde::N,ччил,чӏ́ыгу
70,Staub::N,руг,сап
71,Rauch::N,гум,ӏугъо́
72,Funke::N,цӏелхем,мэшӏуа́ч
73,Feuer::N,цӏай,машӏо́
74,Licht::N,экв,нэфы
75,Licht::N,экв,нэфын
76,Schatten::N,серин,жьау́
77,Schatten::N,серин,ныбжьыкъу
78,Wetter::N,гьава,
79,Nebel::N,ччилин циф,пща́гъу
80,Wolke::N,циф,ошъуапщэ
81,Regen::N,марф,ощхы
82,Schnee::N,жив,осы́
83,Eis::N,мурк,мылы
84,Frost::N,аяз,
85,Kälte::N,мекь,чъыӏэ́
86,Kälte::N,мекьивал,чъыӏэ́
87,Hitze::N,зегьем,фэба́е
88,Raureif::N,къирав,
89,Regenbogen::N,яргъируш, лэгъупэкъо́пс
90,Donner::N,цавун ван,шыблэ́
91,Tropfen::N,стӏал,ткӏопс
92,Tropfen::N,стӏал,гъуаткӏу
93,Schaum::N,каф,тхъурбэ
94,Schmutz::N,чирк,псынжъы
95,Schmutz::N,кьуруш,псынжъы
96,See::N,вир,хыку́м
97,See::N,вир,псыхъура́й
98,Sumpf::N,уьлен,орыжъ
99,Wiese::N,векь,хъупӏэ́
100,Wiese::N,векь,мэкъупӏ
101,Wald::N,там,мэзы́
102,Hügel::N,кӏунтӏ,ӏуашъхь
103,Anhöhe::N,тепе,чӏыӏэтыгъ
104,Anhöhe::N,гьуьндуьрвал,чӏыӏэтыгъ
105,Berg::N,дагъ,къушъхьэ́
106,Gipfel::N,кӏукӏ,шыгу
107,Höhle::N,кьветӏ,гъочӏэгъ
108,Abhang::N,гуьне,чапэ
109,Quelle::N,чешме,псынэчэ́чъ
110,Bach::N,булах,псышкуашку
111,Fluss::N,вацӏ,псыхъо́
112,Ufer::N,къерех,нэпкъы
113,Küste::N,къерех,ӏушъо
114,Festland::N,кьурамат,чӏл́ыгу
115,Meer::N,гьуьл,хы
116,Bucht::N,бухта,хыблыгу
117,Insel::N,остров,хыгъэхъу́н
118,Blume::N,цуьк,къэгъа́гь
119,Gras::N,хъач,уцы́
120,Wurzel::N,дувул,лъапсэ́
121,Baum::N,ттар,чъыгы́
122,Stamm::N,тан,пкъы
123,Rinde::N,чкал,пхъашъо́
124,Ast::N,тӏур,куамэ
125,Zweig::N,хел,къутамэ́
126,Blatt::N,пеш,тхьап
127,Birke::N,верх,пчэн
128,Kiefer[Baum]::N,шамагъаж,сэснэй
129,Weide[Baum]::N,цӏвелин ттар,пце́л
130,Tanne::N,ель,ель
131,Horn::N,карч,бжъэ
132,Feder::N,цӏакул,къамӏы́й
133,Fell::N,хам,шъо
134,Flügel::N,лув,тамэ́
135,Klaue::N,къармах,лъэбжъа́н
136,Kralle::N,пац,лъакъо
137,Kralle::N,тапас,лъакъо
138,Schwanz::N,ттум,кӏэ
139,Ei::N,кака,кӏэнкӏэ́
140,Nest::N,муг,набгъо́
141,Bau::N,тӏеквен,гъу
142,Bau::N,тӏеквен,бы
143,Tier::N,гьайван,псэу́шъхь
144,Herde::N,суьруь,ӏэхъогъу
145,Kuh::N,ккал,чэмы́
146,Bulle::N,яц,цу
147,Bulle::N,бугъа,цу
148,Pferd::N,балкӏан,шы
149,Schaf::N,хеб,мэлы́
150,Schwein::N,вак,къо
151,Hund::N,кицӏ,бьэ
152,Katze::N,кац,чэты́у
153,Bär::N,сев,мышъэ́
