,Concept_ID,ro,ro
0,Auge::N,ochi,ochi
1,Ohr::N,ureche,ureche
2,Nase::N,nas,nas
3,Mund::N,gură,gură
4,Zahn::N,dinte,dinte
5,Zunge::N,limbă,limbă
6,Lippe::N,buză,buză
7,Wange::N,bucă,bucă
8,Wange::N,bucă,obraz
9,Wange::N,obraz,bucă
10,Wange::N,obraz,obraz
11,Gesicht::N,față,față
12,Gesicht::N,față,figură
13,Gesicht::N,figură,față
14,Gesicht::N,figură,figură
15,Stirn::N,frunte,frunte
16,Haar::N,păr,păr
17,Schnurrbart::N,mustață,mustață
18,Bart::N,barbă,barbă
19,Kinn::N,bărbie,bărbie
20,Kiefer[Anatomie]::N,falcă,falcă
21,Kehle::N,beregată,beregată
22,Hals::N,gât,gât
23,Genick::N,ceafă,ceafă
24,Kopf::N,cap,cap
25,Rücken::N,dos,dos
26,Rücken::N,dos,spate
27,Rücken::N,dos,spinare
28,Rücken::N,spate,dos
29,Rücken::N,spate,spate
30,Rücken::N,spate,spinare
31,Rücken::N,spinare,dos
32,Rücken::N,spinare,spate
33,Rücken::N,spinare,spinare
34,Bauch::N,burtă,burtă
35,Bauch::N,burtă,pântece
36,Bauch::N,pântece,burtă
37,Bauch::N,pântece,pântece
38,Nabel::N,buric,buric
39,Busen::N,sân,sân
40,Brust::N,piept,piept
41,Schulter::N,umăr,umăr
42,Schulter::N,umăr,spate
43,Schulter::N,spate,umăr
44,Schulter::N,spate,spate
45,Arm::N,braț,braț
46,Ellenbogen::N,cot,cot
47,Hand::N,mână,mână
48,Handfläche::N,palmă,palmă
49,Finger::N,deget,deget
50,Fingernagel::N,unghie,unghie
51,Nagel[Anatomie]::N,unghie,unghie
52,Zeh::N,deget de la picior,deget de la picior
53,Fuß::N,picior,picior
54,Ferse::N,călcâi,călcâi
55,Knie::N,genunchi,genunchi
56,Oberschenkel::N,coapsă,coapsă
57,Bein::N,picior,picior
58,Körper::N,corp,corp
59,Haut::N,piele,piele
60,Blut::N,sânge,sânge
61,Ader::N,vână,vână
62,Ader::N,vână,arteră
63,Ader::N,arteră,vână
64,Ader::N,arteră,arteră
65,Sehne::N,tendon,tendon
66,Knochen::N,os,os
67,Gehirn::N,creier,creier
68,Herz::N,inimă,inimă
69,Magen::N,stomac,stomac
70,Leber::N,ficat,ficat
71,Atem::N,răsuflare,răsuflare
72,Atem::N,răsuflare,respirație
73,Atem::N,respirație,răsuflare
74,Atem::N,respirație,respirație
75,Hunger::N,foame,foame
76,Träne::N,lacrimă,lacrimă
77,Geschmack::N,gust,gust
78,Geruch::N,miros,miros
79,Schlaf::N,somn,somn
80,Traum::N,vis,vis
81,Himmel::N,cer,cer
82,Sonne::N,soare,soare
83,Mond::N,lună,lună
84,Stern::N,stea,stea
85,Luft::N,aer,aer
86,Wind::N,vânt,vânt
87,Welle::N,val,val
88,Welle::N,val,undă
89,Welle::N,undă,val
90,Welle::N,undă,undă
91,Wasser::N,apă,apă
92,Stein::N,piatră,piatră
93,Boden::N,sol,sol
94,Boden::N,sol,pământ
95,Boden::N,pământ,sol
96,Boden::N,pământ,pământ
97,Erde::N,pământ,pământ
98,Staub::N,praf,praf
99,Rauch::N,fum,fum
100,Funke::N,scânteie,scânteie
101,Feuer::N,foc,foc
102,Licht::N,lumină,lumină
103,Schatten::N,umbră,umbră
104,Wetter::N,timp,timp
105,Wetter::N,timp,vreme
106,Wetter::N,vreme,timp
107,Wetter::N,vreme,vreme
108,Nebel::N,ceață,ceață
109,Nebel::N,ceață,negură
110,Nebel::N,negură,ceață
111,Nebel::N,negură,negură
112,Wolke::N,nor,nor
113,Regen::N,ploaie,ploaie
114,Schnee::N,zăpadă,zăpadă
115,Eis::N,gheață,gheață
116,Frost::N,ger,ger
117,Kälte::N,frig,frig
118,Hitze::N,arșiță,arșiță
119,Hitze::N,arșiță,căldură
120,Hitze::N,căldură,arșiță
121,Hitze::N,căldură,căldură
122,Raureif::N,chiciură,chiciură
123,Regenbogen::N,curcubeu,curcubeu
124,Donner::N,tunet,tunet
125,Strömung::N,curent,curent
126,Tropfen::N,picătură,picătură
127,Schaum::N,spumă,spumă
128,Schmutz::N,murdărie,murdărie
129,See::N,lac,lac
130,Sumpf::N,mlaștină,mlaștină
131,Moor::N,bărăgan,bărăgan
132,Wiese::N,fânaț,fânaț
133,Wiese::N,fânaț,livadă
134,Wiese::N,livadă,fânaț
135,Wiese::N,livadă,livadă
136,Wald::N,codru,codru
137,Wald::N,codru,pădure
138,Wald::N,pădure,codru
139,Wald::N,pădure,pădure
140,Hügel::N,deal,deal
141,Hügel::N,deal,movilă
142,Hügel::N,movilă,deal
143,Hügel::N,movilă,movilă
144,Anhöhe::N,deal,deal
145,Anhöhe::N,deal,ridicătură
146,Anhöhe::N,ridicătură,deal
147,Anhöhe::N,ridicătură,ridicătură
148,Berg::N,munte,munte
149,Gipfel::N,pisc,pisc
150,Höhle::N,peșteră,peșteră
151,Abhang::N,pantă,pantă
152,Abhang::N,pantă,versant
153,Abhang::N,versant,pantă
154,Abhang::N,versant,versant
155,Quelle::N,izvor,izvor
156,Bach::N,gârlă,gârlă
157,Fluss::N,râu,râu
158,Fluss::N,râu,fluviu
159,Fluss::N,fluviu,râu
160,Fluss::N,fluviu,fluviu
161,Ufer::N,mal,mal
162,Ufer::N,mal,țărm
163,Ufer::N,țărm,mal
164,Ufer::N,țărm,țărm
165,Küste::N,coastă,coastă
166,Festland::N,uscat,uscat
167,Meer::N,mare,mare
168,Bucht::N,golf,golf
169,Insel::N,insulă,insulă
170,Blume::N,floare,floare
171,Gras::N,iarbă,iarbă
172,Wurzel::N,rădăcină,rădăcină
173,Baum::N,copac,copac
174,Baum::N,copac,arbore
175,Baum::N,arbore,copac
176,Baum::N,arbore,arbore
177,Stamm::N,tulpină,tulpină
178,Rinde::N,scoarță,scoarță
179,Ast::N,cracă,cracă
180,Ast::N,cracă,creangă
181,Ast::N,creangă,cracă
182,Ast::N,creangă,creangă
183,Zweig::N,ramură,ramură
184,Zweig::N,ramură,creangă
185,Zweig::N,creangă,ramură
186,Zweig::N,creangă,creangă
187,Blatt::N,frunză,frunză
188,Birke::N,mesteacăn,mesteacăn
189,Kiefer[Baum]::N,pin,pin
190,Weide[Baum]::N,salcie,salcie
191,Weide[Baum]::N,salcie,răchită
192,Weide[Baum]::N,răchită,salcie
193,Weide[Baum]::N,răchită,răchită
194,Tanne::N,brad,brad
195,Horn::N,corn,corn
196,Feder::N,pană,pană
197,Fell::N,piele,piele
198,Flügel::N,aripă,aripă
199,Klaue::N,gheară,gheară
200,Kralle::N,labă,labă
201,Kralle::N,labă,gheară
202,Kralle::N,gheară,labă
203,Kralle::N,gheară,gheară
204,Schwanz::N,coadă,coadă
205,Ei::N,ou,ou
206,Nest::N,cuib,cuib
207,Bau::N,bârlog,bârlog
208,Bau::N,bârlog,vizuină
209,Bau::N,vizuină,bârlog
210,Bau::N,vizuină,vizuină
211,Tier::N,animal,animal
212,Herde::N,turmă,turmă
213,Herde::N,turmă,cireadă
214,Herde::N,cireadă,turmă
215,Herde::N,cireadă,cireadă
216,Kuh::N,vacă,vacă
217,Bulle::N,taur,taur
218,Pferd::N,cal,cal
219,Schaf::N,oaie,oaie
220,Schwein::N,porc,porc
221,Hund::N,câine,câine
222,Katze::N,pisică,pisică
223,Bär::N,urs,urs
224,Eichhörnchen::N,veveriță,veveriță
225,Elch::N,elan,elan
226,Fuchs::N,vulpe,vulpe
227,Hase::N,iepure,iepure
228,Maus::N,șoarece,șoarece
229,Wolf::N,lup,lup
230,Vogel::N,pasăre,pasăre
231,Schwarm::N,cârd,cârd
232,Huhn::N,găină,găină
233,Hahn::N,cocoș,cocoș
234,Gans::N,gâscă,gâscă
235,Adler::N,vultur,vultur
236,Ente::N,rață,rață
237,Eule::N,bufniță,bufniță
238,Kranich::N,cocor,cocor
239,Krähe::N,cioară,cioară
240,Kuckuck::N,cuc,cuc
241,Schwan::N,lebădă,lebădă
242,Fisch::N,pește,pește
243,Barsch::N,biban,biban
244,Hecht::N,știucă,știucă
245,Schlange[Tier]::N,șarpe,șarpe
246,Wurm::N,vierme,vierme
247,Spinne::N,păianjen,păianjen
248,Ameise::N,furnică,furnică
249,Laus::N,păduche,păduche
250,Mücke::N,țânțar,țânțar
251,Fliege::N,muscă,muscă
252,Schmetterling::N,fluture,fluture
253,Beere::N,boabă,boabă
254,Apfel::N,măr,măr
255,Pilz::N,burete,burete
256,Pilz::N,burete,ciupercă
257,Pilz::N,ciupercă,burete
258,Pilz::N,ciupercă,ciupercă
259,Zwiebel::N,ceapă,ceapă
260,Saat::N,semănătură,semănătură
261,Korn::N,grâu,grâu
262,Heu::N,fân,fân
263,Schale::N,coajă,coajă
