,Concept_ID,la,kl
0,Auge::N,oculus,isi
1,Ohr::N,auris,siut
2,Nase::N,nasus,
3,Mund::N,os,paaq
4,Mund::N,os,qaneq
5,Zahn::N,dens,kigut
6,Zunge::N,lingua,oqaq
7,Lippe::N,labrum,qarloq
8,Wange::N,gena,ersaq
9,Gesicht::N,vultus,kiinaq
10,Stirn::N,frons,qaaq
11,Haar::N,capillus,meqqoq
12,Schnurrbart::N,barba labri superioris,
13,Bart::N,barba,umik
14,Kinn::N,mentum,talloq
15,Kiefer[Anatomie]::N,mala,alleroq
16,Kehle::N,iugulums,malaq
17,Hals::N,collum,qungaseq
18,Genick::N,cervices,pukusuk
19,Kopf::N,caput,niaqoq
20,Rücken::N,tergum,qimerlut
21,Bauch::N,venter,naaq
22,Nabel::N,umbilicus,qalaseq
23,Busen::N,sinus,iviangeq
24,Brust::N,pectus,iviangeq
25,Schulter::N,umerus,ersik
26,Schulter::N,umerus,assaqqoq
27,Arm::N,bracchium,taleq
28,Ellenbogen::N,cubitum,ikusik
29,Hand::N,manus,assak
30,Handfläche::N,palma,itumak
31,Finger::N,digitus,inuak
32,Fingernagel::N,unguiculus,kikiak
33,Nagel[Anatomie]::N,unguis,kukik
34,Zeh::N,digitus,isigak
35,Fuß::N,pes,
36,Ferse::N,calx,kimmik
37,Knie::N,genu,seeqqoq
38,Oberschenkel::N,femur,uppat
39,Oberschenkel::N,femur,quttoraq
40,Bein::N,crus,isigak
41,Körper::N,corpus,timi
42,Haut::N,cutis,mattak
43,Haut::N,pellis,mattak
44,Blut::N,sanguis,aak
45,Ader::N,vena,taqaq
46,Sehne::N,nervus,ujalu
47,Sehne::N,nervus,ujaloq
48,Knochen::N,os,saanikut
49,Gehirn::N,cerebrum,qarasaq
50,Herz::N,cor,uummat
51,Herz::N,animus,uummat
52,Magen::N,stomachus,aqajaroq
53,Leber::N,iecur,tinguk
54,Atem::N,spiritus,anerneq
55,Hunger::N,fames,kaanneq
56,Träne::N,lacrima,qia
57,Träne::N,lacrima,qiak
58,Geschmack::N,sapor,qilanaartuut
59,Geschmack::N,gustus,qilanaartuut
60,Geruch::N,odor,tipi
61,Geruch::N,odor,tipik
62,Schlaf::N,somnus,
63,Traum::N,somnium,sinnattoq
64,Traum::N,somnium,sinnattugaq
65,Himmel::N,caelum,qilak
66,Sonne::N,sol,seqineq
67,Mond::N,luna,qaammat
68,Stern::N,sidus,ulloriaq
69,Stern::N,stella,ulloriaq
70,Luft::N,aer,silaannaq
71,Wind::N,ventus,anori
72,Wind::N,ventus,anorsarik
73,Welle::N,unda,aalappaa
74,Wasser::N,aqua,imeq
75,Stein::N,lapis,ujarak
76,Boden::N,solum,nateq
77,Erde::N,terra,issoq
