,Concept_ID,eu,hy
0,Auge::N,begi,աչք
1,Ohr::N,belarri,ականջ
2,Nase::N,sudur,քիթ
3,Mund::N,aho,բերան
4,Zahn::N,hortz,ատամ
5,Zunge::N,mihi,լեզու
6,Lippe::N,ezpain,շրթունք
7,Wange::N,masail,այտ
8,Wange::N,masail,թուշ
9,Gesicht::N,aurpegi,դեմք
10,Stirn::N,bekoki,ճակատ
11,Haar::N,ile,մազ
12,Haar::N,bilo,մազ
13,Schnurrbart::N,bibote,բեղ
14,Schnurrbart::N,sudurpeko,բեղ
15,Bart::N,bizar,մորուք
16,Kinn::N,kokots,կզակ
17,Kiefer[Anatomie]::N,masailezur,ծնոտ
18,Kehle::N,eztarri,կոկորդ
19,Hals::N,sama,վիզ
20,Hals::N,sama,պարանոց
21,Genick::N,garondo,ծոծրակ
22,Kopf::N,buru,գլուխ
23,Rücken::N,bizkar,մեջք
24,Bauch::N,sabel,փոր
25,Bauch::N,sabel,որովայն
26,Nabel::N,zilbor,պորտ
27,Busen::N,titi,ծոց
28,Busen::N,ugatz,ծոց
29,Brust::N,bular,կուրծք
30,Schulter::N,besaburu,ուս
31,Arm::N,beso,թեւ
32,Arm::N,beso,բազուկ
33,Ellenbogen::N,ukondo,արմունկ
34,Hand::N,esku,ձեռք
35,Handfläche::N,ahur,ափ
36,Finger::N,hatz,մատ
37,Fingernagel::N,azazkal,եղունգ
38,Nagel[Anatomie]::N,azazkal,եղունգ
39,Zeh::N,behatz,ոտքի մատ
40,Fuß::N,oin,ոտք
41,Ferse::N,orpo,գարշապար
42,Ferse::N,oinburu,գարշապար
43,Knie::N,belaun,ծունկ
44,Oberschenkel::N,izter,ազդր
45,Bein::N,zango,ոտք
46,Körper::N,soin,մարմին
47,Haut::N,azal,մաշկ
48,Blut::N,odol,արյուն
49,Ader::N,zain,երակ
50,Sehne::N,gihar-zain,ջիղ
51,Sehne::N,gihar-zain,ձգտան
52,Knochen::N,hezur,ոսկոր
53,Gehirn::N,garun,խելք
54,Gehirn::N,burmuin,խելք
55,Herz::N,bihotz,սիրտ
56,Magen::N,urdail,ստամոքս
57,Leber::N,gibel,լյարդ
58,Atem::N,hats,շունչ
59,Atem::N,arnasa,շունչ
60,Hunger::N,gose,քաղց
61,Träne::N,malko,արտասուք
62,Geschmack::N,dasta,համ
63,Geschmack::N,dasta,բուրմունք
64,Geruch::N,usain,հոտ
65,Geruch::N,usain,բուրում
66,Schlaf::N,lo,քուն
67,Traum::N,amets,երազ
68,Himmel::N,zeru,երկինք
69,Sonne::N,eguzki,արեւ
70,Mond::N,ilargi,լուսին
71,Stern::N,izar,աստղ
72,Luft::N,aire,օդ
73,Wind::N,haize,քամի
74,Welle::N,uhin,ալիք
75,Welle::N,olatu,ալիք
76,Wasser::N,ur,ջուր
77,Stein::N,harri,քար
78,Boden::N,lur,գետին
79,Boden::N,zoru,գետին
80,Erde::N,lur,հող
81,Staub::N,hauts,փոշի
82,Rauch::N,ke,ծուխ
83,Funke::N,zirta,կայծ
84,Funke::N,txinparta,կայծ
85,Feuer::N,su,կրակ
86,Feuer::N,su,հրդեհ
87,Licht::N,argi,լույս
88,Schatten::N,itzal,ստվեր
89,Schatten::N,geriza,ստվեր
90,Wetter::N,eguraldi,եղանակ
91,Nebel::N,laino,մեգ
92,Nebel::N,laino,մառախուղ
93,Wolke::N,hodei,ամպ
94,Regen::N,euri,անձրև
95,Schnee::N,elur,ձյուն
96,Eis::N,horma,սառույց
97,Frost::N,izotzaldi,սառնամանիք
98,Kälte::N,hotz,դող
99,Hitze::N,bero,շոգ
100,Raureif::N,antzigar,ցօղեղեամ
101,Regenbogen::N,ostadar,ծիածան
102,Regenbogen::N,ortzadar,ծիածան
103,Donner::N,ostots,որոտ
104,Donner::N,ihurtzuri,որոտ
105,Strömung::N,laster,հոսանք
106,Tropfen::N,xorta,կաթիլ
107,Schaum::N,bits,փրփուր
108,Schmutz::N,lohi,կեղտ
109,Schmutz::N,zikin,կեղտ
110,See::N,laku,լիճ
111,See::N,aintzira,լիճ
112,Sumpf::N,zingira,ճահիճ
113,Moor::N,zohikaztegi,ճահիճ
114,Wiese::N,larre,մարգագետին
115,Wiese::N,belardi,մարգագետին
116,Wald::N,baso,անտառ
117,Wald::N,oihan,անտառ
118,Hügel::N,muino,բլուր
119,Hügel::N,pentoka,բլուր
120,Anhöhe::N,garai,բարձունք
121,Anhöhe::N,goragune,բարձունք
122,Berg::N,mendi,լեռ
123,Gipfel::N,gain,գագաթ
124,Gipfel::N,gain,կատար
125,Gipfel::N,tontor,գագաթ
126,Gipfel::N,tontor,կատար
127,Höhle::N,kobazulo,քարայր
128,Abhang::N,aldapa,լանջ
129,Abhang::N,aldapa,զառիվայր
130,Quelle::N,iturri,աղբյուր
131,Quelle::N,iturbegi,աղբյուր
132,Bach::N,lats,վտակ
133,Bach::N,erreka,վտակ
134,Fluss::N,ibai,գետ
135,Fluss::N,uhaitz,գետ
136,Ufer::N,bazter,ծովափ
137,Küste::N,itsasalde,ափ
138,Küste::N,itsasalde,ծովափ
139,Festland::N,lehor,ցամաք
140,Meer::N,itsaso,ծով
141,Bucht::N,golko,հաչիւն
142,Insel::N,irla,վղզի
143,Insel::N,uharte,վղզի
144,Blume::N,lili,ծաղիկ
145,Gras::N,belar,խոտ
146,Wurzel::N,zuztar,արմատ
147,Wurzel::N,sustrai,արմատ
148,Baum::N,zuhaitz,ծառ
149,Stamm::N,enbor,իրան
150,Rinde::N,azal,կեղեւ
151,Rinde::N,azal,հաչոց
152,Ast::N,adar,ճյուղ
153,Zweig::N,abar,ճյուղ
154,Blatt::N,hosto,տերեւ
155,Birke::N,urki,ցարասի
156,Kiefer[Baum]::N,ler,սոճի
157,Weide[Baum]::N,zume,ուռենի
158,Weide[Baum]::N,sahats,ուռենի
159,Tanne::N,izei,եղեւին
160,Horn::N,adar,
161,Feder::N,luma,փետուր
162,Feder::N,hegaki,փետուր
163,Fell::N,ile,մորթի
164,Fell::N,larru,մորթի
165,Flügel::N,hego,թեւ
166,Klaue::N,atzapar,չանչ
167,Kralle::N,erpe,ճանկ
168,Kralle::N,atzapar,ճանկ
169,Schwanz::N,isats,պոչ
170,Schwanz::N,buztan,պոչ
171,Ei::N,arrautza,ձու
172,Nest::N,habia,բույն
173,Bau::N,ohantze,որջ
174,Bau::N,ohantze,բայոց
175,Tier::N,abere,կենդանի
176,Tier::N,piztia,կենդանի
177,Herde::N,saldo,հոտ
178,Herde::N,abere talde,հոտ
179,Kuh::N,behi,կով
180,Bulle::N,zezen,ցուլ
181,Pferd::N,zaldi,ձի
182,Schaf::N,ardi,ոչխար
183,Schwein::N,urde,խոզ
184,Schwein::N,txerri,խոզ
185,Hund::N,txakur,շուն
186,Katze::N,katu,կատու
187,Bär::N,hartz,արջ
188,Eichhörnchen::N,urtxintxa,սկյուռ
189,Elch::N,altze,հիւսիսային եղջերու
190,Fuchs::N,azeri,աղվես
191,Hase::N,erbi,նապաստակ
192,Maus::N,sagu,մուկ
193,Wolf::N,otso,գայլ
194,Vogel::N,txori,թռչուն
195,Vogel::N,hegazti,թռչուն
196,Schwarm::N,aldra,երամ
197,Huhn::N,oilo,հավ
198,Hahn::N,oilar,աքաղաղ
199,Gans::N,antzara,սագ
200,Adler::N,arrano,արծիվ
201,Ente::N,ahate,բադ
202,Eule::N,hontza,բու
203,Kranich::N,kurrilo,կռունկ
204,Krähe::N,bele,ագռավ
205,Kuckuck::N,kuku,կուկու
206,Schwan::N,beltxarga,կարապ
207,Fisch::N,arrain,ձուկ
208,Barsch::N,perka,պերկես
209,Hecht::N,lutxo,գայլաձուկ
210,Schlange[Tier]::N,suge,օձ
211,Wurm::N,har,որդ
212,Wurm::N,har,ճիճու
213,Spinne::N,armiarma,սարդ
214,Ameise::N,inurri,միջյուն
215,Laus::N,zorri,ոջիլ
216,Mücke::N,eltxo,մժղուկ
217,Fliege::N,euli,ճանճ
218,Schmetterling::N,pinpirin,թիթեռ
219,Schmetterling::N,tximeleta,թիթեռ
220,Beere::N,baia,հատապտուղ
221,Apfel::N,sagar,խնձոր
222,Pilz::N,onddo,սունկ
223,Pilz::N,perretxiko,սունկ
224,Zwiebel::N,tipula,սոխ
225,Saat::N,haziak,սերմ
226,Korn::N,ale,հատիկ
227,Korn::N,pikor,հատիկ
228,Heu::N,belar ondu,խոտ
229,Schale::N,azal,կեղեւ
230,Grube::N,hobi,փոս
231,Falle::N,harrapagailu,ծուղակ
