,Concept_ID,ta,te
0,Auge::N,கண்,కన్ను
1,Ohr::N,காது,చెవి
2,Nase::N,மூக்கு,ముక్కు
3,Mund::N,வாய்,నోరు
4,Zahn::N,பல்,పల్లు
5,Zunge::N,நாக்கு,నాలుక
6,Lippe::N,உதடு,పెదవి
7,Wange::N,கன்னம்,చెంప
8,Gesicht::N,முகம்,ముఖము
9,Stirn::N,முன்னெற்றி,నుదురు
10,Haar::N,முடி,వెండ్రుక
11,Schnurrbart::N,மீசை,మీసము
12,Bart::N,தாடி,గడ్డము
13,Kinn::N,கீழதாடை,గడ్డము
14,Kiefer[Anatomie]::N,தாடை,దౌడ
15,Kehle::N,தொண்டை,గొంతు
16,Hals::N,கழுத்து,మెడ
17,Genick::N,கழுத்து,మూపు
18,Kopf::N,தலை,తల
19,Rücken::N,முதுகு,వెన్ను
20,Bauch::N,வயிறு,కడుపు
21,Nabel::N,தொப்புள்,బొడ్డు
22,Busen::N,மார்பகம்,స్తనము
23,Brust::N, மார்பு,ఱొమ్ము
24,Schulter::N,தோள்பட்டை,భుజము
25,Arm::N,கரம்,చేయి
26,Ellenbogen::N,முழங்கை,మోచేయి
27,Hand::N,கை,చేయి
28,Handfläche::N,உள்ளங்கை,అరచేయు
29,Finger::N,விரல்,చేతిప్రేలు
30,Fingernagel::N,விரல் நகம்,గోరు
31,Nagel[Anatomie]::N,நகம்,గోరు
32,Zeh::N,கால்விரல்,కాలిప్రేలు
33,Fuß::N,கால்,అడుగు
34,Ferse::N,குதிகால்,మడమ
35,Knie::N,முழங்கால்,మోకాలు
36,Oberschenkel::N,தொடை,తొడ
37,Bein::N,கால்,కాలు
38,Körper::N,உடல்,కాయము
39,Haut::N,சருமம்,చర్మము
40,Blut::N,இரத்தம்,రక్తము
41,Ader::N,நாளம்,సిర
42,Sehne::N,தசைநார்,స్నాయువు
43,Knochen::N,எலுமபு,ఎముక
44,Gehirn::N,மூனை,మెదడు
45,Herz::N,இதயம,హృదయము
46,Magen::N,வயிறு,కడుపు
47,Leber::N,கல்லீரல்,కాలేయము
48,Atem::N,மூச்சு,ఉపిరి
49,Hunger::N,பசி,ఆకలి
50,Träne::N,கண்ணீர்,కన్నీటిచుక్క
51,Geschmack::N,நறுமணம்,రుచి
52,Geruch::N,துர்நாற்றம்,వాసన
53,Schlaf::N,தூக்கம்,నిద్ర
54,Traum::N,கனவு,కల
55,Himmel::N,வானம்,ఆకాశము
56,Sonne::N,சூரியன்,సూర్యుడు
57,Mond::N,சந்திரன்,చంద్రుడు
58,Stern::N,நட்சத்திரம்,నక్షత్రము
59,Luft::N,காறறு,గాలి
60,Wind::N,காற்று,వీచుచున్నగాలి
61,Welle::N,அலை,అల
62,Wasser::N,நீர்,నీరు
63,Stein::N,கல்,ఱాయి
64,Boden::N,தரை,నేల
65,Erde::N,மண்,మన్ను
66,Staub::N,தூசி,దుమ్ము
67,Rauch::N,புகை,పొగ
68,Funke::N,தீப்பொறி,అగ్నికణము
69,Feuer::N,தீ,అగ్ని
70,Licht::N,வெளிச்சம்,కాంతి
71,Schatten::N,நிழல்,నీడ
72,Wetter::N,வானிலை,వాతావరణ స్థితి
73,Nebel::N,பனிமூட்டம்,పొగమంచు
74,Wolke::N,மேகம்,మేఘము
75,Regen::N,மழை,వాన
76,Schnee::N,உறைபனி,హిమము
77,Eis::N,பனிக்கட்டி,మంచుగడ్డ
78,Frost::N,உறைபனி,పేరిన మంచు
79,Kälte::N,குளிர்ந்த,చలి
80,Hitze::N,சூடு,వేడిమి
81,Raureif::N,உறைபனி வெண்திரை,మంచు
82,Regenbogen::N,வானவில்,ఇంద్రధనుస్సు
83,Donner::N,இடி,ఉరుము
84,Strömung::N,நீரோட்டம்,ప్రవాహము
85,Tropfen::N,துளி,చుక్క
86,Schaum::N,நுரை,నురుగు
87,Schmutz::N,அழுக்கு,మైల
88,See::N,ஏரி,సరస్సు
89,Sumpf::N,சதுப்பு நிலம்,చిత్తడినేల
90,Moor::N,முட்புதற்காடு,చిత్తడినేల
91,Wiese::N,பசும் புல்தரை,పచ్చిక బయలు
92,Wald::N,காடு,అడవి
93,Hügel::N,குன்று,చివ్నకొండ
94,Anhöhe::N,பதுக்கை,కొండ
95,Berg::N,மலை,పర్వతము
96,Gipfel::N,உச்சி மாநாடு,శిఖరము
97,Höhle::N,குகை,గుహ
98,Abhang::N,சரிவு,ఏటవాలు
99,Quelle::N,மூலம்,మూలము
100,Bach::N,ஓடை,కాలువ
101,Fluss::N,ஆறு,నది
102,Ufer::N,நீர்க்கரை,తీరము
103,Küste::N,கடற்கரை,తీరము
104,Festland::N,நிலம்,భూమి
105,Meer::N,கடல்,సముద్రము
