,Concept_ID,sv,it
0,Auge::N,öga,occhio
1,Ohr::N,öra,orecchio
2,Nase::N,näsa,naso
3,Mund::N,mun,bocca
4,Zahn::N,tand,dente
5,Zunge::N,tunga,lingua
6,Lippe::N,läpp,labbro
7,Wange::N,kind,guancia
8,Gesicht::N,syn,viso
9,Gesicht::N,syn,faccia
10,Gesicht::N,ansikte,viso
11,Gesicht::N,ansikte,faccia
12,Stirn::N,panna,fronte
13,Haar::N,hår,capello
14,Schnurrbart::N,mustasch,baffi
15,Schnurrbart::N,mustasch,mustacchi
16,Bart::N,skägg,barba
17,Kinn::N,haka,mento
18,Kiefer[Anatomie]::N,käke,mascella
19,Kehle::N,strupe,gola
20,Hals::N,hals,collo
21,Genick::N,nacke,nuca
22,Kopf::N,huvud,capo
23,Kopf::N,huvud,testa
24,Rücken::N,rygg,dorso
25,Rücken::N,rygg,schiena
26,Bauch::N,buk,ventre
27,Bauch::N,mage,ventre
28,Nabel::N,navel,ombelico
29,Busen::N,barm,seno
30,Brust::N,bröst,petto
31,Schulter::N,skuldra,spalla
32,Arm::N,arm,braccio
33,Ellenbogen::N,armbåge,gomito
34,Hand::N,hand,mano
35,Handfläche::N,handflata,palma
36,Finger::N,finger,dito
37,Fingernagel::N,fingernagel,unghia
38,Nagel[Anatomie]::N,nagel,unghia
39,Zeh::N,tå,dito del piede
40,Fuß::N,fot,piede
41,Ferse::N,häl,tallone
42,Ferse::N,häl,calcagno
43,Knie::N,knä,ginocchio
44,Oberschenkel::N,lår,fèmore
45,Bein::N,ben,gamba
46,Körper::N,kropp,corpo
47,Haut::N,hud,pelle
48,Haut::N,skinn,pelle
49,Blut::N,blod,sangue
50,Ader::N,åder,vena
51,Sehne::N,sena,tèndine
52,Knochen::N,ben,osso
53,Gehirn::N,hjärna,cervello
54,Herz::N,hjärta,cuore
55,Magen::N,mage,stòmaco
56,Leber::N,lever,fegato
57,Atem::N,anda,fiato
58,Atem::N,anda,respiro
59,Atem::N,andedräkt,fiato
60,Atem::N,andedräkt,respiro
61,Hunger::N,svält,fame
62,Hunger::N,hunger,fame
63,Träne::N,tår,làcrima
64,Geschmack::N,smak,gusto
65,Geschmack::N,smak,sapore
66,Geruch::N,lukt,odore
67,Schlaf::N,sömn,sonno
68,Traum::N,dröm,sogno
69,Himmel::N,himmel,cielo
70,Sonne::N,sol,sole
71,Mond::N,måne,luna
72,Stern::N,stjärna,stella
73,Luft::N,luft,aria
74,Wind::N,vind,vento
75,Welle::N,våg,onda
76,Welle::N,bölja,onda
77,Wasser::N,vatten,acqua
78,Stein::N,sten,sasso
79,Stein::N,sten,pietra
80,Boden::N,mark,suolo
81,Boden::N,mark,terreno
82,Erde::N,jord,terra
83,Staub::N,damm,polvere
84,Rauch::N,rök,fumo
85,Funke::N,gnista,scintilla
86,Feuer::N,eld,fuoco
87,Licht::N,ljus,luce
88,Schatten::N,skugga,ombra
89,Wetter::N,väder,tempo
90,Nebel::N,dimma,nebbia
91,Nebel::N,töcken,nebbia
92,Wolke::N,sky,nube
93,Wolke::N,sky,nùvola
94,Wolke::N,moln,nube
95,Wolke::N,moln,nùvola
96,Regen::N,regn,pioggia
97,Schnee::N,snö,neve
98,Eis::N,is,ghiaccio
99,Frost::N,frost,gelo
100,Kälte::N,köld,freddo
101,Hitze::N,hetta,caldo
102,Hitze::N,hetta,calura
103,Raureif::N,rimfrost,brina
104,Regenbogen::N,regnbåge,arcobaleno
105,Donner::N,åska,tuono
106,Donner::N,dunder,tuono
107,Strömung::N,strömning,corrente
108,Tropfen::N,dropper,goccia
109,Schaum::N,skum,spuma
110,Schaum::N,skum,schiuma
111,Schmutz::N,lort,sudiciume
112,Schmutz::N,smuts,sudiciume
113,See::N,sjö,lago
114,Sumpf::N,träsk,palude
115,Moor::N,myr,torbiera
116,Moor::N,mosse,torbiera
117,Wiese::N,äng,prato
118,Wald::N,skog,bosco
119,Wald::N,skog,foresta
120,Hügel::N,höjd,colle
121,Hügel::N,höjd,collina
122,Hügel::N,kulle,colle
123,Hügel::N,kulle,collina
124,Anhöhe::N,höjd,altura
125,Anhöhe::N,backe,altura
126,Berg::N,berg,monte
127,Berg::N,berg,montagna
128,Berg::N,fjäll,monte
129,Berg::N,fjäll,montagna
130,Gipfel::N,topp,cima
131,Höhle::N,håla,grotta
132,Höhle::N,håla,caverna
133,Höhle::N,grotta,grotta
134,Höhle::N,grotta,caverna
135,Abhang::N,slänt,pendìo
136,Abhang::N,sluttning,pendìo
137,Quelle::N,källa,sorgente
138,Bach::N,bäck,ruscello
139,Fluss::N,älv,fiume
140,Fluss::N,flod,fiume
141,Ufer::N,strand,riva
142,Küste::N,kust,costa
143,Festland::N,fastland,terraferma
144,Meer::N,hav,mare
145,Bucht::N,vik,cala
146,Bucht::N,bukt,cala
147,Insel::N,ö,ìsola
148,Blume::N,blomma,fiore
149,Blume::N,blomster,fiore
150,Gras::N,gräs,erba
151,Wurzel::N,rot,radice
152,Baum::N,träd,àlbero
153,Stamm::N,stam,tronco
154,Rinde::N,bark,corteccia
155,Ast::N,gren,ramo
156,Zweig::N,kvist,ramo
157,Blatt::N,löv,foglia
158,Blatt::N,blad,foglia
159,Birke::N,björk,betulla
160,Kiefer[Baum]::N,tall,pino
161,Weide[Baum]::N,pil,sàlice
162,Weide[Baum]::N,vide,sàlice
163,Tanne::N,gran,abete
164,Horn::N,horn,corno
165,Feder::N,fjäder,penna
166,Fell::N,fäll,manto
167,Fell::N,fäll,pelame
168,Fell::N,skinn,manto
169,Fell::N,skinn,pelame
170,Flügel::N,vinge,ala
171,Klaue::N,klöv,grinfia
172,Kralle::N,klo,unghia
173,Kralle::N,klo,artiglio
174,Schwanz::N,svans,coda
175,Schwanz::N,stjärt,coda
176,Ei::N,ägg,uovo
177,Nest::N,rede,nido
178,Nest::N,näste,nido
179,Bau::N,bo,covo
180,Tier::N,djur,bestia
181,Tier::N,djur,animale
182,Herde::N,flock,gregge
183,Kuh::N,ko,vacca
184,Bulle::N,tjur,toro
185,Pferd::N,häst,cavallo
186,Schaf::N,får,pècora
187,Schwein::N,svin,porco
188,Schwein::N,svin,maiale
189,Hund::N,hund,cane
190,Katze::N,katt,gatta
191,Bär::N,björn,orso
192,Eichhörnchen::N,ekorre,scoiàttolo
193,Elch::N,älg,alce
194,Fuchs::N,räv,volpe
195,Hase::N,hare,lepre
196,Maus::N,mus,topo
197,Maus::N,mus,sorcio
198,Wolf::N,varg,lupo
199,Vogel::N,fågel,uccello
200,Schwarm::N,svärm,stormo
201,Huhn::N,höns,gallina
202,Hahn::N,tupp,gallo
203,Gans::N,gås,oca
204,Adler::N,örn,àquila
205,Ente::N,anka,ànatra
206,Eule::N,uggla,gufo
207,Eule::N,uggla,civetta
208,Kranich::N,trana,gru
209,Krähe::N,kråka,cornacchia
210,Kuckuck::N,gök,cuccù
211,Kuckuck::N,gök,cùculo
212,Schwan::N,svan,cigno
213,Fisch::N,fisk,pesce
214,Barsch::N,abborre,pèrsico
215,Hecht::N,gädda,luccio
216,Schlange[Tier]::N,orm,serpente
217,Wurm::N,mask,baco
218,Wurm::N,mask,verme
219,Spinne::N,spindel,ragno
220,Ameise::N,myra,formica
221,Laus::N,lus,pidocchio
222,Mücke::N,mygga,zanzara
223,Fliege::N,fluga,mosca
224,Schmetterling::N,fjäril,farfalla
225,Beere::N,bär,bacca
226,Apfel::N,äpple,mela
227,Pilz::N,svamp,fungo
228,Zwiebel::N,lök,cipolla
229,Saat::N,sådd,semente
230,Korn::N,korn,grano
231,Heu::N,hö,fieno
232,Schale::N,skal,buccia
233,Grube::N,grop,cava
234,Grube::N,grop,fossa
235,Falle::N,fälla,tràppola
236,Schlinge::N,snara,laccio
237,Spur::N,spår,traccia
238,Asche::N,aska,cenere
239,Dreck::N,lort,fango
240,Eisen::N,järn,ferro
241,Gold::N,guld,oro
242,Silber::N,silver,argento
243,Kohle::N,kol,carbone
244,Glas::N,glas,vetro
245,Lehm::N,lera,argilla
246,Sand::N,sand,arena
247,Sand::N,sand,sabbia
248,Mensch::N,människa,uomo
249,Mensch::N,människa,èssere umano
250,Mann::N,man,uomo
251,Frau::N,kvinna,donna
252,Kind::N,barn,bambino
253,Junge::N,pojke,ragazzo
254,Mädchen::N,flicka,ragazza
255,Familie::N,familj,famiglia
256,Großvater::N,morfar,nonno
257,Großmutter::N,farmor,nonna
258,Eltern::N,föräldrar,genitori
259,Vater::N,far,padre
260,Mutter::N,mor,madre
261,Sohn::N,son,figlio
262,Tochter::N,dotter,figlia
263,Bruder::N,bror,fratello
264,Schwester::N,syster,sorella
265,Onkel::N,morbror,zio
266,Tante::N,tant,zia
267,Ehemann::N,äkta man,marito
268,Ehefrau::N,hustru,moglie
269,Freude::N,fröjd,gioia
270,Freude::N,fröjd,piacere
271,Freude::N,glädje,gioia
272,Freude::N,glädje,piacere
273,Gelächter::N,åtlöje,risata
274,Glück::N,lycka,felicità
275,Kummer::N,sorg,afflizione
276,Wunsch::N,önskan,desiderio
277,Lust::N,lust,voglia
278,Geist::N,ande,mente
279,Geist::N,ande,spìrito
280,Gedanke::N,tanke,idea
281,Gedanke::N,tanke,pensiero
282,Gedächtnis::N,minne,memoria
283,Verstand::N,förstånd,intelletto
284,Sinn::N,mening,senso
285,Sinn::N,mening,significato
286,Sinn::N,betydelse,senso
287,Sinn::N,betydelse,significato
288,Grund::N,skäl,causa
289,Grund::N,skäl,motivo
290,Grund::N,skäl,ragione
291,Grund::N,grund,causa
292,Grund::N,grund,motivo
293,Grund::N,grund,ragione
294,Wahrheit::N,sanning,verità
295,Gespräch::N,samtal,discorso
296,Gespräch::N,samtal,conversazione
297,Märchen::N,saga,fiaba
298,Märchen::N,saga,fàvola
299,Erzählung::N,berättelse,racconto
300,Erzählung::N,berättelse,narrazione
301,Nachricht::N,meddelande,messaggio
302,Neuigkeit::N,nyhet,notizia
303,Name::N,namn,nome
304,Rätsel::N,gåta,indovinello
305,Rede::N,tal,discorso
306,Sprache::N,språk,lingua
307,Sprache::N,språk,linguaggio
308,Stimme::N,stämma,voce
309,Wort::N,ord,parola
310,Zeichen::N,tecken,segno
311,Zeichen::N,tecken,segnale
312,Ruf::N,rop,chiamata
313,Lärm::N,bråk,chiasso
314,Lärm::N,bråk,strèpito
315,Lärm::N,oväsen,chiasso
316,Lärm::N,oväsen,strèpito
317,Laut::N,ljud,suono
318,Ton::N,ton,tono
319,Lied::N,sång,canto
320,Lied::N,sång,canzone
321,Ruhe::N,ro,calma
322,Ruhe::N,ro,tranquillità
323,Ruhe::N,lugn,calma
324,Ruhe::N,lugn,tranquillità
325,Leute::N,folk,gente
326,Volk::N,folk,pòpolo
327,Arbeit::N,arbete,lavoro
328,Gast::N,gäst,òspite
329,Gast::N,gäst,invitato
330,Geschenk::N,gåva,regalo
331,Geschenk::N,present,regalo
332,Spiel::N,lek,gioco
333,Spiel::N,spel,gioco
334,Gesellschaft::N,sällskap,compagnìa
335,Hilfe::N,hjälp,aiuto
336,Hilfe::N,hjälp,soccorso
337,Freund::N,vän,amico
338,Kamerad::N,kamrat,camerata
339,Angelegenheit::N,ärende,affare
340,Angelegenheit::N,ärende,faccenda
341,Angelegenheit::N,angelägenhet,affare
342,Angelegenheit::N,angelägenhet,faccenda
343,Anzahl::N,antal,nùmero
344,Anzahl::N,antal,quantità
345,Art::N,art,tipo
346,Art::N,art,specie
347,Art::N,slag,tipo
348,Art::N,slag,specie
349,Stück::N,stycke,pezzo
350,Teil::N,del,parte
351,Hälfte::N,halva,metà
352,Kreis::N,krets,cìrcolo
353,Kreis::N,cirkel,cìrcolo
354,Kreuz::N,kors,croce
355,Kreuz::N,kryss,croce
356,Linie::N,linje,lìnea
357,Strich::N,streck,tratto
358,Abstand::N,avstånd,distanza
359,Entfernung::N,avstånd,distanza
360,Entfernung::N,avstånd,lontananza
361,Gegend::N,trakt,regione
362,Platz::N,plats,posto
363,Platz::N,plats,spazio
364,Ort::N,plats,luogo
365,Ort::N,plats,località
366,Ort::N,ställe,luogo
367,Ort::N,ställe,località
368,Seite::N,sida,lato
369,Seite::N,sida,parte
370,Mitte::N,mitt,mezzo
371,Mitte::N,mitt,centro
372,Gegenstand::N,föremål,oggetto
373,Sache::N,sak,cosa
374,Rand::N,rand,orlo
375,Rand::N,rand,bordo
376,Kante::N,kant,spìgolo
377,Ecke::N,vrå,canto
378,Ecke::N,hörn,canto
379,Spitze::N,spets,punta
380,Ende::N,ända,capo
381,Ende::N,ända,estremità
382,Loch::N,hål,buco
383,Winkel::N,vinkel,àngolo
384,Muster::N,mönster,disegno
385,Größe::N,storlek,taglia
386,Größe::N,storlek,grandezza
387,Länge::N,längd,lunghezza
388,Höhe::N,höjd,altezza
389,Gewicht::N,tyngd,peso
390,Menge::N,mängd,quantità
