,Concept_ID,nl,et
0,Auge::N,oog,silm
1,Ohr::N,oor,kõrv
2,Nase::N,neus,nina
3,Mund::N,mond,suu
4,Zahn::N,tand,hammas
5,Zunge::N,tong,keel
6,Lippe::N,lip,huul
7,Wange::N,wang,põsk
8,Gesicht::N,gelaat,nägu
9,Gesicht::N,gezicht,nägu
10,Stirn::N,voorhoofd,otsmik
11,Haar::N,haar,juus
12,Schnurrbart::N,snor,vurrud
13,Schnurrbart::N,snor,vuntsid
14,Bart::N,baard,habe
15,Kinn::N,kin,lõug
16,Kiefer[Anatomie]::N,kaak,lõualuu
17,Kehle::N,keel,kõri
18,Kehle::N,strot,kõri
19,Hals::N,hals,kael
20,Genick::N,nek,kukal
21,Kopf::N,hoofd,pea
22,Rücken::N,rug,selg
23,Bauch::N,buik,kõht
24,Nabel::N,navel,naba
25,Busen::N,boezem,rind
26,Brust::N,borst,rind
27,Schulter::N,schouder,õlg
28,Arm::N,arm,käsivars
29,Ellenbogen::N,elleboog,küünarnukk
30,Hand::N,hand,käsi
31,Handfläche::N,handpalm,pihk
32,Finger::N,vinger,sõrm
33,Fingernagel::N,nagel,küüs
34,Nagel[Anatomie]::N,nagel,küüs
35,Zeh::N,teen,varvas
36,Fuß::N,voet,jalg
37,Ferse::N,hak,kand
38,Ferse::N,hiel,kand
39,Knie::N,knie,põlv
40,Oberschenkel::N,dij,reis
41,Bein::N,been,jalg
42,Körper::N,lichaam,ihu
43,Körper::N,lichaam,keha
44,Haut::N,huid,nahk
45,Blut::N,bloed,veri
46,Ader::N,ader,veen
47,Sehne::N,pees,kõõlus
48,Knochen::N,bot,luu
49,Knochen::N,been,luu
50,Knochen::N,knook,luu
51,Gehirn::N,hersenen,aju
52,Herz::N,hart,süda
53,Magen::N,maag,magu
54,Leber::N,lever,maks
55,Atem::N,adem,hingeõhk
56,Atem::N,adem,hingamine
57,Hunger::N,honger,nälg
58,Träne::N,traan,pisar
59,Geschmack::N,smaak,maitse
60,Geruch::N,geur,lõhn
61,Schlaf::N,slaap,uni
62,Traum::N,droom,unenägu
63,Himmel::N,hemel,taevas
64,Sonne::N,zon,päike
65,Mond::N,maan,kuu
66,Stern::N,ster,täht
67,Luft::N,lucht,õhk
68,Wind::N,wind,tuul
69,Welle::N,golf,laine
70,Wasser::N,water,vesi
71,Stein::N,steen,kivi
72,Boden::N,grond,maa
73,Boden::N,grond,pinnas
74,Erde::N,aarde,maa
75,Staub::N,stof,põrm
76,Rauch::N,rook,suits
77,Funke::N,vonk,säde
78,Feuer::N,vuur,tuli
79,Licht::N,licht,valgus
80,Schatten::N,schaduw,vari
81,Wetter::N,weer,ilm
82,Nebel::N,mist,udu
83,Nebel::N,nevel,udu
84,Wolke::N,wolk,pilv
85,Regen::N,regen,sadu
86,Schnee::N,sneeuw,lumi
87,Eis::N,ijs,jää
88,Frost::N,vorst,pakane
89,Kälte::N,kou,külm
90,Kälte::N,kou,külmus
91,Kälte::N,koude,külm
92,Kälte::N,koude,külmus
93,Hitze::N,hitte,kuumus
94,Hitze::N,hitte,palavus
95,Raureif::N,rijp,härmatis
96,Regenbogen::N,regenboog,vikerkaar
97,Donner::N,donder,kõu
98,Donner::N,donder,müristamine
99,Strömung::N,stroming,voolus
100,Strömung::N,stroming,jõevool
101,Tropfen::N,druppel,tilk
102,Schaum::N,schuim,vaht
103,Schmutz::N,vuil,pori
104,Schmutz::N,vuil,mustus
105,See::N,meer,järv
106,Sumpf::N,moeras,soo
107,Moor::N,veen,raba
108,Wiese::N,wei,aas
109,Wiese::N,wei,nurm
110,Wiese::N,weide,aas
111,Wiese::N,weide,nurm
112,Wald::N,bos,mets
113,Hügel::N,heuvel,küngas
114,Anhöhe::N,hoogte,küngas
115,Berg::N,berg,mägi
116,Gipfel::N,top,mäetipp
