,Concept_ID,bn,mn
0,Auge::N,চক্ষু,нүд
1,Ohr::N,কর্ণ,чих
2,Nase::N,নাক,хамар
3,Mund::N,মুখ,ам
4,Zahn::N,দাঁত,шүд
5,Zunge::N,জিহবা,хэл
6,Lippe::N,অধর,уруул
7,Wange::N,গণ্ড,хацар
8,Gesicht::N,মুখমণ্ডল,царай
9,Gesicht::N,মুখমণ্ডল,нүүр
10,Stirn::N,কপাল,дух
11,Haar::N,চুল,үс
12,Schnurrbart::N,গোঁফ,дээд сахал
13,Schnurrbart::N,গোঁফ,живэр сахал
14,Bart::N,শ্মশ্রু,сахал
15,Kinn::N,চিবুক,эрүү
16,Kiefer[Anatomie]::N,চোয়াল,эрүү
17,Kehle::N,কণ্ঠ,хоолой
18,Hals::N,গল,хүзүү
19,Genick::N,ঘাড়,шил
20,Genick::N,ঘাড়,хүзүү
21,Kopf::N,মাথা,толгой
22,Rücken::N,পৃষ্ঠ,ар
23,Rücken::N,পৃষ্ঠ,нуруу
24,Bauch::N,উদর,хэвлий
25,Bauch::N,উদর,гэдэс
26,Nabel::N,নাভি,хүйс
27,Busen::N,স্তন,хөх
28,Brust::N,বুক,цээж
29,Schulter::N,স্কন্ধ,мөр
30,Schulter::N,স্কন্ধ,бугалга
31,Arm::N,বাহু,гар
32,Ellenbogen::N,কনুই,тохой
33,Hand::N,হাত,гар
34,Hand::N,হাত,алга
35,Handfläche::N,করতল,алга
36,Finger::N,আঙ্গুল,хуруу
37,Fingernagel::N,হাতের নখ,хурууны хумс
38,Nagel[Anatomie]::N,নখ,хумс
39,Zeh::N,আঙ্গুল,хуруу
40,Fuß::N,পা,хөл
41,Ferse::N,গোড়ালি,өсгий
42,Knie::N,হাঁটু,өвдөг
43,Oberschenkel::N,ঊরু,гуя
44,Bein::N,পা,хөл
45,Körper::N,দেহ,бие
46,Haut::N,ত্বক,арьс
47,Blut::N,রক্ত,цус
48,Ader::N,শিরা,судас
49,Sehne::N,কণ্ডরা,бүлх
50,Sehne::N,কণ্ডরা,шандас
51,Knochen::N,অস্থি,яс
52,Gehirn::N,মস্তিষ্ক,тархи
53,Herz::N,হৃৎপিণ্ড,зүрх
54,Magen::N,পাকস্থলী,ходоод
55,Leber::N,যকৃৎ,элэг
56,Atem::N,শ্বাস,амьсгаа
57,Hunger::N,ক্ষুধা,өлсгөлөн
58,Träne::N,অশ্রু,нулимс
59,Geschmack::N,স্বাদ,амт
60,Geruch::N,গন্ধ,үнэр
61,Schlaf::N,ঘুম,нойр
62,Traum::N,স্বপ্ন,зүүд
63,Himmel::N,আকাশ,тэнгэр
64,Himmel::N,আকাশ,огторгуй
65,Sonne::N,সূর্য,нар
66,Mond::N,চন্দ্র,сар
67,Stern::N,নক্ষত্র,од
68,Luft::N,বায়ু,агаар
69,Wind::N,বাতাস,салхи
70,Welle::N,ঢেউ,долгио
71,Welle::N,ঢেউ,давалгаа
72,Welle::N,তরঙ্গ,долгио
73,Welle::N,তরঙ্গ,давалгаа
74,Wasser::N,জল,ус
75,Stein::N,ঢিল,чулуу
76,Stein::N,প্রস্তর,чулуу
77,Boden::N,ভূতল,хөрс
78,Erde::N,ভূমি,газар
79,Erde::N,ভূমি,шороо
80,Staub::N,ধুলা,тоос
81,Rauch::N,ধোঁয়া,утаа
