,Concept_ID,sah,xal
0,Auge::N,харах,нүдн
1,Ohr::N,кулгаах,чикн
2,Nase::N,мурун,хамр
3,Mund::N,айах,амн
4,Zahn::N,тиис,шүдн
5,Zunge::N,тыл,келн
6,Lippe::N,уос,урл
7,Wange::N,иэдэс,халх
8,Gesicht::N,сирэй,нүр
9,Stirn::N,сүүс,маңна
10,Haar::N,баттах,үсн
11,Schnurrbart::N,уос бытыга,сахл
12,Bart::N,сэҥийэ бытыга,сахл
13,Bart::N,сэҥийэ бытыга,өргнә сахл
14,Kinn::N,сэҥийэ,өргн
15,Kiefer[Anatomie]::N,сыҥаах,өргн
16,Kehle::N,тамах,хол
17,Kehle::N,күөмэй,хол
18,Hals::N,моой,күзүн
19,Genick::N,кэтэх,гиҗг
20,Kopf::N,бас,толһа
21,Rücken::N,көҕүс,нурһн
22,Bauch::N,ис,гесн
23,Nabel::N,киин,киисн
24,Busen::N,эмиий,көкн
25,Brust::N,түөс,чееҗ
26,Schulter::N,сарын,ээм
27,Arm::N,илии,һар
28,Ellenbogen::N,тоҕонох,тоха
29,Hand::N,илии,баһлцг
30,Handfläche::N,ытыс,альхн
31,Finger::N,тарбах,хурһн
32,Finger::N,тарбах,һарин хурһн
33,Fingernagel::N,тыҥырах,хумсн
34,Nagel[Anatomie]::N,тыҥырах,хумсн
35,Zeh::N,тарбах,хурһн
36,Zeh::N,тарбах,көлин хурһн
37,Fuß::N,уллуҥах,тавг
38,Ferse::N,тилэх,өскә
39,Knie::N,тобук,өвдг
40,Knie::N,дьилбэк,өвдг
41,Oberschenkel::N,уллук,һуй
42,Oberschenkel::N,өттүк,һуй
43,Bein::N,атах,көл
44,Körper::N,бэйэ,махмуд
45,Haut::N,тирии,арсн
46,Blut::N,хаан,цусн
47,Ader::N,вена,судцн
48,Ader::N,күөх_тымыр,судцн
49,Sehne::N,иҥиир,шүрүсн
50,Knochen::N,уҥуох,ясн
51,Knochen::N,уҥгуох,ясн
52,Gehirn::N,мэйии,экн
53,Herz::N,сүрэх,зүркн
54,Magen::N,куртах,гесн
55,Leber::N,быар,элкн
56,Atem::N,тыын,әмсхл
57,Hunger::N,аас,харһнлһн
58,Träne::N,харах уута,нульмсн
59,Geschmack::N,амтан,амтн
60,Geruch::N,сыт,үнр
61,Schlaf::N,утуйуу,нөр
62,Traum::N,түүл,зүүдн
63,Himmel::N,халлаан,теңгр
64,Sonne::N,күн,нарн
65,Mond::N,ый,сар
66,Stern::N,сулус,одн
67,Luft::N,салгын,аһар
68,Wind::N,тыал,салькн
69,Welle::N,долгун,дольган
70,Welle::N,балхаан,дольган
71,Wasser::N,уу,усн
72,Stein::N,таас,чолун
73,Boden::N,сир,Һазр
74,Erde::N,буор,Һазр
75,Staub::N,быыл,тоосн
76,Rauch::N,буруо,утан
77,Funke::N,кыым,очн
