,Concept_ID,be,ar
0,Auge::N,вока,عين
1,Ohr::N,вуха,أذن
2,Nase::N,нос,أنف
3,Mund::N,рот,فم
4,Zahn::N,зуб,سن
5,Zunge::N,язык,لسان
6,Lippe::N,губа,شفة
7,Wange::N,шчака,خد
8,Wange::N,шчака,وجنة
9,Gesicht::N,твар,وجه
10,Stirn::N,лоб,جبين
11,Haar::N,волас,شعر
12,Haar::N,валасы,شعر
13,Schnurrbart::N,вус,شارب
14,Schnurrbart::N,вусы,شارب
15,Bart::N,барада,لحية
16,Kinn::N,падбародак,ذقن
17,Kiefer[Anatomie]::N,сківіца,فك
18,Kehle::N,горла,حلق
19,Hals::N,шыя,عنق
20,Hals::N,шыя,رقبة
21,Genick::N,патыліца,قفا
22,Kopf::N,галава,رأس
23,Rücken::N,спіна,ظهر
24,Bauch::N,жывот,بطن
25,Nabel::N,пупок,سرة
26,Busen::N,грудзі,ثدي
27,Brust::N,грудзі,صدر
28,Schulter::N,плячо,كتف
29,Arm::N,рука,ذراع
30,Ellenbogen::N,локаць,كوع
31,Hand::N,кісць,يد
32,Handfläche::N,далонь,كف
33,Finger::N,палец,إصبع
34,Fingernagel::N,ногаць,ظفر
35,Nagel[Anatomie]::N,ногаць,ظفر
36,Zeh::N,палец,إصبع القدم
37,Fuß::N,нага,قدم
38,Ferse::N,пята,كعب
39,Ferse::N,пятка,كعب
40,Knie::N,калена,ركبة
41,Oberschenkel::N,бядро,فخذ
42,Oberschenkel::N,сцягно,فخذ
43,Bein::N,нага,ساق
44,Körper::N,цела,جسم
45,Haut::N,скура,بشرة
46,Blut::N,кроў,دم
47,Ader::N,вена,عرق
48,Ader::N,сасуд,عرق
49,Sehne::N,жыла,طنب
50,Sehne::N,цеціва,طنب
51,Sehne::N,сухажылле,طنب
52,Knochen::N,косць,عظم
53,Gehirn::N,мозг,دماغ
54,Herz::N,сэрца,قلب
55,Magen::N,страўнік,معدة
56,Leber::N,печань,كبد
57,Atem::N,дыханне,نفس
58,Hunger::N,голад,جوع
59,Träne::N,сляза,دمعة
60,Geschmack::N,смак,طعم
61,Geschmack::N,смак,مذاق
62,Geruch::N,пах,رائحة
63,Schlaf::N,сон,نوم
64,Schlaf::N,сон,منام
65,Traum::N,сон,حلم
66,Himmel::N,неба,سماء
67,Sonne::N,сонца,شمس
68,Mond::N,месяц,قمر
69,Stern::N,зорка,نجم
70,Stern::N,зорка,كوكب
71,Luft::N,паветра,هواء
72,Wind::N,вецер,ريح
73,Welle::N,хваля,موجة
74,Wasser::N,вада,ماء
75,Stein::N,камень,حجر
76,Boden::N,глеба,تراب
77,Erde::N,зямля,أرض
78,Staub::N,пыл,غبار
79,Rauch::N,дым,دخان
80,Funke::N,іскра,شرارة
81,Feuer::N,агонь,نار
82,Licht::N,святло,نور
83,Licht::N,святло,ضوء
84,Schatten::N,цень,ظل
85,Schatten::N,цень,فيء
86,Wetter::N,пагода,جو
87,Wetter::N,пагода,طقس
88,Wetter::N,надворʼе,جو
89,Wetter::N,надворʼе,طقس
90,Nebel::N,туман,ضباب
91,Wolke::N,воблака,غيمة
92,Wolke::N,воблака,سحابة
93,Regen::N,дождж,مطر
94,Schnee::N,снег,ثلج
95,Eis::N,лёд,جليد
96,Frost::N,мароз,صقيع
97,Kälte::N,холад,برد
98,Hitze::N,спёка,حر
99,Hitze::N,спёка,حرارة
100,Raureif::N,іней,صقيع
101,Regenbogen::N,вясёлка,قوس قزح
102,Donner::N,гром,رعد
103,Strömung::N,цячэнне,تيار
104,Tropfen::N,кропля,قطرة
105,Schaum::N,пена,زبد
106,Schaum::N,пена,رغوة
107,Schmutz::N,гразь,وسخ
108,See::N,возера,بحيرة
109,Sumpf::N,багна,مستنقع
110,Moor::N,балота,مستنقع
111,Wiese::N,луг,مرج
112,Wald::N,лес,غابة
113,Hügel::N,узгорак,تل
114,Anhöhe::N,узвышша,تل
115,Berg::N,гара,جبل
116,Gipfel::N,вяршыня,قمة
117,Höhle::N,пячора,كهف
118,Abhang::N,схіл,منحدر
119,Quelle::N,крыніца,منبع
120,Bach::N,ручай,مجرى
121,Fluss::N,рака,نهر
122,Ufer::N,бераг,ضفة
123,Küste::N,узбярэжжа,ساحل
124,Festland::N,суша,بر
125,Meer::N,мора,بحر
126,Bucht::N,бухта,خليج
127,Insel::N,востраў,جزيرة
128,Blume::N,кветка,زهرة
129,Gras::N,трава,حشيش
130,Wurzel::N,корань,أصل
131,Baum::N,дрэва,شجرة
132,Stamm::N,ствол,جذع
133,Rinde::N,кара,قشرة
134,Ast::N,сук,فرع
135,Zweig::N,галіна,غصن
136,Blatt::N,ліст,ورقة
137,Birke::N,бяроза,قضبان
138,Kiefer[Baum]::N,хвоя,صنوبرة
139,Kiefer[Baum]::N,сасна,صنوبرة
140,Weide[Baum]::N,вярба,صفصاف
141,Tanne::N,яліна,شوح
142,Tanne::N,яліна,تبوب
143,Horn::N,рог,قرن
144,Feder::N,пяро,ريشة
145,Fell::N,шкура,فرو
146,Flügel::N,крыло,جناح
147,Klaue::N,кіпцюр,مخلب
148,Kralle::N,лапа,مخلب
149,Schwanz::N,хвост,ذيل
150,Ei::N,яйка,بيض
151,Nest::N,гняздо,عش
152,Bau::N,нара,جحر
153,Tier::N,жывёла,حيوان
154,Herde::N,статак,قطيع
155,Kuh::N,карова,بقرة
156,Bulle::N,бык,ثور
157,Pferd::N,конь,خيل
158,Schaf::N,авечка,شاة
159,Schwein::N,свіння,خنزير
160,Hund::N,сабака,كلب
161,Katze::N,кошка,قطة
162,Bär::N,мядзведзь,دب
163,Eichhörnchen::N,вавёрка,سنجاب
164,Elch::N,лось,موظ
165,Fuchs::N,ліса,ثعلب
166,Hase::N,заяц,أرنب
167,Maus::N,мыш,فأرة
168,Wolf::N,воўк,ذئب
169,Vogel::N,птах,طير
170,Vogel::N,птушка,طير
171,Schwarm::N,чарада,سرب
172,Huhn::N,курыца,دجاجة
173,Hahn::N,певень,ديك
174,Gans::N,гусь,وزة
175,Adler::N,арол,نسر
176,Ente::N,качка,بطة
177,Eule::N,сава,بوم
178,Kranich::N,жораў,كركي
179,Kranich::N,журавель,كركي
180,Krähe::N,варона,غراب
181,Kuckuck::N,зязюля,وقواق
182,Schwan::N,лебедзь,إوز عراقي
183,Fisch::N,рыба,سمك
184,Barsch::N,акунь,فرخ أوربي
185,Hecht::N,шчупак,سمك الكراكي
186,Schlange[Tier]::N,змяя,حية
187,Schlange[Tier]::N,змяя,ثعبان
188,Wurm::N,чарвяк,دودة
189,Spinne::N,павук,عنكبوت
190,Ameise::N,мурашка,نملة
191,Laus::N,вош,قملة
192,Mücke::N,камар,ناموسة
193,Fliege::N,муха,ذبابة
194,Schmetterling::N,матыль,فراشة
195,Beere::N,ягада,حبة
196,Apfel::N,яблык,تفاح
197,Pilz::N,грыб,فطر
198,Zwiebel::N,цыбуля,بصل
199,Saat::N,семя,زرع
200,Korn::N,зерне,حبة
201,Heu::N,сена,دريس
202,Schale::N,шалупінне,قشرة
203,Grube::N,яма,نقرة
204,Falle::N,пастка,فخ
205,Falle::N,пастка,مصيدة
206,Schlinge::N,сіло,عروة
207,Spur::N,след,أثر
208,Asche::N,попел,رماد
209,Dreck::N,бруд,قذر
210,Eisen::N,жалеза,حديد
211,Gold::N,золата,ذهب
212,Silber::N,сребра,فضة
213,Kohle::N,вугаль,فحم
214,Glas::N,шкло,زجاج
215,Lehm::N,гліна,طين
216,Sand::N,пясок,رمل
217,Mensch::N,чалавек,إنسان
218,Mann::N,мужчына,رجل
219,Frau::N,жанчына,امرأة
220,Kind::N,дзіця,طفل
221,Junge::N,хлопчык,ولد
222,Mädchen::N,дзяўчынка,بنت
223,Familie::N,сямʼя,عائلة
224,Großvater::N,дзядуля,جد
225,Großmutter::N,бабуля,جدة
226,Eltern::N,бацькі,أبوان
227,Eltern::N,бацькі,والدان
228,Vater::N,бацька,أب
229,Mutter::N,маці,أم
230,Sohn::N,сын,إبن
231,Tochter::N,дачка,بنت
232,Tochter::N,дачка,إبنة
233,Bruder::N,брат,أخ
234,Bruder::N,брат,شقيق
235,Schwester::N,сястра,أخت
236,Onkel::N,дзядзька,عم
237,Tante::N,цётка,عمة
238,Ehemann::N,муж,زوج
239,Ehefrau::N,жонка,زوجة
240,Freude::N,радасць,فرح
241,Freude::N,радасць,سرور
242,Gelächter::N,смех,قهقهة
243,Glück::N,шчасце,سعادة
244,Kummer::N,гора,غم
245,Wunsch::N,жаданне,منية
246,Lust::N,цяга,شهوة
247,Geist::N,дух,روح
248,Gedanke::N,думка,فكرة
249,Gedächtnis::N,памяць,ذاكرة
250,Verstand::N,розум,عقل
251,Sinn::N,сэнс,معنى
252,Grund::N,зачэпка,سبب
253,Wahrheit::N,праўда,حقيقة
254,Gespräch::N,размова,محادثة
255,Märchen::N,казка,خرافة
256,Erzählung::N,расказ,قصة
257,Erzählung::N,расказ,حكاية
258,Erzählung::N,апавяданне,قصة
259,Erzählung::N,апавяданне,حكاية
260,Nachricht::N,вестка,خبر
261,Nachricht::N,паведамленне,خبر
262,Neuigkeit::N,навіна,خبر جديد
263,Name::N,імя,اسم
264,Rätsel::N,загадка,لغز
265,Rede::N,прамова,خطبة
266,Sprache::N,мова,لغة
267,Stimme::N,голас,صوت
268,Wort::N,слова,كلمة
269,Zeichen::N,знак,رمز
270,Zeichen::N,знак,إشارة
271,Ruf::N,кліч,نداء
272,Lärm::N,шум,صخب
273,Lärm::N,шум,ضجة
274,Laut::N,гук,صوت
275,Ton::N,гучанне,نغمة
276,Lied::N,песня,أغنية
277,Ruhe::N,спакой,هدوء
278,Leute::N,людзі,ناس
279,Volk::N,народ,شعب
280,Arbeit::N,праца,عمل
281,Arbeit::N,работа,عمل
282,Gast::N,госць,ضيف
283,Geschenk::N,падарунак,هدية
284,Spiel::N,гульня,لعب
285,Gesellschaft::N,таварыства,صحبة
286,Hilfe::N,дапамога,عون
287,Hilfe::N,дапамога,مساعدة
288,Freund::N,друг,صديق
289,Freund::N,сябар,صديق
290,Kamerad::N,прыяцель,زميل
291,Angelegenheit::N,справа,أمر
292,Angelegenheit::N,справа,شأن
293,Anzahl::N,колькасць,عدد
294,Art::N,від,نوع
295,Stück::N,кусок,قطعة
296,Stück::N,кавалак,قطعة
297,Teil::N,частка,قسم
298,Hälfte::N,палова,نصف
299,Hälfte::N,палавіна,نصف
300,Kreis::N,круг,دائرة
301,Kreuz::N,крыж,صليب
302,Linie::N,лінія,خط
303,Strich::N,рыса,شرطة
304,Abstand::N,прамежак,مسافة
