,Concept_ID,hy,myv
0,Auge::N,աչք,сельме
1,Ohr::N,ականջ,пиле
2,Nase::N,քիթ,судо
3,Mund::N,բերան,курго
4,Zahn::N,ատամ,пей
5,Zunge::N,լեզու,кель
6,Lippe::N,շրթունք,турва
7,Wange::N,այտ,чамабока
8,Wange::N,այտ,чамаумарь
9,Wange::N,թուշ,чамабока
10,Wange::N,թուշ,чамаумарь
11,Gesicht::N,դեմք,чама
12,Stirn::N,ճակատ,коня
13,Haar::N,մազ,черь
14,Schnurrbart::N,բեղ,ус
15,Schnurrbart::N,բեղ,муюк
16,Bart::N,մորուք,сакал
17,Kinn::N,կզակ,уло
18,Kiefer[Anatomie]::N,ծնոտ,пейпакар
19,Kiefer[Anatomie]::N,ծնոտ,пейловажа
20,Kehle::N,կոկորդ,кирьгапарь
21,Hals::N,վիզ,кирьга
22,Hals::N,պարանոց,кирьга
23,Genick::N,ծոծրակ,човонь
24,Kopf::N,գլուխ,пря
25,Rücken::N,մեջք,копорь
26,Bauch::N,փոր,пеке
27,Bauch::N,որովայն,пеке
28,Nabel::N,պորտ,почо
29,Busen::N,ծոց,поте
30,Brust::N,կուրծք,меште
31,Schulter::N,ուս,лавтов
32,Arm::N,թեւ,кедь
33,Arm::N,բազուկ,кедь
34,Ellenbogen::N,արմունկ,кенерепакарь
35,Hand::N,ձեռք,кедь
36,Handfläche::N,ափ,кедькуншка
37,Handfläche::N,ափ,кедьлапушка
38,Finger::N,մատ,сур
39,Fingernagel::N,եղունգ,кенже
40,Nagel[Anatomie]::N,եղունգ,кенже
41,Zeh::N,ոտքի մատ,пильге сур
42,Fuß::N,ոտք,пильге
43,Ferse::N,գարշապար,кочкаря
44,Knie::N,ծունկ,эле
45,Knie::N,ծունկ,эзне
46,Knie::N,ծունկ,кумажа
47,Oberschenkel::N,ազդր,качо
48,Bein::N,ոտք,пильге
49,Körper::N,մարմին,рунго
50,Haut::N,մաշկ,киське
51,Blut::N,արյուն,верь
52,Ader::N,երակ,сан
53,Sehne::N,ջիղ,коське сан
54,Sehne::N,ձգտան,коське сан
55,Knochen::N,ոսկոր,пакарь
56,Gehirn::N,խելք,удем
57,Herz::N,սիրտ,седей
58,Magen::N,ստամոքս,пеке
59,Leber::N,լյարդ,максо
60,Atem::N,շունչ,лексема
61,Atem::N,շունչ,оймень таргсема
62,Hunger::N,քաղց,вачочи
63,Träne::N,արտասուք,селведь
64,Geschmack::N,համ,тансть
65,Geschmack::N,բուրմունք,тансть
66,Geruch::N,հոտ,чине
67,Geruch::N,բուրում,чине
68,Schlaf::N,քուն,удома
69,Traum::N,երազ,он
70,Himmel::N,երկինք,менель
71,Sonne::N,արեւ,чи
72,Mond::N,լուսին,ков
73,Stern::N,աստղ,теште
74,Luft::N,օդ,кошт
75,Wind::N,քամի,варма
76,Welle::N,ալիք,толкун
77,Wasser::N,ջուր,ведь
78,Stein::N,քար,кев
79,Boden::N,գետին,мода
80,Erde::N,հող,мастор
81,Staub::N,փոշի,пуль
82,Rauch::N,ծուխ,качамо
83,Funke::N,կայծ,сятко
84,Feuer::N,կրակ,тол
85,Feuer::N,հրդեհ,тол
86,Licht::N,լույս,валдо
87,Schatten::N,ստվեր,сулей
88,Schatten::N,ստվեր,сулейкс
89,Wetter::N,եղանակ,ушо
90,Nebel::N,մեգ,сув
91,Nebel::N,մառախուղ,сув
92,Wolke::N,ամպ,пель
93,Regen::N,անձրև,пиземс
94,Schnee::N,ձյուն,лов
95,Eis::N,սառույց,эй
96,Frost::N,սառնամանիք,кельме
97,Kälte::N,դող,якшамо
98,Hitze::N,շոգ,пси
99,Raureif::N,ցօղեղեամ,лекш
100,Regenbogen::N,ծիածան,пурьгинечирьке
101,Regenbogen::N,ծիածան,пурьгинеёнкс
102,Donner::N,որոտ,пурьгине
103,Strömung::N,հոսանք,чудема
104,Strömung::N,հոսանք,чудевкс
105,Tropfen::N,կաթիլ,петнявкс
106,Schaum::N,փրփուր,чов
107,Schmutz::N,կեղտ,рудаз
108,See::N,լիճ,эрьке
109,Sumpf::N,ճահիճ,чей
110,Moor::N,ճահիճ,чей
111,Wiese::N,մարգագետին,луга
112,Wald::N,անտառ,вирь
113,Hügel::N,բլուր,губорь
114,Hügel::N,բլուր,пандыне
115,Anhöhe::N,բարձունք,губорь
116,Anhöhe::N,բարձունք,пандыне
117,Berg::N,լեռ,пандо
118,Gipfel::N,գագաթ,пря
119,Gipfel::N,կատար,пря
120,Höhle::N,քարայր,пещера
121,Abhang::N,լանջ,пандочама
122,Abhang::N,զառիվայր,пандочама
123,Quelle::N,աղբյուր,ушодкс
124,Bach::N,վտակ,чудикерькс
125,Fluss::N,գետ,лей
126,Ufer::N,ծովափ,чире
127,Küste::N,ափ,лейчире
128,Küste::N,ծովափ,лейчире
129,Festland::N,ցամաք,мода
130,Meer::N,ծով,моря
131,Bucht::N,հաչիւն,усия
132,Insel::N,վղզի,усия
133,Blume::N,ծաղիկ,цеця
134,Gras::N,խոտ,тикше
135,Wurzel::N,արմատ,юр
136,Wurzel::N,արմատ,ундокс
137,Baum::N,ծառ,чувто
138,Stamm::N,իրան,рунго
139,Rinde::N,կեղեւ,суд
140,Rinde::N,կեղեւ,керь
141,Rinde::N,հաչոց,суд
142,Rinde::N,հաչոց,керь
143,Ast::N,ճյուղ,морго
144,Zweig::N,ճյուղ,тарад
145,Blatt::N,տերեւ,лопа
146,Birke::N,ցարասի,килей
147,Kiefer[Baum]::N,սոճի,пиче
148,Weide[Baum]::N,ուռենի,каль
149,Tanne::N,եղեւին,куз
150,Feder::N,փետուր,толга
151,Fell::N,մորթի,пона
152,Flügel::N,թեւ,сёлмо
153,Klaue::N,չանչ,кенже
154,Kralle::N,ճանկ,кенже
155,Schwanz::N,պոչ,пуло
156,Ei::N,ձու,ал
157,Nest::N,բույն,пизэ
158,Bau::N,որջ,варя
159,Bau::N,որջ,пизе
160,Bau::N,բայոց,варя
161,Bau::N,բայոց,пизе
162,Tier::N,կենդանի,ракша
163,Herde::N,հոտ,стада
164,Kuh::N,կով,скал
165,Bulle::N,ցուլ,бука
166,Pferd::N,ձի,лишме
167,Schaf::N,ոչխար,реве
168,Schwein::N,խոզ,туво
169,Hund::N,շուն,пине
170,Hund::N,շուն,киска
171,Katze::N,կատու,псака
172,Bär::N,արջ,овто
173,Eichhörnchen::N,սկյուռ,ур
174,Elch::N,հիւսիսային եղջերու,сярдо
175,Fuchs::N,աղվես,ривезь
176,Hase::N,նապաստակ,нумоло
177,Maus::N,մուկ,чеерь
178,Wolf::N,գայլ,верьгиз
179,Vogel::N,թռչուն,нармунь
180,Schwarm::N,երամ,полк
181,Schwarm::N,երամ,стада
182,Huhn::N,հավ,сараз
183,Hahn::N,աքաղաղ,атякш
184,Gans::N,սագ,гала
185,Gans::N,սագ,мацей
186,Adler::N,արծիվ,куцькан
187,Adler::N,արծիվ,тумоатякш
188,Ente::N,բադ,яксярго
189,Eule::N,բու,корж
190,Kranich::N,կռունկ,карго
191,Krähe::N,ագռավ,варака
192,Kuckuck::N,կուկու,куко
193,Schwan::N,կարապ,локсей
194,Fisch::N,ձուկ,кал
195,Barsch::N,պերկես,окунь
196,Hecht::N,գայլաձուկ,щука
197,Schlange[Tier]::N,օձ,гуй
198,Wurm::N,որդ,сукс
199,Wurm::N,ճիճու,сукс
200,Spinne::N,սարդ,шанжав
201,Ameise::N,միջյուն,коткудав
202,Laus::N,ոջիլ,сий
203,Mücke::N,մժղուկ,сеське
204,Fliege::N,ճանճ,карво
205,Schmetterling::N,թիթեռ,нимиляв
206,Beere::N,հատապտուղ,умарь
207,Apfel::N,խնձոր,умарь
208,Pilz::N,սունկ,панго
