,Concept_ID,mhr,mhr
0,Auge::N,шинча́,шинча́
1,Ohr::N,пы́лыш,пы́лыш
2,Nase::N,нер,нер
3,Mund::N,умша́,умша́
4,Zahn::N,пӱй,пӱй
5,Zunge::N,йы́лме,йы́лме
6,Lippe::N,тӱ́рвӧ,тӱ́рвӧ
7,Wange::N,шӱ́ргӧ,шӱ́ргӧ
8,Gesicht::N,чури́й,чури́й
9,Stirn::N,саҥга́,саҥга́
10,Haar::N,ӱп,ӱп
11,Schnurrbart::N,ӧ́рыш,ӧ́рыш
12,Bart::N,понда́ш,понда́ш
13,Kinn::N,оҥыла́ш,оҥыла́ш
14,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,пӱйдӱ́ҥ
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,пӱйората́
16,Kiefer[Anatomie]::N,пӱйората́,пӱйдӱ́ҥ
17,Kiefer[Anatomie]::N,пӱйората́,пӱйората́
18,Kehle::N,лога́р,лога́р
19,Hals::N,шӱй,шӱй
20,Genick::N,шӱйло́дыш,шӱйло́дыш
21,Kopf::N,вуй,вуй
22,Rücken::N,туп,туп
23,Bauch::N,мӱ́шкыр,мӱ́шкыр
24,Nabel::N,кы́лымде,кы́лымде
25,Busen::N,чы́зе,чы́зе
26,Brust::N,оҥ,оҥ
27,Schulter::N,ва́че,ва́че
28,Arm::N,кид,кид
29,Ellenbogen::N,кынерву́й,кынерву́й
30,Hand::N,кид,кид
31,Hand::N,кид,копа́
32,Hand::N,копа́,кид
33,Hand::N,копа́,копа́
34,Handfläche::N,со́во,со́во
35,Finger::N,парня́,парня́
36,Fingernagel::N,кидкӱ́ч,кидкӱ́ч
37,Fingernagel::N,кидкӱ́ч,парнягӱ́ч
38,Fingernagel::N,парнягӱ́ч,кидкӱ́ч
39,Fingernagel::N,парнягӱ́ч,парнягӱ́ч
40,Nagel[Anatomie]::N,кӱч,кӱч
41,Zeh::N,йолварня́,йолварня́
42,Fuß::N,йол,йол
43,Fuß::N,йол,йолкопа́
44,Fuß::N,йолкопа́,йол
45,Fuß::N,йолкопа́,йолкопа́
46,Ferse::N,тага́н,тага́н
47,Knie::N,пулву́й,пулву́й
48,Oberschenkel::N,э́рде,э́рде
49,Bein::N,йол,йол
50,Körper::N,кап,кап
51,Haut::N,кова́ште,кова́ште
52,Blut::N,вӱр,вӱр
