,Concept_ID,el,bn
0,Auge::N,μάτι,চক্ষু
1,Auge::N,οφθαλμός,চক্ষু
2,Ohr::N,αυτί,কর্ণ
3,Nase::N,μύτη,নাক
4,Mund::N,στόμα,মুখ
5,Zahn::N,δόντι,দাঁত
6,Zunge::N,γλώσσα,জিহবা
7,Lippe::N,χείλος,অধর
8,Wange::N,παρειά,গণ্ড
9,Wange::N,μάγουλο,গণ্ড
10,Gesicht::N,πρόσωπο,মুখমণ্ডল
11,Stirn::N,μέτωπο,কপাল
12,Haar::N,μαλλιά,চুল
13,Schnurrbart::N,μουστάκι,গোঁফ
14,Bart::N,γένια,শ্মশ্রু
15,Kinn::N,πιγούνι,চিবুক
16,Kiefer[Anatomie]::N,σαγόνι,চোয়াল
17,Kehle::N,λαρύγγι,কণ্ঠ
18,Hals::N,λαιμός,গল
19,Genick::N,σβέρκος,ঘাড়
20,Kopf::N,κεφάλι,মাথা
21,Rücken::N,ράχη,পৃষ্ঠ
22,Bauch::N,κοιλιά,উদর
23,Nabel::N,αφαλός,নাভি
24,Busen::N,στήθος,স্তন
25,Brust::N,στήθος,বুক
26,Schulter::N,ώμος,স্কন্ধ
27,Arm::N,χέρι,বাহু
28,Arm::N,μπράτςο,বাহু
29,Ellenbogen::N,αγκώνας,কনুই
30,Hand::N,χέρι,হাত
31,Handfläche::N,παλάμη,করতল
32,Finger::N,δάχτυλο,আঙ্গুল
33,Fingernagel::N,νύχι,হাতের নখ
34,Nagel[Anatomie]::N,νύχι,নখ
35,Zeh::N,δάχτυλο του ποδιού,আঙ্গুল
36,Fuß::N,πόδι,পা
37,Ferse::N,φτέρνα,গোড়ালি
38,Knie::N,γόνατο,হাঁটু
39,Oberschenkel::N,μηρός,ঊরু
40,Bein::N,πόδι,পা
41,Körper::N,σώμα,দেহ
42,Körper::N,κορμί,দেহ
43,Haut::N,πετσί,ত্বক
44,Blut::N,αίμα,রক্ত
45,Ader::N,φλέβα,শিরা
46,Sehne::N,νεύρο,কণ্ডরা
47,Sehne::N,τένοντας,কণ্ডরা
48,Knochen::N,οστό,অস্থি
49,Knochen::N,κόκκαλο,অস্থি
50,Gehirn::N,μυαλό,মস্তিষ্ক
51,Gehirn::N,εγκέφαλος,মস্তিষ্ক
52,Herz::N,καρδιά,হৃৎপিণ্ড
53,Magen::N,στομάχι,পাকস্থলী
54,Leber::N,ήπαρ,যকৃৎ
55,Leber::N,συκωτί,যকৃৎ
56,Atem::N,αναπνοή,শ্বাস
57,Hunger::N,πείνα,ক্ষুধা
58,Träne::N,δάκρυ,অশ্রু
59,Geschmack::N,γεύση,স্বাদ
60,Geruch::N,οσμή,গন্ধ
61,Geruch::N,μυρωδία,গন্ধ
62,Schlaf::N,ύπνος,ঘুম
63,Traum::N,όνειρο,স্বপ্ন
64,Himmel::N,ουρανός,আকাশ
65,Sonne::N,ήλιος,সূর্য
66,Mond::N,σελήνη,চন্দ্র
