,Concept_ID,kl,kl
0,Auge::N,isi,isi
1,Ohr::N,siut,siut
2,Mund::N,paaq,paaq
3,Mund::N,paaq,qaneq
4,Mund::N,qaneq,paaq
5,Mund::N,qaneq,qaneq
6,Zahn::N,kigut,kigut
7,Zunge::N,oqaq,oqaq
8,Lippe::N,qarloq,qarloq
9,Wange::N,ersaq,ersaq
10,Gesicht::N,kiinaq,kiinaq
11,Stirn::N,qaaq,qaaq
12,Haar::N,meqqoq,meqqoq
13,Bart::N,umik,umik
14,Kinn::N,talloq,talloq
15,Kiefer[Anatomie]::N,alleroq,alleroq
16,Kehle::N,malaq,malaq
17,Hals::N,qungaseq,qungaseq
18,Genick::N,pukusuk,pukusuk
19,Kopf::N,niaqoq,niaqoq
20,Rücken::N,qimerlut,qimerlut
21,Bauch::N,naaq,naaq
22,Nabel::N,qalaseq,qalaseq
23,Busen::N,iviangeq,iviangeq
24,Brust::N,iviangeq,iviangeq
25,Schulter::N,ersik,ersik
26,Schulter::N,ersik,assaqqoq
27,Schulter::N,assaqqoq,ersik
28,Schulter::N,assaqqoq,assaqqoq
29,Arm::N,taleq,taleq
30,Ellenbogen::N,ikusik,ikusik
31,Hand::N,assak,assak
32,Handfläche::N,itumak,itumak
33,Finger::N,inuak,inuak
34,Fingernagel::N,kikiak,kikiak
35,Nagel[Anatomie]::N,kukik,kukik
36,Zeh::N,isigak,isigak
37,Ferse::N,kimmik,kimmik
38,Knie::N,seeqqoq,seeqqoq
39,Oberschenkel::N,uppat,uppat
40,Oberschenkel::N,uppat,quttoraq
41,Oberschenkel::N,quttoraq,uppat
42,Oberschenkel::N,quttoraq,quttoraq
43,Bein::N,isigak,isigak
44,Körper::N,timi,timi
45,Haut::N,mattak,mattak
46,Blut::N,aak,aak
47,Ader::N,taqaq,taqaq
48,Sehne::N,ujalu,ujalu
49,Sehne::N,ujalu,ujaloq
50,Sehne::N,ujaloq,ujalu
51,Sehne::N,ujaloq,ujaloq
52,Knochen::N,saanikut,saanikut
53,Gehirn::N,qarasaq,qarasaq
54,Herz::N,uummat,uummat
55,Magen::N,aqajaroq,aqajaroq
56,Leber::N,tinguk,tinguk
57,Atem::N,anerneq,anerneq
58,Hunger::N,kaanneq,kaanneq
59,Träne::N,qia,qia
60,Träne::N,qia,qiak
61,Träne::N,qiak,qia
62,Träne::N,qiak,qiak
63,Geschmack::N,qilanaartuut,qilanaartuut
64,Geruch::N,tipi,tipi
65,Geruch::N,tipi,tipik
66,Geruch::N,tipik,tipi
67,Geruch::N,tipik,tipik
68,Traum::N,sinnattoq,sinnattoq
69,Traum::N,sinnattoq,sinnattugaq
70,Traum::N,sinnattugaq,sinnattoq
71,Traum::N,sinnattugaq,sinnattugaq
72,Himmel::N,qilak,qilak
73,Sonne::N,seqineq,seqineq
74,Mond::N,qaammat,qaammat
75,Stern::N,ulloriaq,ulloriaq
76,Luft::N,silaannaq,silaannaq
77,Wind::N,anori,anori
78,Wind::N,anori,anorsarik
79,Wind::N,anorsarik,anori
80,Wind::N,anorsarik,anorsarik
81,Welle::N,aalappaa,aalappaa
82,Wasser::N,imeq,imeq
83,Stein::N,ujarak,ujarak
84,Boden::N,nateq,nateq
85,Erde::N,issoq,issoq
86,Staub::N,pujualanerit,pujualanerit
87,Staub::N,pujualanerit,pujoralanerit
88,Staub::N,pujoralanerit,pujualanerit
89,Staub::N,pujoralanerit,pujoralanerit
90,Rauch::N,iseq,iseq
91,Rauch::N,iseq,pujoq
92,Rauch::N,pujoq,iseq
93,Rauch::N,pujoq,pujoq
94,Funke::N,illoorneq,illoorneq
95,Feuer::N,inneq,inneq
96,Licht::N,qaamaneq,qaamaneq
97,Schatten::N,tarraq,tarraq
98,Wetter::N,sila,sila
99,Nebel::N,pujoq,pujoq
100,Wolke::N,nuia,nuia
101,Regen::N,sialuk,sialuk
102,Schnee::N,aput,aput
103,Eis::N,siku,siku
104,Frost::N,issi,issi
105,Frost::N,issi,issik
106,Frost::N,issik,issi
107,Frost::N,issik,issik
108,Kälte::N,issi,issi
109,Hitze::N,kianneq,kianneq
110,Hitze::N,kianneq,kiassuseq
111,Hitze::N,kiassuseq,kianneq
112,Hitze::N,kiassuseq,kiassuseq
113,Raureif::N,kaneq,kaneq
114,Regenbogen::N,neriusaaq,neriusaaq
115,Donner::N,kalleq,kalleq
116,Tropfen::N,kuseriarneq,kuseriarneq
117,Schaum::N,qapuk,qapuk
118,Schmutz::N,minguk,minguk
119,See::N,taseq,taseq
120,Sumpf::N,maqulluk,maqulluk
121,Wiese::N,masarsuk,masarsuk
122,Hügel::N,qattuneq,qattuneq
123,Hügel::N,qattuneq,majuariaq
124,Hügel::N,qattuneq,majorajaaq
125,Hügel::N,qattuneq,qaqqannguaq
126,Hügel::N,majuariaq,qattuneq
127,Hügel::N,majuariaq,majuariaq
128,Hügel::N,majuariaq,majorajaaq
129,Hügel::N,majuariaq,qaqqannguaq
130,Hügel::N,majorajaaq,qattuneq
131,Hügel::N,majorajaaq,majuariaq
132,Hügel::N,majorajaaq,majorajaaq
133,Hügel::N,majorajaaq,qaqqannguaq
134,Hügel::N,qaqqannguaq,qattuneq
135,Hügel::N,qaqqannguaq,majuariaq
136,Hügel::N,qaqqannguaq,majorajaaq
137,Hügel::N,qaqqannguaq,qaqqannguaq
138,Berg::N,qaqqaq,qaqqaq
139,Höhle::N,qaarusuk,qaarusuk
140,Abhang::N,ippik,ippik
141,Abhang::N,ippik,sivinganeq
142,Abhang::N,ippik,sivingajaaq
143,Abhang::N,ippik,kussangajaaq
144,Abhang::N,sivinganeq,ippik
145,Abhang::N,sivinganeq,sivinganeq
146,Abhang::N,sivinganeq,sivingajaaq
147,Abhang::N,sivinganeq,kussangajaaq
148,Abhang::N,sivingajaaq,ippik
149,Abhang::N,sivingajaaq,sivinganeq
150,Abhang::N,sivingajaaq,sivingajaaq
151,Abhang::N,sivingajaaq,kussangajaaq
152,Abhang::N,kussangajaaq,ippik
153,Abhang::N,kussangajaaq,sivinganeq
154,Abhang::N,kussangajaaq,sivingajaaq
155,Abhang::N,kussangajaaq,kussangajaaq
156,Bach::N,kuunnguaq,kuunnguaq
157,Fluss::N,kuuk,kuuk
