,Concept_ID,fr,ar
0,Auge::N,œil,عين
1,Ohr::N,oreille,أذن
2,Nase::N,nez,أنف
3,Mund::N,bouche,فم
4,Zahn::N,dent,سن
5,Zunge::N,langue,لسان
6,Lippe::N,lèvre,شفة
7,Wange::N,joue,خد
8,Wange::N,joue,وجنة
9,Gesicht::N,face,وجه
10,Gesicht::N,visage,وجه
11,Stirn::N,front,جبين
12,Haar::N,cheveu,شعر
13,Schnurrbart::N,moustache,شارب
14,Bart::N,barbe,لحية
15,Kinn::N,menton,ذقن
16,Kiefer[Anatomie]::N,mâchoire,فك
17,Kehle::N,gorge,حلق
18,Hals::N,cou,عنق
19,Hals::N,cou,رقبة
20,Genick::N,nuque,قفا
21,Kopf::N,tête,رأس
22,Rücken::N,dos,ظهر
23,Bauch::N,ventre,بطن
24,Nabel::N,nombril,سرة
25,Busen::N,sein,ثدي
26,Brust::N,poitrine,صدر
27,Schulter::N,épaule,كتف
28,Arm::N,bras,ذراع
29,Ellenbogen::N,coude,كوع
30,Hand::N,main,يد
31,Handfläche::N,paume,كف
32,Finger::N,doigt,إصبع
33,Fingernagel::N,ongle,ظفر
34,Nagel[Anatomie]::N,ongle,ظفر
35,Zeh::N,orteil,إصبع القدم
36,Zeh::N,doigt de pied,إصبع القدم
37,Fuß::N,pied,قدم
38,Ferse::N,talon,كعب
39,Knie::N,genou,ركبة
40,Oberschenkel::N,cuisse,فخذ
41,Bein::N,jambe,ساق
42,Körper::N,corps,جسم
43,Haut::N,peau,بشرة
44,Blut::N,sang,دم
45,Ader::N,veine,عرق
46,Sehne::N,tendon,طنب
47,Knochen::N,os,عظم
48,Gehirn::N,cerveau,دماغ
49,Herz::N,cœur,قلب
50,Magen::N,estomac,معدة
51,Leber::N,foie,كبد
52,Atem::N,haleine,نفس
53,Hunger::N,faim,جوع
54,Träne::N,larme,دمعة
55,Geschmack::N,goût,طعم
56,Geschmack::N,goût,مذاق
57,Geschmack::N,saveur,طعم
58,Geschmack::N,saveur,مذاق
59,Geruch::N,odeur,رائحة
60,Schlaf::N,sommeil,نوم
61,Schlaf::N,sommeil,منام
62,Traum::N,songe,حلم
63,Himmel::N,ciel,سماء
64,Sonne::N,soleil,شمس
65,Mond::N,lune,قمر
66,Stern::N,étoile,نجم
67,Stern::N,étoile,كوكب
68,Luft::N,air,هواء
69,Wind::N,vent,ريح
70,Welle::N,vague,موجة
71,Wasser::N,eau,ماء
72,Stein::N,pierre,حجر
73,Boden::N,sol,تراب
74,Boden::N,terrain,تراب
75,Erde::N,terre,أرض
76,Staub::N,poussière,غبار
77,Rauch::N,fumée,دخان
78,Funke::N,étincelle,شرارة
79,Feuer::N,feu,نار
80,Licht::N,lumière,نور
81,Licht::N,lumière,ضوء
82,Schatten::N,ombre,ظل
83,Schatten::N,ombre,فيء
84,Wetter::N,temps,جو
85,Wetter::N,temps,طقس
86,Nebel::N,brume,ضباب
87,Nebel::N,brouillard,ضباب
88,Wolke::N,nuage,غيمة
89,Wolke::N,nuage,سحابة
90,Regen::N,pluie,مطر
91,Schnee::N,neige,ثلج
92,Eis::N,glace,جليد
93,Frost::N,gel,صقيع
94,Frost::N,gelée,صقيع
95,Kälte::N,froid,برد
96,Hitze::N,chaleur,حر
97,Hitze::N,chaleur,حرارة
98,Raureif::N,givre,صقيع
99,Regenbogen::N,arc-en-ciel,قوس قزح
100,Donner::N,tonnerre,رعد
101,Strömung::N,courant,تيار
102,Tropfen::N,goutte,قطرة
103,Schaum::N,écume,زبد
104,Schaum::N,écume,رغوة
105,Schaum::N,mousse,زبد
106,Schaum::N,mousse,رغوة
107,Schmutz::N,boue,وسخ
108,Schmutz::N,saleté,وسخ
109,See::N,lac,بحيرة
110,Sumpf::N,marais,مستنقع
111,Sumpf::N,marécage,مستنقع
112,Moor::N,tourbière,مستنقع
113,Wiese::N,pré,مرج
114,Wald::N,bois,غابة
115,Wald::N,forêt,غابة
116,Hügel::N,coteau,تل
117,Hügel::N,colline,تل
118,Anhöhe::N,éminence,تل
119,Anhöhe::N,élévation,تل
120,Berg::N,mont,جبل
121,Berg::N,montagne,جبل
122,Gipfel::N,cime,قمة
123,Gipfel::N,sommet,قمة
124,Höhle::N,caverne,كهف
125,Abhang::N,pente,منحدر
126,Abhang::N,versant,منحدر
127,Quelle::N,source,منبع
128,Quelle::N,fontaine,منبع
129,Bach::N,ruisseau,مجرى
130,Fluss::N,fleuve,نهر
131,Fluss::N,rivière,نهر
132,Ufer::N,bord,ضفة
133,Ufer::N,rivage,ضفة
134,Küste::N,côte,ساحل
135,Festland::N,terre ferme,بر
136,Meer::N,mer,بحر
137,Bucht::N,baie,خليج
138,Insel::N,île,جزيرة
139,Blume::N,fleur,زهرة
140,Gras::N,herbe,حشيش
141,Wurzel::N,racine,أصل
142,Baum::N,arbre,شجرة
143,Stamm::N,tronc,جذع
144,Rinde::N,écorce,قشرة
145,Ast::N,branche,فرع
146,Zweig::N,rameau,غصن
147,Blatt::N,feuille,ورقة
148,Birke::N,bouleau,قضبان
149,Kiefer[Baum]::N,pin,صنوبرة
150,Weide[Baum]::N,saule,صفصاف
151,Tanne::N,sapin,شوح
152,Tanne::N,sapin,تبوب
