,Concept_ID,lt,av
0,Auge::N,akis,
1,Ohr::N,ausis,гӏин
2,Nase::N,nosis,мегӏер
3,Mund::N,burna,кӏал
4,Zahn::N,dantis,гӏус
5,Zunge::N,liežuvis,мацӏ
6,Lippe::N,lūpa,кӏветӏ
7,Wange::N,žandas,гӏоно
8,Wange::N,skruostas,гӏоно
9,Gesicht::N,veidas,гьумер
10,Stirn::N,kakta,нодо
11,Haar::N,plaukai,рас
12,Schnurrbart::N,ūsai,михъ
13,Bart::N,barzda,мегеж
14,Kinn::N,smakras,нилъу
15,Kiefer[Anatomie]::N,žandikaulis,чанагъ
16,Kehle::N,gerklė,щекъер
17,Hals::N,kaklas,габур
18,Genick::N,sprandas,гъванща
19,Kopf::N,galva,бетӏер
20,Rücken::N,nugara,мугъ
21,Bauch::N,pilvas,чехь
22,Nabel::N,bamba,цӏину
23,Busen::N,krūtinė,керен
24,Brust::N,krūtis,керен
25,Schulter::N,petys,гъажазубетӏер
26,Arm::N,ranka,гъеж
27,Ellenbogen::N,alkūnė,гӏункӏрукь
28,Hand::N,ranka,квер
29,Hand::N,plaštaka,квер
30,Handfläche::N,delnas,огъохъат
31,Handfläche::N,delnas,жанисахъат
32,Handfläche::N,plaštaka,огъохъат
33,Handfläche::N,plaštaka,жанисахъат
34,Finger::N,pirštas,килищ
35,Fingernagel::N,nagas,малъ
36,Nagel[Anatomie]::N,nagas,малъ
37,Zeh::N,pirštas,килищ
38,Fuß::N,pėda,хӏетӏ
39,Fuß::N,pėda,хӏетӏе
40,Ferse::N,kulnas,эгъе
41,Knie::N,kelis,наку
42,Oberschenkel::N,kulšis,мачӏ
43,Oberschenkel::N,šlaunis,мачӏ
44,Bein::N,koja,бох
45,Körper::N,kūnas,къаркъала
46,Haut::N,oda,тӏом
47,Blut::N,kraujas,би
48,Ader::N,kraujagyslė,бидурихь
49,Sehne::N,sausgyslė,
50,Knochen::N,kaulas,ракьа
51,Gehirn::N,smegenys,гӏадалнах
52,Herz::N,širdis,ракӏ
53,Magen::N,skrandis,кванирукъ
54,Leber::N,kepenys,тӏул
55,Atem::N,kvapas,хӏухь
56,Hunger::N,badas,ракъи
57,Hunger::N,alkis,ракъи
58,Träne::N,ašara,магӏу
59,Geschmack::N,skonis,тату
60,Geruch::N,kvapas,махӏ
61,Schlaf::N,miegas,макьу
62,Traum::N,sapnas,макьу
63,Himmel::N,dangus,зоб
64,Sonne::N,saulė,бакъ
65,Mond::N,mėnulis,моцӏ
66,Stern::N,žvaigždė,цӏва
67,Luft::N,oras,гьава
68,Wind::N,vėjas,гьури
69,Welle::N,banga,карачел
70,Welle::N,vilnis,карачел
71,Wasser::N,vanduo,лъим
72,Stein::N,akmuo,гьецӏо
73,Boden::N,žemė,ракь
74,Boden::N,dugnas,ракь
75,Erde::N,žemė,ракь
76,Erde::N,žemė,дуниял
77,Staub::N,dulkės,хӏур
78,Rauch::N,dūmai,кӏкӏуй
79,Funke::N,kibirkštis,
80,Feuer::N,ugnis,цӏа
81,Licht::N,šviesa,канлъи
82,Schatten::N,paūksmė,рагӏад
83,Wetter::N,oras,гьава-бакъ
84,Nebel::N,migla,гӏодобнакӏкӏ
85,Nebel::N,rūkas,гӏодобнакӏкӏ
86,Wolke::N,debesis,накӏкӏ
87,Regen::N,lietus,цӏад
88,Schnee::N,sniegas,гӏазу
89,Eis::N,ledas,цӏер
90,Frost::N,šalna,замгьари
91,Kälte::N,šaltis,квач
92,Hitze::N,karštis,багӏари
93,Raureif::N,šerkšnas,мартӏ
94,Regenbogen::N,vaivorykštė,нур
95,Regenbogen::N,vaivorykštė,чамбара
96,Donner::N,perkūnas,гъугъай
97,Donner::N,perkūnas,гъугъади
98,Donner::N,griaustinis,гъугъай
99,Donner::N,griaustinis,гъугъади
100,Strömung::N,tėkmė,чвахи
101,Tropfen::N,lašas,резел
102,Tropfen::N,lašas,тӏинкӏ
103,Tropfen::N,lašas,къатӏра
104,Tropfen::N,lašas,тӏенкӏел
105,Schaum::N,putos,полоп
106,Schmutz::N,purvas,чороклъи
107,See::N,ežeras,хӏор
108,Sumpf::N,klampynė,хьуцӏ
109,Sumpf::N,liūnas,хьуцӏ
110,Moor::N,pelkė,
111,Wiese::N,pieva,мегъ
112,Wiese::N,pieva,гӏурдаллъи
113,Wald::N,miškas,рохь
114,Hügel::N,kalva,гохӏ
115,Anhöhe::N,kauburys,сийитма
116,Berg::N,kalnas,мегӏер
117,Gipfel::N,viršūnė,тӏогь
118,Höhle::N,ola,нохъо
119,Abhang::N,šlaitas,лабаллъи
120,Abhang::N,nuokalnė,лабаллъи
121,Quelle::N,versmė,ицц
122,Quelle::N,šaltinis,ицц
123,Bach::N,upelis,лъар
124,Fluss::N,upė,гӏор
125,Ufer::N,krantas,рагӏал
126,Küste::N,pajūris,рагӏал
127,Festland::N,sausuma,ракь
128,Festland::N,sausuma,ракъдаллъи
129,Meer::N,jūra,ралъад
130,Bucht::N,įlanka,кӏветӏ
131,Bucht::N,užutekis,кӏветӏ
132,Insel::N,sala,чӏинкӏиллъи
133,Blume::N,gėlė,тӏегь
134,Gras::N,žolė,хер
135,Wurzel::N,šaknis,кьибил
136,Baum::N,medis,гъветӏ
137,Stamm::N,kamienas,рохти
138,Rinde::N,žievė,макъар
139,Ast::N,šaka,ноцӏ
140,Zweig::N,šakelė,гӏаркьел
141,Blatt::N,lapas,тӏамах
142,Birke::N,beržas,мах
143,Birke::N,beržas,махигъветӏ
144,Kiefer[Baum]::N,pušis,накӏкӏигъветӏ
145,Weide[Baum]::N,karklas,рицӏцӏ
146,Weide[Baum]::N,karklas,рицӏцӏигъветӏ
147,Tanne::N,eglė,ёлка
148,Tanne::N,kėnis,ёлка
149,Horn::N,ragas,лълъар
150,Feder::N,plunksna,хӏули
151,Fell::N,kailis,тӏом
152,Fell::N,kailis,цӏоко
153,Flügel::N,sparnas,кваркьи
154,Klaue::N,kanopa,галъ
155,Kralle::N,nagas,квачӏ
156,Kralle::N,nagas,катиквачӏ
157,Schwanz::N,uodega,рачӏ
