,Concept_ID,ga,fa
0,Auge::N,súil,چشم
1,Ohr::N,cluas,گوش
2,Nase::N,soc,بینی
3,Mund::N,béal,دهان
4,Zahn::N,fiacail,دندان
5,Zunge::N,teanga,زبان
6,Lippe::N,liopa,لب
7,Wange::N,grua,لپ
8,Wange::N,leiceann,لپ
9,Gesicht::N,éadan,رو
10,Gesicht::N,éadan,چهره
11,Gesicht::N,aghaidh,رو
12,Gesicht::N,aghaidh,چهره
13,Stirn::N,baithis,پیشانی
14,Stirn::N,clár éadain,پیشانی
15,Haar::N,gruaig,مو
16,Schnurrbart::N,croiméal,سبیل
17,Bart::N,féasóg,ریش
18,Kinn::N,smig,چانه
19,Kiefer[Anatomie]::N,giall,فک
20,Kiefer[Anatomie]::N,giall,آرواره
21,Kehle::N,scornach,حلق
22,Hals::N,muinéal,گردن
23,Genick::N,baic,پشت گردن
24,Kopf::N,ceann,سر
25,Kopf::N,ceann,کله
26,Rücken::N,droim,پشت
27,Bauch::N,bolg,شکم
28,Nabel::N,imleacán,ناف
29,Busen::N,cíoch,پستان
30,Brust::N,brollach,سینه
31,Schulter::N,gualainn,دوش
32,Schulter::N,gualainn,شانه
33,Arm::N,lámh,بازو
34,Ellenbogen::N,uillinn,آرنج
35,Hand::N,lámh,دست
36,Handfläche::N,bos,کف دست
37,Finger::N,méar,انگشت
38,Fingernagel::N,ionga,ناخن دست
39,Nagel[Anatomie]::N,ionga,ناخن
40,Zeh::N,ladhar,انگشت پا
41,Fuß::N,cos,پا
42,Fuß::N,troigh,پا
43,Ferse::N,sáil,پاشنه
44,Knie::N,glúin,زانو
45,Oberschenkel::N,ceathrú,ران
46,Bein::N,cos,پا
47,Bein::N,cos,لنگ
48,Körper::N,corp,تن
49,Körper::N,corp,بدن
50,Körper::N,colainn,تن
51,Körper::N,colainn,بدن
52,Haut::N,cneas,پوست
53,Haut::N,craiceann,پوست
54,Blut::N,fuil,خون
55,Sehne::N,teannán,زردپی
56,Sehne::N,féitheog,زردپی
57,Knochen::N,cnámh,استخوان
58,Gehirn::N,inchinn,مخ
59,Gehirn::N,inchinn,مغز
60,Herz::N,croí,دل
61,Herz::N,croí,قلب
62,Magen::N,bolg,معده
63,Magen::N,goile,معده
64,Leber::N,ae,کبد
65,Atem::N,anáil,نفس
66,Hunger::N,ocras,گرسنگی
67,Träne::N,deoir,اشک
68,Geschmack::N,blas,مزه
69,Geruch::N,boladh,بو
70,Schlaf::N,suan,خواب
71,Schlaf::N,codladh,خواب
72,Traum::N,taibhreamh,رؤیا
73,Himmel::N,spéir,فلک
74,Himmel::N,spéir,آسمان
75,Sonne::N,grian,آفتاب
76,Sonne::N,grian,خورشید
77,Mond::N,ré,ماه
78,Mond::N,gealach,ماه
79,Stern::N,rinn,ستاره
80,Stern::N,réalta,ستاره
81,Luft::N,aer,هوا
82,Wind::N,gaoth,باد
83,Welle::N,tonn,موج
84,Wasser::N,uisce,آب
85,Stein::N,cloch,سنگ
86,Boden::N,talamh,زمین
87,Erde::N,cré,خاک
88,Erde::N,cré,زمین
89,Erde::N,ithir,خاک
90,Erde::N,ithir,زمین
91,Staub::N,dusta,گرد
92,Staub::N,dusta,غبار
93,Staub::N,deannach,گرد
94,Staub::N,deannach,غبار
95,Rauch::N,toit,دود
96,Rauch::N,deatach,دود
97,Funke::N,drithle,جرقه
98,Feuer::N,tine,آتش
99,Licht::N,solas,نور
100,Licht::N,solas,روشنی
101,Schatten::N,scáth,سایه
102,Wetter::N,aimsir,هوا
103,Nebel::N,ceo,مه
104,Wolke::N,néal,ابر
105,Wolke::N,scamall,ابر
106,Regen::N,báisteach,باران
107,Regen::N,fearthainn,باران
108,Schnee::N,sneachta,برف
109,Eis::N,oighear,یخ
110,Frost::N,sioc,یخبندان
111,Kälte::N,fuacht,سرما
112,Hitze::N,teas,گرما
113,Hitze::N,teas,حرارت
114,Hitze::N,teocht,گرما
115,Hitze::N,teocht,حرارت
116,Raureif::N,sioc bán,برف ریزه
117,Regenbogen::N,stua ceatha,رنگین‌کمان
118,Regenbogen::N,bogha báistí,رنگین‌کمان
119,Donner::N,toirneach,رعد
120,Strömung::N,sruth,جریان
121,Tropfen::N,deoir,قطره
122,Schaum::N,cúr,کف
123,Schmutz::N,salachar,گل
124,Schmutz::N,salachar,کثافت
125,See::N,loch,دریاچه
126,Sumpf::N,portach,مرداب
127,Sumpf::N,portach,باتلاق
128,Moor::N,caorán,باتلاق
129,Moor::N,móinteán,باتلاق
130,Wiese::N,cluain,چمن
131,Wiese::N,móinéar,چمن
132,Wald::N,coill,جنگل
133,Wald::N,foraois,جنگل
134,Hügel::N,ard,تل
135,Hügel::N,ard,تپه
136,Anhöhe::N,ard,بلندی
137,Anhöhe::N,ardán,بلندی
138,Berg::N,sliabh,کوه
139,Gipfel::N,barr,قله
140,Gipfel::N,mullach,قله
141,Höhle::N,uaimh,غار
142,Höhle::N,pluais,غار
143,Abhang::N,fána,سرازیری
144,Quelle::N,foinse,چشمه
145,Bach::N,sruthán,نهر
146,Fluss::N,abhainn,رود
147,Ufer::N,bruach,ساحل
148,Ufer::N,bruach,کرانه
149,Küste::N,cósta,ساحل
150,Küste::N,cladach,ساحل
151,Festland::N,míntír,خشکی
152,Meer::N,muir,دریا
153,Meer::N,farraige,دریا
154,Bucht::N,bá,خلیج
155,Bucht::N,cuan,خلیج
156,Insel::N,inis,جزیره
157,Insel::N,oileán,جزیره
158,Blume::N,bláth,گل
159,Gras::N,féar,علف
160,Wurzel::N,rúta,ریشه
161,Wurzel::N,fréamh,ریشه
162,Baum::N,crann,درخت
163,Stamm::N,stoc,تنه
164,Stamm::N,tamhan,تنه
165,Rinde::N,coirt,توژ
166,Rinde::N,coirt,پوست
167,Rinde::N,craiceann,توژ
168,Rinde::N,craiceann,پوست
169,Ast::N,géag,شاخه
170,Zweig::N,géag,شاخه
171,Zweig::N,craobh,شاخه
172,Blatt::N,duille,برگ
173,Blatt::N,duilleog,برگ
174,Birke::N,beith,غان
175,Birke::N,crann beithe,غان
176,Kiefer[Baum]::N,péine,کاج
177,Weide[Baum]::N,saileach,بید
178,Tanne::N,giúis,صنوبر
179,Horn::N,adharc,شاخ
