,Concept_ID,es,pt
0,Auge::N,ojo,olho
1,Ohr::N,oreja,orelha
2,Nase::N,nariz,nariz
3,Mund::N,boca,boca
4,Zahn::N,diente,dente
5,Zunge::N,lengua,língua
6,Lippe::N,labio,lábio
7,Wange::N,mejilla,face
8,Gesicht::N,cara,cara
9,Gesicht::N,cara,rosto
10,Stirn::N,frente,testa
11,Haar::N,cabello,cabelo
12,Schnurrbart::N,bigote,bigode
13,Bart::N,barba,barba
14,Kinn::N,barbilla,queixo
15,Kiefer[Anatomie]::N,mandíbula,maxila
16,Kiefer[Anatomie]::N,mandíbula,mandíbula
17,Kehle::N,garganta,garganta
18,Hals::N,cuello,colo
19,Hals::N,cuello,pescoço
20,Genick::N,nuca,nuca
21,Genick::N,cerviz,nuca
22,Kopf::N,cabeza,cabeça
23,Rücken::N,espalda,dorso
24,Rücken::N,espalda,costas
25,Bauch::N,vientre,ventre
26,Bauch::N,vientre,barriga
27,Nabel::N,ombligo,umbigo
28,Busen::N,pecho,seio
29,Brust::N,pecho,peito
30,Schulter::N,hombro,ombro
31,Arm::N,brazo,braço
32,Ellenbogen::N,codo,cotovelo
33,Hand::N,mano,mão
34,Handfläche::N,palma,palma
35,Handfläche::N,palma,palma da mão
36,Finger::N,dedo,dedo
37,Fingernagel::N,uña,unha
38,Nagel[Anatomie]::N,uña,unha
39,Zeh::N,dedo del pie,dedo do pé
40,Fuß::N,pie,pé
41,Ferse::N,talón,calcanhar
42,Knie::N,rodilla,joelho
43,Oberschenkel::N,muslo,coxa
44,Bein::N,pierna,perna
45,Körper::N,cuerpo,corpo
46,Haut::N,piel,pele
47,Blut::N,sangre,sangue
48,Ader::N,vena,veia
49,Sehne::N,tendón,tendão
50,Knochen::N,hueso,osso
51,Gehirn::N,cerebro,cérebro
52,Gehirn::N,encéfalo,cérebro
53,Herz::N,corazón,coração
54,Magen::N,estómago,estômago
55,Leber::N,hígado,fígado
56,Atem::N,aliento,fôlego
57,Hunger::N,hambre,fome
58,Träne::N,lágrima,lágrima
59,Geschmack::N,gusto,gosto
60,Geruch::N,olor,odor
61,Geruch::N,olor,cheiro
62,Schlaf::N,sueño,sono
63,Traum::N,sueño,sonho
64,Traum::N,ensueño,sonho
65,Himmel::N,cielo,céu
66,Sonne::N,sol,sol
67,Mond::N,luna,lua
68,Stern::N,estrella,estrela
69,Luft::N,aire,ar
70,Wind::N,viento,vento
71,Welle::N,ola,onda
72,Welle::N,onda,onda
73,Wasser::N,agua,água
74,Stein::N,piedra,pedra
75,Boden::N,suelo,solo
76,Erde::N,tierra,terra
77,Staub::N,polvo,pó
78,Rauch::N,humo,fumo
79,Funke::N,chispa,faísca
80,Funke::N,chispa,centelha
81,Feuer::N,fuego,fogo
82,Licht::N,luz,luz
83,Schatten::N,sombra,sombra
84,Wetter::N,tiempo,tempo
85,Nebel::N,niebla,nevoeiro
86,Wolke::N,nube,nuvem
87,Regen::N,lluvia,chuva
88,Schnee::N,nieve,neve
89,Eis::N,hielo,gelo
90,Frost::N,helada,gelo
91,Frost::N,helada,geada
92,Kälte::N,frío,frio
93,Hitze::N,calor,ardor
94,Raureif::N,escarcha,geada
95,Regenbogen::N,arco iris,arco-iris
96,Donner::N,trueno,trovão
97,Strömung::N,corriente,corrente
98,Tropfen::N,gota,gota
99,Schaum::N,espuma,espuma
100,Schmutz::N,suciedad,sujidade
101,Schmutz::N,suciedad,imundície
102,See::N,lago,lago
103,Sumpf::N,pantano,charco
104,Sumpf::N,pantano,pântano
105,Moor::N,turbera,pântano
106,Wiese::N,prado,prado
107,Wiese::N,pradera,prado
108,Wald::N,bosque,bosque
109,Wald::N,bosque,floresta
110,Hügel::N,colina,colina
111,Anhöhe::N,cerro,alto
112,Anhöhe::N,cerro,outeiro
113,Berg::N,monte,monte
114,Berg::N,monte,montanha
115,Berg::N,montaña,monte
116,Berg::N,montaña,montanha
117,Gipfel::N,cima,pico
118,Gipfel::N,cumbre,pico
119,Höhle::N,cueva,caverna
120,Höhle::N,caverna,caverna
121,Abhang::N,cuesta,encosta
122,Abhang::N,declive,encosta
123,Quelle::N,fuente,fonte
124,Quelle::N,manantial,fonte
125,Bach::N,arroyo,regato
126,Bach::N,arroyo,ribeiro
127,Fluss::N,río,rio
128,Ufer::N,orilla,beira
129,Küste::N,costa,costa
130,Festland::N,tierra firme,terra firme
131,Meer::N,mar,mar
132,Bucht::N,cala,baía
133,Bucht::N,bahía,baía
134,Insel::N,isla,ilha
135,Blume::N,flor,flor
136,Gras::N,hierba,erva
137,Wurzel::N,raíz,raiz
138,Baum::N,árbol,árvore
139,Stamm::N,tronco,tronco
140,Rinde::N,corteza,casca
141,Ast::N,rama,ramo
142,Zweig::N,ramo,galho
143,Blatt::N,hoja,folha
144,Birke::N,abedul,bétula
145,Kiefer[Baum]::N,pino,pinheiro
146,Weide[Baum]::N,sauce,salgueiro
147,Tanne::N,abeto,abeto
148,Horn::N,asta,corno
149,Horn::N,asta,chifre
150,Horn::N,cuerno,corno
151,Horn::N,cuerno,chifre
152,Feder::N,pluma,pena
153,Fell::N,piel,pele
154,Flügel::N,ala,asa
155,Klaue::N,garra,pata
156,Kralle::N,uña,unha
157,Kralle::N,uña,garra
158,Kralle::N,garra,unha
159,Kralle::N,garra,garra
160,Schwanz::N,cola,rabo
161,Schwanz::N,cola,cauda
162,Ei::N,huevo,ovo
163,Nest::N,nido,ninho
164,Bau::N,madriguera,toca
165,Bau::N,madriguera,covil
166,Tier::N,animal,animal
167,Herde::N,rebaño,rebanho
168,Kuh::N,vaca,vaca
169,Bulle::N,toro,touro
170,Pferd::N,caballo,cavalo
171,Schaf::N,oveja,ovelha
172,Schwein::N,cerdo,porco
173,Hund::N,perro,cão
174,Katze::N,gato,gata
175,Bär::N,oso,urso
176,Eichhörnchen::N,ardilla,esquilo
177,Elch::N,alce,alce
178,Fuchs::N,zorro,raposa
179,Hase::N,liebre,lebre
180,Maus::N,ratón,rato
181,Wolf::N,lobo,lobo
182,Vogel::N,ave,ave
183,Vogel::N,ave,pássaro
184,Vogel::N,pájaro,ave
185,Vogel::N,pájaro,pássaro
186,Schwarm::N,bandada,bando
187,Schwarm::N,bandada,enxame
188,Huhn::N,gallina,galinha
189,Hahn::N,gallo,galo
190,Gans::N,oca,ganso
191,Gans::N,ganso,ganso
192,Adler::N,águila,águia
193,Ente::N,pato,pata
194,Eule::N,lechuza,mocho
195,Eule::N,lechuza,coruja
196,Kranich::N,grulla,grou
197,Krähe::N,corneja,gralha
198,Kuckuck::N,cuco,cuco
199,Schwan::N,cisne,cisne
200,Fisch::N,pez,peixe
201,Barsch::N,perca,perca
202,Hecht::N,lucio,lúcio
203,Schlange[Tier]::N,serpiente,serpente
204,Wurm::N,gusano,verme
205,Spinne::N,araña,aranha
206,Ameise::N,hormiga,formiga
207,Laus::N,piojo,piolho
208,Mücke::N,mosquito,mosquito
209,Fliege::N,mosca,mosca
210,Schmetterling::N,mariposa,borboleta
211,Beere::N,baya,bago
212,Apfel::N,manzana,maçã
213,Pilz::N,seta,fungo
214,Pilz::N,seta,cogumelo
215,Pilz::N,hongo,fungo
216,Pilz::N,hongo,cogumelo
217,Zwiebel::N,cebolla,cebola
218,Saat::N,siembra,sementeira
219,Korn::N,grano,grão
220,Heu::N,heno,feno
221,Schale::N,cáscara,casca
222,Grube::N,foso,cova
223,Grube::N,foso,fossa
224,Falle::N,trampa,armadilha
225,Schlinge::N,lazo,laço
226,Spur::N,huella,pista
227,Spur::N,huella,vestígio
228,Asche::N,ceniza,cinza
229,Dreck::N,suciedad,sujidade
230,Eisen::N,hierro,ferro
231,Gold::N,oro,ouro
232,Silber::N,plata,prata
233,Kohle::N,carbón,carvão
234,Glas::N,vidrio,vidro
235,Glas::N,cristal,vidro
236,Lehm::N,barro,barro
