,Concept_ID,te,ca
0,Auge::N,కన్ను,ull
1,Ohr::N,చెవి,orella
2,Nase::N,ముక్కు,nas
3,Mund::N,నోరు,boca
4,Zahn::N,పల్లు,dent
5,Zunge::N,నాలుక,llēngua
6,Lippe::N,పెదవి,llavi
7,Wange::N,చెంప,galta
8,Gesicht::N,ముఖము,cara
9,Stirn::N,నుదురు,front
10,Haar::N,వెండ్రుక,cabēll
11,Schnurrbart::N,మీసము,bigoti
12,Bart::N,గడ్డము,barba
13,Kinn::N,గడ్డము,mentó
14,Kinn::N,గడ్డము,barbeta
15,Kiefer[Anatomie]::N,దౌడ,queix
16,Kiefer[Anatomie]::N,దౌడ,mandíbula
17,Kehle::N,గొంతు,gola
18,Kehle::N,గొంతు,gorja
19,Hals::N,మెడ,coll
20,Genick::N,మూపు,nuca
21,Kopf::N,తల,cap
22,Rücken::N,వెన్ను,esquena
23,Bauch::N,కడుపు,panxa
24,Nabel::N,బొడ్డు,llombrígol
25,Busen::N,స్తనము,pit
26,Busen::N,స్తనము,mama
27,Brust::N,ఱొమ్ము,pit
28,Schulter::N,భుజము,espatlla
29,Arm::N,చేయి,braç
30,Ellenbogen::N,మోచేయి,colze
31,Hand::N,చేయి,mà
32,Handfläche::N,అరచేయు,palma
33,Finger::N,చేతిప్రేలు,dit
34,Fingernagel::N,గోరు,ungla
35,Nagel[Anatomie]::N,గోరు,ungla
36,Zeh::N,కాలిప్రేలు,dit del peu
37,Fuß::N,అడుగు,peu
38,Ferse::N,మడమ,taló
39,Knie::N,మోకాలు,genoll
40,Oberschenkel::N,తొడ,cuixa
41,Bein::N,కాలు,cama
42,Körper::N,కాయము,cos
43,Haut::N,చర్మము,pell
44,Blut::N,రక్తము,sang
45,Ader::N,సిర,vena
46,Sehne::N,స్నాయువు,tendó
47,Knochen::N,ఎముక,os
48,Gehirn::N,మెదడు,cervell
49,Herz::N,హృదయము,cor
50,Magen::N,కడుపు,estómac
51,Leber::N,కాలేయము,fetge
52,Atem::N,ఉపిరి,alè
53,Atem::N,ఉపిరి,hàlit
54,Hunger::N,ఆకలి,fam
55,Hunger::N,ఆకలి,gana
56,Träne::N,కన్నీటిచుక్క,llàgrima
57,Geschmack::N,రుచి,gust
58,Geschmack::N,రుచి,sabor
59,Geruch::N,వాసన,olor
60,Schlaf::N,నిద్ర,son
61,Traum::N,కల,somni
62,Himmel::N,ఆకాశము,celm
63,Sonne::N,సూర్యుడు,sol
64,Mond::N,చంద్రుడు,lluna
65,Stern::N,నక్షత్రము,estel
66,Stern::N,నక్షత్రము,estrella
67,Luft::N,గాలి,aire
68,Wind::N,వీచుచున్నగాలి,vent
69,Welle::N,అల,ona
70,Wasser::N,నీరు,āigua
71,Stein::N,ఱాయి,pedra
72,Boden::N,నేల,sòl
73,Erde::N,మన్ను,terra
74,Staub::N,దుమ్ము,pols
75,Rauch::N,పొగ,fum
76,Funke::N,అగ్నికణము,guspira
77,Funke::N,అగ్నికణము,centella
78,Feuer::N,అగ్ని,foc
79,Licht::N,కాంతి,llum
80,Schatten::N,నీడ,ombra
81,Wetter::N,వాతావరణ స్థితి,temps
82,Nebel::N,పొగమంచు,boira
