,Concept_ID,kv,ja
0,Auge::N,син,目
1,Ohr::N,пель,耳
2,Nase::N,ныр,鼻
3,Mund::N,ӧм,口
4,Zahn::N,пинь,歯
5,Zunge::N,кыв,舌
6,Lippe::N,тырп,唇
7,Wange::N,рожабан,頬
8,Gesicht::N,бан,顔
9,Stirn::N,кымӧс,額
10,Haar::N,юрси,髪
11,Schnurrbart::N,уссэз,口髭
12,Bart::N,тош,髭
13,Kinn::N,тшӧка,顎
14,Kiefer[Anatomie]::N,ан,顎
15,Kehle::N,юан,喉
16,Hals::N,юан,首
17,Genick::N,юр бӧр,首
18,Kopf::N,юр,頭
19,Rücken::N,мышк,背中
20,Bauch::N,кынӧм,腹
21,Bauch::N,кынӧм,お腹
22,Nabel::N,гӧг,へそ
23,Busen::N,морос,乳房
24,Brust::N,морос,胸
25,Schulter::N,пельпон,肩
26,Arm::N,ки,腕
27,Ellenbogen::N,гырдзза,肘
28,Hand::N,кикар,手
29,Handfläche::N,ки пыдӧс,手のひら
30,Finger::N,чунь,指
31,Fingernagel::N,гыж,爪
32,Nagel[Anatomie]::N,гыж,爪
33,Zeh::N,чунь,足の指
34,Fuß::N,кокпыдӧс,足
35,Ferse::N,кокдзир,かかと
36,Knie::N,пидзӧс,膝
37,Oberschenkel::N,лядьбей,上腿
38,Bein::N,кок,足
39,Körper::N,вывтыр,体
40,Haut::N,кучик,皮膚
41,Blut::N,вир,血
42,Ader::N,сӧн,血管
43,Sehne::N,жила,腱
44,Knochen::N,коска,骨
45,Gehirn::N,вем,脳
46,Herz::N,сьӧлӧм,心
47,Herz::N,сьӧлӧм,心臓
48,Magen::N,жӧвдӧк,胃
49,Leber::N,мус,肝臓
50,Atem::N,лолалӧм,息
51,Atem::N,лолалӧм,呼吸
52,Hunger::N,тшыг,空腹
53,Träne::N,синва,涙
54,Geschmack::N,кӧр,味
55,Geruch::N,дук,匂い
56,Schlaf::N,он,睡眠
57,Traum::N,вӧт,夢
58,Himmel::N,небо,空
59,Sonne::N,шондi,太陽
60,Mond::N,тӧлiсь,月
61,Stern::N,кӧдзыв,星
62,Luft::N,ру,空気
63,Wind::N,тӧв,風
64,Welle::N,гы,波
65,Wasser::N,ва,水
66,Stein::N,из,石
67,Boden::N,му,土地
68,Erde::N,му,土
69,Staub::N,бус,埃
70,Rauch::N,тшын,煙
71,Funke::N,бичир,火花
72,Feuer::N,би,火
73,Licht::N,би,光
74,Schatten::N,вуджӧр,陰
75,Wetter::N,погоддя,天気
76,Nebel::N,туман,霧
77,Wolke::N,кымӧр,雲
78,Regen::N,зэр,雨
79,Schnee::N,лым,雪
80,Eis::N,йы,氷
81,Frost::N,мороз,霜
82,Kälte::N,кӧдзыт,寒さ
83,Hitze::N,ӧд,暑さ
84,Raureif::N,кижа,霧氷
85,Regenbogen::N,енӧшка,虹
86,Donner::N,гым,雷
87,Strömung::N,визывтӧм,流れ
88,Tropfen::N,тёп,滴
89,Schaum::N,быг,泡
90,Schmutz::N,нять,汚れ
91,See::N,ты,湖
92,Sumpf::N,арай,沼
93,Moor::N,нюр,湿原
94,Wiese::N,видз,草原
95,Wald::N,вӧр,森
96,Hügel::N,мыльк,丘
97,Anhöhe::N,вывтас,高み
98,Anhöhe::N,вылынін,高み
99,Berg::N,керӧс,山
100,Gipfel::N,йыв,頂上
101,Höhle::N,нора,洞窟
102,Abhang::N,покат,斜面
103,Quelle::N,больган,泉
104,Bach::N,шор,小川
105,Fluss::N,ю,川
106,Ufer::N,берег,岸
107,Küste::N,берег,海岸
108,Festland::N,му,陸
109,Meer::N,море,海
110,Bucht::N,курья,湾
111,Blume::N,цветок,花
112,Gras::N,турун,草
113,Wurzel::N,вуж,根
114,Baum::N,пу,木
115,Stamm::N,мыр,幹
116,Stamm::N,кер,幹
117,Rinde::N,кач,皮層
118,Ast::N,ув,枝
119,Zweig::N,ув,小枝
120,Blatt::N,лист,葉
121,Birke::N,кыдз,樺
122,Kiefer[Baum]::N,пожум,松
123,Weide[Baum]::N,бадь,柳
124,Tanne::N,кӧз,樅
125,Horn::N,сюр,角
126,Feder::N,гӧн,羽根
127,Fell::N,кучик,毛皮
128,Flügel::N,борд,羽
129,Klaue::N,гыж,鉤爪
130,Kralle::N,кабыр,爪
131,Schwanz::N,бӧж,尻尾
132,Ei::N,кольть,卵
133,Nest::N,поз,巣
134,Bau::N,осьта,穴
135,Bau::N,нора,穴
136,Tier::N,зверь,動物
137,Herde::N,гурт,群れ
138,Kuh::N,мӧс,牛
139,Bulle::N,ӧшка,雄牛
140,Pferd::N,вӧв,馬
141,Schaf::N,баля,羊
142,Schwein::N,порсь,豚
143,Hund::N,пон,犬
144,Katze::N,кань,猫
145,Bär::N,ош,熊
146,Eichhörnchen::N,ур,栗鼠
147,Elch::N,вӧр мӧс,ヘラジカ
148,Fuchs::N,руч,狐
149,Hase::N,кӧч,兎
150,Maus::N,шыр,鼠
151,Wolf::N,кӧин,狼
152,Vogel::N,кай,鳥
153,Schwarm::N,стая,群れ
154,Schwarm::N,чукӧр,群れ
155,Huhn::N,курӧг,鶏
156,Hahn::N,петух,雄鶏
157,Hahn::N,ай курӧг,雄鶏
158,Gans::N,дзодзог,ガチョウ
159,Adler::N,куч,鷲
160,Adler::N,кутш,鷲
161,Ente::N,утка,鴨
162,Eule::N,тупка,フクロウ
163,Kranich::N,тури,鶴
164,Krähe::N,рака,烏
165,Kuckuck::N,кӧк,郭公
166,Schwan::N,юсь,白鳥
167,Fisch::N,чери,魚
168,Barsch::N,ёкыш,鱸
169,Hecht::N,сирпинь,川魳
170,Schlange[Tier]::N,змей,蛇
171,Wurm::N,номыр,虫
172,Spinne::N,черань,蜘蛛
173,Ameise::N,кӧдзывкар,蟻
174,Laus::N,ляпа той,虱
175,Mücke::N,ном,蚊
176,Fliege::N,гут,蝿
177,Schmetterling::N,бабыв,蝶
178,Beere::N,ягӧд,漿果
179,Apfel::N,яблоко,林檎
180,Pilz::N,тшак,茸
181,Zwiebel::N,грез,玉葱
182,Saat::N,кӧдзыс,種
183,Korn::N,сю,粒
184,Heu::N,турун,干し草
185,Schale::N,кыш,皮
186,Schale::N,киль,皮
187,Grube::N,яма,穴
188,Falle::N,нальк,わな
189,Falle::N,кляпча,わな
190,Schlinge::N,лӧч,輪
191,Spur::N,туй,跡
192,Asche::N,пӧим,灰
193,Dreck::N,нять,泥
194,Eisen::N,кӧрт,鉄
195,Gold::N,зарни,金
196,Silber::N,язісь,銀
197,Kohle::N,шом,炭
198,Kohle::N,уголь,炭
199,Glas::N,стекло,ガラス
200,Lehm::N,сёй,ローム
201,Sand::N,лыа,砂
202,Mensch::N,морт,人
203,Mann::N,мужик,男
204,Mann::N,мужик,男性
205,Frau::N,инька,女
206,Frau::N,инька,女性
207,Kind::N,кага,子
208,Kind::N,кага,子供
209,Junge::N,зонка,男の子
210,Mädchen::N,нывкаок,女の子
211,Familie::N,семья,家族
212,Großvater::N,дед,祖父
213,Großvater::N,дед,おじいさん
214,Großmutter::N,баб,祖母
215,Großmutter::N,баб,おばあさん
216,Eltern::N,ай-мам,親
217,Eltern::N,ай-мам,両親
218,Vater::N,ай,父
219,Vater::N,ай,お父さん
220,Mutter::N,мам,母
221,Mutter::N,мам,お母さん
222,Sohn::N,зон,息子
223,Sohn::N,зон,息子さん
224,Tochter::N,ныв,娘
225,Tochter::N,ныв,お嬢さん
226,Bruder::N,вон,弟
227,Schwester::N,сой,妹
228,Onkel::N,дядь,伯父
229,Onkel::N,дядь,伯父さん
230,Tante::N,айӧлӧн сой,叔母
231,Tante::N,айӧлӧн сой,叔母さん
232,Tante::N,ичинь,叔母
233,Tante::N,ичинь,叔母さん
234,Ehemann::N,жӧник,夫
235,Ehemann::N,жӧник,主人
236,Ehefrau::N,инь,妻
237,Ehefrau::N,инь,奥さん
238,Freude::N,гаж,喜び
239,Freude::N,радъялӧм,喜び
240,Gelächter::N,сералӧм,笑い
241,Glück::N,мичлун,幸せ
242,Kummer::N,шог,悩み
243,Wunsch::N,мӧдӧм,希望
244,Wunsch::N,охотитӧм,希望
245,Lust::N,охота,気
246,Geist::N,лов,精神
247,Gedanke::N,дума,考え
248,Gedächtnis::N,тӧдвыв,記憶
249,Verstand::N,вежӧр,理解力
250,Sinn::N,ылӧс,意味
