,Concept_ID,lez,ba
0,Auge::N,вил,күҙ
1,Ohr::N,яб,ҡолаҡ
2,Nase::N,нер,танау
3,Mund::N,сив,ауыҙ
4,Zahn::N,сас,теш
5,Zahn::N,свах,теш
6,Zunge::N,мез,тел
7,Lippe::N,пӏуз,ирен
8,Wange::N,хъвехъ,яцаҡтар
9,Gesicht::N,ччин,бит
10,Stirn::N,пел,маңлай
11,Haar::N,чӏар,сәс
12,Schnurrbart::N,спел,мылтыҡ
13,Schnurrbart::N,спелар,мылтыҡ
14,Bart::N,ччуру,һаҡал
15,Kinn::N,чене,эйэк
16,Kiefer[Anatomie]::N,чене,яңаҡ һөйәге
17,Kehle::N,туьд,тамаҡ
18,Hals::N,гардан,муйын
19,Genick::N,кьам,соңҡа
20,Kopf::N,кьил,баш
21,Rücken::N,далу,арҡа
22,Bauch::N,руфун,ҡорһаҡ
23,Nabel::N,пицӏ,кендек
24,Busen::N,мам,күкрәк
25,Brust::N,хур,түш
26,Schulter::N,къуьн,яурын
27,Arm::N,гъил,ҡул
28,Ellenbogen::N,кьуьнт,терһәк
29,Hand::N,капаш,ҡул
30,Hand::N,капаш,ҡул суғы
31,Handfläche::N,капан юкь,ус төбө
32,Finger::N,тӏуб,бармаҡ
33,Fingernagel::N,кек,тырнаҡ
34,Nagel[Anatomie]::N,кек,тырнаҡ
35,Zeh::N,кул,бармаҡ
36,Fuß::N,кӏвач,табан
37,Ferse::N,дабан,үксә
38,Knie::N,мет,тубыҡ
39,Bein::N,кӏвач,аяҡ
40,Körper::N,беден,тән
41,Haut::N,хам,тире
42,Blut::N,иви,ҡан
43,Ader::N,дамар,тамыр
44,Sehne::N,кьуру дамар,һеңер
45,Sehne::N,кьуру дамар,тарамыш
46,Knochen::N,кӏараб,һойәк
47,Gehirn::N,мефт,мейе
48,Herz::N,рикӏ,йорәк
49,Magen::N,хук,ашҡаҙан
50,Leber::N,лекь,бауыр
51,Atem::N,ял,һулыш
52,Atem::N,нефес,һулыш
53,Hunger::N,каш,аслыҡ
54,Träne::N,вилин нагъв,күҙ иәше
55,Geschmack::N,дад,тәм
56,Geschmack::N,тӏям,тәм
57,Geruch::N,ни,еҫ
58,Schlaf::N,ахвар,йоҡлау
59,Traum::N,ахвар,төш
60,Himmel::N,цав,күк
61,Sonne::N,рагъ,ҡояш
62,Mond::N,варз,ай
63,Stern::N,гъед,йондоҙ
64,Luft::N,гьава,һауа
65,Wind::N,гар,ел
