,Concept_ID,os,sah
0,Auge::N,цӕст,харах
1,Ohr::N,хъус,кулгаах
2,Nase::N,фындз,мурун
3,Mund::N,дзых,айах
4,Zahn::N,дӕндаг,тиис
5,Zunge::N,ӕвзаг,тыл
6,Lippe::N,был,уос
7,Wange::N,рус,иэдэс
8,Wange::N,уадул,иэдэс
9,Wange::N,ӕхсӕрфарс,иэдэс
10,Gesicht::N,цӕсгом,сирэй
11,Stirn::N,ных,сүүс
12,Haar::N,хил,баттах
13,Schnurrbart::N,рихи,уос бытыга
14,Bart::N,зачъе,сэҥийэ бытыга
15,Kinn::N,роцъо,сэҥийэ
16,Kiefer[Anatomie]::N,ӕфсӕр,сыҥаах
17,Kehle::N,хъуыр,тамах
18,Kehle::N,хъуыр,күөмэй
19,Hals::N,къубал,моой
20,Genick::N,къӕбут,кэтэх
21,Kopf::N,сӕр,бас
22,Rücken::N,фӕсонтӕ,көҕүс
23,Bauch::N,гуыбын,ис
24,Nabel::N,бикъ,киин
25,Busen::N,дзидзи,эмиий
26,Brust::N,риу,түөс
27,Schulter::N,уӕхск,сарын
28,Arm::N,цонг,илии
29,Ellenbogen::N,рæмбын,тоҕонох
30,Hand::N,къух,илии
31,Handfläche::N,армытъӕпӕн,ытыс
32,Finger::N,ӕнруылдз,тарбах
33,Fingernagel::N,ных,тыҥырах
34,Nagel[Anatomie]::N,ных,тыҥырах
35,Zeh::N,къух,тарбах
36,Fuß::N,фад,уллуҥах
37,Ferse::N,зӕвӕт,тилэх
38,Knie::N,уӕраг,тобук
39,Knie::N,уӕраг,дьилбэк
40,Oberschenkel::N,агъд,уллук
41,Oberschenkel::N,агъд,өттүк
42,Bein::N,зӕнг,атах
43,Körper::N,буар,бэйэ
44,Haut::N,царм,тирии
45,Blut::N,туг,хаан
46,Ader::N,дадзин,вена
47,Ader::N,дадзин,күөх_тымыр
48,Ader::N,тугдадзин,вена
49,Ader::N,тугдадзин,күөх_тымыр
50,Sehne::N,хъиутæ,иҥиир
51,Sehne::N,нуар,иҥиир
52,Knochen::N,стӕг,уҥуох
53,Knochen::N,стӕг,уҥгуох
54,Gehirn::N,магъз,мэйии
55,Herz::N,зӕрдӕ,сүрэх
56,Magen::N,ахсӕн,куртах
57,Leber::N,игæр,быар
58,Atem::N,улӕфт,тыын
59,Hunger::N,стонг,аас
60,Träne::N,цæссыг,харах уута
61,Geschmack::N,ад,амтан
62,Geruch::N,смаг,сыт
63,Schlaf::N,хуыссӕг,утуйуу
64,Traum::N,фын,түүл
65,Himmel::N,арв,халлаан
66,Himmel::N,уӕларв,халлаан
67,Sonne::N,хур,күн
68,Mond::N,мӕй,ый
69,Stern::N,стъалы,сулус
70,Luft::N,уӕлдӕф,салгын
71,Wind::N,дымгӕ,тыал
72,Welle::N,уылӕн,долгун
73,Welle::N,уылӕн,балхаан
74,Wasser::N,дон,уу
75,Stein::N,дур,таас
76,Boden::N,зӕхх,сир
77,Erde::N,сыджыт,буор
78,Staub::N,рыг,быыл
79,Rauch::N,фӕздӕг,буруо
80,Funke::N,цӕхӕр,кыым
81,Feuer::N,зынг,уот
82,Licht::N,рухс,уот
83,Schatten::N,аууон,күлүк
84,Wetter::N,боныхъӕд,күн-дьыл
85,Nebel::N,мигъ,туман
86,Wolke::N,ӕврагъ,былыт
87,Regen::N,уарын,самыыр
88,Schnee::N,мит,хаар
89,Eis::N,их,муус
90,Frost::N,ихæн,тымныы
91,Kälte::N,уазал,тымныы
92,Hitze::N,ӕнтӕф,куйаас
93,Raureif::N,халас,кырыа
94,Regenbogen::N,арвырон,кустук
95,Regenbogen::N,арвырдын,кустук
96,Donner::N,æрвнæрын,этиҥ
97,Strömung::N,цыд,сүүрүк
98,Tropfen::N,æртах,таммах
99,Tropfen::N,æртах,хааппыла
100,Schaum::N,фынк,күүгэн
101,Schmutz::N,цъыф,кир
102,See::N,цад,күөл
