,Concept_ID,ta,uk
0,Auge::N,கண்,око
1,Ohr::N,காது,вухо
2,Nase::N,மூக்கு,ніс
3,Mund::N,வாய்,рот
4,Zahn::N,பல்,зуб
5,Zunge::N,நாக்கு,язик
6,Lippe::N,உதடு,губа
7,Wange::N,கன்னம்,щока
8,Gesicht::N,முகம்,обличчя
9,Stirn::N,முன்னெற்றி,лоб
10,Haar::N,முடி,волосся
11,Schnurrbart::N,மீசை,вуса
12,Bart::N,தாடி,борода
13,Kinn::N,கீழதாடை,підборіддя
14,Kiefer[Anatomie]::N,தாடை,щелепа
15,Kehle::N,தொண்டை,горло
16,Hals::N,கழுத்து,шия
17,Genick::N,கழுத்து,потилиця
18,Kopf::N,தலை,голова
19,Rücken::N,முதுகு,спина
20,Bauch::N,வயிறு,живіт
21,Nabel::N,தொப்புள்,пупок
22,Busen::N,மார்பகம்,груди
23,Brust::N, மார்பு,груди
24,Schulter::N,தோள்பட்டை,плече
25,Arm::N,கரம்,рука
26,Ellenbogen::N,முழங்கை,лікоть
27,Hand::N,கை,рука
28,Handfläche::N,உள்ளங்கை,долоня
29,Finger::N,விரல்,палець
30,Fingernagel::N,விரல் நகம்,ніготь
31,Nagel[Anatomie]::N,நகம்,ніготь
32,Zeh::N,கால்விரல்,палець на нозі
33,Fuß::N,கால்,нога
34,Ferse::N,குதிகால்,п’ятка
35,Knie::N,முழங்கால்,коліно
36,Oberschenkel::N,தொடை,стегно
37,Bein::N,கால்,нога
38,Körper::N,உடல்,тіло
39,Haut::N,சருமம்,шкіра
40,Blut::N,இரத்தம்,кров
41,Ader::N,நாளம்,вена
42,Sehne::N,தசைநார்,сухожилля
43,Knochen::N,எலுமபு,кістка
44,Gehirn::N,மூனை,мозок
45,Herz::N,இதயம,серце
46,Magen::N,வயிறு,шлунок
47,Leber::N,கல்லீரல்,печінка
48,Atem::N,மூச்சு,дихання
49,Hunger::N,பசி,голод
50,Träne::N,கண்ணீர்,сльоза
