,Concept_ID,cs,br
0,Auge::N,oko,lagad
1,Ohr::N,ucho,skouarn
2,Nase::N,nos,fri
3,Mund::N,pusa,genoù
4,Zahn::N,zub,dant
5,Zunge::N,jazyk,teod
6,Lippe::N,ret,muzell
7,Wange::N,tvář,chot
8,Gesicht::N,obličej,dremm
9,Stirn::N,čelo,tal
10,Haar::N,vlas,blev
11,Haar::N,vlasy,blev
12,Schnurrbart::N,kníry,mourenn
13,Bart::N,vousy,barv
14,Kinn::N,brada,groñj
15,Kiefer[Anatomie]::N,čelist,javed
16,Kehle::N,hrdlo,gouzoug
17,Hals::N,krk,gouzoug
18,Genick::N,týl,choug
19,Kopf::N,hlava,penn
20,Rücken::N,záda,kein
21,Rücken::N,hřbet,kein
22,Bauch::N,břicho,kof
23,Nabel::N,pupek,begel
24,Busen::N,ňadra,bronn
25,Brust::N,prsa,bruched
26,Schulter::N,plece,skoaz
27,Schulter::N,rameno,skoaz
28,Arm::N,ruka,brec'h
29,Ellenbogen::N,loket,ilin
30,Hand::N,ruka,dorn
31,Handfläche::N,dlaň,palv
32,Finger::N,prst,biz
33,Fingernagel::N,nehet,ivin
34,Nagel[Anatomie]::N,nehet,ivin
35,Zeh::N,prst u nohy,biz-troad
36,Fuß::N,noha,troad
37,Ferse::N,pata,seul
38,Knie::N,koleno,glin
39,Oberschenkel::N,stehno,morzhed
40,Bein::N,noha,gar
41,Körper::N,tělo,korf
42,Haut::N,kůže,kroc'hen
43,Blut::N,krev,gwad
44,Ader::N,céva,gwazhi
45,Sehne::N,šlacha,stir
46,Knochen::N,kost,askorn
47,Gehirn::N,mozek,empenn
48,Herz::N,srdce,kalon
49,Magen::N,žaludek,stomog
50,Leber::N,játra,avu
51,Atem::N,dech,anal
52,Hunger::N,hlad,naon
53,Träne::N,slza,daer
54,Geschmack::N,vkus,blaz
55,Geruch::N,vůně,c'hwezh
56,Geruch::N,zápach,c'hwezh
57,Schlaf::N,spánek,kousked
58,Traum::N,sen,hune
59,Himmel::N,nebe,oabl
60,Sonne::N,slunce,heol
61,Mond::N,měsíc,loar
62,Stern::N,hvězda,steredenn
63,Luft::N,vzduch,aer
64,Wind::N,vítr,avel
65,Welle::N,vlna,houlenn
66,Wasser::N,voda,dour
67,Stein::N,kámen,maen
68,Boden::N,půda,tachenn
69,Erde::N,země,douar
70,Staub::N,prach,poultr
71,Rauch::N,dým,moged
72,Rauch::N,kouř,moged
73,Funke::N,jiskra,ful
74,Feuer::N,oheň,tan
75,Licht::N,světlo,gouloù
76,Schatten::N,stín,disheol
77,Wetter::N,počasí,amzer
78,Nebel::N,mlha,brumenn
79,Wolke::N,mrak,koumoulenn
80,Wolke::N,oblak,koumoulenn
81,Regen::N,déšť,glav
82,Schnee::N,sníh,erc'h
83,Eis::N,led,skorn
84,Frost::N,mráz,rev
85,Kälte::N,chlad,yen
86,Hitze::N,horko,tommder
87,Raureif::N,jinovatka,frim
88,Regenbogen::N,duha,gwareg-ar-glav
89,Donner::N,hrom,kurun
90,Strömung::N,proudění,red
91,Tropfen::N,kapka,bannac'h
92,Tropfen::N,kapka,takenn
93,Schaum::N,pěna,spoum
94,Schmutz::N,špína,fank
95,See::N,jezero,lenn
96,Sumpf::N,močál,gwern
97,Sumpf::N,bažina,gwern
98,Moor::N,bažina,taouarc'heg
99,Moor::N,slatina,taouarc'heg
100,Wiese::N,louka,prad
101,Wald::N,les,koad
102,Hügel::N,kopec,torgenn
103,Anhöhe::N,pahorek,run
104,Berg::N,hora,menez
105,Gipfel::N,vrchol,barr
106,Höhle::N,jeskyně,kav
107,Abhang::N,svah,naou
108,Abhang::N,stráň,naou
109,Quelle::N,pramen,feunteun
110,Bach::N,potok,gwazh
111,Fluss::N,řeka,stêr
112,Ufer::N,břeh,ribl
113,Küste::N,pobřeží,aod
114,Festland::N,souš,douar
115,Festland::N,pevnina,douar
116,Meer::N,moře,mor
117,Bucht::N,záliv,mor-bihan
118,Bucht::N,zátoka,mor-bihan
119,Insel::N,ostrov,enez
120,Blume::N,květina,bleunienn
121,Gras::N,tráva,geot
122,Wurzel::N,kořen,gwrizienn
123,Baum::N,strom,gwezenn
124,Stamm::N,kmen,kef
125,Rinde::N,kůra,rusk
126,Ast::N,větev,barr
127,Zweig::N,větev,bod
128,Blatt::N,lupen,delienn
129,Birke::N,bříza,bezvenn
130,Kiefer[Baum]::N,sosna,pinenn
131,Kiefer[Baum]::N,borovice,pinenn
132,Weide[Baum]::N,vrba,halegenn
133,Tanne::N,jedle,sapenn
134,Horn::N,roh,korn
135,Feder::N,pero,pluñv
136,Fell::N,srst,kreoñ
137,Flügel::N,křídlo,askell
138,Klaue::N,dráp,skilf
139,Klaue::N,pazneht,skilf
140,Kralle::N,dráp,skilf
141,Schwanz::N,ocas,lost
142,Ei::N,vejce,vi
143,Nest::N,hnízdo,neizh
144,Bau::N,nora,douarenn
145,Tier::N,zvíře,loen
146,Herde::N,stádo,tropell
147,Kuh::N,kráva,buoc'h
148,Bulle::N,býk,tarv
149,Pferd::N,kůň,marc'h
150,Schaf::N,ovce,dañvad
151,Schwein::N,vepř,pemoc'h
152,Schwein::N,prase,pemoc'h
153,Hund::N,pes,ki
154,Katze::N,kočka,kazh
155,Bär::N,medvěd,arzh
156,Eichhörnchen::N,veverka,gwiñver
157,Elch::N,los,karv-dour
158,Fuchs::N,liška,louarn
159,Hase::N,zajíc,gad
160,Maus::N,myš,logodenn
161,Wolf::N,vlk,bleiz
162,Vogel::N,pták,labous
163,Schwarm::N,roj,nijad
164,Schwarm::N,hejno,nijad
165,Huhn::N,kuře,yar
166,Huhn::N,slepice,yar
167,Hahn::N,kohout,kilhog
168,Gans::N,husa,gwazenn
169,Adler::N,orel,erer
170,Ente::N,kachna,houad
171,Eule::N,sova,toud
172,Kranich::N,jeřáb,garan
173,Krähe::N,vrána,bran
174,Kuckuck::N,kukačka,koukoug
175,Schwan::N,labuť,alarc'h
176,Fisch::N,ryba,pesk
177,Barsch::N,okoun,brell
178,Hecht::N,štika,beked
179,Schlange[Tier]::N,had,naer
180,Wurm::N,červ,preñv
181,Spinne::N,pavouk,kevnidenn
182,Ameise::N,mravenec,merion
183,Laus::N,veš,laouenn
184,Mücke::N,komár,moustik
185,Fliege::N,moucha,kelienenn
186,Schmetterling::N,motýl,balafenn
187,Beere::N,bobule,hog
188,Apfel::N,jablko,aval
189,Pilz::N,houba,kabell-touseg
190,Zwiebel::N,cibule,ognonenn
191,Saat::N,osivo,had
192,Korn::N,zrno,ed
193,Heu::N,seno,foenn
194,Schale::N,slupka,peliadur
195,Schale::N,skořápka,peliadur
196,Grube::N,jáma,
197,Falle::N,past,pech
198,Falle::N,léčka,pech
199,Schlinge::N,smyčka,krouglas
200,Spur::N,stopa,
201,Asche::N,popel,ludu
202,Dreck::N,špína,fank
203,Eisen::N,železo,houarn
204,Gold::N,zlato,aour
205,Silber::N,stříbro,arc'hant
206,Kohle::N,uhlí,glaou
207,Glas::N,sklo,gwer
208,Lehm::N,jíl,
209,Lehm::N,hlína,
210,Sand::N,písek,traezh
211,Mensch::N,člověk,den
212,Mann::N,muž,den
213,Frau::N,žena,maouez
214,Kind::N,dítě,bugel
215,Junge::N,hoch,paotr
216,Junge::N,chlapec,paotr
217,Mädchen::N,děvče,plac'h
218,Familie::N,rodina,familh
219,Großvater::N,děd,tad-kozh
220,Großvater::N,dědeček,tad-kozh
221,Großmutter::N,babička,mamm-gozh
222,Eltern::N,rodiče,kerent
223,Vater::N,otec,tad
224,Mutter::N,matka,mamm
225,Sohn::N,syn,mab
226,Tochter::N,dcera,merc'h
227,Bruder::N,bratr,breur
228,Schwester::N,sestra,c'hoar
229,Onkel::N,strýc,eontr
230,Tante::N,teta,moereb
231,Ehemann::N,choť,gwaz
232,Ehemann::N,manžel,gwaz
233,Ehefrau::N,choť,gwreg
234,Ehefrau::N,manželka,gwreg
235,Freude::N,radost,levenez
236,Gelächter::N,smích,c'hoarzherezh
237,Glück::N,štěstí,chañs
238,Kummer::N,žal,doan
239,Kummer::N,trápení,doan
240,Wunsch::N,přání,c'hoant
241,Lust::N,chuť,c'hoant
242,Geist::N,duch,spered
243,Gedanke::N,myšlenka,soñj
244,Gedächtnis::N,paměť,eñvor
245,Verstand::N,rozum,skiant
246,Sinn::N,smysl,ster
247,Grund::N,důvod,kaoz
248,Wahrheit::N,pravda,gwirionez
249,Gespräch::N,rozhovor,kaozeadenn
250,Märchen::N,pohádka,kaoz korriganez
251,Erzählung::N,povídka,kontadenn
252,Nachricht::N,zpráva,keloù
253,Neuigkeit::N,novina,kelaouenn
254,Neuigkeit::N,novinka,kelaouenn
255,Name::N,jméno,anv
256,Rätsel::N,hádanka,divinatez
257,Rede::N,řeč,diskour
258,Rede::N,proslov,diskour
259,Sprache::N,řeč,yezh
260,Sprache::N,jazyk,yezh
261,Stimme::N,hlas,mouezh
262,Wort::N,slovo,ger
263,Zeichen::N,znamení,sin
264,Ruf::N,zavolání,galv
265,Lärm::N,hluk,trouz
266,Laut::N,zvuk,
267,Ton::N,tón,ton
268,Lied::N,píseň,kanaouenn
269,Ruhe::N,klid,sioulded
270,Ruhe::N,pokoj,sioulded
271,Leute::N,lidé,tud
272,Volk::N,národ,pobl
273,Arbeit::N,práce,labour
274,Gast::N,host,kouviad
275,Geschenk::N,dar,prof
276,Spiel::N,hra,c'hoari
277,Gesellschaft::N,společnost,kompagnunezh
278,Gesellschaft::N,společnost,kavandad
279,Hilfe::N,pomoc,sikour
280,Freund::N,přítel,mignon
281,Kamerad::N,kamarád,kamarad
282,Angelegenheit::N,záležitost,afer
283,Anzahl::N,počet,niver
284,Art::N,druh,sort
285,Stück::N,kus,tamm
286,Stück::N,kousek,tamm
287,Teil::N,díl,pezh
288,Teil::N,část,pezh
289,Hälfte::N,půl,hanterenn
290,Kreis::N,kruh,kelc'h
291,Kreuz::N,kříž,kroaz
292,Linie::N,linka,linenn
293,Strich::N,čára,tenn
294,Strich::N,čárka,tenn
295,Abstand::N,vzdálenost,distok
296,Entfernung::N,vzdálenost,keid
297,Entfernung::N,vzdálenost,kehid
298,Gegend::N,krajina,korn-bro
299,Platz::N,prostor,plasenn
300,Ort::N,místo,lec'h
301,Seite::N,strana,tu
302,Mitte::N,střed,kreiz
303,Mitte::N,prostředek,kreiz
304,Gegenstand::N,předmět,tra
305,Sache::N,věc,tra
306,Rand::N,kraj,kantenn
307,Rand::N,okraj,kantenn
308,Kante::N,hrana,kantenn
309,Ecke::N,roh,korn
310,Spitze::N,hrot,begell
311,Spitze::N,špička,begell
312,Ende::N,konec,dibenn
313,Loch::N,díra,toull
314,Winkel::N,kout,
315,Muster::N,vzor,tresadenn
316,Größe::N,velikost,ment
317,Länge::N,délka,hirder
318,Höhe::N,výška,uhelder
319,Gewicht::N,váha,pouez
320,Menge::N,množství,bern
321,Haufen::N,kupa,bern
322,Haufen::N,hromada,bern
323,Reihe::N,řada,steud
324,Reihe::N,řádek,steud
325,Boot::N,člun,bag
326,Ruder::N,veslo,roeñv
327,Schlitten::N,sáně,trainell
328,Ski::N,lyže,ski
329,Lagerfeuer::N,táborák,
330,Last::N,náklad,karg
331,Last::N,břemeno,karg
332,Gang::N,chůze,kerzh
333,Gang::N,chodba,kerzh
334,Schritt::N,krok,paz
335,Norden::N,sever,norzh
336,Norden::N,sever,hanternoz
337,Süden::N,jih,su
338,Süden::N,jih,kreisteiz
339,Westen::N,západ,kuzh-heol
340,Osten::N,východ,reter
341,Osten::N,východ,sav-heol
342,Holz::N,dřevo,koad
343,Brett::N,prkno,plankenn
344,Platte::N,deska,plakenn
345,Stütze::N,opěra,harp
346,Stange::N,tyč,sparl
347,Stange::N,tyčka,sparl
348,Stock::N,hůlka,bazh
349,Stab::N,hůl,bazh
350,Rohr::N,trubka,tub
351,Rohr::N,trubka,korz
352,Haus::N,dům,ti
353,Heim::N,domov,kêr
354,Ofen::N,kamna,forn
355,Fußboden::N,podlaha,plañchod
356,Tisch::N,stůl,taol
357,Stuhl::N,židle,kador
358,Wiege::N,kolébka,kavell
359,Bett::N,postel,gwele
360,Regal::N,regál,estajerenn
361,Regal::N,police,estajerenn
362,Kiste::N,bedna,kased
363,Fenster::N,okno,prenestr
364,Tür::N,dveře,dor
365,Tor::N,vrata,portal
366,Zaun::N,plot,sklotur
367,Dach::N,střecha,toenn
368,Leiter::N,žebřík,skeul
369,Besen::N,koště,skubell
370,Besen::N,smeták,skubell
371,Spaten::N,rýč,pal
372,Schaufel::N,lopata,pal
373,Gabel::N,vidlička,fourchetez
374,Löffel::N,lžíce,loa
375,Messer::N,nůž,kontell
376,Nagel::N,hřebík,tach
377,Netz::N,síť,roued
378,Haken::N,hák,krog
379,Griff::N,držadlo,kemer
380,Schloss::N,zámek,potenn
381,Bild::N,obraz,skeudenn
382,Figur::N,figura,skeud
383,Figur::N,figura,figur
384,Puppe::N,panenka,merc'hodenn
385,Beutel::N,pytlík,sac'h
386,Bündel::N,svazek,feskenn
387,Tasche::N,taška,sac'h
388,Tasche::N,brašna,sac'h
389,Eimer::N,kýbl,sailh
390,Eimer::N,vědro,sailh
391,Deckel::N,víko,pallenn
392,Deckel::N,příklop,pallenn
393,Geschirr::N,nádobí,listriaj
394,Sack::N,pytel,sac'h
395,Tasse::N,šálek,tas
396,Topf::N,hrnec,pod
397,Kessel::N,kotel,chaodouron
398,Essen::N,jídlo,pred
399,Nahrung::N,strava,boued
400,Nahrung::N,potrava,boued
401,Speise::N,jídlo,meuz
402,Fleisch::N,maso,kig
403,Getreide::N,obilí,ed
404,Brei::N,kaše,yod
405,Brot::N,chléb,bara
406,Scheibe::N,krajíc,tailhenn
407,Fett::N,tuk,lard
408,Fett::N,omastek,lard
409,Butter::N,máslo,amann
410,Öl::N,olej,eoul
411,Salz::N,sůl,holen
412,Suppe::N,polévka,soubenn
413,Honig::N,med,mel
414,Milch::N,mléko,laezh
415,Tee::N,čaj,te
416,Leder::N,kůže,lêr
417,Wolle::N,vlna,gloan
418,Stoff::N,látka,danvez
419,Nadel::N,jehla,nadoz
420,Faden::N,nit,neudenn
421,Knopf::N,knoflík,bouton
422,Knoten::N,uzel,skoulm
423,Farbe::N,barva,liv
424,Kleidung::N,šaty,dilhad
425,Kleidung::N,šatstvo,dilhad
426,Hemd::N,košile,roc'hed
427,Kragen::N,límec,gouzoug
428,Ärmel::N,rukáv,milgin
429,Hose::N,kalhoty,bragoù
430,Gürtel::N,pás,gouriz
431,Gürtel::N,opasek,gouriz
432,Mütze::N,čepice,boned
433,Schuh::N,bota,botez
434,Stiefel::N,holínka,botez
435,Ring::N,prsten,gwalenn
436,Band::N,pásek,bagad
437,Kamm::N,hřeben,krib
438,Spiegel::N,zrcadlo,melezour
439,Riemen::N,řemen,lerenn
440,Schnur::N,šňůra,kordenn
441,Leine::N,vodítko,roll
442,Decke::N,pokrývka,golo
443,Decke::N,přikrývka,golo
444,Kissen::N,polštář,goubenner
445,Tuch::N,šátek,mezher
446,Handtuch::N,ručník,toailhon
447,Kraft::N,síla,nerzh
448,Stärke::N,síla,nerzhder
449,Gesundheit::N,zdraví,yec'hed
450,Krankheit::N,nemoc,klañved
451,Krankheit::N,choroba,klañved
452,Schmerz::N,bolest,poan
453,Schmerz::N,bolest,droug
454,Wunde::N,rána,gloazadenn
455,Fieber::N,horečka,terzhienn
456,Arznei::N,lék,louzoù
457,Brücke::N,most,pont
458,Brunnen::N,studna,puñs
459,Weide::N,pastva,prad
460,Weide::N,pastvina,prad
461,Pfad::N,pěšina,gwenodenn
462,Weg::N,cesta,hent
463,Straße::N,silnice,ru
464,Straße::N,silnice,hent
465,Dorf::N,vesnice,kêr
466,Dorf::N,vesnice,kêriadenn
467,Stadt::N,město,kêr
468,Brief::N,dopis,lizher
469,Buch::N,kniha,levr
470,Buchstabe::N,písmeno,lizherenn
471,Zeitung::N,noviny,kazetenn
472,Leben::N,život,buhez
473,Tod::N,smrt,marv
474,Grab::N,hrob,bez
475,Kirche::N,kostel,iliz
476,Sünde::N,hřích,pec'hed
477,Gott::N,bůh,doue
478,Arbeiter::N,dělník,labourer
479,Arbeiter::N,dělník,micherour
480,Arbeiter::N,pracovník,labourer
481,Arbeiter::N,pracovník,micherour
482,Chef::N,šéf,penn
483,Chef::N,vedoucí,penn
484,Meister::N,mistr,mestr
485,Arzt::N,lékař,mezeg
486,Arzt::N,lékař,medisin
487,Lehrer::N,učitel,skolaer
488,Lehrer::N,učitel,kelenner
489,Geld::N,peníze,arc'hant
490,Geschäft::N,obchod,stal
491,Laden::N,krám,stal
492,Preis::N,cena,priz
493,Ware::N,zboží,marc'hadourezh
494,Nutzen::N,užitek,gounidegezh
495,Nutzen::N,užitek,lañs
496,Nutzen::N,užitek,profit
497,Nutzen::N,užitek,spleit
498,Reichtum::N,bohatství,pinvidigezh
499,Welt::N,svět,douar
500,Land::N,země,bro
501,Staat::N,stát,stad
502,König::N,král,roue
503,Macht::N,moc,galloud
504,Macht::N,mocnost,galloud
505,Grenze::N,hranice,harzoù
506,Krieg::N,válka,brezel
507,Feind::N,nepřítel,eneber
508,Gewalt::N,násilí,tâerder
509,Kampf::N,boj,kann
510,Bogen[Waffe]::N,luk,gwareg
511,Pfeil::N,šíp,saezh
512,Gewehr::N,puška,fuzuilh
513,Gewehr::N,ručnice,fuzuilh
514,Fehler::N,chyba,fazi
515,Lüge::N,lež,gaou
516,Schaden::N,škoda,gwall
517,Unglück::N,neštěstí,gwalleur
518,Schuld::N,vina,kablusted
519,Schuld::N,vina,pec'hedigezh
520,Alter::N,věk,oad
521,Schluss::N,konec,diwezh
522,Zeit::N,čas,amzer
523,Tag::N,den,deizh
524,Morgen::N,ráno,beure
525,Morgen::N,ráno,mintin
526,Morgen::N,jitro,beure
527,Morgen::N,jitro,mintin
528,Mittag::N,poledne,kreisteiz
529,Abend::N,večer,abardaez
530,Nacht::N,noc,noz
531,Woche::N,týden,sizhun
532,Monat::N,měsíc,miz
533,Jahr::N,rok,bloaz
534,Frühling::N,jaro,nevezamzer
535,Sommer::N,léto,hañv
536,Herbst::N,podzim,diskaramzer
537,Winter::N,zima,goañv
538,Januar::N,leden,Genver
539,Februar::N,únor,C'hwevrer
540,März::N,březen,Meurzh
541,April::N,duben,Ebrel
542,Mai::N,květen,Mae
543,Juni::N,červen,Mezheven
544,Juli::N,červenec,Gouhere
545,August::N,srpen,Eost
546,September::N,září,Gwengolo
547,Oktober::N,říjen,Here
548,November::N,listopad,Du
549,Dezember::N,prosinec,Kerzu
550,Montag::N,pondělí,Lun
551,Montag::N,pondělek,Lun
552,Dienstag::N,úterý,Meurzh
553,Mittwoch::N,středa,Merc'her
554,Donnerstag::N,čtvrtek,Yaou
555,Freitag::N,pátek,Gwener
556,Samstag::N,sobota,Sadorn
557,Sonntag::N,neděle,Sul
558,groß::A,velký,bras
559,klein::A,malý,bihan
560,lang::A,dlouhý,hir
561,kurz::A,krátký,berr
562,breit::A,široký,ledan
563,schmal::A,úzký,strizh
564,dicht::A,hustý,stank
565,dick[Gegenstand]::A,tlustý,tev
566,dünn::A,tenký,moan
567,fein::A,jemný,munut
568,fest::A,pevný,start
569,flach::A,plochý,plaen
570,flach::A,placatý,plaen
571,glatt::A,hladký,lintr
572,glatt::A,hladký,levn
573,hart::A,tvrdý,kalet
574,weich::A,měkký,blot
575,rund::A,kulatý,ront
576,rund::A,okrouhlý,ront
577,spitz::A,špičatý,poentet
578,scharf::A,ostrý,dremm
579,stumpf::A,tupý,talsoc'h
580,schwer::A,těžký,pounner
581,schön::A,pěkný,kaer
582,schön::A,krásný,kaer
583,heiß::A,horký,tomm
584,warm::A,teplý,tomm
585,kalt::A,studený,yen
586,kühl::A,chladný,yen
587,frisch::A,svěží,fresk
588,feucht::A,vlhký,gleb
589,nass::A,mokrý,gleb
590,trocken::A,suchý,sec'h
591,voll::A,plný,leun
592,leer::A,prázdný,goullo
593,offen::A,otevřený,digor
594,geschlossen::A,zavřený,serr
595,sauber::A,čistý,naet
596,schmutzig::A,špinavý,lous
597,roh::A,syrový,kriz
598,reif::A,zralý,darev
599,lecker::A,chutný,lipous
600,lecker::A,chutný,saourus
601,süß::A,sladký,dous
602,bitter::A,hořký,c'hwerv
603,sauer::A,kyselý,trenk
604,hell::A,světlý,sklaer
605,dunkel::A,temný,teñval
606,schwarz::A,černý,du
607,weiß::A,bílý,gwenn
608,rot::A,rudý,ruz
609,rot::A,červený,ruz
610,gelb::A,žlutý,melen
611,blau::A,modrý,glas
612,grün::A,zelený,gwer
613,grau::A,šedý,louet
614,grau::A,šedivý,louet
615,bunt::A,pestrý,liesliv
616,billig::A,levný,marc'had-mat
617,billig::A,laciný,marc'had-mat
618,teuer::A,drahý,ker
619,wertvoll::A,cenný,prizius
620,blind::A,slepý,dall
621,taub::A,hluchý,bouzar
622,kräftig::A,silný,start
623,stark::A,silný,kreñv
624,schwach::A,slabý,gwan
625,fett::A,tučný,lard
626,fett::A,tlustý,lard
627,schlank::A,štíhlý,sinkl
628,hübsch::A,hezký,koant
629,böse::A,zlý,gwall
630,dumm::A,hloupý,glep
631,faul::A,líný,lezirek
