,Concept_ID,da,kv
0,Auge::N,øje,син
1,Ohr::N,øre,пель
2,Nase::N,næse,ныр
3,Mund::N,mund,ӧм
4,Zahn::N,tand,пинь
5,Zunge::N,tunge,кыв
6,Lippe::N,læbe,тырп
7,Wange::N,kind,рожабан
8,Gesicht::N,ansigt,бан
9,Stirn::N,pande,кымӧс
10,Haar::N,hår,юрси
11,Schnurrbart::N,overskæg,уссэз
12,Bart::N,skæg,тош
13,Kinn::N,hage,тшӧка
14,Kiefer[Anatomie]::N,kæbe,ан
15,Kehle::N,strube,юан
16,Hals::N,hals,юан
17,Genick::N,nakke,юр бӧр
18,Kopf::N,hoved,юр
19,Rücken::N,ryg,мышк
20,Bauch::N,mave,кынӧм
21,Nabel::N,navle,гӧг
22,Busen::N,barm,морос
23,Brust::N,bryst,морос
24,Schulter::N,skulder,пельпон
25,Arm::N,arm,ки
26,Ellenbogen::N,albue,гырдзза
27,Hand::N,hånd,кикар
28,Handfläche::N,håndflade,ки пыдӧс
29,Finger::N,finger,чунь
30,Fingernagel::N,fingernegl,гыж
31,Nagel[Anatomie]::N,negl,гыж
32,Zeh::N,tå,чунь
33,Fuß::N,fod,кокпыдӧс
34,Ferse::N,hæl,кокдзир
35,Knie::N,knæ,пидзӧс
36,Oberschenkel::N,lår,лядьбей
37,Bein::N,ben,кок
38,Körper::N,krop,вывтыр
39,Körper::N,legeme,вывтыр
40,Haut::N,hud,кучик
41,Blut::N,blod,вир
42,Ader::N,åre,сӧн
43,Sehne::N,sene,жила
44,Knochen::N,ben,коска
45,Gehirn::N,hjerne,вем
46,Herz::N,hjerte,сьӧлӧм
47,Magen::N,mave,жӧвдӧк
48,Leber::N,lever,мус
49,Atem::N,ånde,лолалӧм
50,Hunger::N,sult,тшыг
51,Träne::N,tåre,синва
52,Geschmack::N,smag,кӧр
53,Geruch::N,lugt,дук
54,Schlaf::N,søvn,он
55,Traum::N,drøm,вӧт
56,Himmel::N,himmel,небо
57,Sonne::N,sol,шондi
58,Mond::N,måne,тӧлiсь
59,Stern::N,stjerne,кӧдзыв
60,Luft::N,luft,ру
61,Wind::N,vind,тӧв
62,Welle::N,bølge,гы
63,Wasser::N,vand,ва
64,Stein::N,sten,из
65,Boden::N,jord,му
66,Erde::N,jord,му
67,Staub::N,støv,бус
68,Rauch::N,røg,тшын
69,Funke::N,gnist,бичир
70,Feuer::N,ild,би
71,Licht::N,lys,би
72,Schatten::N,skygge,вуджӧр
73,Wetter::N,vejr,погоддя
74,Nebel::N,tåge,туман
75,Wolke::N,sky,кымӧр
76,Regen::N,regn,зэр
77,Schnee::N,sne,лым
78,Eis::N,is,йы
79,Frost::N,frost,мороз
80,Kälte::N,kulde,кӧдзыт
81,Hitze::N,hede,ӧд
82,Raureif::N,rimfrost,кижа
83,Regenbogen::N,regnbue,енӧшка
84,Donner::N,torden,гым
85,Strömung::N,strømning,визывтӧм
86,Tropfen::N,dråbe,тёп
87,Schaum::N,skum,быг
88,Schmutz::N,snavs,нять
89,See::N,sø,ты
90,Sumpf::N,sump,арай
91,Moor::N,mose,нюр
92,Wiese::N,eng,видз
93,Wald::N,skov,вӧр
94,Hügel::N,høj,мыльк
95,Hügel::N,bakke,мыльк
96,Anhöhe::N,høj,вывтас
97,Anhöhe::N,høj,вылынін
98,Anhöhe::N,bakke,вывтас
99,Anhöhe::N,bakke,вылынін
100,Berg::N,bjerg,керӧс
101,Gipfel::N,top,йыв
102,Höhle::N,hule,нора
103,Abhang::N,skrænt,покат
104,Abhang::N,skråning,покат
105,Quelle::N,kilde,больган
106,Bach::N,bæk,шор
107,Fluss::N,flod,ю
108,Ufer::N,bred,берег
109,Küste::N,kyst,берег
110,Festland::N,fastland,му
111,Meer::N,hav,море
112,Bucht::N,bugt,курья
113,Insel::N,ø,
114,Blume::N,blomst,цветок
115,Gras::N,græs,турун
116,Wurzel::N,rod,вуж
117,Baum::N,træ,пу
118,Stamm::N,stamme,мыр
119,Stamm::N,stamme,кер
120,Rinde::N,bark,кач
121,Ast::N,gren,ув
122,Zweig::N,kvist,ув
123,Blatt::N,blad,лист
124,Birke::N,birk,кыдз
125,Kiefer[Baum]::N,fyrretræ,пожум
126,Weide[Baum]::N,piletræ,бадь
127,Tanne::N,gran,кӧз
128,Horn::N,horn,сюр
129,Feder::N,fjer,гӧн
130,Fell::N,skind,кучик
131,Flügel::N,vinge,борд
132,Klaue::N,klov,гыж
133,Kralle::N,klo,кабыр
134,Schwanz::N,hale,бӧж
135,Ei::N,æg,кольть
136,Nest::N,rede,поз
137,Bau::N,bo,осьта
138,Bau::N,bo,нора
139,Tier::N,dyr,зверь
140,Herde::N,flok,гурт
141,Kuh::N,ko,мӧс
142,Bulle::N,tyr,ӧшка
143,Pferd::N,hest,вӧв
144,Schaf::N,får,баля
145,Schwein::N,gris,порсь
146,Hund::N,hund,пон
147,Katze::N,kat,кань
148,Bär::N,bjørn,ош
149,Eichhörnchen::N,egern,ур
150,Elch::N,elg,вӧр мӧс
151,Fuchs::N,ræv,руч
152,Hase::N,hare,кӧч
153,Maus::N,mus,шыр
154,Wolf::N,ulv,кӧин
155,Vogel::N,fugl,кай
156,Schwarm::N,sværm,стая
157,Schwarm::N,sværm,чукӧр
158,Huhn::N,høne,курӧг
159,Hahn::N,hane,петух
160,Hahn::N,hane,ай курӧг
161,Gans::N,gås,дзодзог
162,Adler::N,ørn,куч
163,Adler::N,ørn,кутш
164,Ente::N,and,утка
165,Eule::N,ugle,тупка
166,Kranich::N,trane,тури
167,Krähe::N,krage,рака
168,Kuckuck::N,gøg,кӧк
169,Schwan::N,svane,юсь
170,Fisch::N,fisk,чери
171,Barsch::N,aborre,ёкыш
172,Hecht::N,gedde,сирпинь
173,Schlange[Tier]::N,slange,змей
174,Wurm::N,orm,номыр
175,Spinne::N,edderkop,черань
176,Ameise::N,myre,кӧдзывкар
177,Laus::N,lus,ляпа той
178,Mücke::N,myg,ном
179,Fliege::N,flue,гут
180,Schmetterling::N,sommerfugl,бабыв
181,Beere::N,bær,ягӧд
182,Apfel::N,æble,яблоко
183,Pilz::N,svamp,тшак
184,Zwiebel::N,løg,грез
185,Saat::N,sæd,кӧдзыс
186,Korn::N,korn,сю
187,Heu::N,hø,турун
188,Schale::N,skræl,кыш
189,Schale::N,skræl,киль
190,Grube::N,grav,яма
191,Falle::N,fælde,нальк
192,Falle::N,fælde,кляпча
193,Schlinge::N,snare,лӧч
194,Spur::N,spor,туй
195,Asche::N,aske,пӧим
196,Dreck::N,snavs,нять
197,Eisen::N,jern,кӧрт
198,Gold::N,guld,зарни
199,Silber::N,sølv,язісь
200,Kohle::N,kul,шом
201,Kohle::N,kul,уголь
202,Glas::N,glas,стекло
203,Lehm::N,ler,сёй
204,Sand::N,sand,лыа
205,Mensch::N,mennesge,морт
206,Mann::N,mand,мужик
207,Frau::N,kvinde,инька
208,Kind::N,barn,кага
209,Junge::N,dreng,зонка
210,Mädchen::N,pige,нывкаок
211,Familie::N,familie,семья
212,Großvater::N,bedstefar,дед
213,Großmutter::N,bedstemor,баб
214,Eltern::N,forældre,ай-мам
215,Vater::N,far,ай
216,Mutter::N,mor,мам
217,Sohn::N,søn,зон
218,Tochter::N,datter,ныв
219,Bruder::N,bror,вон
220,Schwester::N,søster,сой
221,Onkel::N,onkel,дядь
222,Tante::N,tante,айӧлӧн сой
223,Tante::N,tante,ичинь
224,Ehemann::N,ægtemand,жӧник
225,Ehefrau::N,hustru,инь
226,Freude::N,glæde,гаж
227,Freude::N,glæde,радъялӧм
228,Gelächter::N,latter,сералӧм
229,Glück::N,lykke,мичлун
230,Kummer::N,sorg,шог
231,Wunsch::N,ønske,мӧдӧм
232,Wunsch::N,ønske,охотитӧм
233,Lust::N,lyst,охота
234,Geist::N,ånd,лов
235,Gedanke::N,tanke,дума
