,Concept_ID,br,ca
0,Auge::N,lagad,ull
1,Ohr::N,skouarn,orella
2,Nase::N,fri,nas
3,Mund::N,genoù,boca
4,Zahn::N,dant,dent
5,Zunge::N,teod,llēngua
6,Lippe::N,muzell,llavi
7,Wange::N,chot,galta
8,Gesicht::N,dremm,cara
9,Stirn::N,tal,front
10,Haar::N,blev,cabēll
11,Schnurrbart::N,mourenn,bigoti
12,Bart::N,barv,barba
13,Kinn::N,groñj,mentó
14,Kinn::N,groñj,barbeta
15,Kiefer[Anatomie]::N,javed,queix
16,Kiefer[Anatomie]::N,javed,mandíbula
17,Kehle::N,gouzoug,gola
18,Kehle::N,gouzoug,gorja
19,Hals::N,gouzoug,coll
20,Genick::N,choug,nuca
21,Kopf::N,penn,cap
22,Rücken::N,kein,esquena
23,Bauch::N,kof,panxa
24,Nabel::N,begel,llombrígol
25,Busen::N,bronn,pit
26,Busen::N,bronn,mama
27,Brust::N,bruched,pit
28,Schulter::N,skoaz,espatlla
29,Arm::N,brec'h,braç
30,Ellenbogen::N,ilin,colze
31,Hand::N,dorn,mà
32,Handfläche::N,palv,palma
33,Finger::N,biz,dit
34,Fingernagel::N,ivin,ungla
35,Nagel[Anatomie]::N,ivin,ungla
36,Zeh::N,biz-troad,dit del peu
37,Fuß::N,troad,peu
38,Ferse::N,seul,taló
39,Knie::N,glin,genoll
40,Oberschenkel::N,morzhed,cuixa
41,Bein::N,gar,cama
42,Körper::N,korf,cos
43,Haut::N,kroc'hen,pell
44,Blut::N,gwad,sang
45,Ader::N,gwazhi,vena
46,Sehne::N,stir,tendó
47,Knochen::N,askorn,os
48,Gehirn::N,empenn,cervell
49,Herz::N,kalon,cor
50,Magen::N,stomog,estómac
51,Leber::N,avu,fetge
52,Atem::N,anal,alè
53,Atem::N,anal,hàlit
54,Hunger::N,naon,fam
55,Hunger::N,naon,gana
56,Träne::N,daer,llàgrima
57,Geschmack::N,blaz,gust
58,Geschmack::N,blaz,sabor
59,Geruch::N,c'hwezh,olor
60,Schlaf::N,kousked,son
61,Traum::N,hune,somni
62,Himmel::N,oabl,celm
63,Sonne::N,heol,sol
64,Mond::N,loar,lluna
65,Stern::N,steredenn,estel
66,Stern::N,steredenn,estrella
67,Luft::N,aer,aire
68,Wind::N,avel,vent
69,Welle::N,houlenn,ona
70,Wasser::N,dour,āigua
71,Stein::N,maen,pedra
72,Boden::N,tachenn,sòl
73,Erde::N,douar,terra
74,Staub::N,poultr,pols
75,Rauch::N,moged,fum
76,Funke::N,ful,guspira
77,Funke::N,ful,centella
78,Feuer::N,tan,foc
79,Licht::N,gouloù,llum
80,Schatten::N,disheol,ombra
81,Wetter::N,amzer,temps
82,Nebel::N,brumenn,boira
83,Wolke::N,koumoulenn,núvol
84,Regen::N,glav,pluja
85,Schnee::N,erc'h,neu
86,Eis::N,skorn,gel
87,Eis::N,skorn,glaç
88,Frost::N,rev,glaçada
89,Kälte::N,yen,fred
90,Hitze::N,tommder,calor
91,Raureif::N,frim,gebre
92,Regenbogen::N,gwareg-ar-glav,arc iris
93,Donner::N,kurun,tro
94,Strömung::N,red,corrent
95,Tropfen::N,bannac'h,gota
96,Tropfen::N,takenn,gota
97,Schaum::N,spoum,escuma
98,Schmutz::N,fank,brutícia
99,See::N,lenn,llac
100,Sumpf::N,gwern,pantà
101,Moor::N,taouarc'heg,pantà
102,Wiese::N,prad,prat
103,Wiese::N,prad,prada
104,Wald::N,koad,bosc
105,Hügel::N,torgenn,puig
106,Hügel::N,torgenn,pujol
107,Anhöhe::N,run,turó
108,Berg::N,menez,muntanya
109,Gipfel::N,barr,cim
110,Höhle::N,kav,cova
111,Abhang::N,naou,coster
112,Quelle::N,feunteun,font
113,Bach::N,gwazh,riera
114,Fluss::N,stêr,riu
115,Ufer::N,ribl,riba
116,Küste::N,aod,costa
117,Festland::N,douar,terra ferma
118,Meer::N,mor,mar
119,Bucht::N,mor-bihan,cala
