,Concept_ID,ru,hu
0,Auge::N,глаз,szem
1,Ohr::N,ухо,fül
2,Nase::N,нос,orr
3,Mund::N,рот,száj
4,Zahn::N,зуб,fog
5,Zunge::N,язык,nyelv
6,Lippe::N,губа,ajak
7,Wange::N,щека,orca
8,Gesicht::N,лицо,arc
9,Stirn::N,лоб,homlok
10,Haar::N,волос,haj
11,Haar::N,волосы,haj
12,Schnurrbart::N,ус,bajusz
13,Schnurrbart::N,усы,bajusz
14,Bart::N,борода,szakáll
15,Kinn::N,подбородок,áll
16,Kiefer[Anatomie]::N,челюсть,állkapocs
17,Kehle::N,горло,gége
18,Kehle::N,горло,torok
19,Hals::N,шея,nyak
20,Genick::N,затылок,tarkó
21,Kopf::N,голова,fő
22,Kopf::N,голова,fej
23,Rücken::N,спина,hát
24,Bauch::N,живот,has
25,Nabel::N,пупок,köldök
26,Busen::N,женская грудь,mell
27,Busen::N,женская грудь,kebel
28,Brust::N,грудь,mell
29,Schulter::N,плечо,váll
30,Arm::N,рука,kar
31,Ellenbogen::N,локоть,könyök
32,Hand::N,кисть,kéz
33,Handfläche::N,ладонь,tenyér
34,Finger::N,палец,ujj
35,Fingernagel::N,ноготь,köröm
36,Nagel[Anatomie]::N,ноготь,köröm
37,Zeh::N,палец,lábujj
38,Fuß::N,ступня,láb
39,Ferse::N,пята,sarok
40,Ferse::N,пятка,sarok
41,Knie::N,колено,térd
42,Oberschenkel::N,бедро,comb
43,Bein::N,нога,láb
44,Bein::N,нога,lábszár
45,Körper::N,тело,test
46,Haut::N,кожа,bőr
47,Blut::N,кровь,vér
48,Ader::N,вена,ér
49,Ader::N,сосуд,ér
50,Sehne::N,жила,ín
51,Sehne::N,тетива,ín
52,Sehne::N,сухожилие,ín
53,Knochen::N,кость,csont
54,Gehirn::N,мозг,agy
55,Gehirn::N,мозг,agyvelő
56,Herz::N,сердце,szív
57,Magen::N,желудок,gyomor
58,Leber::N,печень,máj
59,Atem::N,дух,lehelet
60,Atem::N,дух,lélegzet
61,Atem::N,дыхание,lehelet
62,Atem::N,дыхание,lélegzet
63,Hunger::N,голод,éhség
64,Träne::N,слеза,könny
65,Geschmack::N,вкус,íz
66,Geruch::N,запах,szag
67,Schlaf::N,сон,álom
68,Schlaf::N,сон,alvás
69,Traum::N,сновидение,álom
70,Himmel::N,небо,ég
71,Himmel::N,небо,menny
72,Sonne::N,солнце,nap
73,Mond::N,луна,hold
74,Stern::N,звезда,csillag
75,Luft::N,воздух,levegő
76,Wind::N,ветер,szél
77,Welle::N,волна,hullám
78,Wasser::N,вода,víz
79,Stein::N,камень,kő
80,Boden::N,почва,föld
81,Boden::N,почва,talaj
82,Erde::N,земля,föld
83,Staub::N,пыль,por
84,Rauch::N,дым,füst
85,Funke::N,искра,szikra
86,Feuer::N,огонь,tűz
87,Licht::N,свет,fény
88,Schatten::N,тень,árnyék
89,Wetter::N,погода,idő
90,Wetter::N,погода,időjárás
91,Nebel::N,туман,köd
92,Wolke::N,облако,felhő
93,Regen::N,дождь,eső
94,Schnee::N,снег,hó
95,Eis::N,лед,jég
96,Frost::N,мороз,fagy
97,Kälte::N,холод,hideg
98,Hitze::N,жара,hő
99,Hitze::N,жара,hőség
100,Raureif::N,иней,zúzmara
101,Regenbogen::N,радуга,szivárvány
102,Donner::N,гром,dörgés
103,Donner::N,гром,mennydörgés
104,Strömung::N,течение,áramlat
105,Tropfen::N,капля,csepp
106,Schaum::N,пена,hab
107,Schaum::N,пена,tajték
108,Schmutz::N,грязь,piszok
109,See::N,озеро,tó
110,Sumpf::N,топь,mocsár
111,Moor::N,болото,láp
112,Wiese::N,луг,rét
113,Wiese::N,луг,mező
114,Wald::N,лес,erdő
115,Hügel::N,холм,domb
116,Anhöhe::N,возвышенность,magaslat
117,Berg::N,гора,hegy
118,Gipfel::N,вершина,csúcs
119,Höhle::N,пещера,barlang
120,Abhang::N,склон,lejtő
121,Quelle::N,источник,forrás
122,Bach::N,ручей,patak
123,Fluss::N,река,folyó
124,Ufer::N,берег,part
