,Concept_ID,no,mhr
0,Auge::N,øye,шинча́
1,Ohr::N,øre,пы́лыш
2,Nase::N,nese,нер
3,Mund::N,munn,умша́
4,Zahn::N,tann,пӱй
5,Zunge::N,tunge,йы́лме
6,Lippe::N,leppe,тӱ́рвӧ
7,Wange::N,kinn,шӱ́ргӧ
8,Gesicht::N,fjes,чури́й
9,Gesicht::N,ansikt,чури́й
10,Stirn::N,panne,саҥга́
11,Haar::N,hår,ӱп
12,Schnurrbart::N,bart,ӧ́рыш
13,Bart::N,skjegg,понда́ш
14,Kinn::N,hake,оҥыла́ш
15,Kiefer[Anatomie]::N,kjeve,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,kjeve,пӱйората́
17,Kehle::N,strupe,лога́р
18,Hals::N,hals,шӱй
19,Genick::N,nakke,шӱйло́дыш
20,Kopf::N,hode,вуй
21,Rücken::N,rygg,туп
22,Bauch::N,buk,мӱ́шкыр
23,Bauch::N,mage,мӱ́шкыр
24,Nabel::N,navle,кы́лымде
25,Busen::N,barm,чы́зе
26,Brust::N,bryst,оҥ
27,Schulter::N,skulder,ва́че
28,Arm::N,arm,кид
29,Ellenbogen::N,albue,кынерву́й
30,Hand::N,hånd,кид
31,Hand::N,hånd,копа́
32,Handfläche::N,håndflate,со́во
33,Finger::N,finger,парня́
34,Fingernagel::N,fingernegl,кидкӱ́ч
35,Fingernagel::N,fingernegl,парнягӱ́ч
36,Nagel[Anatomie]::N,negl,кӱч
37,Zeh::N,tå,йолварня́
38,Fuß::N,fot,йол
39,Fuß::N,fot,йолкопа́
40,Ferse::N,hæl,тага́н
41,Knie::N,kne,пулву́й
42,Oberschenkel::N,lår,э́рде
43,Bein::N,bein,йол
44,Körper::N,kropp,кап
45,Körper::N,legeme,кап
46,Haut::N,hud,кова́ште
47,Haut::N,skinn,кова́ште
48,Blut::N,blod,вӱр
49,Ader::N,åre,шӧн
50,Sehne::N,sene,шӧн
51,Sehne::N,sene,кӱсе́н
52,Knochen::N,bein,лу
53,Knochen::N,knokkel,лу
54,Gehirn::N,hjerne,вем
55,Gehirn::N,hjerne,вуйве́м
56,Herz::N,hjerte,шӱм
57,Magen::N,mage,пага́р
58,Leber::N,lever,мокш
59,Atem::N,pust,шӱ́лыш
60,Hunger::N,sult,шужыма́ш
61,Träne::N,tåre,шинчавӱ́д
62,Geschmack::N,smak,там
63,Geruch::N,lukt,пуш
64,Schlaf::N,søvn,о́мо
65,Traum::N,drøm,йӱдо́мо
66,Himmel::N,himmel,кава́
67,Sonne::N,sol,ке́че
68,Mond::N,måne,ты́лзе
69,Stern::N,stjerne,шӱ́дыр
70,Luft::N,luft,юж
71,Wind::N,vind,марде́ж
72,Welle::N,bølge,то́лкын
73,Wasser::N,vann,вӱд
74,Stein::N,stein,кӱ
75,Boden::N,bakke,рок
76,Erde::N,jord,мла́нде
77,Staub::N,støv,пура́к
78,Rauch::N,røyk,шикш
79,Funke::N,gnist,сеске́м
80,Funke::N,gnist,тулйы́п
81,Feuer::N,ild,тул
82,Licht::N,lys,со́то
83,Schatten::N,skygge,ӱ́мыл
84,Wetter::N,vær,иге́че
85,Nebel::N,tåke,тӱтыра́
86,Wolke::N,sky,пыл
87,Regen::N,regn,йӱр
88,Schnee::N,snø,лум
89,Eis::N,is,ий
90,Frost::N,frost,чатлама́
91,Kälte::N,kulde,йӱ́штӧ
