,Concept_ID,hu,xal
0,Auge::N,szem,нүдн
1,Ohr::N,fül,чикн
2,Nase::N,orr,хамр
3,Mund::N,száj,амн
4,Zahn::N,fog,шүдн
5,Zunge::N,nyelv,келн
6,Lippe::N,ajak,урл
7,Wange::N,orca,халх
8,Gesicht::N,arc,нүр
9,Stirn::N,homlok,маңна
10,Haar::N,haj,үсн
11,Schnurrbart::N,bajusz,сахл
12,Bart::N,szakáll,сахл
13,Bart::N,szakáll,өргнә сахл
14,Kinn::N,áll,өргн
15,Kiefer[Anatomie]::N,állkapocs,өргн
16,Kehle::N,gége,хол
17,Kehle::N,torok,хол
18,Hals::N,nyak,күзүн
19,Genick::N,tarkó,гиҗг
20,Kopf::N,fő,толһа
21,Kopf::N,fej,толһа
22,Rücken::N,hát,нурһн
23,Bauch::N,has,гесн
24,Nabel::N,köldök,киисн
25,Busen::N,mell,көкн
26,Busen::N,kebel,көкн
27,Brust::N,mell,чееҗ
28,Schulter::N,váll,ээм
29,Arm::N,kar,һар
30,Ellenbogen::N,könyök,тоха
31,Hand::N,kéz,баһлцг
32,Handfläche::N,tenyér,альхн
33,Finger::N,ujj,хурһн
34,Finger::N,ujj,һарин хурһн
35,Fingernagel::N,köröm,хумсн
36,Nagel[Anatomie]::N,köröm,хумсн
37,Zeh::N,lábujj,хурһн
38,Zeh::N,lábujj,көлин хурһн
39,Fuß::N,láb,тавг
40,Ferse::N,sarok,өскә
41,Knie::N,térd,өвдг
42,Oberschenkel::N,comb,һуй
43,Bein::N,láb,көл
44,Bein::N,lábszár,көл
45,Körper::N,test,махмуд
46,Haut::N,bőr,арсн
47,Blut::N,vér,цусн
48,Ader::N,ér,судцн
49,Sehne::N,ín,шүрүсн
50,Knochen::N,csont,ясн
51,Gehirn::N,agy,экн
52,Gehirn::N,agyvelő,экн
53,Herz::N,szív,зүркн
54,Magen::N,gyomor,гесн
55,Leber::N,máj,элкн
56,Atem::N,lehelet,әмсхл
57,Atem::N,lélegzet,әмсхл
58,Hunger::N,éhség,харһнлһн
59,Träne::N,könny,нульмсн
60,Geschmack::N,íz,амтн
61,Geruch::N,szag,үнр
62,Schlaf::N,álom,нөр
63,Schlaf::N,alvás,нөр
64,Traum::N,álom,зүүдн
65,Himmel::N,ég,теңгр
66,Himmel::N,menny,теңгр
67,Sonne::N,nap,нарн
68,Mond::N,hold,сар
69,Stern::N,csillag,одн
70,Luft::N,levegő,аһар
71,Wind::N,szél,салькн
72,Welle::N,hullám,дольган
73,Wasser::N,víz,усн
74,Stein::N,kő,чолун
75,Boden::N,föld,Һазр
76,Boden::N,talaj,Һазр
77,Erde::N,föld,Һазр
78,Staub::N,por,тоосн
79,Rauch::N,füst,утан
80,Funke::N,szikra,очн
81,Feuer::N,tűz,һал
82,Licht::N,fény,герл
83,Schatten::N,árnyék,сүүдр
84,Wetter::N,idő,теңгр
85,Wetter::N,időjárás,теңгр
86,Nebel::N,köd,будн
87,Wolke::N,felhő,үүлн
88,Regen::N,eső,хур
89,Schnee::N,hó,цасн
90,Eis::N,jég,мөсн
91,Frost::N,fagy,киитн
92,Kälte::N,hideg,киитн
93,Hitze::N,hő,халун
94,Hitze::N,hőség,халун
95,Raureif::N,zúzmara,цаң
96,Raureif::N,zúzmara,кирү
97,Regenbogen::N,szivárvány,солңһ
98,Donner::N,dörgés,оһтрһун дун
99,Donner::N,mennydörgés,оһтрһун дун
100,Strömung::N,áramlat,урсхл
101,Tropfen::N,csepp,дусал
102,Schaum::N,hab,көөсн
103,Schaum::N,tajték,көөсн
104,Schmutz::N,piszok,кир
105,See::N,tó,нур
106,Sumpf::N,mocsár,унул
107,Moor::N,láp,улм
108,Wiese::N,rét,хадлһн
109,Wiese::N,mező,хадлһн
110,Wald::N,erdő,ө-модн
111,Hügel::N,domb,толһа
112,Anhöhe::N,magaslat,хамр
113,Berg::N,hegy,уул
114,Gipfel::N,csúcs,ора
115,Höhle::N,barlang,хадин көндә
116,Abhang::N,lejtő,ташу
117,Quelle::N,forrás,булг
118,Bach::N,patak,һооҗур
119,Fluss::N,folyó,һол
120,Ufer::N,part,көвә
121,Küste::N,tengerpart,көвә
122,Küste::N,tengerpart,теңгсин көвә
123,Festland::N,szárazföld,хүүрә һазр
124,Meer::N,tenger,теңгс
125,Bucht::N,öböl,цекә
126,Bucht::N,öböl,теңгсин цекә
127,Insel::N,sziget,арл
128,Blume::N,virág,цецг
129,Gras::N,fű,ноһан
130,Wurzel::N,gyökér,уңг
131,Baum::N,fa,модн
132,Stamm::N,tő,шилв
133,Stamm::N,tő,һол модн
134,Stamm::N,törzs,шилв
135,Stamm::N,törzs,һол модн
136,Rinde::N,kéreg,көрсн
137,Ast::N,ág,ац
138,Zweig::N,gally,ац
139,Blatt::N,levél,хамтхасн
140,Birke::N,nyír,хусм модн
141,Kiefer[Baum]::N,fenyő,шар харһа
142,Weide[Baum]::N,fűz,удн
143,Tanne::N,fenyő,җөөлн цаһан модн
144,Horn::N,szarv,өвр
145,Feder::N,toll,өрвлг
146,Fell::N,szőr,арсн
147,Fell::N,bunda,арсн
148,Flügel::N,szárny,җивр
149,Klaue::N,köröm,хумсн
150,Kralle::N,karom,тавг
151,Schwanz::N,farok,сүл
152,Ei::N,tojás,өндгн
153,Nest::N,fészek,үр
154,Bau::N,odú,нүкн
155,Tier::N,állat,мал
156,Herde::N,nyáj,сүрг мал
157,Herde::N,csorda,сүрг мал
158,Kuh::N,tehén,үкр
159,Bulle::N,bika,бух
160,Pferd::N,ló,мөрн
161,Schaf::N,juh,хөн
162,Schaf::N,birka,хөн
163,Schwein::N,sertés,һаха
164,Hund::N,eb,ноха
165,Hund::N,kutya,ноха
166,Katze::N,macska,мис
167,Bär::N,medve,аю
168,Eichhörnchen::N,mókus,кермн
169,Elch::N,jávorszarvas,хандһа
170,Fuchs::N,róka,арат
171,Hase::N,nyúl,туула
172,Maus::N,egér,хулһн
173,Wolf::N,farkas,чон
174,Vogel::N,madár,шовун
