,Concept_ID,uz,ku
0,Auge::N,ko'z,çav
1,Ohr::N,quloq,guh
2,Nase::N,burun,bêvil
3,Mund::N,og'iz,dev
4,Zahn::N,tish,didan
5,Zunge::N,til,ziman
6,Lippe::N,dudoq,lêv
7,Wange::N,bet,dêm
8,Wange::N,bet,hinarik
9,Gesicht::N,yuz,rû
10,Stirn::N,manglay,enî
11,Haar::N,soch,por
12,Schnurrbart::N,mo'ylov,simbêl
13,Bart::N,soqol,rih
14,Kinn::N,ängak,zenî
15,Kiefer[Anatomie]::N,iyak,arguşk
16,Kehle::N,bo'g'iz,qirik
17,Hals::N,bo'yin,stû
18,Hals::N,bo'yin,qirik
19,Genick::N,gardan,stû
20,Kopf::N,bosh,serî
21,Rücken::N,orqa,pişt
22,Bauch::N,qorin,ûr
23,Bauch::N,qorin,zik
24,Nabel::N,kindik,navik
25,Busen::N,ämchak,sîng
26,Brust::N,ko'krak,sîng
27,Schulter::N,elka,mil
28,Arm::N,bilak,çepil
29,Ellenbogen::N,tirsak,enîşk
30,Hand::N,qo'l,dest
31,Handfläche::N,kaft,kefadest
32,Finger::N,barmoq,tilî
33,Fingernagel::N,tirnoq,neynuk
34,Nagel[Anatomie]::N,tirnoq,bizmar
35,Zeh::N,oyoq barmog'i,tilî linga
36,Fuß::N,oyoq,ling
37,Ferse::N,tovon,pahnî
38,Knie::N,tiz,kabok
39,Oberschenkel::N,son,rahn
40,Bein::N,oyoq,çip
41,Körper::N,badna,laş
42,Körper::N,badna,gowde
43,Haut::N,teri,çerm
44,Blut::N,qon,xwîn
45,Ader::N,qon tomir,reh
46,Sehne::N,tomir,reh
47,Knochen::N,suyak,hestî
48,Gehirn::N,miya,mêjî
49,Herz::N,qalb,dil
50,Magen::N,oshqozon,navêş
51,Leber::N,bag'ir,kezeb
52,Atem::N,dam,hilm
53,Hunger::N,ochlik,birçîtî
54,Träne::N,yosh,hêstir
55,Geschmack::N,tam,tam
56,Geruch::N,jid,bêhn
57,Schlaf::N,uyqu,xew
58,Traum::N,tush,xewn
59,Himmel::N,osmon,ezman
60,Sonne::N,quyosh,roj
61,Mond::N,oy,heyv
62,Stern::N,yulduz,stêrk
63,Luft::N,havo,ba
64,Wind::N,el,ba
65,Welle::N,to'lqin,şewl
66,Wasser::N,suv,av
67,Stein::N,tosh,kevir
68,Boden::N,tuproq,herd
69,Erde::N,er,ax
70,Staub::N,chang,toz
71,Rauch::N,tutun,dû
72,Funke::N,yalt,çirûşk
73,Feuer::N,o't,agir
74,Licht::N,yorug',ronahî
75,Schatten::N,soya,sî
76,Wetter::N,havo,hewa
77,Nebel::N,tuman,mij
78,Wolke::N,bulut,ewr
79,Regen::N,yomg'ir,baran
80,Schnee::N,qor,berf
81,Eis::N,muz,qeşa
82,Frost::N,ajoz,xûsik
83,Kälte::N,ajoz,serma
84,Hitze::N,issiq,germayî
85,Raureif::N,qirov,şext
86,Regenbogen::N,kamalak,heftreng
87,Donner::N,guldur,gire-gir
88,Strömung::N,oqim,şewl
89,Tropfen::N,tomchi,dilop
90,Schaum::N,ko'pik,kef
91,Schmutz::N,gard,gemar
92,See::N,ko'l,gol
93,Sumpf::N,botqoq,hezek
94,Moor::N,qir-adir,mafêl
95,Wiese::N,o'tzor,sûrik
96,Wald::N,o'rmon,çiya
97,Wald::N,o'rmon,daristan
98,Hügel::N,tepa,gir
99,Anhöhe::N,adir,sere gir
100,Berg::N,tog',kaş
101,Gipfel::N,cho'qqi,sere gir
102,Höhle::N,kavak,şikeft
103,Abhang::N,to'sh,kaş
104,Quelle::N,buloq,kanî
105,Bach::N,o'zan,çem
106,Fluss::N,daryo,çem
107,Fluss::N,daryo,rûbar
108,Ufer::N,sohil,kevî
109,Küste::N,qirg'oq,berav
110,Festland::N,materik,bejahî
111,Meer::N,dengiz,behr
112,Bucht::N,qo'ltiq,derav
113,Insel::N,orol,girav
114,Blume::N,gul,kulînk
115,Gras::N,sabza,giha
116,Wurzel::N,tub,reh
117,Wurzel::N,tomir,reh
118,Baum::N,daraxt,dar
119,Stamm::N,o'simta,bavik
120,Rinde::N,qobiq,qaqil
121,Ast::N,shox,gulî
122,Zweig::N,butoq,şax
123,Blatt::N,barg,pel
124,Birke::N,qayin,dara sipî
125,Kiefer[Baum]::N,qarag'ay,dara bî
126,Weide[Baum]::N,shum,dara belalûk
127,Tanne::N,archa,merx
128,Horn::N,mugiz,strô
129,Feder::N,par,pîrtîk
130,Fell::N,mo'yna,heyar
131,Flügel::N,qanot,per
132,Klaue::N,tirnoq,napîk
133,Kralle::N,tirnoq,dinik
134,Kralle::N,tirnoq,dirnax
135,Schwanz::N,quyruq,dûv
136,Ei::N,tuxum,hêk
137,Nest::N,oshyon,hêlîn
138,Bau::N,o'pqon,avahî
139,Tier::N,hayvon,heywan
140,Herde::N,gala,hoz
141,Kuh::N,inak,çêlek
142,Bulle::N,ho'kiz,ga
143,Pferd::N,ot,hesp
144,Schaf::N,qo'y,mîh
145,Schwein::N,cho'chqa,beraz
146,Hund::N,it,seh
147,Katze::N,mushuk,pişîk
148,Bär::N,ayiq,hirç
149,Eichhörnchen::N,tiyin,pilûr
150,Elch::N,los,pazkovî
151,Fuchs::N,tulki,rovî
152,Hase::N,kuyon,kîroşk
153,Maus::N,sichqon,mişk
154,Wolf::N,bo'ri,gur
155,Vogel::N,qush,çûk
156,Schwarm::N,to'da,lufik
157,Huhn::N,tovuq,mirîşk
158,Hahn::N,xo'roz,dîk
