,Concept_ID,fi,ru
0,Auge::N,silmä,глаз
1,Ohr::N,korva,ухо
2,Nase::N,nenä,нос
3,Mund::N,suu,рот
4,Zahn::N,hammas,зуб
5,Zunge::N,kieli,язык
6,Lippe::N,huuli,губа
7,Wange::N,poski,щека
8,Gesicht::N,naama,лицо
9,Gesicht::N,kasvot,лицо
10,Stirn::N,otsa,лоб
11,Haar::N,hius,волос
12,Haar::N,hius,волосы
13,Haar::N,tukka,волос
14,Haar::N,tukka,волосы
15,Schnurrbart::N,viikset,ус
16,Schnurrbart::N,viikset,усы
17,Bart::N,parta,борода
18,Kinn::N,leuka,подбородок
19,Kiefer[Anatomie]::N,leukaluu,челюсть
20,Kehle::N,kurkku,горло
21,Hals::N,kaula,шея
22,Genick::N,niska,затылок
23,Kopf::N,pää,голова
24,Rücken::N,selkä,спина
25,Bauch::N,maha,живот
26,Bauch::N,vatsa,живот
27,Nabel::N,napa,пупок
28,Busen::N,rinta,женская грудь
29,Brust::N,rinta,грудь
30,Schulter::N,olka,плечо
31,Schulter::N,hartia,плечо
32,Schulter::N,olkapää,плечо
33,Arm::N,käsivarsi,рука
34,Ellenbogen::N,kyynärpää,локоть
35,Hand::N,käsi,кисть
36,Handfläche::N,kämmen,ладонь
37,Finger::N,sormi,палец
38,Fingernagel::N,kynsi,ноготь
39,Nagel[Anatomie]::N,kynsi,ноготь
40,Zeh::N,varvas,палец
41,Fuß::N,jalka,ступня
42,Ferse::N,kantapää,пята
43,Ferse::N,kantapää,пятка
44,Knie::N,polvi,колено
45,Oberschenkel::N,reisi,бедро
46,Bein::N,jalka,нога
47,Körper::N,keho,тело
48,Körper::N,ruumis,тело
49,Haut::N,iho,кожа
50,Blut::N,veri,кровь
51,Ader::N,suoni,вена
52,Ader::N,suoni,сосуд
53,Sehne::N,jänne,жила
54,Sehne::N,jänne,тетива
55,Sehne::N,jänne,сухожилие
56,Knochen::N,luu,кость
57,Gehirn::N,aivot,мозг
58,Herz::N,sydän,сердце
59,Magen::N,maha,желудок
60,Magen::N,vatsa,желудок
