,Concept_ID,kk,pt
0,Auge::N,көз,olho
1,Ohr::N,құлақ,orelha
2,Nase::N,мұрын,nariz
3,Mund::N,ауыз,boca
4,Zahn::N,тіс,dente
5,Zunge::N,тіл,língua
6,Lippe::N,ерін,lábio
7,Wange::N,ұрт,face
8,Gesicht::N,бет-аузы,cara
9,Gesicht::N,бет-аузы,rosto
10,Stirn::N,маңдай,testa
11,Haar::N,қыл,cabelo
12,Schnurrbart::N,мұрт,bigode
13,Bart::N,сақал,barba
14,Kinn::N,иек,queixo
15,Kiefer[Anatomie]::N,жақ,maxila
16,Kiefer[Anatomie]::N,жақ,mandíbula
17,Kehle::N,алқым,garganta
18,Hals::N,мойын,colo
19,Hals::N,мойын,pescoço
20,Genick::N,желке,nuca
21,Kopf::N,кәллә,cabeça
22,Rücken::N,арқа,dorso
23,Rücken::N,арқа,costas
24,Bauch::N,қарын,ventre
25,Bauch::N,қарын,barriga
26,Nabel::N,кіндік,umbigo
27,Busen::N,омырау,seio
28,Brust::N,кеуде,peito
29,Schulter::N,иық,ombro
30,Arm::N,қол,braço
31,Ellenbogen::N,шынтақ,cotovelo
32,Hand::N,қол,mão
33,Handfläche::N,алақан,palma
34,Handfläche::N,алақан,palma da mão
35,Finger::N,саусақ,dedo
36,Fingernagel::N,тырнақ,unha
37,Nagel[Anatomie]::N,тырнақ,unha
38,Zeh::N,тырнақ,dedo do pé
39,Zeh::N,тұяқ,dedo do pé
40,Fuß::N,аяқ-басы,pé
41,Ferse::N,өкше,calcanhar
42,Ferse::N,өкшелік,calcanhar
43,Knie::N,тізе,joelho
44,Oberschenkel::N,жамбас,coxa
45,Bein::N,аяқ,perna
46,Körper::N,дене,corpo
47,Haut::N,тері,pele
48,Blut::N,қан,sangue
49,Ader::N,көктамыр,veia
50,Ader::N,күретамыр,veia
51,Sehne::N,сіңір,tendão
52,Knochen::N,жілік,osso
53,Gehirn::N,ми,cérebro
54,Herz::N,жүрек,coração
55,Magen::N,асқазан,estômago
56,Leber::N,бауыр,fígado
57,Atem::N,леп,fôlego
58,Hunger::N,ашаршылық,fome
59,Träne::N,жас,lágrima
