,Concept_ID,uz,sah
0,Auge::N,ko'z,харах
1,Ohr::N,quloq,кулгаах
2,Nase::N,burun,мурун
3,Mund::N,og'iz,айах
4,Zahn::N,tish,тиис
5,Zunge::N,til,тыл
6,Lippe::N,dudoq,уос
7,Wange::N,bet,иэдэс
8,Gesicht::N,yuz,сирэй
9,Stirn::N,manglay,сүүс
10,Haar::N,soch,баттах
11,Schnurrbart::N,mo'ylov,уос бытыга
12,Bart::N,soqol,сэҥийэ бытыга
13,Kinn::N,ängak,сэҥийэ
14,Kiefer[Anatomie]::N,iyak,сыҥаах
15,Kehle::N,bo'g'iz,тамах
16,Kehle::N,bo'g'iz,күөмэй
17,Hals::N,bo'yin,моой
18,Genick::N,gardan,кэтэх
19,Kopf::N,bosh,бас
20,Rücken::N,orqa,көҕүс
21,Bauch::N,qorin,ис
22,Nabel::N,kindik,киин
23,Busen::N,ämchak,эмиий
24,Brust::N,ko'krak,түөс
25,Schulter::N,elka,сарын
26,Arm::N,bilak,илии
27,Ellenbogen::N,tirsak,тоҕонох
28,Hand::N,qo'l,илии
29,Handfläche::N,kaft,ытыс
30,Finger::N,barmoq,тарбах
31,Fingernagel::N,tirnoq,тыҥырах
32,Nagel[Anatomie]::N,tirnoq,тыҥырах
33,Zeh::N,oyoq barmog'i,тарбах
34,Fuß::N,oyoq,уллуҥах
35,Ferse::N,tovon,тилэх
36,Knie::N,tiz,тобук
37,Knie::N,tiz,дьилбэк
38,Oberschenkel::N,son,уллук
39,Oberschenkel::N,son,өттүк
40,Bein::N,oyoq,атах
41,Körper::N,badna,бэйэ
42,Haut::N,teri,тирии
43,Blut::N,qon,хаан
44,Ader::N,qon tomir,вена
45,Ader::N,qon tomir,күөх_тымыр
46,Sehne::N,tomir,иҥиир
47,Knochen::N,suyak,уҥуох
48,Knochen::N,suyak,уҥгуох
49,Gehirn::N,miya,мэйии
50,Herz::N,qalb,сүрэх
51,Magen::N,oshqozon,куртах
52,Leber::N,bag'ir,быар
53,Atem::N,dam,тыын
54,Hunger::N,ochlik,аас
55,Träne::N,yosh,харах уута
56,Geschmack::N,tam,амтан
57,Geruch::N,jid,сыт
58,Schlaf::N,uyqu,утуйуу
59,Traum::N,tush,түүл
60,Himmel::N,osmon,халлаан
61,Sonne::N,quyosh,күн
62,Mond::N,oy,ый
63,Stern::N,yulduz,сулус
64,Luft::N,havo,салгын
65,Wind::N,el,тыал
66,Welle::N,to'lqin,долгун
67,Welle::N,to'lqin,балхаан
68,Wasser::N,suv,уу
69,Stein::N,tosh,таас
70,Boden::N,tuproq,сир
71,Erde::N,er,буор
72,Staub::N,chang,быыл
73,Rauch::N,tutun,буруо
74,Funke::N,yalt,кыым
75,Feuer::N,o't,уот
76,Licht::N,yorug',уот
77,Schatten::N,soya,күлүк
78,Wetter::N,havo,күн-дьыл
79,Nebel::N,tuman,туман
80,Wolke::N,bulut,былыт
81,Regen::N,yomg'ir,самыыр
82,Schnee::N,qor,хаар
83,Eis::N,muz,муус
