,Concept_ID,ba,ce
0,Auge::N,күҙ,бӏаьрг
1,Ohr::N,ҡолаҡ,лерг
2,Nase::N,танау,мара
3,Mund::N,ауыҙ,бага
4,Zahn::N,теш,церг
5,Zunge::N,тел,мотт
6,Lippe::N,ирен,балда
7,Wange::N,яцаҡтар,бесни
8,Gesicht::N,бит,юьхь
9,Stirn::N,маңлай,хьаж
10,Haar::N,сәс,мас
11,Schnurrbart::N,мылтыҡ,мекх
12,Bart::N,һаҡал,маж
13,Kinn::N,эйэк,чӏениг
14,Kiefer[Anatomie]::N,яңаҡ һөйәге,мочхал
15,Kehle::N,тамаҡ,къамкъарг
16,Hals::N,муйын,ворта
17,Genick::N,соңҡа,кӏесаркӏаг
18,Kopf::N,баш,корта
19,Rücken::N,арҡа,букъ
20,Bauch::N,ҡорһаҡ,кийра
21,Nabel::N,кендек,цӏонга
22,Busen::N,күкрәк,зударийн накха
23,Brust::N,түш,накха
24,Schulter::N,яурын,белш
25,Arm::N,ҡул,пхьарс
26,Ellenbogen::N,терһәк,пхьаьрсан гола
27,Hand::N,ҡул,куьг
28,Hand::N,ҡул суғы,куьг
29,Handfläche::N,ус төбө,кераюкъ
30,Finger::N,бармаҡ,пӏелг
31,Fingernagel::N,тырнаҡ,мӏара
32,Nagel[Anatomie]::N,тырнаҡ,мӏара
33,Zeh::N,бармаҡ,кога пӏелг
34,Fuß::N,табан,ког
35,Ferse::N,үксә,кӏажа
36,Knie::N,тубыҡ,гола
37,Oberschenkel::N,сандыр,варе
38,Bein::N,аяҡ,ког
39,Körper::N,тән,хӏума
40,Haut::N,тире,чкъор
41,Blut::N,ҡан,цӏий
42,Ader::N,тамыр,пха
43,Sehne::N,һеңер,хьорзам
44,Sehne::N,тарамыш,хьорзам
45,Knochen::N,һойәк,даьӏахк
46,Gehirn::N,мейе,хье
47,Herz::N,йорәк,дог
48,Magen::N,ашҡаҙан,зорх
49,Leber::N,бауыр,доӏах
50,Atem::N,һулыш,садеӏар
51,Hunger::N,аслыҡ,мацалла
52,Träne::N,күҙ иәше,бӏаьрхи
53,Geschmack::N,тәм,чам
54,Geruch::N,еҫ,хьожа
55,Schlaf::N,йоҡлау,наб
56,Traum::N,төш,гӏан
57,Himmel::N,күк,стигал
58,Sonne::N,ҡояш,малх
59,Mond::N,ай,бутт
60,Stern::N,йондоҙ,седа
61,Luft::N,һауа,xӏаваъ
62,Wind::N,ел,мох
63,Welle::N,тулҡын,тулгӏе
64,Wasser::N,һыу,хи
65,Stein::N,таш,тӏулг
66,Boden::N,тупраҡ,цӏенкъа
67,Erde::N,балсҡ,латта
68,Staub::N,туҙан,чан
69,Rauch::N,төтөн,кӏур
70,Funke::N,осҡон,суй
71,Feuer::N,ут,цӏе
72,Licht::N,яҡтылыҡ,серло
73,Schatten::N,күләгә,ӏиндагӏ
74,Wetter::N,һауа торошо,хенан хӏоттам
75,Nebel::N,төман,дохк
76,Wolke::N,болот,марха
77,Regen::N,ямғыр,догӏа
78,Schnee::N,ҡар,ло
79,Eis::N,боҙ,ша
80,Frost::N,һалҡын,шело
81,Kälte::N,һыуыҡ,шело
82,Hitze::N,томра,йовхо
83,Hitze::N,эҫелек,йовхо
84,Raureif::N,ҡырау,йис
85,Regenbogen::N,йәйғор,стелаӏад
86,Donner::N,күк күкрәү,ткъес
87,Strömung::N,ағым,дӏаэхар
88,Strömung::N,ағым,дӏасалелар
89,Tropfen::N,тамсы,тӏадам
90,Schaum::N,күбек,чопа
91,Schmutz::N,батҡаҡ,хатт
92,See::N,күл,ӏам
93,Sumpf::N,һаҙлык,уьшал
94,Moor::N,һаҙ,уьшал
95,Wiese::N,болон,бай
96,Wald::N,урман,хьун
97,Hügel::N,түбә,гу
98,Hügel::N,түбә,шу
99,Hügel::N,түбә,барз
100,Anhöhe::N,түбә,акъари
101,Anhöhe::N,ҡалҡыулыҡ,акъари
102,Berg::N,тау,лам
103,Gipfel::N,түбә,бохь
104,Höhle::N,мәмерйә,хьех
105,Abhang::N,ипкен,басе
106,Quelle::N,шишмә,шовда
107,Bach::N,шишмә,татол
108,Fluss::N,йылға,хи
109,Ufer::N,яр,хийист
110,Küste::N,яр буйы,йист
111,Festland::N,ҡоро ер,латта
112,Meer::N,диңгез,xӏорд
113,Bucht::N,бухта,чож
114,Insel::N,үтрау,гӏайре
115,Blume::N,сәскә,зезаг
116,Gras::N,үлән,буц
117,Wurzel::N,тамыр,орам
118,Baum::N,ағас,дитт
119,Stamm::N,олон,гӏад
120,Stamm::N,олон,тайпа
121,Stamm::N,көбәк,гӏад
122,Stamm::N,көбәк,тайпа
123,Rinde::N,ҡабыҡ,кевстиг
124,Ast::N,ботаҡ,га
125,Zweig::N,ботаҡ,га
126,Zweig::N,тармаҡ,га
127,Blatt::N,япраҡ,гӏа
128,Birke::N,ҡайын,дакх
129,Kiefer[Baum]::N,ҡарғай,бага
130,Weide[Baum]::N,тал,дак
131,Tanne::N,шыршы,база
132,Horn::N,мөғөҙ,маӏа
133,Feder::N,ҡауырһын,пелаг
134,Fell::N,тире,цӏока
135,Flügel::N,ҡанат,тӏам
136,Klaue::N,тырнаҡ,мӏара
137,Kralle::N,аяҡ,тlод
138,Schwanz::N,ҡойроҡ,цӏога
139,Ei::N,йомортҡа,xӏoa
140,Nest::N,оя,бен
141,Bau::N,оң,lуьрг
142,Tier::N,жайуан,дийнат
143,Tier::N,йыртҡыс,дийнат
144,Herde::N,көтөү,жа
145,Kuh::N,һыйыр,етт
146,Bulle::N,үгеҙ,сту
147,Pferd::N,ат,говр
148,Schaf::N,һарыҡ,жий
149,Schaf::N,һарыҡ,уьстагӏ
150,Schwein::N,сусҡа,хьакха
151,Hund::N,эт,жӏаьла
152,Katze::N,бесәй,цициг
153,Bär::N,айыу,ча
154,Eichhörnchen::N,тейен,тарсал
155,Elch::N,мышы,сай
156,Fuchs::N,төлкө,цхьогал
157,Hase::N,ҡуян,пхьагал
158,Maus::N,сысҡан,дахка
159,Wolf::N,бүре,борз
160,Vogel::N,ҡош,олхазар
161,Schwarm::N,көтөү,
162,Huhn::N,тауыҡ,котам
163,Hahn::N,әтәс,нӏаьна
164,Hahn::N,әтәс,боргӏал
165,Gans::N,ҡаҙ,гӏаз
166,Adler::N,бөркөт,aьрзу
167,Ente::N,өйрәк,бад
168,Eule::N,өкө,бухӏа
169,Eule::N,ябалаҡ,бухӏа
170,Kranich::N,торна,гӏаргӏули
171,Krähe::N,ҡарға,къиг
172,Kuckuck::N,кәкүк,aттйокх
173,Schwan::N,аҡҡош,гӏургӏаз
174,Fisch::N,балыҡ,чӏара
175,Barsch::N,алабуға,окунь
176,Hecht::N,суртан,гӏазкхийн чӏара
177,Schlange[Tier]::N,йылан,лаьхьа
178,Wurm::N,селяүсен,нӏаьна
179,Spinne::N,үрмәксе,гезг
180,Ameise::N,ҡырмыҫҡа,зингат
181,Laus::N,бет,меза
182,Laus::N,бет,гӏениг
183,Mücke::N,серәкәй,чуьрк
184,Fliege::N,себен,моза
185,Schmetterling::N,күбәләк,полла
186,Beere::N,еләк,цӏазам
187,Apfel::N,алма,ӏаж
188,Pilz::N,бәшмәк,жӏаьлин нускал
189,Zwiebel::N,һуган,xох
190,Saat::N,орлоҡ,чlу
191,Korn::N,иген,буьртиг
192,Heu::N,бесән,йол
193,Schale::N,ҡабыҡ,пардо
194,Grube::N,соҡор,ор
195,Falle::N,тоҙак,кӏело
196,Falle::N,ҡапҡан,кӏело
197,Schlinge::N,тоҙак,
198,Spur::N,әҫер,лар
199,Asche::N,көл,чим
200,Dreck::N,батҡаҡ,мода
201,Eisen::N,тимер,эчиг
