,Concept_ID,fi,az
0,Auge::N,silmä,göz
1,Ohr::N,korva,qulaq
2,Nase::N,nenä,burun
3,Mund::N,suu,ağız
4,Zahn::N,hammas,diş
5,Zunge::N,kieli,dil
6,Lippe::N,huuli,dodaq
7,Wange::N,poski,yanaq
8,Gesicht::N,naama,üz
9,Gesicht::N,kasvot,üz
10,Stirn::N,otsa,alın
11,Haar::N,hius,saç
12,Haar::N,tukka,saç
13,Schnurrbart::N,viikset,bığ
14,Bart::N,parta,saqqal
15,Kinn::N,leuka,çənə
16,Kiefer[Anatomie]::N,leukaluu,çənə
17,Kehle::N,kurkku,boğaz
18,Hals::N,kaula,boyun
19,Genick::N,niska,ənsə
20,Kopf::N,pää,baş
21,Rücken::N,selkä,bel
22,Bauch::N,maha,qarın
23,Bauch::N,vatsa,qarın
24,Nabel::N,napa,göbək
25,Busen::N,rinta,məmə
26,Brust::N,rinta,döş
27,Schulter::N,olka,çiyin
28,Schulter::N,hartia,çiyin
29,Schulter::N,olkapää,çiyin
30,Arm::N,käsivarsi,qol
31,Ellenbogen::N,kyynärpää,dirsək
32,Hand::N,käsi,əl
33,Handfläche::N,kämmen,ovuc
34,Finger::N,sormi,barmaq
35,Fingernagel::N,kynsi,barmaq dırnağı
36,Nagel[Anatomie]::N,kynsi,dırnak
37,Zeh::N,varvas,ayaq barmağı
38,Fuß::N,jalka,ayaq
39,Ferse::N,kantapää,daban
40,Knie::N,polvi,diz
41,Oberschenkel::N,reisi,bud
42,Bein::N,jalka,qıç
43,Körper::N,keho,əndam
44,Körper::N,ruumis,əndam
45,Haut::N,iho,dəri
46,Blut::N,veri,qan
47,Ader::N,suoni,damar
48,Sehne::N,jänne,vətər
49,Knochen::N,luu,sümük
50,Gehirn::N,aivot,beyin
51,Herz::N,sydän,ürək
52,Magen::N,maha,mədə
53,Magen::N,vatsa,mədə
54,Leber::N,maksa,qara ciyər
55,Atem::N,henki,nəfəs
56,Atem::N,hengitys,nəfəs
57,Hunger::N,nälkä,aclıq
58,Träne::N,kyynel,göz yaşı
59,Geschmack::N,maku,tam
60,Geschmack::N,maku,ləzzət
61,Geruch::N,haju,qoxu
62,Schlaf::N,uni,yuxu
63,Traum::N,uni,röya
64,Himmel::N,taivas,göy
65,Himmel::N,taivas,səma
66,Sonne::N,aurinko,günəş
67,Mond::N,kuu,ay
68,Stern::N,tähti,ulduz
69,Luft::N,ilma,hava
70,Wind::N,tuuli,yel
71,Wind::N,tuuli,külək
72,Welle::N,aalto,dalğa
73,Wasser::N,vesi,su
74,Stein::N,kivi,daş
75,Boden::N,maa,yer
76,Boden::N,maa,zəmin
