,Concept_ID,lt,fr
0,Auge::N,akis,œil
1,Ohr::N,ausis,oreille
2,Nase::N,nosis,nez
3,Mund::N,burna,bouche
4,Zahn::N,dantis,dent
5,Zunge::N,liežuvis,langue
6,Lippe::N,lūpa,lèvre
7,Wange::N,žandas,joue
8,Wange::N,skruostas,joue
9,Gesicht::N,veidas,face
10,Gesicht::N,veidas,visage
11,Stirn::N,kakta,front
12,Haar::N,plaukai,cheveu
13,Schnurrbart::N,ūsai,moustache
14,Bart::N,barzda,barbe
15,Kinn::N,smakras,menton
16,Kiefer[Anatomie]::N,žandikaulis,mâchoire
17,Kehle::N,gerklė,gorge
18,Hals::N,kaklas,cou
19,Genick::N,sprandas,nuque
20,Kopf::N,galva,tête
21,Rücken::N,nugara,dos
22,Bauch::N,pilvas,ventre
23,Nabel::N,bamba,nombril
24,Busen::N,krūtinė,sein
25,Brust::N,krūtis,poitrine
26,Schulter::N,petys,épaule
27,Arm::N,ranka,bras
28,Ellenbogen::N,alkūnė,coude
29,Hand::N,ranka,main
30,Hand::N,plaštaka,main
31,Handfläche::N,delnas,paume
32,Handfläche::N,plaštaka,paume
33,Finger::N,pirštas,doigt
34,Fingernagel::N,nagas,ongle
35,Nagel[Anatomie]::N,nagas,ongle
36,Zeh::N,pirštas,orteil
37,Zeh::N,pirštas,doigt de pied
38,Fuß::N,pėda,pied
39,Ferse::N,kulnas,talon
40,Knie::N,kelis,genou
41,Oberschenkel::N,kulšis,cuisse
42,Oberschenkel::N,šlaunis,cuisse
43,Bein::N,koja,jambe
44,Körper::N,kūnas,corps
45,Haut::N,oda,peau
46,Blut::N,kraujas,sang
47,Ader::N,kraujagyslė,veine
48,Sehne::N,sausgyslė,tendon
49,Knochen::N,kaulas,os
50,Gehirn::N,smegenys,cerveau
51,Herz::N,širdis,cœur
52,Magen::N,skrandis,estomac
53,Leber::N,kepenys,foie
54,Atem::N,kvapas,haleine
55,Hunger::N,badas,faim
56,Hunger::N,alkis,faim
57,Träne::N,ašara,larme
58,Geschmack::N,skonis,goût
59,Geschmack::N,skonis,saveur
60,Geruch::N,kvapas,odeur
61,Schlaf::N,miegas,sommeil
62,Traum::N,sapnas,songe
63,Himmel::N,dangus,ciel
64,Sonne::N,saulė,soleil
65,Mond::N,mėnulis,lune
66,Stern::N,žvaigždė,étoile
67,Luft::N,oras,air
68,Wind::N,vėjas,vent
69,Welle::N,banga,vague
70,Welle::N,vilnis,vague
71,Wasser::N,vanduo,eau
72,Stein::N,akmuo,pierre
73,Boden::N,žemė,sol
74,Boden::N,žemė,terrain
75,Boden::N,dugnas,sol
76,Boden::N,dugnas,terrain
77,Erde::N,žemė,terre
78,Staub::N,dulkės,poussière
79,Rauch::N,dūmai,fumée
80,Funke::N,kibirkštis,étincelle
81,Feuer::N,ugnis,feu
82,Licht::N,šviesa,lumière
83,Schatten::N,paūksmė,ombre
84,Wetter::N,oras,temps
85,Nebel::N,migla,brume
86,Nebel::N,migla,brouillard
87,Nebel::N,rūkas,brume
88,Nebel::N,rūkas,brouillard
89,Wolke::N,debesis,nuage
90,Regen::N,lietus,pluie
91,Schnee::N,sniegas,neige
92,Eis::N,ledas,glace
93,Frost::N,šalna,gel
94,Frost::N,šalna,gelée
95,Kälte::N,šaltis,froid
96,Hitze::N,karštis,chaleur
97,Raureif::N,šerkšnas,givre
98,Regenbogen::N,vaivorykštė,arc-en-ciel
99,Donner::N,perkūnas,tonnerre
100,Donner::N,griaustinis,tonnerre
101,Strömung::N,tėkmė,courant
102,Tropfen::N,lašas,goutte
103,Schaum::N,putos,écume
104,Schaum::N,putos,mousse
105,Schmutz::N,purvas,boue
106,Schmutz::N,purvas,saleté
107,See::N,ežeras,lac
108,Sumpf::N,klampynė,marais
109,Sumpf::N,klampynė,marécage
