,Concept_ID,lv,en
0,Auge::N,син,eye
1,Auge::N,acs,eye
2,Ohr::N,пель,ear
3,Ohr::N,auss,ear
4,Nase::N,ныр,nose
5,Nase::N,deguns,nose
6,Mund::N,вом,mouth
7,Mund::N,mute,mouth
8,Zahn::N,пинь,tooth
9,Zahn::N,zobs,tooth
10,Zunge::N,кыв,tongue
11,Zunge::N,mēle,tongue
12,Lippe::N,вом дор,lip
13,Lippe::N,lūpa,lip
14,Wange::N,бан,cheek
15,Wange::N,vaigs,cheek
16,Gesicht::N,чужӧм,face
17,Gesicht::N,seja,face
18,Gesicht::N,ģīmis,face
19,Stirn::N,плеш,forehead
20,Stirn::N,кымӧс,forehead
21,Stirn::N,piere,forehead
22,Haar::N,си,hair
23,Haar::N,юрси,hair
24,Haar::N,mats,hair
25,Schnurrbart::N,ус,moustache
26,Schnurrbart::N,пыртсим,moustache
27,Schnurrbart::N,ūsas,moustache
28,Bart::N,тош,beard
29,Bart::N,bārda,beard
30,Kinn::N,тшӧка,chin
31,Kinn::N,zods,chin
32,Kinn::N,smakrs,chin
33,Kiefer[Anatomie]::N,черлы,jaw
34,Kiefer[Anatomie]::N,алака лы,jaw
35,Kiefer[Anatomie]::N,вомкӧтш лы,jaw
36,Kiefer[Anatomie]::N,žoklis,jaw
37,Kehle::N,голя,throat
38,Kehle::N,rīkle,throat
39,Hals::N,сьылі,neck
40,Hals::N,kakls,neck
41,Genick::N,юрбӧр,nape
42,Genick::N,балябӧж,nape
43,Genick::N,sprands,nape
44,Kopf::N,юр,head
45,Kopf::N,galva,head
46,Rücken::N,мыш,back
47,Rücken::N,мыш,spine
48,Rücken::N,mugura,back
49,Rücken::N,mugura,spine
50,Bauch::N,рушку,belly
51,Bauch::N,vēders,belly
52,Nabel::N,гӧг,navel
53,Nabel::N,naba,navel
54,Busen::N,морӧс,bosom
55,Busen::N,krūts,bosom
56,Brust::N,морӧс,chest
57,Brust::N,морӧс,breast
58,Brust::N,krūts,chest
59,Brust::N,krūts,breast
60,Schulter::N,пельпом,shoulder
61,Schulter::N,plecs,shoulder
62,Arm::N,ки,arm
63,Arm::N,roka,arm
64,Arm::N,delms,arm
65,Ellenbogen::N,гырддза,elbow
66,Ellenbogen::N,elkonis,elbow
67,Hand::N,ки,hand
68,Hand::N,roka,hand
69,Hand::N,plauksta,hand
70,Handfläche::N,ки пыдӧс,palm
71,Handfläche::N,delna,palm
72,Handfläche::N,plauksta,palm
73,Finger::N,чунь,finger
74,Finger::N,pirksts,finger
75,Fingernagel::N,гыж,fingernail
76,Fingernagel::N,nags,fingernail
77,Nagel[Anatomie]::N,гыж,nail
78,Nagel[Anatomie]::N,nags,nail
79,Zeh::N,кок чунь,toe
80,Zeh::N,pirksts,toe
81,Fuß::N,кок,foot
82,Fuß::N,kāja,foot
83,Ferse::N,кокбӧр,heel
84,Ferse::N,papēdis,heel
85,Knie::N,пидзӧс,knee
86,Knie::N,celis,knee
87,Oberschenkel::N,лядьвей,thigh
88,Oberschenkel::N,бек,thigh
89,Oberschenkel::N,ciska,thigh
90,Oberschenkel::N,augšstilbs,thigh
91,Bein::N,кок,leg
92,Bein::N,kāja,leg
93,Körper::N,туша,body
94,Körper::N,вывтыр,body
95,Körper::N,miesa,body
96,Körper::N,ķermenis,body
97,Haut::N,ку,skin
98,Haut::N,āda,skin
99,Blut::N,вир,blood
100,Blut::N,asins,blood
101,Ader::N,сӧн,vein
102,Ader::N,asinsvads,vein
103,Sehne::N,вез,sinew
104,Sehne::N,dzīsla,sinew
105,Knochen::N,лы,bone
106,Knochen::N,kauls,bone
107,Gehirn::N,вем,brain
108,Gehirn::N,smadzenes,brain
109,Herz::N,сьӧлӧм,heart
110,Herz::N,sirds,heart
111,Magen::N,кынӧм,stomach
112,Magen::N,kuņģis,stomach
113,Leber::N,мус,liver
