,Concept_ID,mrj,is
0,Auge::N,сӹнзӓ,auga
1,Ohr::N,пӹлӹш,eyra
2,Nase::N,нер,nef
3,Mund::N,ышма,munnur
4,Zahn::N,пӱ,tönn
5,Zunge::N,йӹлмӹ,tunga
6,Lippe::N,тӹрвӹ,vör
7,Wange::N,шӹргӹ,kinn
8,Wange::N,шӹргӹ,vangi
9,Gesicht::N,лицӓ,andlit
10,Stirn::N,лепкӓ,enni
11,Haar::N,ӱп,hár
12,Schnurrbart::N,öрш,yfirskegg
13,Bart::N,пандаш,skegg
14,Kinn::N,онгылаш,haka
15,Kiefer[Anatomie]::N,пӱ арата,kjálki
16,Kiefer[Anatomie]::N,пӱ арата,skoltur
17,Kehle::N,логер,kverk
18,Hals::N,шӱ,háls
19,Genick::N,ланга,hnakki
20,Kopf::N,вуй,höfuð
21,Rücken::N,туп,hryggur
22,Bauch::N,мӹшкӹр,kviður
23,Nabel::N,кӹлӹмдӹ,nafli
24,Busen::N,цӹзӹ,barmur
25,Brust::N,мел,brjóst
26,Schulter::N,ӹнгӹжӓ,öxl
27,Arm::N,кид,armur
28,Ellenbogen::N,кӹнервуй,olnbogi
29,Hand::N,лапа,hönd
30,Handfläche::N,кид лапа,lófi
31,Finger::N,парня,fingur
32,Fingernagel::N,кӹч,fingurnögl
33,Nagel[Anatomie]::N,кӹч,nögl
34,Zeh::N,парня,tá
35,Fuß::N,ял лапа,fótur
36,Ferse::N,ялгавал,hæll
37,Ferse::N,ял кавал,hæll
38,Knie::N,пылвуй,kné
39,Oberschenkel::N,ӓрдӹ,læri
40,Bein::N,ял,fótleggur
41,Körper::N,монгыр,búkur
42,Körper::N,монгыр,líkami
43,Haut::N,кавашты,húð
44,Haut::N,кавашты,skinn
45,Blut::N,вӹр,blóð
46,Ader::N,вӹршӓр,æð
47,Sehne::N,кукшышӱн,sin
48,Knochen::N,лу,bein
49,Gehirn::N,вим,heili
50,Herz::N,шӱм,hjarta
51,Magen::N,шӱм,magi
52,Leber::N,мокш,lifur
53,Atem::N,шӱлӹш,andi
54,Atem::N,шӱлӹш,andardráttur
55,Hunger::N,шужымаш,hungur
56,Träne::N,сӹнзӓвӹд,tár
57,Geschmack::N,тот,smekkur
58,Geruch::N,пыш,lykt
59,Schlaf::N,ом,svefn
60,Traum::N,ом,draumur
61,Himmel::N,пӹлгом,himinn
62,Sonne::N,кечӹ,sól
63,Mond::N,тӹлзӹ,tungl
64,Stern::N,шӹдӹр,stjarna
65,Luft::N,юж,loft
66,Luft::N,воздух,loft
67,Wind::N,мардеж,vindur
68,Welle::N,ко,alda
69,Welle::N,ко,bylgja
70,Welle::N,коэ,alda
71,Welle::N,коэ,bylgja
72,Wasser::N,вӹд,vatn
73,Stein::N,кӱ,steinn
