,Concept_ID,tt,ja
0,Auge::N,күз,目
1,Ohr::N,колак,耳
2,Nase::N,борын,鼻
3,Mund::N,авыз,口
4,Mund::N,тамак,口
5,Zahn::N,теш,歯
6,Zunge::N,тел,舌
7,Lippe::N,ирен,唇
8,Wange::N,яңак,頬
9,Gesicht::N,йөз,顔
10,Stirn::N,маңгай,額
11,Haar::N,чәч,髪
12,Schnurrbart::N,мыек,口髭
13,Bart::N,сакал,髭
14,Kinn::N,ияк,顎
15,Kiefer[Anatomie]::N,казналык,顎
16,Kehle::N,тамак,喉
17,Hals::N,бугаз,首
18,Genick::N,җилкә,首
19,Kopf::N,баш,頭
20,Rücken::N,сырт,背中
21,Bauch::N,корсак,腹
22,Bauch::N,корсак,お腹
23,Nabel::N,кендек,へそ
24,Busen::N,түш,乳房
25,Brust::N,имчәк,胸
26,Brust::N,күкрәк,胸
27,Schulter::N,иңбаш,肩
28,Schulter::N,кулбаш,肩
29,Arm::N,кул,腕
30,Ellenbogen::N,терсәк,肘
31,Hand::N,кул,手
32,Handfläche::N,уч,手のひら
33,Finger::N,бармак,指
34,Fingernagel::N,тырнак,爪
35,Nagel[Anatomie]::N,тырнак,爪
36,Zeh::N,бармак,足の指
37,Fuß::N,табан,足
38,Ferse::N,үкчә,かかと
39,Knie::N,тез,膝
40,Oberschenkel::N,бот,上腿
41,Bein::N,аяк,足
42,Körper::N,тән,体
43,Körper::N,җисем,体
44,Haut::N,тире,皮膚
45,Blut::N,кан,血
46,Ader::N,тамыр,血管
47,Sehne::N,сеңер,腱
48,Knochen::N,сөяк,骨
49,Gehirn::N,ми,脳
50,Herz::N,йөрәк,心
51,Herz::N,йөрәк,心臓
52,Magen::N,ашказаны,胃
53,Leber::N,бавыр,肝臓
54,Atem::N,сулыш,息
55,Atem::N,сулыш,呼吸
56,Hunger::N,ачлык,空腹
57,Träne::N,яшь,涙
58,Geschmack::N,тәм,味
59,Geschmack::N,зәвык,味
60,Geruch::N,ис,匂い
61,Schlaf::N,йокы,睡眠
62,Traum::N,төш,夢
63,Himmel::N,күк,空
64,Sonne::N,кояш,太陽
65,Mond::N,ай,月
66,Stern::N,йолдыз,星
67,Luft::N,һава,空気
68,Wind::N,җил,風
69,Welle::N,дулкын,波
70,Wasser::N,су,水
71,Stein::N,таш,石
72,Boden::N,туфрак,土地
73,Erde::N,җир,土
74,Staub::N,тузан,埃
75,Rauch::N,төтен,煙
76,Funke::N,очкын,火花
77,Feuer::N,ут,火
78,Licht::N,якты,光
79,Schatten::N,күләгә,陰
80,Wetter::N,һава,天気
81,Nebel::N,томан,霧
82,Wolke::N,болыт,雲
83,Regen::N,яңгыр,雨
84,Schnee::N,кар,雪
85,Eis::N,боз,氷
86,Frost::N,суык,霜
87,Frost::N,салкын,霜
88,Kälte::N,суык,寒さ
89,Kälte::N,салкын,寒さ
90,Hitze::N,эсселек,暑さ
91,Raureif::N,бәс,霧氷
92,Raureif::N,сыкы,霧氷
93,Regenbogen::N,салават күпере,虹
94,Donner::N,күкрәү,雷
95,Strömung::N,агыш'агым,流れ
96,Tropfen::N,тамчы,滴
97,Schaum::N,күбек,泡
98,Schmutz::N,пычрак,汚れ
99,See::N,күл,湖
100,Sumpf::N,саз,沼
101,Moor::N,торфлык,湿原
102,Wiese::N,болын,草原
103,Wald::N,урман,森
104,Hügel::N,калку,丘
105,Anhöhe::N,үр,高み
106,Berg::N,тау,山
107,Gipfel::N,оч,頂上
108,Höhle::N,мәгарә,洞窟
109,Abhang::N,кабырга,斜面
110,Quelle::N,чишмә,泉
111,Bach::N,елга,小川
112,Fluss::N,дәрья,川
113,Ufer::N,су кырые,岸
114,Küste::N,яр буе,海岸
115,Festland::N,коры җир,陸
116,Meer::N,диңгез,海
117,Bucht::N,бухта,湾
118,Bucht::N,култык,湾
119,Insel::N,атау,島
120,Insel::N,утрау,島
121,Blume::N,чәчкә,花
122,Gras::N,үлән,草
123,Wurzel::N,тамыр,根
124,Baum::N,агач,木
125,Stamm::N,кәүсә,幹
126,Rinde::N,кабык,皮層
127,Ast::N,ботак,枝
128,Zweig::N,ботак,小枝
129,Zweig::N,тармак,小枝
130,Blatt::N,яфрак,葉
131,Birke::N,каен,樺
132,Kiefer[Baum]::N,нарат,松
133,Weide[Baum]::N,тал,柳
134,Tanne::N,чыршы,樅
135,Horn::N,мөгез,角
136,Feder::N,йон,羽根
137,Fell::N,тире,毛皮
138,Flügel::N,канат,羽
139,Klaue::N,тырнак,鉤爪
140,Kralle::N,тырнак,爪
141,Schwanz::N,койрык,尻尾
142,Ei::N,күкәй,卵
143,Ei::N,йомырка,卵
144,Nest::N,оя,巣
145,Bau::N,өн,穴
146,Tier::N,хайван,動物
147,Herde::N,көтү,群れ
148,Kuh::N,сыер,牛
149,Bulle::N,үгез,雄牛
150,Pferd::N,ат,馬
151,Schaf::N,сарык,羊
152,Schwein::N,дуңгыз,豚
153,Hund::N,эт,犬
154,Katze::N,песи,猫
155,Bär::N,аю,熊
156,Eichhörnchen::N,тиен,栗鼠
157,Elch::N,поши,ヘラジカ
158,Fuchs::N,төлке,狐
159,Hase::N,куян,兎
160,Maus::N,тычкан,鼠
161,Wolf::N,бүре,狼
162,Vogel::N,кош,鳥
163,Schwarm::N,көтү,群れ
164,Huhn::N,тавык,鶏
165,Hahn::N,әтәч,雄鶏
166,Gans::N,каз,ガチョウ
167,Adler::N,каракош,鷲
168,Ente::N,үрдәк,鴨
169,Eule::N,ябалак,フクロウ
170,Kranich::N,торна,鶴
171,Krähe::N,карга,烏
172,Kuckuck::N,күке,郭公
173,Kuckuck::N,кәккүк,郭公
174,Schwan::N,аккош,白鳥
175,Fisch::N,балык,魚
176,Barsch::N,алабуга,鱸
177,Hecht::N,чуртан,川魳
178,Schlange[Tier]::N,елан,蛇
179,Wurm::N,корт,虫
180,Spinne::N,үрмәкүч,蜘蛛
181,Ameise::N,кырмыска,蟻
182,Laus::N,бет,虱
183,Mücke::N,черки,蚊
184,Mücke::N,озынборын,蚊
185,Fliege::N,чебен,蝿
186,Schmetterling::N,күбәләк,蝶
187,Beere::N,җиләк,漿果
188,Apfel::N,алма,林檎
189,Pilz::N,гөмбә,茸
190,Zwiebel::N,суган,玉葱
191,Zwiebel::N,суганбаш,玉葱
192,Saat::N,орлык,種
193,Korn::N,иген,粒
194,Korn::N,орлык,粒
195,Heu::N,печән,干し草
196,Schale::N,кабык,皮
197,Grube::N,баз,穴
198,Grube::N,чокыр,穴
199,Falle::N,тозак,わな
200,Falle::N,капкын,わな
201,Schlinge::N,элмәк,輪
202,Spur::N,эз,跡
203,Asche::N,көл,灰
204,Dreck::N,пычрак,泥
205,Eisen::N,тимер,鉄
206,Gold::N,алтын,金
207,Silber::N,көмеш,銀
208,Kohle::N,күмер,炭
209,Glas::N,пыяла,ガラス
210,Lehm::N,балчык,ローム
211,Sand::N,ком,砂
212,Mensch::N,адәм,人
213,Mensch::N,инсан,人
214,Mann::N,ир,男
215,Mann::N,ир,男性
216,Frau::N,хатын,女
217,Frau::N,хатын,女性
218,Kind::N,бала,子
219,Kind::N,бала,子供
220,Junge::N,малай,男の子
221,Mädchen::N,кыз,女の子
222,Familie::N,гаилә,家族
223,Großvater::N,бабай,祖父
224,Großvater::N,бабай,おじいさん
225,Großmutter::N,әби,祖母
226,Großmutter::N,әби,おばあさん
227,Eltern::N,ата-ана,親
228,Eltern::N,ата-ана,両親
229,Vater::N,ата,父
230,Vater::N,ата,お父さん
231,Mutter::N,ана,母
232,Mutter::N,ана,お母さん
233,Sohn::N,ул,息子
234,Sohn::N,ул,息子さん
235,Tochter::N,кыз,娘
236,Tochter::N,кыз,お嬢さん
237,Bruder::N,кардәш,弟
238,Schwester::N,апа,妹
239,Schwester::N,сеңел,妹
240,Onkel::N,дәдә,伯父
241,Onkel::N,дәдә,伯父さん
242,Onkel::N,дәдәй,伯父
243,Onkel::N,дәдәй,伯父さん
244,Tante::N,түти,叔母
245,Tante::N,түти,叔母さん
246,Tante::N,тәтәй,叔母
247,Tante::N,тәтәй,叔母さん
248,Ehemann::N,ир,夫
249,Ehemann::N,ир,主人
250,Ehefrau::N,хатын,妻
251,Ehefrau::N,хатын,奥さん
252,Freude::N,сөенеч,喜び
253,Gelächter::N,көлү,笑い
254,Gelächter::N,көлеш,笑い
255,Glück::N,бәхет,幸せ
256,Kummer::N,хәсрәт,悩み
257,Wunsch::N,теләк,希望
258,Lust::N,теләк,気
259,Lust::N,теләү,気
260,Geist::N,рух,精神
261,Gedanke::N,уй,考え
262,Gedanke::N,фикер,考え
263,Gedächtnis::N,хәтер,記憶
264,Verstand::N,акыл,理解力
265,Sinn::N,мәгънә,意味
266,Grund::N,сәбәп,理由
267,Wahrheit::N,хак,真実
268,Gespräch::N,әңгәмә,会話
269,Märchen::N,әкият,童話
270,Erzählung::N,хикәя,物語
271,Nachricht::N,хәбәр,報告
272,Neuigkeit::N,яңалык,ニュース
273,Name::N,исем,名前
274,Rätsel::N,табышмак,謎
275,Rede::N,нотык,演説
276,Sprache::N,тел,言語
277,Stimme::N,тавыш,声
278,Wort::N,сүз,言葉
279,Zeichen::N,ишарә,記号
280,Ruf::N,дәшү,呼び声
281,Lärm::N,шау,騒音
282,Laut::N,аваз,音
283,Ton::N,шалтырату,音
284,Lied::N,җыр,歌
285,Ruhe::N,тынлык,静けさ
286,Leute::N,халык,人々
287,Volk::N,халык,民族
288,Arbeit::N,эш,仕事
289,Arbeit::N,хезмәт,仕事
290,Gast::N,кунак,客
291,Geschenk::N,бүләк,贈り物
292,Spiel::N,уен,遊び
293,Gesellschaft::N,җәмгыять,社会
294,Hilfe::N,ярдәм,援助
295,Hilfe::N,булышлык,援助
296,Freund::N,дус,友達
297,Kamerad::N,иптәш,同志
298,Angelegenheit::N,эш,件
299,Anzahl::N,микъдар,数
300,Art::N,төр,種類
301,Stück::N,кисәк,部分
302,Teil::N,өлеш,部分
303,Hälfte::N,ярым,半分
304,Kreis::N,түгәрәк,円
305,Kreuz::N,хач,十字
306,Kreuz::N,тәре,十字
307,Linie::N,сызык,線
308,Strich::N,сызык,線
309,Abstand::N,ара,距離
310,Entfernung::N,ераклык,距離
311,Gegend::N,урын,辺
312,Gegend::N,урын,地域
313,Platz::N,бушлык,ゆとり
314,Ort::N,урын,所
315,Ort::N,урын,場所
316,Seite::N,як,横
317,Mitte::N,урта,真ん中
