,Concept_ID,ml,sq
0,Auge::N,കണ്ണ്,sy
1,Ohr::N,ചെവി,vesh
2,Nase::N,മൂക്ക്,hundë
3,Mund::N,വായ,gojë
4,Zahn::N,പല്ല്,dhëmb
5,Zunge::N,നാക്ക്,gjuhë
6,Lippe::N,ചുണ്ട്,buzë
7,Wange::N,കവിൾത്തടം,faqe
8,Wange::N,കവിൾത്തടം,mollëz
9,Gesicht::N,മുഖം,fytyrë
10,Stirn::N,നെറ്റി,ballë
11,Haar::N,തലമുടി,flokë
12,Schnurrbart::N,മീശ,mustaqe
13,Bart::N,താടിരോമം,mjekër
14,Kinn::N,താടി,mjekër
15,Kiefer[Anatomie]::N,താടിയെല്ല്,nofull
16,Kehle::N,കണ്ഠനാളം,fyt
17,Kehle::N,കണ്ഠനാളം,grykë
18,Hals::N,കഴുത്ത്,qafë
19,Genick::N,പിടലി,arrëz
20,Kopf::N,തല,kokë
21,Rücken::N,മുതുക്,kurriz
22,Bauch::N,നയറ്,bark
23,Nabel::N,നാഭി,kërthizë
24,Busen::N,സ്തനം,gji
25,Brust::N,സ്തനം,gjoks
26,Brust::N,സ്തനം,kraharor
27,Schulter::N,തോൾ,sup
28,Schulter::N,തോൾ,krah
29,Arm::N,കൈ,krah
30,Ellenbogen::N,കൈമുട്ട്,bërryl
31,Hand::N,കൈ,dorë
32,Handfläche::N,ഉള്ളം കൈ,pëllëmbë
33,Finger::N,വിരൽ,gisht
34,Fingernagel::N,നഖം,thua
35,Nagel[Anatomie]::N,നഖം,thua
36,Zeh::N,കാൽവിരൽ,gisht i këmbës
37,Fuß::N,കാൽപ്പാദം,këmbë
38,Ferse::N,ഉപ്പൂറ്റി,thembër
39,Knie::N,കാൽമുട്ട്,gju
40,Oberschenkel::N,തുട,kofshë
41,Bein::N,കാൽ,këmbë
42,Körper::N,ശരീരം,trup
43,Haut::N,ചർമ്മം,lëkurë
44,Blut::N,രക്തം,gjak
45,Ader::N,ഞരമ്പ്,venë
46,Sehne::N,സ്നായു,dell
47,Knochen::N,അസ്ഥി,asht
48,Knochen::N,അസ്ഥി,kockë
49,Gehirn::N,തലച്ചോറ്,tru
50,Herz::N,ഹൃദയം,zemër
51,Magen::N,വയർ,stomak
52,Leber::N,കരൾ,mëlçi
53,Atem::N,ശ്വാസം,frymë
54,Hunger::N,വിശപ്പ്,uri
55,Träne::N,കണ്ണീർ,lot
56,Geschmack::N,രുചി,shije
57,Geruch::N,ഗന്ധം,erë
58,Schlaf::N,ഉറകും,gjumë
59,Traum::N,സ്വപ്നം,ëndërr
60,Himmel::N,ആകാശം,qiell
61,Sonne::N,സൂര്യൻ,diell
62,Mond::N,ചന്ദ്രൻ,hënë
63,Stern::N,നക്ഷത്രം,yll
64,Luft::N,കാറ്റ്,ajër
65,Wind::N,കാറ്റ്,erë
66,Welle::N,തിരമാല,valë
67,Welle::N,തിരമാല,dallgë
68,Wasser::N,വെള്ളം,ujë
69,Stein::N,ശില,gur
70,Stein::N,കല്ല്,gur
71,Boden::N,തറ,tokë
72,Boden::N,തറ,truall
73,Boden::N,നിലം,tokë
74,Boden::N,നിലം,truall
75,Erde::N,മണ്ണ്,dhe
76,Erde::N,മണ്ണ്,baltë
77,Staub::N,പൊടി,pluhur
78,Rauch::N,പുക,tym
79,Funke::N,തീപ്പൊരി,xixë
80,Funke::N,തീപ്പൊരി,shkëndijë
81,Feuer::N,തീ,zjarr
82,Licht::N,വിളക്ക്,dritë
83,Licht::N,സൂര്യപ്രകാശം,dritë
84,Schatten::N,തണൽ,hije
85,Wetter::N,കാലാവസ്ഥ,mot
86,Nebel::N,മൂടൽമഞ്ഞ്,mjegull
87,Wolke::N,മേഘം,re
88,Regen::N,മഴ,shi
89,Schnee::N,മഞ്ഞ്,borë
90,Eis::N,ഐസ്,akull
91,Frost::N,മൂടൽമഞ്ഞ്,ngricë
